x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
62,76,Pass,86,64,143,2.529,1,0.001,0.005
62,76,Pass,86,66,183,2.749,3,0.001,0.005
62,76,Pass,86,68,201,2.845,3,0.001,0.004
62,76,Pass,86,70,206,2.978,2,0.001,0.003
62,76,Pass,84,60,117,1.311,1,0,0.004
62,76,Pass,84,62,138,2.017,1,0.001,0.005
62,76,Pass,84,64,169,2.731,2,0.001,0.006
62,76,Pass,84,66,214,3.262,4,0.001,0.006
62,76,Pass,84,68,226,3.656,3,0.001,0.005
62,76,Pass,84,70,229,4.059,3,0.001,0.005
62,76,Pass,84,72,234,4.597,3,0.002,0.007
62,76,Pass,84,74,223,5.219,3,0.003,0.01
62,76,Pass,82,58,126,0.782,1,0,0.002
62,76,Pass,82,60,142,1.385,2,0,0.003
62,76,Pass,82,62,166,2.359,2,0.001,0.005
62,76,Pass,82,64,209,3.429,3,0.001,0.006
62,76,Pass,82,66,251,4.259,3,0.002,0.007
62,76,Pass,82,68,257,4.811,3,0.002,0.008
62,76,Pass,82,70,262,5.34,3,0.003,0.009
62,76,Pass,82,72,259,6.134,4,0.003,0.01
62,76,Pass,82,74,244,7.115,4,0.005,0.012
62,76,Pass,82,76,232,7.524,4,0.006,0.016
62,76,Pass,80,56,122,0.509,0,0,0.002
62,76,Pass,80,58,145,0.864,0,0,0.003
62,76,Pass,80,60,172,1.695,1,0,0.004
62,76,Pass,80,62,197,3.04,1,0.001,0.006
62,76,Pass,80,64,248,4.527,2,0.002,0.009
62,76,Pass,80,66,301,5.626,3,0.003,0.012
62,76,Pass,80,68,307,6.23,3,0.005,0.014
62,76,Pass,80,70,307,6.754,4,0.005,0.014
62,76,Pass,80,72,296,7.659,4,0.005,0.013
62,76,Pass,80,74,279,8.862,4,0.007,0.014
62,76,Pass,80,76,264,9.454,4,0.008,0.017
62,76,Pass,80,78,239,8.417,4,0.009,0.02
62,76,Pass,78,56,145,0.7,0,0,0.003
62,76,Pass,78,58,177,1.185,1,0,0.004
62,76,Pass,78,60,201,2.228,1,0.001,0.007
62,76,Pass,78,62,227,3.876,1,0.002,0.01
62,76,Pass,78,64,278,5.68,2,0.004,0.014
62,76,Pass,78,66,326,6.974,3,0.007,0.019
62,76,Pass,78,68,346,7.597,4,0.008,0.021
62,76,Pass,78,70,344,8.045,4,0.008,0.019
62,76,Pass,78,72,332,8.883,4,0.007,0.015
62,76,Pass,78,74,309,10.066,4,0.008,0.014
62,76,Pass,78,76,286,10.699,4,0.009,0.016
62,76,Pass,78,78,258,9.691,4,0.009,0.018
62,76,Pass,76,54,143,0.856,0,0,0.003
62,76,Pass,76,56,173,1.148,0,0,0.004
62,76,Pass,76,58,205,1.806,1,0.001,0.005
62,76,Pass,76,60,238,2.987,1,0.001,0.009
62,76,Pass,76,62,263,4.736,1,0.004,0.015
62,76,Pass,76,64,296,6.638,2,0.008,0.021
62,76,Pass,76,66,351,8.032,4,0.011,0.026
62,76,Pass,76,68,373,8.683,4,0.013,0.027
62,76,Pass,76,70,377,9.021,4,0.011,0.023
62,76,Pass,76,72,364,9.631,4,0.008,0.016
62,76,Pass,76,74,340,10.567,4,0.007,0.013
62,76,Pass,76,76,308,11.056,4,0.007,0.013
