x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
88,76,Pass,120,8,1,0,0,0,0
88,76,Pass,120,10,2,0.001,0,0,0
88,76,Pass,120,12,3,0.003,0,0,0
88,76,Pass,120,14,3,0.013,0,0,0
88,76,Pass,120,16,3,0.04,0,0,0
88,76,Pass,120,18,3,0.084,0,0,0
88,76,Pass,120,20,3,0.123,0,0,0
88,76,Pass,120,22,4,0.126,1,0,0
88,76,Pass,120,24,3,0.089,1,0,0
88,76,Pass,120,26,2,0.044,1,0,0
88,76,Pass,120,28,3,0.016,1,0,0.005
88,76,Pass,120,30,3,0.005,1,0,0.042
88,76,Pass,120,32,3,0.003,1,0,0.13
88,76,Pass,120,34,3,0.004,1,0,0.131
88,76,Pass,120,36,3,0.005,1,0,0.094
88,76,Pass,120,38,3,0.005,1,0,0.062
88,76,Pass,120,40,3,0.003,1,0,0.039
88,76,Pass,120,42,3,0.002,1,0,0.029
88,76,Pass,120,44,3,0.001,1,0,0.033
88,76,Pass,120,46,3,0,1,0,0.049
88,76,Pass,120,48,2,0,0,0,0.07
88,76,Pass,120,50,1,0,0,0,0.101
88,76,Pass,120,52,1,0,0,0,0.101
88,76,Pass,120,56,1,0,0,0,0
88,76,Pass,120,58,1,0,0,0,0
88,76,Pass,120,60,1,0,0,0,0
88,76,Pass,120,62,1,0,0,0,0
88,76,Pass,120,68,1,0,0,0,0
88,76,Pass,120,70,1,0,0,0,0
88,76,Pass,120,72,1,0,0,0,0
88,76,Pass,120,74,2,0,0,0,0
88,76,Pass,120,76,2,0,0,0,0
88,76,Pass,120,78,2,0,0,0,0
88,76,Pass,120,80,1,0,0,0,0
88,76,Pass,118,6,1,0,0,0,0
88,76,Pass,118,8,2,0,0,0,0
88,76,Pass,118,10,3,0.001,0,0,0
88,76,Pass,118,12,3,0.006,0,0,0
88,76,Pass,118,14,3,0.023,0,0,0
88,76,Pass,118,16,3,0.068,0,0,0
88,76,Pass,118,18,3,0.139,0,0,0
88,76,Pass,118,20,3,0.202,0,0,0
88,76,Pass,118,22,4,0.206,1,0,0
88,76,Pass,118,24,4,0.146,1,0,0
88,76,Pass,118,26,4,0.073,1,0,0.001
88,76,Pass,118,28,3,0.026,1,0,0.005
88,76,Pass,118,30,3,0.008,1,0,0.046
88,76,Pass,118,32,4,0.006,1,0,0.126
88,76,Pass,118,34,4,0.008,1,0,0.115
88,76,Pass,118,36,3,0.01,1,0,0.081
88,76,Pass,118,38,3,0.011,1,0,0.052
88,76,Pass,118,40,3,0.008,1,0,0.035
88,76,Pass,118,42,3,0.005,1,0,0.031
88,76,Pass,118,44,3,0.003,1,0,0.041
88,76,Pass,118,46,3,0.001,1,0,0.061
88,76,Pass,118,48,3,0.001,0,0,0.06
88,76,Pass,118,50,3,0,0,0,0.027
88,76,Pass,118,52,3,0.001,0,0,0.006
88,76,Pass,118,54,3,0.001,0,0,0.001
88,76,Pass,118,56,2,0,0,0,0
88,76,Pass,118,58,2,0,0,0,0
88,76,Pass,118,60,1,0,0,0,0
88,76,Pass,118,62,1,0,0,0,0
88,76,Pass,118,64,1,0,0,0,0
88,76,Pass,118,66,2,0,0,0,0
88,76,Pass,118,68,1,0,0,0,0
88,76,Pass,118,70,2,0,0,0,0
88,76,Pass,118,72,2,0,0,0,0
88,76,Pass,118,74,2,0.001,0,0,0
88,76,Pass,118,76,2,0.001,0,0,0
88,76,Pass,118,78,2,0.001,0,0,0
88,76,Pass,118,80,2,0.001,0,0,0
88,76,Pass,116,6,1,0,0,0,0
88,76,Pass,116,8,3,0,0,0,0
88,76,Pass,116,10,3,0.002,0,0,0
88,76,Pass,116,12,3,0.01,0,0,0
88,76,Pass,116,14,3,0.033,0,0,0
88,76,Pass,116,16,3,0.087,0,0,0
88,76,Pass,116,18,3,0.169,0,0,0
88,76,Pass,116,20,3,0.237,0,0,0
88,76,Pass,116,22,4,0.238,1,0,0
88,76,Pass,116,24,4,0.168,1,0,0
88,76,Pass,116,26,5,0.083,1,0,0.001
88,76,Pass,116,28,4,0.03,1,0,0.006
88,76,Pass,116,30,3,0.01,1,0,0.051
88,76,Pass,116,32,4,0.008,1,0,0.119
88,76,Pass,116,34,4,0.012,1,0,0.102
88,76,Pass,116,36,3,0.016,1,0,0.069
88,76,Pass,116,38,3,0.017,1,0,0.045
88,76,Pass,116,40,3,0.014,1,0,0.033
88,76,Pass,116,42,3,0.009,1,0,0.035
88,76,Pass,116,44,3,0.005,1,0,0.051
88,76,Pass,116,46,4,0.003,1,0,0.064
88,76,Pass,116,48,3,0.002,0,0,0.045
88,76,Pass,116,50,4,0.003,0,0,0.013
88,76,Pass,116,52,3,0.004,0,0,0.002
88,76,Pass,116,54,3,0.004,0,0,0
88,76,Pass,116,56,2,0.003,0,0,0
88,76,Pass,116,58,2,0.001,0,0,0
88,76,Pass,116,60,2,0.001,0,0,0
88,76,Pass,116,62,2,0,0,0,0
88,76,Pass,116,64,2,0,0,0,0
88,76,Pass,116,66,2,0,0,0,0
88,76,Pass,116,68,3,0,0,0,0
88,76,Pass,116,70,2,0,0,0,0
88,76,Pass,116,72,2,0.002,0,0,0
88,76,Pass,116,74,2,0.004,0,0,0
88,76,Pass,116,76,2,0.006,0,0,0
88,76,Pass,116,78,2,0.007,0,0,0
88,76,Pass,116,80,2,0.005,0,0,0
88,76,Pass,114,4,1,0,0,0,0
88,76,Pass,114,6,2,0,0,0,0
88,76,Pass,114,8,3,0.001,0,0,0
88,76,Pass,114,10,3,0.005,0,0,0
88,76,Pass,114,12,3,0.018,0,0,0
88,76,Pass,114,14,3,0.048,0,0,0
88,76,Pass,114,16,3,0.102,0,0,0
88,76,Pass,114,18,3,0.168,0,0,0
88,76,Pass,114,20,3,0.213,0,0,0
88,76,Pass,114,22,4,0.201,1,0,0
88,76,Pass,114,24,4,0.138,1,0,0
88,76,Pass,114,26,5,0.067,1,0,0.001
88,76,Pass,114,28,5,0.024,1,0,0.007
88,76,Pass,114,30,3,0.008,1,0,0.055
88,76,Pass,114,32,4,0.008,1,0,0.111
88,76,Pass,114,34,4,0.013,1,0,0.089
88,76,Pass,114,36,3,0.018,1,0,0.059
88,76,Pass,114,38,3,0.02,1,0,0.039
88,76,Pass,114,40,3,0.018,1,0,0.033
88,76,Pass,114,42,3,0.013,1,0,0.043
88,76,Pass,114,44,4,0.008,1,0,0.06
88,76,Pass,114,46,4,0.006,1,0,0.06
88,76,Pass,114,48,4,0.007,0,0,0.026
88,76,Pass,114,50,4,0.012,0,0,0.006
88,76,Pass,114,52,3,0.017,0,0,0.001
88,76,Pass,114,54,3,0.018,0,0,0
88,76,Pass,114,56,3,0.014,0,0,0
88,76,Pass,114,58,2,0.007,0,0,0
88,76,Pass,114,60,2,0.003,0,0,0
88,76,Pass,114,62,3,0.001,0,0,0
88,76,Pass,114,64,3,0,0,0,0
88,76,Pass,114,66,2,0,0,0,0
88,76,Pass,114,68,3,0,0,0,0
88,76,Pass,114,70,3,0.002,0,0,0
88,76,Pass,114,72,2,0.006,0,0,0
88,76,Pass,114,74,2,0.014,0,0,0
88,76,Pass,114,76,2,0.022,0,0,0
88,76,Pass,114,78,2,0.025,0,0,0
88,76,Pass,114,80,2,0.02,0,0,0
88,76,Pass,112,4,1,0,0,0,0
88,76,Pass,112,6,2,0,0,0,0
88,76,Pass,112,8,2,0.002,0,0,0
88,76,Pass,112,10,3,0.011,0,0,0
88,76,Pass,112,12,3,0.035,0,0,0
88,76,Pass,112,14,3,0.081,0,0,0
88,76,Pass,112,16,3,0.136,0,0,0
88,76,Pass,112,18,3,0.176,0,0,0
88,76,Pass,112,20,3,0.179,0,0,0
88,76,Pass,112,22,4,0.142,1,0,0
88,76,Pass,112,24,4,0.087,1,0,0
88,76,Pass,112,26,5,0.04,1,0,0.001
88,76,Pass,112,28,5,0.014,1,0,0.008
88,76,Pass,112,30,3,0.005,1,0,0.059
88,76,Pass,112,32,4,0.005,1,0,0.102
88,76,Pass,112,34,3,0.01,1,0,0.077
88,76,Pass,112,36,3,0.014,1,0,0.05
88,76,Pass,112,38,3,0.017,1,0,0.036
88,76,Pass,112,40,3,0.016,1,0,0.038
88,76,Pass,112,42,4,0.013,1,0,0.053
88,76,Pass,112,44,4,0.011,1,0,0.065
88,76,Pass,112,46,4,0.011,1,0,0.044
88,76,Pass,112,48,4,0.021,0,0,0.013
88,76,Pass,112,50,4,0.04,0,0,0.002
88,76,Pass,112,52,3,0.06,0,0,0
88,76,Pass,112,54,3,0.064,0,0,0
88,76,Pass,112,56,3,0.048,0,0,0
88,76,Pass,112,58,2,0.025,0,0,0
88,76,Pass,112,60,2,0.009,0,0,0
88,76,Pass,112,62,3,0.002,0,0,0
88,76,Pass,112,64,4,0,0,0,0
88,76,Pass,112,66,4,0,0,0,0
88,76,Pass,112,68,5,0.001,0,0,0
88,76,Pass,112,70,5,0.005,0,0,0
88,76,Pass,112,72,4,0.016,0,0,0
88,76,Pass,112,74,3,0.037,0,0,0
88,76,Pass,112,76,2,0.06,0,0,0
88,76,Pass,112,78,2,0.068,0,0,0
88,76,Pass,112,80,2,0.054,0,0,0
88,76,Pass,110,4,1,0,0,0,0
88,76,Pass,110,6,2,0.001,0,0,0
88,76,Pass,110,8,2,0.004,0,0,0
88,76,Pass,110,10,3,0.018,0,0,0
88,76,Pass,110,12,3,0.056,0,0,0
88,76,Pass,110,14,3,0.123,0,0,0
88,76,Pass,110,16,3,0.19,0,0,0
88,76,Pass,110,18,3,0.211,0,0,0
88,76,Pass,110,20,3,0.173,0,0,0
88,76,Pass,110,22,3,0.108,0,0,0
88,76,Pass,110,24,4,0.052,1,0,0
88,76,Pass,110,26,5,0.02,1,0,0.001
88,76,Pass,110,28,5,0.006,1,0,0.008
88,76,Pass,110,30,4,0.002,1,0,0.059
88,76,Pass,110,32,4,0.003,1,0,0.092
88,76,Pass,110,34,3,0.005,1,0,0.066
88,76,Pass,110,36,3,0.008,1,0,0.044
88,76,Pass,110,38,3,0.01,1,0,0.037
88,76,Pass,110,40,3,0.011,1,0,0.046
88,76,Pass,110,42,4,0.01,1,0,0.062
88,76,Pass,110,44,4,0.011,1,0,0.06
88,76,Pass,110,46,4,0.019,1,0,0.025
88,76,Pass,110,48,4,0.046,0,0,0.005
88,76,Pass,110,50,4,0.096,0,0,0.001
88,76,Pass,110,52,3,0.146,0,0,0
88,76,Pass,110,54,3,0.156,0,0,0
88,76,Pass,110,56,3,0.116,0,0,0
88,76,Pass,110,58,2,0.06,0,0,0
88,76,Pass,110,60,3,0.022,0,0,0
