x,y,WeightedExpectedGoals,GoalProbability
0,0,0,0
0,2,0,0
0,4,0,0
0,6,0,0
0,8,0,0
0,10,0,0
0,12,0,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0.000268871667518013,0.001
0,26,0.000978103668476608,0.006
0,28,0.00248065038061231,0.044
0,30,0.0043861861226509,0.132
0,32,0.00540691295641732,0.14
0,34,0.00464678441974138,0.092
0,36,0.00278417478398021,0.038
0,38,0.00116300422341645,0.011
0,40,0.000338693539576513,0.003
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
2,0,0,0
2,2,0,0
2,4,0,0
2,6,0,0
2,8,0,0
2,10,0,0
2,12,0,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0.000232745541625433,0
2,24,0.00121445210753438,0.002
2,26,0.00441794433952006,0.015
2,28,0.0112047175167266,0.081
2,30,0.0198117303688555,0.15
2,32,0.0244221970123946,0.142
2,34,0.0209888129303723,0.094
2,36,0.0125756907202665,0.04
2,38,0.00525311180325414,0.012
2,40,0.00152982680080793,0.003
2,42,0.000310605191786054,0.001
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
4,0,0,0
4,2,0,0
4,4,0,0
4,6,0,0
4,8,0,0
4,10,0,0
4,12,0,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0.0000979263010160932,0
4,22,0.000732921644922842,0
4,24,0.00382434065167436,0.004
4,26,0.0139122193700692,0.029
4,28,0.0352839411483605,0.106
4,30,0.0623876440738777,0.151
4,32,0.0769061210880698,0.14
4,34,0.0660943070723265,0.095
4,36,0.0396011707221954,0.042
4,38,0.0165421830077449,0.012
4,40,0.00481746360194372,0.003
4,42,0.000978103668476603,0.001
4,44,0.000138449744403946,0
4,46,0,0
4,48,0,0
4,50,0,0
4,52,0,0
4,54,0,0
4,56,0,0
6,0,0,0
6,2,0,0
