x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
90,42,Run,120,42,1,0,1,0,0.126
90,42,Run,120,44,1,0,1,0,0.126
90,42,Run,120,46,1,0,1,0,0.126
90,42,Run,120,48,1,0,1,0,0.126
90,42,Run,120,50,1,0,1,0,0.126
90,42,Run,120,52,1,0,1,0,0.126
90,42,Run,118,40,1,0,1,0,0.126
90,42,Run,118,42,1,0.001,1,0,0.126
90,42,Run,118,44,1,0.002,1,0,0.126
90,42,Run,118,46,1,0.002,1,0,0.126
90,42,Run,118,48,2,0.003,1,0,0.126
90,42,Run,118,50,2,0.002,1,0,0.126
90,42,Run,118,52,2,0.001,1,0,0.126
90,42,Run,118,54,2,0,1,0,0.127
90,42,Run,116,38,1,0,1,0,0.126
90,42,Run,116,40,1,0.001,1,0,0.126
90,42,Run,116,42,1,0.004,1,0,0.126
90,42,Run,116,44,2,0.008,1,0,0.126
90,42,Run,116,46,2,0.012,1,0,0.126
90,42,Run,116,48,2,0.013,1,0,0.126
90,42,Run,116,50,2,0.009,1,0,0.126
90,42,Run,116,52,2,0.005,1,0,0.127
90,42,Run,116,54,2,0.002,1,0,0.128
90,42,Run,116,56,3,0,1,0,0.129
90,42,Run,114,36,1,0,1,0,0.126
90,42,Run,114,38,1,0.001,1,0,0.126
90,42,Run,114,40,1,0.005,1,0,0.126
90,42,Run,114,42,2,0.014,1,0,0.126
90,42,Run,114,44,2,0.03,1,0,0.126
90,42,Run,114,46,2,0.044,1,0,0.126
90,42,Run,114,48,2,0.046,1,0,0.126
90,42,Run,114,50,2,0.033,1,0,0.127
90,42,Run,114,52,3,0.017,1,0,0.127
90,42,Run,114,54,3,0.006,1,0,0.128
90,42,Run,114,56,4,0.002,1,0,0.13
90,42,Run,114,58,4,0,1,0,0.127
90,42,Run,112,36,1,0,1,0,0.126
90,42,Run,112,38,1,0.003,1,0,0.126
90,42,Run,112,40,2,0.011,1,0,0.126
90,42,Run,112,42,2,0.034,1,0,0.126
90,42,Run,112,44,2,0.073,1,0,0.126
90,42,Run,112,46,2,0.109,1,0.001,0.126
90,42,Run,112,48,2,0.113,1,0.001,0.126
90,42,Run,112,50,3,0.083,1,0.001,0.127
90,42,Run,112,52,3,0.043,1,0,0.128
90,42,Run,112,54,4,0.016,1,0,0.129
90,42,Run,112,56,4,0.004,1,0,0.131
90,42,Run,112,58,4,0.001,1,0,0.127
90,42,Run,110,36,1,0.001,1,0,0.126
90,42,Run,110,38,1,0.004,1,0,0.126
90,42,Run,110,40,2,0.019,1,0,0.126
90,42,Run,110,42,2,0.059,1,0,0.126
90,42,Run,110,44,2,0.125,1,0.001,0.126
90,42,Run,110,46,2,0.187,1,0.001,0.126
90,42,Run,110,48,3,0.195,1,0.001,0.127
90,42,Run,110,50,3,0.143,1,0.001,0.127
90,42,Run,110,52,3,0.075,1,0.001,0.128
90,42,Run,110,54,3,0.028,1,0,0.13
90,42,Run,110,56,4,0.008,1,0,0.132
90,42,Run,110,58,4,0.002,1,0,0.122
90,42,Run,110,60,4,0.001,1,0,0.075
90,42,Run,108,34,1,0,1,0,0.126
90,42,Run,108,36,1,0.001,1,0,0.126
90,42,Run,108,38,1,0.005,1,0,0.126
90,42,Run,108,40,2,0.023,1,0,0.126
90,42,Run,108,42,2,0.07,1,0,0.126
90,42,Run,108,44,2,0.15,1,0.001,0.126
90,42,Run,108,46,2,0.225,1,0.002,0.126
90,42,Run,108,48,3,0.236,1,0.002,0.127
90,42,Run,108,50,3,0.174,1,0.001,0.128
90,42,Run,108,52,3,0.092,1,0.001,0.129
90,42,Run,108,54,3,0.036,1,0,0.132
90,42,Run,108,56,4,0.011,1,0,0.132
90,42,Run,108,58,4,0.003,1,0,0.112
90,42,Run,108,60,4,0.001,1,0,0.064
90,42,Run,106,36,1,0.001,1,0,0.126
90,42,Run,106,38,1,0.004,1,0,0.126
90,42,Run,106,40,2,0.019,1,0,0.126
90,42,Run,106,42,2,0.059,1,0,0.126
90,42,Run,106,44,2,0.126,1,0.001,0.126
90,42,Run,106,46,2,0.189,1,0.001,0.127
90,42,Run,106,48,3,0.199,1,0.001,0.127
90,42,Run,106,50,3,0.149,1,0.001,0.129
90,42,Run,106,52,3,0.08,1,0.001,0.131
90,42,Run,106,54,3,0.033,1,0,0.134
90,42,Run,106,56,4,0.011,1,0,0.129
90,42,Run,106,58,4,0.004,1,0,0.096
90,42,Run,106,60,4,0.002,1,0,0.052
90,42,Run,104,36,1,0,1,0,0.126
90,42,Run,104,38,1,0.003,1,0,0.126
90,42,Run,104,40,2,0.011,1,0,0.126
90,42,Run,104,42,2,0.034,1,0,0.126
90,42,Run,104,44,2,0.074,1,0,0.126
90,42,Run,104,46,2,0.111,1,0.001,0.127
90,42,Run,104,48,3,0.118,1,0.001,0.128
90,42,Run,104,50,3,0.089,1,0.001,0.13
90,42,Run,104,52,3,0.05,1,0,0.133
90,42,Run,104,54,3,0.022,1,0,0.135
90,42,Run,104,56,3,0.009,1,0,0.122
90,42,Run,104,58,4,0.004,1,0,0.079
90,42,Run,102,36,1,0,1,0,0.126
90,42,Run,102,38,1,0.001,1,0,0.126
90,42,Run,102,40,2,0.005,1,0,0.126
