x,y,WeightedExpectedGoals,GoalProbability
0,0,0.132220115126048,0.006
0,2,0.110722016405646,0.005
0,4,0.0654314202751565,0.004
0,6,0.0286290347336095,0.003
0,8,0.011248361814419,0.001
0,10,0.00581777944234369,0.001
0,12,0.00460655585175183,0.001
0,14,0.00567058529562711,0.001
0,16,0.00920413744783703,0.001
0,18,0.0133233613298407,0.002
0,20,0.0146829464065117,0.002
0,22,0.0127873093784338,0.001
0,24,0.0128290775690973,0.001
0,26,0.0256276473648779,0.002
0,28,0.0654810277782988,0.003
0,30,0.138468628976659,0.005
0,32,0.230045252999631,0.006
0,34,0.309565079499827,0.006
0,36,0.352386676250823,0.006
0,38,0.348331797612903,0.005
0,40,0.301374015939538,0.004
0,42,0.231932806075821,0.004
0,44,0.162439659009317,0.003
0,46,0.103124985344465,0.002
0,48,0.0586740819497281,0.002
0,50,0.0342515794098238,0.002
0,52,0.0308597880785692,0.002
0,54,0.0402881457049117,0.003
0,56,0.0476300883424548,0.004
0,58,0.042969435720143,0.003
0,60,0.0293729106791064,0.003
0,62,0.0155429006311094,0.002
0,64,0.00667032972696543,0.001
0,66,0.00328709354335577,0
0,68,0.00535579177692364,0
0,70,0.014226234174117,0.001
0,72,0.0293273933769135,0.003
0,74,0.0423707179751546,0.005
0,76,0.0426775035088118,0.008
0,78,0.0299690526737059,0.008
0,80,0.0146719503340117,0.007
2,0,0.110673358731692,0.005
2,2,0.0933437215467428,0.005
2,4,0.0571134842470491,0.003
2,6,0.0291596519539038,0.002
2,8,0.0173293711655615,0.001
2,10,0.013703258039434,0.001
2,12,0.0119668951579484,0.001
2,14,0.0125672734971254,0.001
2,16,0.0171446681477536,0.001
2,18,0.023206868080231,0.002
2,20,0.0255576291337924,0.002
2,22,0.0234464145571136,0.001
2,24,0.0242923880373819,0.001
2,26,0.0459281017707506,0.002
2,28,0.112471483541173,0.003
2,30,0.24138970631236,0.004
2,32,0.417776440899936,0.005
2,34,0.591907121289961,0.006
2,36,0.703344305373858,0.006
2,38,0.711811757456906,0.005
2,40,0.625505121446594,0.004
2,42,0.495004455370549,0.004
2,44,0.362918690189113,0.003
2,46,0.24280499996294,0.003
2,48,0.143606161474779,0.002
2,50,0.0804605464512836,0.002
2,52,0.059733167383766,0.002
