x,y,WeightedExpectedGoals,GoalProbability
0,0,0.132127778535866,0.007
0,2,0.110322614544716,0.006
0,4,0.0642208105915003,0.006
0,6,0.0260632064993651,0.006
0,8,0.00737429881692418,0.005
0,10,0.00145463637535801,0.002
0,12,0.000200045589205287,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0.0000876773260433158,0
0,66,0.000536187093286161,0.002
0,68,0.00228605271084149,0.024
0,70,0.00679511715747005,0.098
0,72,0.0140814858415926,0.15
0,74,0.0203442105337234,0.165
0,76,0.0204915129582205,0.17
0,78,0.0143895771945058,0.172
0,80,0.00704470589123593,0.174
2,0,0.110322614544716,0.007
2,2,0.0921159760260267,0.006
2,4,0.0536223934977616,0.006
2,6,0.0217619725109378,0.006
2,8,0.00615731176995642,0.003
2,10,0.00121457644955245,0.001
2,12,0.000167031888932233,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0.0000172223758632175,0
2,28,0.0000317990145109538,0
2,30,0.0000409331421361723,0
2,32,0.0000367347705020674,0
2,34,0.0000229837242881118,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0,0
2,64,0.000235577298050902,0
2,66,0.00144066330927699,0.003
2,68,0.00614231917332787,0.023
2,70,0.0182575748159253,0.081
2,72,0.0378350770581845,0.132
2,74,0.0546621842247507,0.155
2,76,0.0550579662213666,0.165
2,78,0.0386628774912892,0.17
2,80,0.0189281865028678,0.172
4,0,0.0642208105915003,0.006
4,2,0.0536223934977616,0.006
4,4,0.0312145754566654,0.006
4,6,0.0126680420010886,0.005
4,8,0.003584283735144,0.002
4,10,0.000707027153385579,0
4,12,0.0000972323158413693,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0.0000519361962412228,0
4,26,0.000137546616637258,0
4,28,0.000253963035827256,0
4,30,0.000326912805403763,0
4,32,0.000293382483092642,0
4,34,0.000183559663234684,0
4,36,0.0000800683998563386,0
4,38,0.0000243492658412503,0
4,40,0,0
4,42,0,0
4,44,0,0
4,46,0,0
4,48,0,0
4,50,0,0
4,52,0,0
4,54,0,0
4,56,0,0
4,58,0,0
4,60,0.0000855866172110226,0
4,62,0.000297702722048444,0
4,64,0.000854937300335159,0.001
4,66,0.00318908624297221,0.003
4,68,0.0119189235328777,0.017
4,70,0.0344477923469889,0.056
4,72,0.0709319770706771,0.105
4,74,0.102393867346155,0.138
4,76,0.103135250988873,0.156
4,78,0.0724237716661012,0.165
4,80,0.0354565088344997,0.17
6,0,0.0260632064993651,0.006
6,2,0.0217619725109378,0.006
6,4,0.0126680420010886,0.005
6,6,0.00514116517023067,0.003
6,8,0.00145463637535801,0.001
6,10,0.000286938058389838,0
6,12,0,0
6,14,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0.0000761252733001604,0
6,24,0.00028917970674508,0
6,26,0.000765856823210507,0
6,28,0.00141406112768661,0.001
6,30,0.00182024399243232,0.001
6,32,0.0016335478253129,0.001
6,34,0.00102205655065474,0
6,36,0.000445819256428832,0
6,38,0.000135576227468155,0
6,40,0.0000287441249351886,0
6,42,0,0
6,44,0,0
6,46,0,0
6,48,0,0
6,50,0,0
6,52,0,0
6,54,0,0
6,56,0,0
6,58,0.00019763103622129,0
6,60,0.000778509354869428,0
6,62,0.00190931025005089,0.001
6,64,0.00366627793199764,0.002
6,66,0.00719771527611833,0.004
6,68,0.0181291988900749,0.011
6,70,0.0465289749865104,0.033
6,72,0.0933548237355857,0.071
6,74,0.13396448509907,0.11
6,76,0.134689865565886,0.139
6,78,0.0945820946374002,0.155
6,80,0.0463045599110401,0.164
8,0,0.00737429881692418,0.006
8,2,0.00615731176995642,0.005
8,4,0.003584283735144,0.003
8,6,0.00145463637535801,0.001
8,8,0.000411573430234641,0
8,10,0.0000811859808794535,0
8,12,0,0
8,14,0,0
8,16,0,0
8,18,0,0
8,20,0.0000542337007145038,0
8,22,0.000295506721386031,0
8,24,0.00112255159590255,0
8,26,0.00297293959110924,0.001
8,28,0.00548917001630288,0.002
8,30,0.00706591005861336,0.003
8,32,0.00634118396110218,0.003
8,34,0.00396746792834781,0.001
8,36,0.00173060248044804,0
8,38,0.000526286274454885,0
8,40,0.000111580316897071,0
8,42,0.0000164927836527473,0
8,44,0,0
8,46,0,0
8,48,0,0
8,50,0,0
8,52,0,0
8,54,0,0
8,56,0.000221812534277151,0
8,58,0.00120177819418279,0
8,60,0.00403749487487603,0.001
8,62,0.00964135603794969,0.003
8,64,0.0166232387492617,0.005
8,66,0.0223995987944202,0.007
8,68,0.0299406496174879,0.01
8,70,0.0504680268869858,0.018
8,72,0.0884773607402824,0.039
8,74,0.123034526093557,0.072
8,76,0.122910464811573,0.107
8,78,0.0861147494259085,0.133
8,80,0.0421592013721318,0.15
10,0,0.00145463637535801,0.004
10,2,0.00121457644955245,0.002
10,4,0.000707027153385579,0.001
10,6,0.000286938058389838,0
10,8,0.0000811859808794535,0
10,10,0,0
10,12,0,0
10,14,0,0
10,16,0,0
10,18,0.0000187798130723072,0
10,20,0.000146773808551044,0
10,22,0.000799736075149685,0
