Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000900104221209987,0,0,0,0,34,74,Shot
2,0.00252698189063515,0,0,0,0,36,74,Shot
2,0.0022030185736537,0,0,0,0,38,74,Shot
1,0.000628986980629699,0,0,0,0,40,74,Shot
1,0.000978979358427258,0,0,0,0,54,74,Shot
1,0.00282569761925659,0,0,0,0,56,74,Shot
1,0.00300042900161286,0,0,0,0,58,74,Shot
1,0.00117205108604696,0,0,0,0,60,74,Shot
1,0.00040444289731382,0,0,0,0,30,76,Shot
2,0.00553352705643083,0,0,0,0,32,76,Shot
3,0.0294863980740165,0,0,0,0,34,76,Shot
4,0.0638336227662579,0,0,0,0,36,76,Shot
5,0.0610993850951837,0,0,0,0,38,76,Shot
5,0.0290101957727235,0,0,0,0,40,76,Shot
4,0.00894349131373158,0,0,0,0,42,76,Shot
2,0.00197286331840883,0,0,0,0,44,76,Shot
1,0.00222277247425668,0,0,0,0,52,76,Shot
1,0.0174398057282247,0,0,0,0,54,76,Shot
1,0.0503377493124169,0,0,0,0,56,76,Shot
1,0.0534504618907627,0,0,0,0,58,76,Shot
1,0.0208792382273017,0,0,0,0,60,76,Shot
1,0.00300042900161286,0,0,0,0,62,76,Shot
1,0.000425689649285753,0,0,0,0,26,78,Shot
1,0.00045201282709769,0,0,0,0,28,78,Shot
1,0.00336946938344018,0,0,0,0,30,78,Shot
3,0.0485453550403877,0,0,0,0,32,78,Shot
4,0.255223677737844,0,0,0,0,34,78,Shot
6,0.571278008984953,0,0,0,0,36,78,Shot
7,0.584677621038473,0,0,0,0,38,78,Shot
7,0.332629050241745,0,0,0,0,40,78,Shot
7,0.142969311068177,0,0,0,0,42,78,Shot
6,0.0424838138584088,0,0,0,0,44,78,Shot
3,0.00644774691994933,0,0,0,0,46,78,Shot
1,0.000683010722086909,0,0,0,0,50,78,Shot
2,0.0149726894051292,0,0,0,0,52,78,Shot
3,0.115564100937826,0,0,0,0,54,78,Shot
2,0.332617193796544,0,0,0,0,56,78,Shot
2,0.353687793369192,0,0,0,0,58,78,Shot
2,0.138390738270713,0,0,0,0,60,78,Shot
1,0.0196633260507293,0,0,0,0,62,78,Shot
1,0.00103951606109159,0,0,0,0,64,78,Shot
1,0.000563242665773447,0,0,0,0,22,80,Shot
1,0.00441918495154175,0,0,0,0,24,80,Shot
1,0.0127554072403396,0,0,0,0,26,80,Shot
2,0.0142454399030227,0,0,0,0,28,80,Shot
6,0.021045546996824,0,0,0,0,30,80,Shot
5,0.161296935093278,0,0,0,0,32,80,Shot
8,0.838124750282425,0,0,0,0,34,80,Shot
11,1.96512529536202,0,0,0,0,36,80,Shot
11,2.25096925763858,0,0,0,0,38,80,Shot
12,1.62399572167634,0,0,0,0,40,80,Shot
13,0.905693657401219,0,0,0,0,42,80,Shot
12,0.322335047863074,0,0,0,0,44,80,Shot
10,0.0663313288143038,0,0,0,0,46,80,Shot
9,0.017175821101282,0,0,0,0,48,80,Shot
7,0.0146188374590644,0,0,0,0,50,80,Shot
7,0.0531483148351202,0,0,0,0,52,80,Shot
5,0.304763497761927,0,0,0,0,54,80,Shot
4,0.849246415993125,0,0,0,0,56,80,Shot
3,0.904798129295915,0,0,0,0,58,80,Shot
2,0.357103330726805,0,0,0,0,60,80,Shot
2,0.0519957344586364,0,0,0,0,62,80,Shot
1,0.00250616896650169,0,0,0,0,64,80,Shot
1,0.00620872324992346,0,0,0,0,22,82,Shot
1,0.0487134551795217,0,0,0,0,24,82,Shot
3,0.14352105902801,0,0,0,0,26,82,Shot
5,0.169561157165781,0,0,0,0,28,82,Shot
7,0.140688105288854,0,0,0,0,30,82,Shot
11,0.306648558836548,0,0,0,0,32,82,Shot
16,1.13614391881501,0,0,0,0,34,82,Shot
15,2.77700879484745,0,0,0,0,36,82,Shot
17,3.83277035549229,0,0,0,0,38,82,Shot
18,3.67148168997125,0,0,0,0,40,82,Shot
19,2.57610103941836,0,0,0,0,42,82,Shot
19,1.14322450036358,0,0,0,0,44,82,Shot
17,0.401974376615277,0,0,0,0,46,82,Shot
19,0.247103902033278,0,0,0,0,48,82,Shot
16,0.223536983108059,0,0,0,0,50,82,Shot
12,0.276054860817411,0,0,0,0,52,82,Shot
9,0.533801246073697,0,0,0,0,54,82,Shot
7,1.09023938252494,0,0,0,0,56,82,Shot
4,1.14229577028181,0,0,0,0,58,82,Shot
3,0.467986295673089,0,0,0,0,60,82,Shot
2,0.0715268964174401,0,0,0,0,62,82,Shot
2,0.004051746703048,0,0,0,0,64,82,Shot
2,0.00298731661009617,0,0,0,0,20,84,Shot
2,0.0292799450310678,0,0,0,0,22,84,Shot
5,0.205935351753441,0,0,0,0,24,84,Shot
7,0.608892611942751,0,0,0,0,26,84,Shot
10,0.788069402612321,0,0,0,0,28,84,Shot
15,0.750111305314421,0,0,0,0,30,84,Shot
21,0.862967211287359,0,0,0,0,32,84,Shot
24,1.13886467834841,0,0,0,0,34,84,Shot
28,2.29781831741329,0,0,0,0,36,84,Shot
27,4.01082854527173,1,0.00108280541425622,0.000269970506600865,0.0000575943307130756,38,84,Shot
27,4.93709812569271,1,0.00266327156568218,0.00053944067909497,0.000141659195006883,40,84,Shot
34,4.17665648311257,1,0.00240982776702045,0.00057697533344293,0.00012817854025108,42,84,Shot
34,2.50109850639892,1,0.000802161980333819,0.000320723865246224,0.0000426669296002149,44,84,Shot
28,1.73542237383191,0,0,0,0,46,84,Shot
23,1.63229176619697,0,0,0,0,48,84,Shot
20,1.49013687825444,0,0,0,0,50,84,Shot
17,1.44535079188601,0,0,0,0,52,84,Shot
13,1.37138815061939,0,0,0,0,54,84,Shot
10,1.36744620153534,0,0,0,0,56,84,Shot
8,1.21037627540065,0,0,0,0,58,84,Shot
4,0.512132653739131,0,0,0,0,60,84,Shot
3,0.0841358548807098,0,0,0,0,62,84,Shot
3,0.00628102864352658,0,0,0,0,64,84,Shot
1,0.000748230105218444,0,0,0,0,66,84,Shot
2,0.00593774931038309,0,0,0,0,18,86,Shot
5,0.0363189873200324,0,0,0,0,20,86,Shot
7,0.120554144584209,0,0,0,0,22,86,Shot
8,0.411022451698415,0,0,0,0,24,86,Shot
16,1.11121627638761,0,0,0,0,26,86,Shot
18,1.72102172923745,0,0,0,0,28,86,Shot
21,2.22922303725471,0,0,0,0,30,86,Shot
26,2.53245937363441,0,0,0,0,32,86,Shot
34,2.08551327912749,0,0,0,0,34,86,Shot
