x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
106,54,Run,120,68,29,0.003,1,0,0.008
106,54,Run,120,70,29,0.018,1,0,0.008
106,54,Run,120,72,29,0.083,1,0,0.008
106,54,Run,120,74,29,0.273,1,0,0.008
106,54,Run,120,76,30,0.627,1,0,0.008
106,54,Run,120,78,30,1.002,1,0,0.008
106,54,Run,120,80,30,1.117,1,0,0.008
106,54,Run,118,68,29,0.002,1,0,0.008
106,54,Run,118,70,29,0.016,1,0,0.008
106,54,Run,118,72,30,0.077,1,0,0.008
106,54,Run,118,74,30,0.255,1,0,0.008
106,54,Run,118,76,30,0.584,1,0,0.008
106,54,Run,118,78,30,0.934,1,0,0.008
106,54,Run,118,80,30,1.041,1,0,0.008
106,54,Run,116,68,29,0.002,1,0,0.008
106,54,Run,116,70,30,0.011,1,0,0.008
106,54,Run,116,72,30,0.05,1,0,0.008
106,54,Run,116,74,30,0.166,1,0,0.008
106,54,Run,116,76,30,0.379,1,0,0.008
106,54,Run,116,78,30,0.607,1,0,0.008
106,54,Run,116,80,30,0.676,1,0,0.008
106,54,Run,114,68,29,0.001,1,0,0.008
106,54,Run,114,70,30,0.005,1,0,0.008
106,54,Run,114,72,30,0.023,1,0,0.008
106,54,Run,114,74,30,0.075,1,0,0.008
106,54,Run,114,76,30,0.172,1,0,0.008
106,54,Run,114,78,30,0.275,1,0,0.008
106,54,Run,114,80,30,0.306,1,0,0.008
106,54,Run,112,70,30,0.002,1,0,0.007
106,54,Run,112,72,30,0.007,1,0,0.007
106,54,Run,112,74,30,0.024,1,0,0.008
106,54,Run,112,76,30,0.054,1,0,0.008
106,54,Run,112,78,30,0.087,1,0,0.008
106,54,Run,112,80,30,0.097,1,0,0.008
106,54,Run,110,72,30,0.002,1,0,0.007
106,54,Run,110,74,30,0.005,1,0,0.007
106,54,Run,110,76,30,0.012,1,0,0.007
106,54,Run,110,78,30,0.02,1,0,0.007
106,54,Run,110,80,30,0.022,1,0,0.007
106,54,Run,108,74,30,0.001,1,0,0.006
106,54,Run,108,76,30,0.002,1,0,0.006
106,54,Run,108,78,30,0.004,1,0,0.006
106,54,Run,108,80,30,0.004,1,0,0.006
106,54,Pass,102,46,154,3.666,8,0.007,0.039
106,54,Pass,102,48,163,3.671,8,0.006,0.034
106,54,Pass,100,42,119,2.603,9,0.004,0.03
106,54,Pass,100,44,128,2.72,8,0.005,0.033
106,54,Pass,100,46,138,2.75,8,0.005,0.033
106,54,Pass,100,48,149,2.823,8,0.004,0.027
106,54,Pass,100,50,154,2.878,6,0.003,0.021
106,54,Pass,100,52,160,2.693,6,0.002,0.017
106,54,Pass,100,54,157,2.168,4,0.002,0.014
106,54,Pass,98,40,91,1.883,5,0.002,0.025
106,54,Pass,98,42,108,2.107,7,0.003,0.026
106,54,Pass,98,44,113,2.096,8,0.003,0.027
106,54,Pass,98,46,124,2.101,8,0.003,0.024
106,54,Pass,98,48,126,2.306,7,0.002,0.017
106,54,Pass,98,50,137,2.602,4,0.001,0.011
106,54,Pass,98,52,140,2.628,4,0.001,0.008
106,54,Pass,98,54,138,2.162,4,0.001,0.006
106,54,Pass,98,56,133,1.436,4,0,0.005
106,54,Pass,96,38,61,1.006,4,0.001,0.024
106,54,Pass,96,40,76,1.453,4,0.002,0.024
106,54,Pass,96,42,77,1.702,4,0.002,0.025
106,54,Pass,96,44,88,1.757,5,0.002,0.024
106,54,Pass,96,46,96,1.811,5,0.002,0.019
106,54,Pass,96,48,104,2.062,3,0.001,0.011
106,54,Pass,96,50,110,2.46,4,0.001,0.005
106,54,Pass,96,52,108,2.631,3,0,0.003
106,54,Pass,96,54,109,2.255,3,0,0.002
106,54,Pass,96,56,105,1.52,3,0,0.002
106,54,Pass,96,58,99,0.914,2,0,0.002
106,54,Pass,94,36,44,0.326,4,0,0.024
106,54,Pass,94,38,49,0.674,4,0.001,0.024
106,54,Pass,94,40,63,1.101,4,0.001,0.025
106,54,Pass,94,42,67,1.474,3,0.002,0.027
106,54,Pass,94,44,72,1.697,4,0.002,0.026
106,54,Pass,94,46,75,1.807,4,0.002,0.02
106,54,Pass,94,48,80,1.962,3,0.001,0.011
106,54,Pass,94,50,89,2.229,3,0.001,0.005
106,54,Pass,94,52,88,2.364,3,0,0.002
106,54,Pass,94,54,86,2.066,3,0,0.001
106,54,Pass,94,56,80,1.45,3,0,0.001
106,54,Pass,94,58,69,0.951,2,0,0.001
106,54,Pass,92,36,36,0.204,4,0,0.02
106,54,Pass,92,38,42,0.486,3,0.001,0.021
106,54,Pass,92,40,51,0.918,3,0.001,0.024
106,54,Pass,92,42,52,1.381,2,0.002,0.025
106,54,Pass,92,44,58,1.698,2,0.002,0.025
106,54,Pass,92,46,63,1.795,3,0.002,0.02
106,54,Pass,92,48,68,1.79,3,0.001,0.012
106,54,Pass,92,50,74,1.821,3,0,0.005
106,54,Pass,92,52,74,1.809,3,0,0.002
106,54,Pass,92,54,68,1.563,3,0,0.001
