x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
18,2,Pass,34,0,3,0.043,0,0,0
18,2,Pass,34,2,3,0.075,0,0,0
18,2,Pass,34,4,3,0.103,0,0,0
18,2,Pass,34,6,3,0.125,0,0,0
18,2,Pass,32,0,3,0.055,0,0,0
18,2,Pass,32,2,3,0.093,0,0,0
18,2,Pass,32,4,3,0.116,0,0,0
18,2,Pass,32,6,3,0.118,0,0,0
18,2,Pass,32,8,3,0.107,0,0,0
18,2,Pass,32,10,3,0.088,0,0,0
18,2,Pass,30,0,3,0.05,0,0,0
18,2,Pass,30,2,3,0.083,0,0,0
18,2,Pass,30,4,3,0.099,0,0,0
18,2,Pass,30,6,3,0.089,0,0,0
18,2,Pass,30,8,3,0.067,0,0,0
18,2,Pass,30,10,3,0.045,0,0,0
18,2,Pass,30,12,3,0.027,0,0,0
18,2,Pass,28,0,3,0.032,0,0,0
18,2,Pass,28,2,3,0.053,0,0,0
18,2,Pass,28,4,3,0.061,0,0,0
18,2,Pass,28,6,3,0.051,0,0,0
18,2,Pass,28,8,3,0.034,0,0,0
18,2,Pass,28,10,3,0.019,0,0,0
18,2,Pass,28,12,3,0.01,0,0,0
18,2,Pass,28,14,3,0.004,0,0,0
18,2,Pass,26,0,2,0.015,0,0,0
18,2,Pass,26,2,3,0.024,0,0,0
18,2,Pass,26,4,3,0.027,0,0,0
18,2,Pass,26,6,3,0.022,0,0,0
18,2,Pass,26,8,3,0.013,0,0,0
18,2,Pass,26,10,3,0.006,0,0,0
18,2,Pass,26,12,3,0.003,0,0,0
18,2,Pass,26,14,3,0.001,0,0,0
18,2,Pass,26,16,2,0,0,0,0
18,2,Pass,24,0,2,0.005,0,0,0
18,2,Pass,24,2,2,0.008,0,0,0
18,2,Pass,24,4,3,0.01,0,0,0
18,2,Pass,24,6,3,0.008,0,0,0
18,2,Pass,24,8,3,0.004,0,0,0
18,2,Pass,24,10,3,0.002,0,0,0
18,2,Pass,24,12,3,0.001,0,0,0
18,2,Pass,24,14,3,0,0,0,0
18,2,Pass,24,16,1,0,0,0,0
18,2,Pass,22,0,2,0.002,0,0,0
18,2,Pass,22,2,2,0.003,0,0,0
18,2,Pass,22,4,2,0.003,0,0,0
18,2,Pass,22,6,2,0.003,0,0,0
18,2,Pass,22,8,2,0.001,0,0,0
18,2,Pass,22,10,2,0.001,0,0,0
18,2,Pass,22,12,2,0,0,0,0
18,2,Pass,22,14,1,0,0,0,0
18,2,Pass,22,16,1,0,0,0,0
18,2,Pass,20,0,2,0.001,0,0,0
18,2,Pass,20,2,2,0.002,0,0,0
18,2,Pass,20,4,2,0.002,0,0,0
18,2,Pass,20,6,2,0.001,0,0,0
18,2,Pass,20,8,2,0.001,0,0,0
18,2,Pass,20,10,2,0,0,0,0
18,2,Pass,20,12,1,0,0,0,0
18,2,Pass,20,14,1,0,0,0,0
18,2,Pass,20,16,1,0,0,0,0
18,2,Pass,18,0,1,0.001,0,0,0
18,2,Pass,18,2,1,0.001,0,0,0
