x,y,WeightedExpectedGoals,GoalProbability
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0.00000343788360500504,0
2,54,0.00000468832877494428,0
2,56,0.00000445744276086447,0
2,58,0.00000295457021435149,0
2,60,0,0
2,62,0,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0,0
4,44,0,0
4,46,0,0
4,48,0.00000533845225092164,0
4,50,0.0000149782337395826,0
4,52,0.0000292985865637422,0
4,54,0.0000399552231064515,0
4,56,0.0000379875491979963,0
4,58,0.0000251796573501808,0
4,60,0.0000116358785858403,0
4,62,0.00000374877496456419,0
4,64,0,0
4,66,0,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,14,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0,0
6,34,0,0
6,36,0,0
6,38,0,0
6,40,0,0
6,42,0,0
6,44,0,0
6,46,0.00000788147081628996,0
6,48,0.0000317184304020625,0
6,50,0.0000889932216463594,0
6,52,0.000174077641818454,0
6,54,0.000237394080481299,0
6,56,0.000225703139926662,0
6,58,0.000149605011278617,0.001
6,60,0.0000691346082618063,0.001
6,62,0.0000222733579355319,0
6,64,0.00000500284112296822,0
6,66,0,0
6,68,0,0
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
6,78,0,0
6,80,0,0
8,14,0,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0,0
8,28,0,0
8,30,0,0
8,32,0,0
8,34,0,0
8,36,0,0
8,38,0,0
8,40,0,0
8,42,0,0
8,44,0.00000565562793083745,0
8,46,0.0000326470859028536,0
8,48,0.000131385923538478,0
8,50,0.00036863288840141,0
8,52,0.000721074512445951,0
8,54,0.000983347539939273,0.001
8,56,0.000934920647361872,0.001
8,58,0.000619702561686262,0.002
8,60,0.000286373387327441,0.003
8,62,0.0000922619961192233,0.001
8,64,0.0000207230588943239,0
8,66,0.00000324508218963198,0
8,68,0,0
8,70,0,0
8,72,0,0
8,74,0,0
8,76,0,0
8,78,0,0
8,80,0,0
10,6,0,0
10,14,0,0
10,16,0,0
10,18,0,0
10,20,0,0
10,22,0,0
10,24,0,0
10,26,0,0
10,28,0,0
10,30,0,0
10,32,0,0
10,34,0,0
10,36,0,0
10,38,0,0
10,40,0,0
10,42,0,0
10,44,0.0000163327308622643,0
10,46,0.0000942806128707933,0
10,48,0.000379425760408225,0
10,50,0.0010645646826254,0
10,52,0.00208237106249567,0.001
10,54,0.00283978205608721,0.002
10,56,0.00269993137767716,0.003
10,58,0.00178962182068062,0.004
10,60,0.000827009753564442,0.005
10,62,0.000266440856763966,0.002
10,64,0.000059845546366012,0
10,66,0.00000937138274959652,0
10,68,0,0
10,70,0,0
10,72,0,0
10,74,0,0
10,76,0,0
10,78,0,0
10,80,0,0
12,0,0,0
12,2,0,0
12,4,0,0
12,6,0,0
12,8,0,0
12,10,0,0
12,12,0,0
12,16,0,0
12,18,0,0
12,20,0,0
12,22,0,0
12,24,0,0
12,26,0,0
12,28,0,0
12,30,0,0
12,32,0,0
12,34,0,0
12,36,0,0
12,38,0,0
12,40,0,0
12,42,0.00000397150248788929,0
12,44,0.0000328834673981337,0
12,46,0.000189819662477619,0
12,48,0.000763916011817893,0
12,50,0.00214333893881748,0.001
12,52,0.00419253715265717,0.002
12,54,0.00571746889400484,0.003
12,56,0.00543590084130834,0.005
12,58,0.00360313111699565,0.006
