x,y,WeightedExpectedGoals,GoalProbability
2,52,0.00000343788360500504,0.008
2,54,0.00000468832877494428,0.008
2,56,0.00000445744276086447,0.008
2,58,0.00000295457021435149,0.008
4,48,0.00000533845225092164,0.008
4,50,0.0000149782337395826,0.008
4,52,0.0000292985865637422,0.008
4,54,0.0000399552231064515,0.008
4,56,0.0000379875491979963,0.008
4,58,0.0000251796573501808,0.008
4,60,0.0000116358785858403,0.008
4,62,0.00000374877496456419,0.008
6,46,0.00000788147081628996,0.008
6,48,0.0000317184304020625,0.008
6,50,0.0000889932216463594,0.008
6,52,0.000174077641818454,0.008
6,54,0.000237394080481299,0.008
6,56,0.000225703139926662,0.008
6,58,0.000149605011278617,0.008
6,60,0.0000691346082618063,0.008
6,62,0.0000222733579355319,0.008
6,64,0.00000500284112296822,0.008
8,44,0.00000565562793083745,0.008
8,46,0.0000326470859028536,0.008
8,48,0.000131385923538478,0.008
8,50,0.00036863288840141,0.008
8,52,0.000721074512445951,0.008
8,54,0.000983347539939273,0.008
8,56,0.000934920647361872,0.008
8,58,0.000619702561686262,0.008
8,60,0.000286373387327441,0.008
8,62,0.0000922619961192233,0.008
8,64,0.0000207230588943239,0.008
8,66,0.00000324508218963198,0.008
10,44,0.0000163327308622643,0.008
10,46,0.0000942806128707933,0.008
10,48,0.000379425760408225,0.008
10,50,0.0010645646826254,0.008
10,52,0.00208237106249567,0.008
10,54,0.00283978205608721,0.008
10,56,0.00269993137767716,0.008
10,58,0.00178962182068062,0.008
10,60,0.000827009753564442,0.008
10,62,0.000266440856763966,0.008
10,64,0.000059845546366012,0.008
10,66,0.00000937138274959652,0.008
12,42,0.00000397150248788929,0.008
12,44,0.0000328834673981337,0.008
12,46,0.000189819662477619,0.008
12,48,0.000763916011817893,0.008
12,50,0.00214333893881748,0.008
12,52,0.00419253715265717,0.008
12,54,0.00571746889400484,0.008
12,56,0.00543590084130834,0.008
12,58,0.00360313111699565,0.008
12,60,0.00166505825012442,0.008
12,62,0.000536438107063379,0.008
12,64,0.000120489897828233,0.008
12,66,0.0000188678526402331,0.008
14,42,0.00000557460966741636,0.008
14,44,0.0000461569634703241,0.008
14,46,0.000266440856763966,0.008
14,48,0.00107227267200768,0.008
14,50,0.00300850320636006,0.008
14,52,0.00588486554231676,0.008
14,54,0.0080253398976494,0.008
14,56,0.00763011617731082,0.008
14,58,0.00505754424654729,0.008
14,60,0.00233716328927395,0.008
14,62,0.000752972726751421,0.008
14,64,0.000169125954549321,0.008
14,66,0.0000264839098181028,0.008
14,68,0.0000028913107090643,0.008
16,26,0,0
16,28,0,0
16,30,0,0
16,32,0,0
16,34,0,0
16,36,0,0
16,42,0.0000054552532046669,0.008
16,44,0.0000451687091853155,0.008
16,46,0.000260736163504246,0.008
16,48,0.00104931453128227,0.008
16,50,0.00294408895633993,0.008
16,52,0.00575886627478191,0.008
16,54,0.00785351151150348,0.008
16,56,0.00746674981955229,0.008
16,58,0.00494925853194468,0.008
16,60,0.00228712291699351,0.008
16,62,0.000736851030960383,0.008
16,64,0.000165504844391219,0.008
16,66,0.000025916869974194,0.008
18,24,0,0
18,26,0,0
18,28,0,0
18,30,0,0
18,32,0,0
18,34,0,0
18,36,0,0
18,38,0,0
18,40,0,0
18,42,0.00000372182704508652,0.008
18,44,0.0000308161907670462,0.008
18,46,0.000177886317748189,0.008
18,48,0.00071589109704159,0.008
18,50,0.00200859419164496,0.008
18,52,0.00392896597946798,0.008
18,54,0.00535803022257639,0.008
18,56,0.00509416343746072,0.008
18,58,0.0033766139840326,0.008
18,60,0.00156038145408566,0.008
18,62,0.000502713988212705,0.008
18,64,0.000112915089884574,0.008
18,66,0.0000176816921186036,0.008
20,22,0,0
20,24,0,0
20,26,0,0
20,28,0,0
20,30,0,0
20,32,0,0
20,34,0,0
20,36,0,0
20,38,0,0
20,40,0,0
20,42,0,0
20,44,0.000014657538820288,0.008
20,46,0.0000846105746067878,0.008
20,48,0.000340509364876036,0.008
20,50,0.000955375943795244,0.008
20,52,0.00186878942316344,0.008
20,54,0.0025485153756146,0.008
20,56,0.00242300870039135,0.008
20,58,0.0016060664644188,0.008
20,60,0.0007421862069395,0.008
20,62,0.000239112934282884,0.008
20,64,0.0000537073944632158,0.008
20,66,0.00000841019224588786,0.008
22,20,0,0
22,22,0,0
22,24,0,0
22,26,0,0
22,28,0,0
22,30,0,0
22,32,0,0
