Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000612231548368363,0,0,0,0,40,80,Shot
1,0.00113809439336496,0,0,0,0,42,80,Shot
1,0.000778298835663241,0,0,0,0,44,80,Shot
1,0.002913500499319,0,0,0,0,38,82,Shot
1,0.0147221811604129,0,0,0,0,40,82,Shot
1,0.0273674753962334,0,0,0,0,42,82,Shot
1,0.0187155602910527,0,0,0,0,44,82,Shot
1,0.00470843357772567,0,0,0,0,46,82,Shot
1,0.000435768246787603,0,0,0,0,48,82,Shot
1,0.00187640043440535,0,0,0,0,36,84,Shot
1,0.0257737177019121,0,0,0,0,38,84,Shot
1,0.130236923341383,0,0,0,0,40,84,Shot
1,0.24210106888309,0,0,0,0,42,84,Shot
1,0.165563578138207,0,0,0,0,44,84,Shot
1,0.0416522454274062,0,0,0,0,46,84,Shot
1,0.003854939368909,0,0,0,0,48,84,Shot
1,0.00610650916801976,0,0,0,0,36,86,Shot
1,0.0838773220016636,0,0,0,0,38,86,Shot
1,0.423839683585916,0,0,0,0,40,86,Shot
1,0.787887473065142,0,0,0,0,42,86,Shot
1,0.53880583763109,0,0,0,0,44,86,Shot
1,0.13555199301138,0,0,0,0,46,86,Shot
1,0.0125454152358812,0,0,0,0,48,86,Shot
1,0.00042713945737042,0,0,0,0,50,86,Shot
1,0.000780168996163766,0,0,0,0,30,88,Shot
1,0.00378768600167255,0,0,0,0,32,88,Shot
1,0.00676495276260124,0,0,0,0,34,88,Shot
2,0.011755709502882,0,0,0,0,36,88,Shot
2,0.101493778658042,0,0,0,0,38,88,Shot
1,0.507428228369113,0,0,0,0,40,88,Shot
1,0.943272562939755,0,0,0,0,42,88,Shot
1,0.645067704163332,0,0,0,0,44,88,Shot
1,0.16228519963899,0,0,0,0,46,88,Shot
1,0.0150195889479699,0,0,0,0,48,88,Shot
1,0.000511378774838295,0,0,0,0,50,88,Shot
1,0.00115252510528866,0,0,0,0,16,90,Shot
1,0.00190019265610532,0,0,0,0,18,90,Shot
1,0.00115252510528866,0,0,0,0,20,90,Shot
1,0.000845146984145161,0,0,0,0,28,90,Shot
1,0.0111535215149823,0,0,0,0,30,90,Shot
1,0.0541498540949248,0,0,0,0,32,90,Shot
1,0.0967137204330447,0,0,0,0,34,90,Shot
3,0.0673410146361479,0,0,0,0,36,90,Shot
3,0.0610035862992437,0,0,0,0,38,90,Shot
3,0.226134420941208,0,0,0,0,40,90,Shot
2,0.415873552126356,0,0,0,0,42,90,Shot
1,0.284108236213043,0,0,0,0,44,90,Shot
1,0.0714755389788369,0,0,0,0,46,90,Shot
1,0.00661510241035441,0,0,0,0,48,90,Shot
1,0.000441293663722746,0,0,0,0,12,92,Shot
1,0.00537605739319906,0,0,0,0,14,92,Shot
1,0.0240938176606104,0,0,0,0,16,92,Shot
1,0.0397239896694187,0,0,0,0,18,92,Shot
1,0.0240938176606104,0,0,0,0,20,92,Shot
1,0.00537605739319906,0,0,0,0,22,92,Shot
1,0.000441293663722746,0,0,0,0,24,92,Shot
1,0.00444489069886622,0,0,0,0,28,92,Shot
1,0.0586598366575178,0,0,0,0,30,92,Shot
1,0.284790914866654,0,0,0,0,32,92,Shot
3,0.512677787785432,0,0,0,0,34,92,Shot
4,0.352929991811333,0,0,0,0,36,92,Shot
4,0.124486659295644,0,0,0,0,38,92,Shot
4,0.0736027784251977,0,0,0,0,40,92,Shot
2,0.0767795900307972,0,0,0,0,42,92,Shot
2,0.0471920794928232,0,0,0,0,44,92,Shot
1,0.0115808778764499,0,0,0,0,46,92,Shot
1,0.0010718169355422,0,0,0,0,48,92,Shot
1,0.00339381710963316,0,0,0,0,12,94,Shot
1,0.0413451564418381,0,0,0,0,14,94,Shot
1,0.185296135736803,0,0,0,0,16,94,Shot
1,0.305501680367806,0,0,0,0,18,94,Shot
1,0.185296135736803,0,0,0,0,20,94,Shot
1,0.0413451564418381,0,0,0,0,22,94,Shot
1,0.00339381710963316,0,0,0,0,24,94,Shot
1,0.00859994045142122,0,0,0,0,28,94,Shot
1,0.11349460230224,0,0,0,0,30,94,Shot
4,0.557262472533151,0,0,0,0,32,94,Shot
4,1.03418295858084,0,0,0,0,34,94,Shot
4,0.83532123193379,0,0,0,0,36,94,Shot
5,0.491067902985868,0,0,0,0,38,94,Shot
4,0.274629278631411,0,0,0,0,40,94,Shot
4,0.0851283346879554,0,0,0,0,42,94,Shot
2,0.0122102938405489,0,0,0,0,44,94,Shot
2,0.00111674572390855,0,0,0,0,46,94,Shot
1,0.000368304690151093,1,0.000368304690151093,1,0.0000222744974332038,48,94,Shot
1,0.00158590508989033,1,0.00158590508989033,1,0.000095913084461605,50,94,Shot
2,0.00285904729030265,1,0.00251219099556561,0.878681162108262,0.000151933421916207,52,94,Shot
2,0.00186295462010025,1,0.00146397491229553,0.785834983042557,0.0000885389360988697,54,94,Shot
1,0.00960184511017156,0,0,0,0,12,96,Shot
1,0.116974420066275,0,0,0,0,14,96,Shot
1,0.524242979920159,0,0,0,0,16,96,Shot
1,0.864330552009586,0,0,0,0,18,96,Shot
1,0.524242979920159,0,0,0,0,20,96,Shot
1,0.116974420066275,0,0,0,0,22,96,Shot
1,0.00960184511017156,0,0,0,0,24,96,Shot
2,0.00669683856233457,0,0,0,0,28,96,Shot
4,0.0846823391748239,0,0,0,0,30,96,Shot
5,0.434942563874673,0,0,0,0,32,96,Shot
4,0.969893258491556,0,0,0,0,34,96,Shot
4,1.27779768394561,0,0,0,0,36,96,Shot
4,1.32693545665336,0,0,0,0,38,96,Shot
4,0.856543431136133,0,0,0,0,40,96,Shot
3,0.251855144216698,1,0.00124452667758286,0.00494143838694856,0.0000752670466238176,42,96,Shot
3,0.03119447705792,1,0.0018941217582229,0.0607197791681524,0.000114553551366406,44,96,Shot
3,0.00294889382563992,2,0.00166774745525572,0.565550187244808,0.000100862784006595,46,96,Shot
2,0.00751457314050085,1,0.007107533507955,0.945833299518763,0.000429852622333987,48,96,Shot
2,0.0340643596009199,1,0.0306047516316117,0.898439072102363,0.0018509279949232,50,96,Shot
2,0.0592975836312324,1,0.0484801908768535,0.817574476193643,0.00293200688485585,52,96,Shot
2,0.0406947099655539,1,0.0282517465082439,0.694236340108029,0.00170862188809825,54,96,Shot
2,0.0113220308604721,1,0.0060566405336731,0.534942945158213,0.000366296242292747,56,96,Shot
2,0.00129734259580407,1,0.00047766543371707,0.368187582263897,0.0000288884658864817,58,96,Shot
1,0.00999370384279305,0,0,0,0,12,98,Shot
1,0.121748236709885,0,0,0,0,14,98,Shot
1,0.545637741795625,0,0,0,0,16,98,Shot
1,0.899604550995231,0,0,0,0,18,98,Shot
2,0.546149837002133,0,0,0,0,20,98,Shot
2,0.122662858428912,0,0,0,0,22,98,Shot
2,0.0105946531346132,0,0,0,0,24,98,Shot
1,0.00308871540823679,0,0,0,0,26,98,Shot
3,0.0164132252957039,0,0,0,0,28,98,Shot
4,0.0585984689270891,0,0,0,0,30,98,Shot
6,0.265531057912288,0,0,0,0,32,98,Shot
6,0.90697475843555,0,0,0,0,34,98,Shot
5,1.75713307378556,0,0,0,0,36,98,Shot
6,1.90382900455077,1,0.00055920188285455,0.000293724846883768,0.0000338196640916424,38,98,Shot
6,1.10137553303981,1,0.00628870570319932,0.00570986508647274,0.000380331184451173,40,98,Shot
4,0.321558321676065,1,0.0260171329074314,0.0809095307246966,0.00157347591725797,42,98,Shot
3,0.0727617476400437,1,0.0395970760725312,0.544201827977251,0.0023947698547584,44,98,Shot
3,0.0278971609116326,2,0.0264812752012858,0.94924624355748,0.00160154652458274,46,98,Shot
3,0.0596952248784815,2,0.0550252425903507,0.921769583787694,0.00332784147912254,48,98,Shot
3,0.257311389604446,2,0.217619166418475,0.845742455291279,0.0131612702564708,50,98,Shot
2,0.468285119017808,1,0.344176731216006,0.734972599466518,0.0208152758328827,52,98,Shot
2,0.343327015330745,1,0.20056838862392,0.584190522935406,0.012130065614295,54,98,Shot
2,0.103408109810712,1,0.0429980720646302,0.415809477064592,0.00260045682677407,56,98,Shot
2,0.01279529261824,1,0.00339110314167738,0.26502740053348,0.000205088667738754,58,98,Shot
1,0.000538566272624296,0,0,0,0,60,98,Shot
1,0.00382651810594759,0,0,0,0,12,100,Shot
1,0.0466165337162291,0,0,0,0,14,100,Shot
1,0.20892080965307,0,0,0,0,16,100,Shot
2,0.347145450639886,0,0,0,0,18,100,Shot
2,0.221996506164203,0,0,0,0,20,100,Shot
2,0.0699702301939378,0,0,0,0,22,100,Shot
3,0.021413857827038,0,0,0,0,24,100,Shot
2,0.0321477986788566,0,0,0,0,26,100,Shot
2,0.133588563383491,0,0,0,0,28,100,Shot
5,0.257022619147868,0,0,0,0,30,100,Shot
6,0.427934498406678,0,0,0,0,32,100,Shot
6,1.13870552454033,0,0,0,0,34,100,Shot
6,1.83552171571162,0,0,0,0,36,100,Shot
6,1.44901803595678,1,0.00430060314431165,0.00296794314328324,0.000260093819766183,38,100,Shot
5,0.658230281574074,1,0.0483639779300674,0.073475771753331,0.00292497850576073,40,100,Shot
6,0.337454042794241,1,0.20008760166635,0.592932892460118,0.0121009883634787,42,100,Shot
5,0.321144676960467,2,0.304879500748807,0.949352496309124,0.0184386401760993,44,100,Shot
5,0.186968901739059,2,0.181762265936554,0.972152396713695,0.0109927004307117,46,100,Shot
4,0.188997748043824,2,0.166902277903749,0.883091357602041,0.0100939913614399,48,100,Shot
5,0.738981105518718,2,0.57011263943632,0.771484731042124,0.0344795297571468,50,100,Shot
