x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
18,12,Pass,24,0,7,0.573,0,0,0
18,12,Pass,24,2,7,0.816,0,0,0
18,12,Pass,24,4,7,0.825,0,0,0
18,12,Pass,24,6,8,0.589,0,0,0
18,12,Pass,24,8,8,0.296,0,0,0
18,12,Pass,24,10,8,0.108,0,0,0
18,12,Pass,24,12,8,0.036,0,0,0
18,12,Pass,22,0,8,0.418,0,0,0
18,12,Pass,22,2,8,0.612,0,0,0
18,12,Pass,22,4,9,0.63,0,0,0
18,12,Pass,22,6,9,0.454,0,0,0
18,12,Pass,22,8,9,0.234,0,0,0
18,12,Pass,22,10,9,0.1,0,0,0
18,12,Pass,22,12,8,0.061,0,0,0
18,12,Pass,22,14,9,0.065,0,0,0
18,12,Pass,20,0,8,0.223,0,0,0
18,12,Pass,20,2,8,0.33,0,0,0
18,12,Pass,20,4,10,0.342,0,0,0
18,12,Pass,20,6,10,0.251,0,0,0
18,12,Pass,20,8,10,0.142,0,0,0
18,12,Pass,20,10,9,0.098,0,0,0
18,12,Pass,20,12,9,0.126,0,0,0
18,12,Pass,20,14,6,0.171,0,0,0
18,12,Pass,20,16,5,0.174,1,0,0
18,12,Pass,18,0,9,0.086,0,0,0
18,12,Pass,18,2,9,0.128,0,0,0
18,12,Pass,18,4,10,0.135,0,0,0
18,12,Pass,18,6,9,0.105,0,0,0
18,12,Pass,18,8,9,0.085,0,0,0
18,12,Pass,18,10,9,0.123,0,0,0
18,12,Pass,18,12,8,0.226,0,0,0
18,12,Pass,18,14,7,0.326,0,0,0
18,12,Pass,18,16,5,0.333,0,0,0
18,12,Pass,18,18,6,0.24,1,0,0
18,12,Pass,16,0,7,0.029,0,0,0
18,12,Pass,16,2,9,0.045,0,0,0
18,12,Pass,16,4,9,0.051,0,0,0
18,12,Pass,16,6,9,0.049,0,0,0
18,12,Pass,16,8,8,0.068,0,0,0
18,12,Pass,16,10,8,0.15,0,0,0
18,12,Pass,16,12,6,0.3,0,0,0
18,12,Pass,16,14,6,0.437,0,0,0
18,12,Pass,16,16,6,0.447,0,0,0
18,12,Pass,16,18,5,0.319,0,0,0
18,12,Pass,14,0,5,0.019,0,0,0
18,12,Pass,14,2,6,0.033,0,0,0
18,12,Pass,14,4,6,0.041,0,0,0
18,12,Pass,14,6,6,0.044,0,0,0
18,12,Pass,14,8,5,0.065,0,0,0
18,12,Pass,14,10,6,0.142,0,0,0
18,12,Pass,14,12,5,0.282,0,0,0
18,12,Pass,14,14,5,0.41,0,0,0
18,12,Pass,14,16,7,0.419,0,0,0
18,12,Pass,14,18,6,0.299,0,0,0
18,12,Pass,12,0,4,0.025,0,0,0
18,12,Pass,12,2,4,0.043,0,0,0
18,12,Pass,12,4,5,0.055,0,0,0
18,12,Pass,12,6,5,0.053,0,0,0
18,12,Pass,12,8,5,0.058,0,0,0
18,12,Pass,12,10,5,0.1,0,0,0
18,12,Pass,12,12,5,0.187,0,0,0
18,12,Pass,12,14,5,0.268,0,0,0
18,12,Pass,12,16,6,0.274,0,0,0
18,12,Pass,12,18,6,0.195,0,0,0
18,12,Pass,10,0,3,0.028,0,0,0
18,12,Pass,10,2,3,0.048,0,0,0
18,12,Pass,10,4,4,0.06,0,0,0
18,12,Pass,10,6,4,0.055,0,0,0
18,12,Pass,10,8,4,0.045,0,0,0
18,12,Pass,10,10,5,0.054,0,0,0
18,12,Pass,10,12,5,0.088,0,0,0
18,12,Pass,10,14,5,0.123,0,0,0
18,12,Pass,10,16,6,0.125,0,0,0
18,12,Pass,10,18,5,0.089,0,0,0
18,12,Pass,8,0,3,0.022,0,0,0
18,12,Pass,8,2,3,0.039,0,0,0
18,12,Pass,8,4,3,0.048,0,0,0
18,12,Pass,8,6,4,0.042,0,0,0
18,12,Pass,8,8,4,0.03,0,0,0
18,12,Pass,8,10,5,0.024,0,0,0
18,12,Pass,8,12,5,0.03,0,0,0
18,12,Pass,8,14,5,0.04,0,0,0
18,12,Pass,8,16,6,0.04,0,0,0
18,12,Pass,8,18,5,0.028,0,0,0
18,12,Pass,6,0,3,0.012,0,0,0
18,12,Pass,6,2,3,0.022,0,0,0
18,12,Pass,6,4,3,0.027,0,0,0
18,12,Pass,6,6,4,0.024,0,0,0
18,12,Pass,6,8,4,0.016,0,0,0
18,12,Pass,6,10,4,0.01,0,0,0
18,12,Pass,6,12,5,0.008,0,0,0
18,12,Pass,6,14,5,0.009,0,0,0
18,12,Pass,6,16,5,0.009,0,0,0
18,12,Pass,4,0,3,0.005,0,0,0
18,12,Pass,4,2,3,0.009,0,0,0
18,12,Pass,4,4,3,0.011,0,0,0
18,12,Pass,4,6,3,0.01,0,0,0
18,12,Pass,4,8,3,0.006,0,0,0
18,12,Pass,4,10,4,0.003,0,0,0
18,12,Pass,4,12,5,0.002,0,0,0
18,12,Pass,4,14,5,0.002,0,0,0
18,12,Pass,4,16,4,0.001,0,0,0
18,12,Pass,2,0,3,0.001,0,0,0
18,12,Pass,2,2,3,0.002,0,0,0
18,12,Pass,2,4,3,0.003,0,0,0
18,12,Pass,2,6,3,0.003,0,0,0
18,12,Pass,2,8,3,0.002,0,0,0
18,12,Pass,2,10,3,0.001,0,0,0
18,12,Pass,2,12,3,0,0,0,0
18,12,Pass,2,14,4,0,0,0,0
18,12,Pass,0,2,3,0,0,0,0
18,12,Pass,0,4,3,0.001,0,0,0
18,12,Pass,0,6,3,0.001,0,0,0
18,12,Pass,0,8,3,0,0,0,0
18,12,Pass,0,10,3,0,0,0,0
18,12,Pass,40,0,5,0.007,0,0,0
18,12,Pass,40,2,5,0.007,0,0,0
18,12,Pass,40,4,5,0.01,0,0,0
18,12,Pass,40,6,5,0.016,0,0,0
18,12,Pass,40,8,4,0.024,0,0,0
18,12,Pass,40,10,3,0.025,0,0,0
18,12,Pass,38,0,6,0.03,0,0,0
18,12,Pass,38,2,6,0.027,0,0,0
18,12,Pass,38,4,6,0.021,0,0,0
18,12,Pass,38,6,6,0.02,0,0,0
18,12,Pass,38,8,6,0.023,0,0,0
18,12,Pass,38,10,5,0.024,0,0,0
18,12,Pass,38,12,3,0.018,0,0,0
18,12,Pass,38,14,2,0.009,0,0,0
18,12,Pass,36,0,7,0.097,0,0,0
18,12,Pass,36,2,7,0.083,0,0,0
18,12,Pass,36,4,7,0.053,0,0,0
18,12,Pass,36,6,7,0.03,0,0,0
18,12,Pass,36,8,7,0.021,0,0,0
18,12,Pass,36,10,6,0.017,0,0,0
18,12,Pass,36,12,5,0.012,0,0,0
18,12,Pass,36,14,3,0.006,0,0,0
18,12,Pass,36,16,3,0.002,1,0,0
18,12,Pass,34,0,7,0.224,0,0,0
18,12,Pass,34,2,7,0.194,0,0,0
18,12,Pass,34,4,7,0.121,0,0,0
