x,y,WeightedExpectedGoals,GoalProbability
18,10,0,0
20,4,0.000130874991435141,0.067
20,6,0.00015449694168316,0.038
20,8,0.000127152215654359,0.02
20,10,0,0
20,12,0,0
20,14,0,0
20,16,0,0
20,42,0,0
20,44,0,0
20,46,0,0
20,48,0,0
20,62,0,0
20,64,0,0
20,66,0,0
20,68,0,0
20,70,0,0
22,0,0.000283209163427921,0.209
22,2,0.000687842287506495,0.122
22,4,0.00116469247044425,0.084
22,6,0.00137491068929098,0.051
22,8,0.00113156246696931,0.028
22,10,0.000649267111083528,0.014
22,12,0.000259722215640978,0.007
22,14,0,0
22,16,0,0
22,18,0,0
22,38,0,0
22,40,0,0
22,42,0,0
22,44,0,0
22,46,0,0
22,48,0,0
22,50,0,0
22,52,0,0
22,58,0,0
22,60,0,0
22,62,0,0
22,64,0,0
22,66,0,0
22,68,0,0
22,70,0,0
22,72,0,0
24,0,0.00175712528197763,0.168
24,2,0.00426760581741768,0.139
24,4,0.00722614537176665,0.101
24,6,0.00853041018649577,0.065
24,8,0.00702059564310247,0.037
24,10,0.00402827239709637,0.02
24,12,0.00161140432700073,0.01
24,14,0.00044939790693668,0.005
24,16,0,0
24,18,0,0
24,20,0,0
24,36,0,0
24,38,0,0
24,40,0,0
24,42,0,0
24,44,0,0
24,46,0,0
24,48,0,0
24,50,0,0
24,52,0,0
24,54,0,0
24,56,0,0
24,58,0,0
24,60,0,0
24,62,0,0
24,64,0,0
24,66,0,0
24,68,0,0
24,70,0,0
24,72,0,0
24,74,0,0
26,0,0.00760044426724475,0.178
26,2,0.0184595261945958,0.154
26,4,0.0312566871175553,0.119
26,6,0.0368982837275136,0.081
26,8,0.0303675818995705,0.049
26,10,0.0174242896402654,0.027
26,12,0.00697012837102983,0.014
26,14,0.00194387035490401,0.007
26,16,0.000377950253773992,0.003
26,18,0,0
26,20,0,0
26,22,0,0
26,34,0,0
26,36,0,0
26,38,0,0
26,40,0,0
26,42,0,0
26,44,0,0
26,46,0,0
26,48,0,0
26,50,0,0
26,52,0,0
26,54,0,0
26,56,0,0
26,58,0,0
26,60,0,0
26,62,0,0
26,64,0,0
26,66,0,0
26,68,0,0
26,70,0,0
26,72,0,0
26,74,0,0
26,76,0,0
28,0,0.0229200760754013,0.186
28,2,0.0556669754844968,0.167
28,4,0.0942583908794438,0.136
28,6,0.11127132051097,0.099
28,8,0.0915771845553514,0.063
28,10,0.052545092112028,0.036
28,12,0.021019280834386,0.019
28,14,0.00586198054331218,0.009
28,16,0.0011397555543628,0.005
28,18,0.00015449694168316,0.002
28,20,0,0
28,22,0,0
28,24,0,0
28,26,0,0
28,28,0,0
28,30,0,0
28,32,0,0
28,34,0,0
28,36,0,0
28,38,0,0
28,40,0,0
28,42,0,0
28,44,0,0
28,46,0,0
28,48,0,0
28,50,0,0
28,52,0,0
28,54,0,0
28,56,0,0
28,58,0,0
28,60,0,0
28,62,0,0
28,64,0,0
28,66,0,0
28,68,0,0
28,70,0,0
28,72,0,0
28,74,0,0
28,76,0,0
28,78,0,0
30,0,0.0481874512081898,0.192
30,2,0.11703493724201,0.177
30,4,0.19817000591636,0.152
30,6,0.233938199435027,0.117
30,8,0.192533004603787,0.079
30,10,0.110471451056641,0.047
30,12,0.044191195801713,0.026
30,14,0.0123243003419773,0.013
30,16,0.00239623616363408,0.006
30,18,0.000324816279609206,0.003
30,20,0,0
30,22,0,0
30,24,0,0
30,26,0,0
30,28,0,0
30,30,0,0
30,32,0,0
30,34,0,0
30,36,0,0
30,38,0,0
30,40,0,0
30,42,0,0
30,44,0,0
30,46,0,0
30,48,0,0
30,50,0,0
30,52,0,0
30,54,0,0
30,56,0,0
30,58,0,0
30,60,0,0
30,62,0,0
30,64,0,0
30,66,0,0
30,68,0,0
30,70,0,0
30,72,0.000209939214779113,0.001
30,74,0.000410657382190198,0.007
30,76,0.000560023852687349,0.045
30,78,0.000532444371523907,0.136
30,80,0.000352925290418881,0.197
32,0,0.0706305651616051,0.197
32,2,0.171543494287394,0.185
32,4,0.290466898850467,0.165
32,6,0.342893986394864,0.134
32,8,0.282204486572143,0.096
32,10,0.161923090487655,0.06
32,12,0.0647730696765232,0.034
32,14,0.0180642942623053,0.018
32,16,0.00351227363669708,0.009
32,18,0.000476098171355222,0.004
32,20,0,0
32,22,0,0
32,24,0,0
32,26,0,0
32,28,0,0
32,30,0,0
32,32,0,0
32,34,0,0
32,36,0,0
32,38,0,0
32,40,0,0
32,42,0,0
32,44,0,0
32,46,0,0
32,48,0,0
32,50,0,0
32,52,0,0
32,54,0,0
32,56,0,0
32,58,0,0
32,60,0,0
32,62,0,0
32,64,0,0
32,66,0,0
32,68,0.000135197722225977,0
32,70,0.000544093817372102,0.001
32,72,0.00152657811474368,0.005
32,74,0.00298610515891031,0.035
32,76,0.00407222708795234,0.123
32,78,0.00387168221878917,0.182
32,80,0.00256630484714295,0.197
34,0,0.0721759039576985,0.2
34,2,0.175296725149035,0.191
34,4,0.296822076198228,0.174
34,6,0.350396225388856,0.147
34,8,0.288378889120583,0.11
34,10,0.165465834810051,0.073
34,12,0.0661902512789097,0.042
34,14,0.0184595261945957,0.022
34,16,0.00358911930118901,0.011
34,18,0.000486514808589555,0.004
34,20,0,0
34,22,0,0
34,24,0,0
34,26,0,0
34,28,0,0
34,30,0,0
34,32,0,0
34,34,0,0
34,36,0,0
34,38,0,0
34,40,0,0
34,42,0,0
34,44,0,0
34,46,0,0
34,48,0,0
34,50,0,0
34,52,0,0
34,54,0,0
34,56,0,0
34,58,0,0
34,60,0,0
34,62,0,0
34,64,0,0
34,66,0,0
34,68,0.000685386684913945,0.001
34,70,0.00275829098028388,0.004
34,72,0.00773900843963566,0.027
34,74,0.0151381005683595,0.108
34,76,0.0206442104058773,0.178
34,78,0.019627545474034,0.194
34,80,0.0130099171990631,0.197
36,0,0.051420063329117,0.2
36,2,0.124886121465595,0.191
36,4,0.211464063748175,0.174
36,6,0.249631734579152,0.146
36,8,0.205487685515193,0.109
36,10,0.117968697000055,0.07
36,12,0.0472898365626314,0.04
36,14,0.013296255686875,0.021
36,16,0.00266656886747891,0.01
36,18,0.000404268489345576,0.003
36,20,0,0
36,22,0,0
36,24,0,0
36,26,0,0
36,28,0,0
36,30,0,0
36,32,0,0
36,34,0,0
36,36,0,0
36,38,0,0
36,40,0,0
36,42,0,0
36,44,0,0
36,46,0,0
36,48,0,0
36,50,0,0
36,52,0,0
36,54,0,0
36,56,0,0
36,58,0,0
36,60,0,0
36,62,0,0
36,64,0,0
36,66,0.000419642228667764,0
36,68,0.00242238281147905,0.003
36,70,0.00974871092007908,0.021
36,72,0.0273522107077678,0.093
36,74,0.0535030449560592,0.172
36,76,0.0729634548561925,0.193
36,78,0.0693702253550386,0.196
36,80,0.0459813423508994,0.197
38,0,0.0255395833142194,0.191
38,2,0.0620290854864462,0.175
38,4,0.105031066171436,0.148
38,6,0.124071091102156,0.11
38,8,0.102307664653361,0.07
38,10,0.0591389463314498,0.039
38,12,0.0243354523390068,0.02
38,14,0.00752132449426018,0.01
38,16,0.0020167601380331,0.006
38,18,0.000565086767159372,0.003
38,20,0.000144146967808711,0
38,22,0.0000368666630028766,0
38,24,0,0
38,26,0,0
38,28,0,0
38,30,0,0
38,32,0,0
38,34,0,0
38,36,0,0
