x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
62,50,Pass,82,74,113,2.082,1,0.001,0.009
62,50,Pass,82,76,107,2.074,1,0.001,0.01
62,50,Pass,80,68,167,1.265,2,0,0.003
62,50,Pass,80,70,153,1.524,1,0,0.005
62,50,Pass,80,72,142,2.004,1,0.001,0.008
62,50,Pass,80,74,129,2.415,1,0.001,0.01
62,50,Pass,80,76,119,2.365,1,0.001,0.012
62,50,Pass,80,78,104,1.79,1,0.001,0.012
62,50,Pass,80,80,95,1.03,1,0.001,0.012
62,50,Pass,78,66,190,1.543,2,0,0.002
62,50,Pass,78,68,185,1.563,2,0,0.002
62,50,Pass,78,70,166,1.8,1,0,0.004
62,50,Pass,78,72,152,2.283,1,0.001,0.006
62,50,Pass,78,74,143,2.656,1,0.001,0.009
62,50,Pass,78,76,124,2.508,1,0.001,0.011
62,50,Pass,78,78,111,1.833,1,0.001,0.012
62,50,Pass,78,80,94,1.027,1,0.001,0.011
62,50,Pass,76,64,200,1.884,2,0,0.001
62,50,Pass,76,66,197,1.828,2,0,0.001
62,50,Pass,76,68,191,1.804,2,0,0.002
62,50,Pass,76,70,172,2.031,2,0,0.003
62,50,Pass,76,72,161,2.479,2,0.001,0.004
62,50,Pass,76,74,149,2.731,2,0.001,0.006
62,50,Pass,76,76,132,2.43,1,0.001,0.008
62,50,Pass,76,78,119,1.681,1,0.001,0.009
62,50,Pass,76,80,98,0.899,1,0,0.01
62,50,Pass,74,64,217,2.25,2,0,0.001
62,50,Pass,74,66,197,2.141,3,0,0.001
62,50,Pass,74,68,196,2.097,3,0,0.001
62,50,Pass,74,70,177,2.323,2,0,0.002
62,50,Pass,74,72,167,2.708,2,0,0.003
62,50,Pass,74,74,150,2.803,2,0.001,0.004
62,50,Pass,74,76,140,2.33,2,0.001,0.006
62,50,Pass,74,78,122,1.503,2,0.001,0.007
62,50,Pass,74,80,109,0.751,1,0,0.008
62,50,Pass,72,62,205,2.79,2,0,0.001
62,50,Pass,72,64,206,2.754,2,0,0.001
62,50,Pass,72,66,204,2.639,3,0,0.001
62,50,Pass,72,68,191,2.582,3,0,0.001
62,50,Pass,72,70,172,2.772,2,0,0.001
62,50,Pass,72,72,164,3.067,2,0,0.003
62,50,Pass,72,74,152,3.023,2,0.001,0.005
62,50,Pass,72,76,133,2.406,2,0.001,0.007
62,50,Pass,72,78,118,1.483,2,0.001,0.01
62,50,Pass,72,80,104,0.701,2,0,0.012
62,50,Pass,70,62,199,3.278,2,0,0
62,50,Pass,70,64,205,3.346,2,0,0
62,50,Pass,70,66,196,3.252,2,0,0.001
62,50,Pass,70,68,189,3.136,3,0,0.001
62,50,Pass,70,70,169,3.2,2,0,0.002
62,50,Pass,70,72,158,3.348,2,0.001,0.004
62,50,Pass,70,74,141,3.196,2,0.001,0.008
62,50,Pass,70,76,125,2.518,2,0.002,0.012
62,50,Pass,70,78,113,1.551,2,0.001,0.017
62,50,Pass,70,80,102,0.729,2,0.001,0.022
62,50,Pass,68,62,183,3.535,2,0,0
62,50,Pass,68,64,203,3.699,2,0,0
62,50,Pass,68,66,192,3.593,2,0,0.001
62,50,Pass,68,68,188,3.386,2,0,0.001
62,50,Pass,68,70,176,3.275,2,0,0.003
62,50,Pass,68,72,160,3.228,2,0.001,0.006
62,50,Pass,68,74,137,2.983,2,0.002,0.012
62,50,Pass,68,76,122,2.349,2,0.002,0.019
62,50,Pass,68,78,107,1.476,2,0.002,0.027
62,50,Pass,68,80,94,0.712,2,0.001,0.035
62,50,Pass,66,62,175,3.322,2,0,0
62,50,Pass,66,64,188,3.476,2,0,0
62,50,Pass,66,66,183,3.348,3,0,0.001
62,50,Pass,66,68,177,3.12,2,0,0.001
62,50,Pass,66,70,170,2.915,2,0.001,0.003
62,50,Pass,66,72,150,2.699,1,0.001,0.009
62,50,Pass,66,74,135,2.364,1,0.002,0.017
62,50,Pass,66,76,114,1.832,1,0.003,0.027
62,50,Pass,66,78,98,1.17,1,0.002,0.038
62,50,Pass,66,80,83,0.583,1,0.001,0.046
62,50,Pass,64,64,184,2.729,3,0,0
62,50,Pass,64,66,173,2.627,2,0,0.001
62,50,Pass,64,68,169,2.501,2,0,0.001
62,50,Pass,64,70,156,2.329,2,0,0.004
62,50,Pass,64,72,135,2.032,2,0.001,0.009
62,50,Pass,64,74,120,1.638,2,0.002,0.019
62,50,Pass,64,76,101,1.204,1,0.002,0.032
62,50,Pass,64,78,89,0.765,1,0.002,0.044
62,50,Pass,64,80,73,0.392,1,0.001,0.053
62,50,Pass,62,64,169,1.867,2,0,0
62,50,Pass,62,66,162,1.839,2,0,0.001
62,50,Pass,62,68,155,1.848,2,0,0.001
62,50,Pass,62,70,133,1.751,2,0,0.003
62,50,Pass,62,72,122,1.446,2,0.001,0.007
62,50,Pass,62,74,107,1.048,2,0.001,0.016
62,50,Pass,62,76,93,0.697,2,0.001,0.03
62,50,Pass,62,78,83,0.425,1,0.001,0.043
62,50,Pass,62,80,64,0.22,1,0.001,0.05
62,50,Pass,60,48,166,1.593,0,0,0.001
62,50,Pass,60,50,169,1.119,0,0,0.001
62,50,Pass,60,52,171,0.739,0,0,0.002
62,50,Pass,60,54,167,0.62,0,0,0.004
62,50,Pass,60,56,166,0.754,0,0,0.004
62,50,Pass,60,66,144,1.321,2,0,0
62,50,Pass,60,68,127,1.41,2,0,0.001
62,50,Pass,60,70,122,1.337,2,0,0.002
62,50,Pass,60,72,112,1.032,2,0,0.004
62,50,Pass,60,74,98,0.658,2,0,0.01
62,50,Pass,60,76,88,0.377,2,0,0.021
62,50,Pass,60,78,75,0.207,2,0,0.033
62,50,Pass,60,80,64,0.104,1,0,0.04
62,50,Pass,58,44,168,2.57,0,0,0
62,50,Pass,58,46,162,2.497,0,0,0
62,50,Pass,58,48,160,2.062,0,0,0
62,50,Pass,58,50,164,1.398,0,0,0.001
62,50,Pass,58,52,164,0.842,0,0,0.003
62,50,Pass,58,54,160,0.602,0,0,0.009
62,50,Pass,58,56,152,0.648,1,0,0.013
62,50,Pass,58,58,155,0.814,1,0,0.012
62,50,Pass,58,60,143,0.939,2,0,0.008
62,50,Pass,58,68,115,1.239,2,0,0
62,50,Pass,58,70,111,1.132,2,0,0.001
62,50,Pass,58,72,102,0.804,2,0,0.002
62,50,Pass,58,74,87,0.447,2,0,0.004
62,50,Pass,58,76,74,0.211,2,0,0.01
62,50,Pass,58,78,63,0.095,2,0,0.019
62,50,Pass,58,80,55,0.043,2,0,0.025
62,50,Pass,56,42,166,2.898,0,0,0.002
62,50,Pass,56,44,176,3.092,0,0,0.001
62,50,Pass,56,46,172,3.067,0,0,0
62,50,Pass,56,48,166,2.593,1,0,0
62,50,Pass,56,50,161,1.807,1,0,0.001
62,50,Pass,56,52,158,1.103,1,0,0.004
62,50,Pass,56,54,153,0.739,1,0.001,0.014
62,50,Pass,56,56,144,0.683,2,0.001,0.024
62,50,Pass,56,58,143,0.752,2,0.001,0.024
62,50,Pass,56,60,128,0.811,1,0.001,0.017
62,50,Pass,56,62,115,0.857,2,0,0.009
62,50,Pass,56,72,85,0.685,2,0,0.001
62,50,Pass,56,74,77,0.347,2,0,0.001
62,50,Pass,56,76,63,0.141,2,0,0.003
62,50,Pass,54,40,166,3.035,0,0.001,0.007
62,50,Pass,54,42,176,3.09,0,0,0.003
62,50,Pass,54,44,171,3.243,1,0,0.001
62,50,Pass,54,46,170,3.216,1,0,0
62,50,Pass,54,48,172,2.81,1,0,0
62,50,Pass,54,50,162,2.099,1,0,0.001
62,50,Pass,54,52,153,1.396,1,0,0.004
62,50,Pass,54,54,139,0.97,1,0.001,0.014
62,50,Pass,54,56,129,0.834,2,0.001,0.025
62,50,Pass,54,58,123,0.819,2,0.001,0.029
62,50,Pass,54,60,119,0.809,2,0.001,0.023
62,50,Pass,54,62,104,0.839,1,0.001,0.012
