x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
18,4,Pass,46,6,111,2.834,1,0.001,0.006
18,4,Pass,46,8,116,2.987,1,0.001,0.003
18,4,Pass,46,10,111,2.716,1,0,0.002
18,4,Pass,46,12,102,2.184,1,0,0.001
18,4,Pass,46,14,94,1.787,1,0,0.001
18,4,Pass,44,2,113,2.324,1,0,0.001
18,4,Pass,44,4,114,2.745,1,0,0.002
18,4,Pass,44,6,121,3,1,0,0.001
18,4,Pass,44,8,122,2.927,1,0,0.001
18,4,Pass,44,10,126,2.471,1,0,0.001
18,4,Pass,44,12,118,1.827,1,0,0.002
18,4,Pass,44,14,105,1.342,1,0,0.003
18,4,Pass,44,16,88,1.188,0,0,0.005
18,4,Pass,42,0,108,2.4,1,0,0
18,4,Pass,42,2,119,3.069,1,0,0
18,4,Pass,42,4,125,3.473,1,0,0
18,4,Pass,42,6,129,3.502,1,0,0
18,4,Pass,42,8,130,3.074,1,0,0.001
18,4,Pass,42,10,132,2.313,1,0,0.001
18,4,Pass,42,12,125,1.523,1,0,0.003
18,4,Pass,42,14,114,0.981,0,0,0.009
18,4,Pass,42,16,94,0.749,0,0.001,0.016
18,4,Pass,42,18,75,0.687,0,0.001,0.015
18,4,Pass,40,0,111,2.799,1,0,0
18,4,Pass,40,2,128,3.762,1,0,0
18,4,Pass,40,4,136,4.305,1,0,0
18,4,Pass,40,6,142,4.197,1,0,0
18,4,Pass,40,8,143,3.458,1,0,0.001
18,4,Pass,40,10,141,2.42,0,0,0.002
18,4,Pass,40,12,135,1.496,0,0,0.005
18,4,Pass,40,14,118,0.908,0,0.001,0.015
18,4,Pass,40,16,97,0.623,0,0.001,0.028
18,4,Pass,40,18,75,0.486,0,0.001,0.032
18,4,Pass,40,20,60,0.393,0,0.001,0.025
18,4,Pass,38,0,120,3,0,0,0
18,4,Pass,38,2,129,4.273,0,0,0
18,4,Pass,38,4,141,4.995,0,0,0
18,4,Pass,38,6,148,4.839,0,0,0.001
18,4,Pass,38,8,154,3.939,0,0,0.001
18,4,Pass,38,10,152,2.769,0,0,0.002
18,4,Pass,38,12,142,1.776,0,0,0.005
18,4,Pass,38,14,123,1.136,0,0.001,0.013
18,4,Pass,38,16,104,0.779,0,0.001,0.024
18,4,Pass,38,18,77,0.55,0,0.001,0.03
18,4,Pass,38,20,63,0.372,0,0.001,0.028
18,4,Pass,38,22,50,0.256,0,0,0.019
18,4,Pass,36,0,122,3.145,0,0,0
18,4,Pass,36,2,134,4.604,0,0,0
18,4,Pass,36,4,148,5.411,0,0,0
18,4,Pass,36,6,150,5.247,0,0,0.001
18,4,Pass,36,8,153,4.356,0,0,0.001
18,4,Pass,36,10,153,3.235,0,0,0.001
18,4,Pass,36,12,150,2.264,0,0,0.003
18,4,Pass,36,14,138,1.574,1,0.001,0.007
18,4,Pass,36,16,108,1.1,1,0.001,0.012
18,4,Pass,36,18,76,0.742,1,0.001,0.016
18,4,Pass,36,20,63,0.466,1,0,0.016
18,4,Pass,36,22,50,0.294,1,0,0.013
18,4,Pass,34,0,127,3.313,0,0,0
18,4,Pass,34,2,136,4.822,0,0,0
18,4,Pass,34,4,150,5.581,0,0,0
18,4,Pass,34,6,155,5.376,0,0,0
18,4,Pass,34,8,159,4.572,0,0,0.001
18,4,Pass,34,10,158,3.616,1,0,0.001
18,4,Pass,34,12,151,2.752,1,0,0.001
18,4,Pass,34,14,130,2.035,1,0,0.003
