Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000392961073743275,0,0,0,0,52,76,Shot
1,0.000355565883354502,0,0,0,0,54,76,Shot
1,0.000426456580685651,0,0,0,0,30,78,Shot
1,0.0012811463703842,0,0,0,0,32,78,Shot
1,0.0014158857103468,0,0,0,0,34,78,Shot
3,0.0030484148651403,0,0,0,0,36,78,Shot
2,0.00698948518324737,0,0,0,0,38,78,Shot
3,0.00852864295015148,0,0,0,0,40,78,Shot
1,0.00356710834072872,0,0,0,0,42,78,Shot
1,0.000626100285008937,0,0,0,0,44,78,Shot
1,0.000745243162665264,0,0,0,0,48,78,Shot
1,0.0049826171194103,0,0,0,0,50,78,Shot
1,0.0122552605686054,0,0,0,0,52,78,Shot
1,0.0110890183302548,0,0,0,0,54,78,Shot
1,0.00369121354873979,0,0,0,0,56,78,Shot
1,0.000452012827097688,0,0,0,0,58,78,Shot
1,0.00115922917390458,0,0,0,0,28,80,Shot
1,0.00946646240171026,0,0,0,0,30,80,Shot
3,0.0292436908774671,0,0,0,0,32,80,Shot
3,0.038740217438017,0,0,0,0,34,80,Shot
6,0.058698169250915,0,0,0,0,36,80,Shot
7,0.125759052075954,0,0,0,0,38,80,Shot
6,0.144154327858688,0,0,0,0,40,80,Shot
6,0.0695357825608484,0,0,0,0,42,80,Shot
5,0.0140409824454313,0,0,0,0,44,80,Shot
5,0.00288043213664556,0,0,0,0,46,80,Shot
2,0.00950769064999872,0,0,0,0,48,80,Shot
1,0.0571657692167413,0,0,0,0,50,80,Shot
1,0.140605103817177,0,0,0,0,52,80,Shot
2,0.127790711830131,0,0,0,0,54,80,Shot
2,0.0436868806799423,0,0,0,0,56,80,Shot
2,0.00634867366473569,0,0,0,0,58,80,Shot
1,0.000371857441095999,0,0,0,0,60,80,Shot
2,0.00237475284289991,0,0,0,0,26,82,Shot
3,0.0194912095044396,0,0,0,0,28,82,Shot
4,0.0971187665054045,0,0,0,0,30,82,Shot
7,0.254497673925707,0,0,0,0,32,82,Shot
12,0.324706007176814,0,0,0,0,34,82,Shot
13,0.448783450753863,1,0.000804893972822375,0.00179350190268897,0.0000412911227424719,36,82,Shot
11,0.892185730764554,1,0.00251671701155001,0.00282084427576904,0.00012910777635418,38,82,Shot
11,1.01725339514584,1,0.00289491363752424,0.00284581368942908,0.000148509292368932,40,82,Shot
12,0.525921739651304,1,0.00122501768298481,0.00232927751531438,0.0000628435014023726,42,82,Shot
13,0.140036244468679,0,0,0,0,44,82,Shot
12,0.0570794399318223,0,0,0,0,46,82,Shot
9,0.0762415643505605,0,0,0,0,48,82,Shot
5,0.262384458319902,0,0,0,0,50,82,Shot
5,0.606756839179513,0,0,0,0,52,82,Shot
4,0.554159634555943,0,0,0,0,54,82,Shot
3,0.209760382894329,0,0,0,0,56,82,Shot
2,0.0482195856057424,0,0,0,0,58,82,Shot
2,0.00940727823016274,0,0,0,0,60,82,Shot
1,0.000990797880036132,0,0,0,0,62,82,Shot
1,0.000347968012680238,0,0,0,0,22,84,Shot
3,0.00409034745721849,0,0,0,0,24,84,Shot
7,0.0346109542077862,0,0,0,0,26,84,Shot
7,0.163919649882295,0,0,0,0,28,84,Shot
10,0.495198510882183,1,0.000338089467757523,0.000682735227041021,0.0000173440157119845,30,84,Shot
15,0.96325001492899,1,0.000494383018551846,0.000513244755660129,0.00002536188689454,32,84,Shot
20,1.10936003727777,1,0.00172108564210729,0.00155142206702399,0.0000882918258778429,34,84,Shot
23,1.50367158110433,1,0.0146282600690624,0.00972836106825873,0.0007504308671892,36,84,Shot
21,2.92846747921711,1,0.0457391808216601,0.0156188112540993,0.00234642349578641,38,84,Shot
22,3.42097065295016,1,0.0526125812803486,0.0153794307574597,0.00269902946822608,40,84,Shot
19,1.98526056122457,1,0.0222636494507041,0.0112144722388336,0.00114212693001152,42,84,Shot
20,0.763056495982143,1,0.00346584087158213,0.0045420501494076,0.000177797903409018,44,84,Shot
20,0.550616329469931,0,0,0,0,46,84,Shot
13,0.513231703014613,0,0,0,0,48,84,Shot
12,0.657636672168048,0,0,0,0,50,84,Shot
11,1.10547749336865,0,0,0,0,52,84,Shot
7,1.00559199235916,0,0,0,0,54,84,Shot
6,0.541725598820937,0,0,0,0,56,84,Shot
3,0.254014091904786,0,0,0,0,58,84,Shot
2,0.0716894337952754,0,0,0,0,60,84,Shot
1,0.00825447336109049,0,0,0,0,62,84,Shot
1,0.000357276702275241,0,0,0,0,64,84,Shot
2,0.00186960839987319,0,0,0,0,18,86,Shot
4,0.00898479862214137,0,0,0,0,20,86,Shot
7,0.0230996352423202,0,0,0,0,22,86,Shot
9,0.0606061684974712,0,0,0,0,24,86,Shot
11,0.231642253228068,0,0,0,0,26,86,Shot
14,0.768628175945524,1,0.00254862826460502,0.00331581425761531,0.000130744826091477,28,86,Shot
21,1.64127389224527,1,0.0101305466368576,0.00617236811279499,0.000519697822017529,30,86,Shot
27,2.27158256451485,2,0.015311797252169,0.0067405858326964,0.000785496377280833,32,86,Shot
29,2.24944447195185,2,0.0194759671616381,0.00865812310749717,0.000999118614069954,34,86,Shot
28,2.94095483294098,2,0.099380051537985,0.0337917639621157,0.00509820429120507,36,86,Shot
27,5.30391355803133,1,0.305807334849943,0.0576569228559318,0.0156879398097118,38,86,Shot
30,6.2150817985831,1,0.351762164776249,0.0565981552899984,0.0180454261211607,40,86,Shot
27,4.11997317503909,1,0.148852410127317,0.036129460994829,0.00763614009374148,42,86,Shot
26,2.45153353803925,1,0.0231722462211353,0.00945214326525941,0.00118873801425126,44,86,Shot
25,2.49488472650092,1,0.00132704581365058,0.000531906664686574,0.0000680775523566033,46,86,Shot
23,2.22692150891751,0,0,0,0,48,86,Shot
20,1.72315236620368,0,0,0,0,50,86,Shot
16,1.5321015852641,0,0,0,0,52,86,Shot
12,1.19356198795459,0,0,0,0,54,86,Shot
8,1.0187005215958,0,0,0,0,56,86,Shot
5,0.703880770420073,0,0,0,0,58,86,Shot
4,0.217075599204515,0,0,0,0,60,86,Shot
1,0.0252987573767082,0,0,0,0,62,86,Shot
1,0.00109500100270693,0,0,0,0,64,86,Shot
2,0.00318382740742289,0,0,0,0,16,88,Shot
4,0.032243888162304,0,0,0,0,18,88,Shot
5,0.135454795949927,0,0,0,0,20,88,Shot
9,0.296506826624587,0,0,0,0,22,88,Shot
