x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
94,12,Pass,106,2,11,0.157,1,0,0
94,12,Pass,106,4,11,0.207,1,0,0
94,12,Pass,106,6,12,0.196,1,0,0
94,12,Pass,106,8,12,0.134,1,0,0
94,12,Pass,106,10,11,0.065,1,0,0
94,12,Pass,104,0,11,0.109,1,0,0
94,12,Pass,104,2,12,0.202,1,0,0
94,12,Pass,104,4,12,0.267,1,0,0
94,12,Pass,104,6,12,0.254,1,0,0
94,12,Pass,104,8,15,0.173,1,0,0
94,12,Pass,104,10,15,0.084,1,0,0
94,12,Pass,104,12,17,0.03,1,0,0
94,12,Pass,102,0,12,0.125,1,0,0
94,12,Pass,102,2,12,0.228,1,0,0
94,12,Pass,102,4,13,0.302,1,0,0
94,12,Pass,102,6,14,0.29,1,0,0
94,12,Pass,102,8,14,0.2,1,0,0
94,12,Pass,102,10,16,0.1,1,0,0.001
94,12,Pass,102,12,17,0.039,1,0,0.001
94,12,Pass,102,14,19,0.022,1,0,0.001
94,12,Pass,100,0,15,0.147,1,0,0
94,12,Pass,100,2,15,0.271,1,0,0.001
94,12,Pass,100,4,16,0.366,1,0,0.001
94,12,Pass,100,6,15,0.359,1,0,0.001
94,12,Pass,100,8,17,0.257,1,0,0.001
94,12,Pass,100,10,18,0.137,1,0,0.002
94,12,Pass,100,12,21,0.061,1,0,0.003
94,12,Pass,100,14,22,0.043,1,0,0.002
94,12,Pass,100,16,21,0.078,1,0,0.001
94,12,Pass,98,0,16,0.207,1,0,0.001
94,12,Pass,98,2,17,0.396,1,0,0.001
94,12,Pass,98,4,18,0.553,1,0,0.001
94,12,Pass,98,6,21,0.564,1,0,0.001
94,12,Pass,98,8,21,0.421,1,0,0.002
94,12,Pass,98,10,20,0.238,1,0,0.004
94,12,Pass,98,12,24,0.119,1,0,0.006
94,12,Pass,98,14,22,0.089,1,0,0.005
94,12,Pass,98,16,20,0.133,1,0,0.001
94,12,Pass,96,0,16,0.323,1,0,0.001
94,12,Pass,96,2,17,0.637,1,0,0.001
94,12,Pass,96,4,19,0.906,1,0,0.001
94,12,Pass,96,6,20,0.934,1,0,0.002
94,12,Pass,96,8,20,0.706,1,0,0.003
94,12,Pass,96,10,23,0.414,1,0,0.006
94,12,Pass,96,12,25,0.229,1,0,0.009
94,12,Pass,96,14,23,0.178,1,0,0.006
94,12,Pass,96,16,20,0.221,1,0,0.002
