Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000557972990988978,0,0,0,0,42,80,Shot
1,0.00112361962129945,0,0,0,0,44,80,Shot
1,0.000832397888574126,0,0,0,0,46,80,Shot
1,0.00245114504083435,0,0,0,0,40,82,Shot
2,0.0137949918526707,0,0,0,0,42,82,Shot
2,0.0279859323991945,0,0,0,0,44,82,Shot
2,0.0209267089381802,0,0,0,0,46,82,Shot
1,0.00545512361004817,0,0,0,0,48,82,Shot
1,0.000546924385508396,0,0,0,0,50,82,Shot
1,0.000464197708771987,0,0,0,0,28,84,Shot
1,0.0034992731621846,0,0,0,0,30,84,Shot
1,0.00970416601105113,0,0,0,0,32,84,Shot
1,0.00990020316831645,0,0,0,0,34,84,Shot
1,0.00371565612995296,0,0,0,0,36,84,Shot
2,0.00197027390080341,0,0,0,0,38,84,Shot
2,0.0230146126445394,0,0,0,0,40,84,Shot
2,0.127957101313479,0,0,0,0,42,84,Shot
2,0.262733307974823,0,0,0,0,44,84,Shot
2,0.199402336957387,0,0,0,0,46,84,Shot
4,0.0568044630182957,0,0,0,0,48,84,Shot
5,0.00704805022127213,0,0,0,0,50,84,Shot
1,0.0034992731621846,0,0,0,0,52,84,Shot
1,0.00970416601105113,0,0,0,0,54,84,Shot
1,0.00990020316831645,0,0,0,0,56,84,Shot
1,0.00371565612995296,0,0,0,0,58,84,Shot
1,0.000513017807972148,0,0,0,0,60,84,Shot
1,0.00565508578368712,0,0,0,0,28,86,Shot
1,0.0426298741651657,0,0,0,0,30,86,Shot
2,0.119051844743345,0,0,0,0,32,86,Shot
3,0.125132127164265,0,0,0,0,34,86,Shot
3,0.0557400472231835,0,0,0,0,36,86,Shot
5,0.0244022898851292,0,0,0,0,38,86,Shot
4,0.0909991402898762,0,0,0,0,40,86,Shot
3,0.472291743016308,0,0,0,0,42,86,Shot
4,0.993277883372419,0,0,0,0,44,86,Shot
4,0.787577294015409,0,0,0,0,46,86,Shot
4,0.251798166109492,0,0,0,0,48,86,Shot
5,0.0536952971015973,0,0,0,0,50,86,Shot
5,0.0517186783744473,0,0,0,0,52,86,Shot
3,0.11925192152901,0,0,0,0,54,86,Shot
1,0.120609165307753,0,0,0,0,56,86,Shot
1,0.0452659583632027,0,0,0,0,58,86,Shot
1,0.00624983634735403,0,0,0,0,60,86,Shot
1,0.00123683448262685,0,0,0,0,26,88,Shot
2,0.0265024066727269,0,0,0,0,28,88,Shot
3,0.193563150471988,0,0,0,0,30,88,Shot
4,0.542669095823816,0,0,0,0,32,88,Shot
6,0.606177022562371,0,0,0,0,34,88,Shot
7,0.352664257464016,0,0,0,0,36,88,Shot
9,0.214430589421177,0,0,0,0,38,88,Shot
9,0.243865159585791,0,0,0,0,40,88,Shot
8,0.778638473779637,0,0,0,0,42,88,Shot
7,1.66330613329065,0,0,0,0,44,88,Shot
4,1.46974640498766,0,0,0,0,46,88,Shot
5,0.703455691328092,0,0,0,0,48,88,Shot
6,0.339639401817894,0,0,0,0,50,88,Shot
6,0.288702874038495,0,0,0,0,52,88,Shot
4,0.550638634613791,0,0,0,0,54,88,Shot
2,0.548755943826549,0,0,0,0,56,88,Shot
2,0.205605204994045,0,0,0,0,58,88,Shot
1,0.0280098232493381,0,0,0,0,60,88,Shot
1,0.0014226982988888,0,0,0,0,62,88,Shot
1,0.000635562579072193,0,0,0,0,24,90,Shot
2,0.00863712080361068,0,0,0,0,26,90,Shot
2,0.0669835105676061,0,0,0,0,28,90,Shot
4,0.355462655465077,0,0,0,0,30,90,Shot
7,0.964879934571068,0,0,0,0,32,90,Shot
8,1.27430440308373,0,0,0,0,34,90,Shot
9,1.18248169638901,0,0,0,0,36,90,Shot
11,1.03348469167726,0,0,0,0,38,90,Shot
11,0.75436826721739,0,0,0,0,40,90,Shot
12,0.797274960819572,0,0,0,0,42,90,Shot
9,1.39838096059011,0,0,0,0,44,90,Shot
9,1.59039185320092,0,0,0,0,46,90,Shot
8,1.54965811329439,0,0,0,0,48,90,Shot
7,1.21057952412936,0,0,0,0,50,90,Shot
6,0.757928013675341,0,0,0,0,52,90,Shot
5,1.04200983992953,0,0,0,0,54,90,Shot
5,0.99838782451447,0,0,0,0,56,90,Shot
2,0.369180187567466,0,0,0,0,58,90,Shot
2,0.0504305456407289,0,0,0,0,60,90,Shot
1,0.00234563294716685,0,0,0,0,62,90,Shot
1,0.00508734090727338,0,0,0,0,24,92,Shot
2,0.0540497239162946,0,0,0,0,26,92,Shot
2,0.227039058539854,0,0,0,0,28,92,Shot
6,0.490446433703872,0,0,0,0,30,92,Shot
8,0.887126624586078,0,0,0,0,32,92,Shot
10,1.6354950567292,0,0,0,0,34,92,Shot
11,2.48282433239016,0,0,0,0,36,92,Shot
12,2.52964623595294,0,0,0,0,38,92,Shot
13,1.86367447122983,0,0,0,0,40,92,Shot
13,1.14521224800972,0,0,0,0,42,92,Shot
11,0.888927960441035,0,0,0,0,44,92,Shot
10,1.20365886629883,0,0,0,0,46,92,Shot
10,2.00082639258824,0,0,0,0,48,92,Shot
8,1.89325511489777,0,0,0,0,50,92,Shot
7,1.1271587653333,0,0,0,0,52,92,Shot
6,1.195851544734,0,0,0,0,54,92,Shot
6,1.04135927664632,0,0,0,0,56,92,Shot
4,0.367106816649087,0,0,0,0,58,92,Shot
3,0.0482476646511742,0,0,0,0,60,92,Shot
2,0.00231580901729131,0,0,0,0,62,92,Shot
1,0.000530866489786722,0,0,0,0,22,94,Shot
1,0.014980588738947,0,0,0,0,24,94,Shot
1,0.155517035548006,0,0,0,0,26,94,Shot
3,0.600154195441478,0,0,0,0,28,94,Shot
8,0.909215202992551,0,0,0,0,30,94,Shot
9,0.93519673614672,0,0,0,0,32,94,Shot
11,2.04928150572972,0,0,0,0,34,94,Shot
11,3.72490673222198,0,0,0,0,36,94,Shot
13,3.7623771419641,0,0,0,0,38,94,Shot
14,3.10107853356504,0,0,0,0,40,94,Shot
15,2.26316106268324,0,0,0,0,42,94,Shot
13,1.24025299324105,0,0,0,0,44,94,Shot
11,0.847888842577892,0,0,0,0,46,94,Shot
11,1.28609680278925,1,0.00122379327760653,0.000951556115334713,0.0000793449680515235,48,94,Shot
11,1.54539082929215,1,0.00246441702616433,0.00159468852762193,0.000159781144237914,50,94,Shot
8,1.32448422108495,1,0.00182568503634079,0.00137841206960192,0.00011836878297282,52,94,Shot
8,1.35356922443812,1,0.00049755721646932,0.000367589043460901,0.0000322592566628365,54,94,Shot
7,1.05682024485691,0,0,0,0,56,94,Shot
5,0.362704010856302,0,0,0,0,58,94,Shot
4,0.0482789324860453,0,0,0,0,60,94,Shot
2,0.00211228402269946,0,0,0,0,62,94,Shot
1,0.000575080803047956,0,0,0,0,22,96,Shot
1,0.0162282780470584,0,0,0,0,24,96,Shot
2,0.1689613139577,0,0,0,0,26,96,Shot
5,0.64966490398515,0,0,0,0,28,96,Shot
9,0.964744482838411,0,0,0,0,30,96,Shot
11,0.950548284632878,0,0,0,0,32,96,Shot
15,2.1130015438633,0,0,0,0,34,96,Shot
15,3.6753187143111,0,0,0,0,36,96,Shot
15,3.49759869257122,0,0,0,0,38,96,Shot
14,3.11477636095991,0,0,0,0,40,96,Shot
17,2.78361325223842,0,0,0,0,42,96,Shot
18,1.90832730693283,0,0,0,0,44,96,Shot
13,0.974689872230825,1,0.00431438711696739,0.00442642038240617,0.000279724455283161,46,96,Shot
14,0.730382730278057,1,0.0236167281058251,0.0323347296243357,0.00153119695239957,48,96,Shot
13,1.16320193290817,1,0.0475582501646993,0.040885635433735,0.00308345200856517,50,96,Shot
12,1.34946428671145,1,0.0352320182657485,0.0261081516663228,0.00228427743054272,52,96,Shot
9,1.29805820924365,1,0.00960184511017152,0.00739708361442923,0.000622538223932934,54,96,Shot
6,1.07524064472118,1,0.000962669888351253,0.000895306453562198,0.0000624149625047638,56,96,Shot
5,0.456391002713639,0,0,0,0,58,96,Shot
4,0.0795739379326099,0,0,0,0,60,96,Shot
3,0.00542502587874825,0,0,0,0,62,96,Shot
1,0.000505986787842964,0,0,0,0,20,98,Shot
1,0.0012953167747981,0,0,0,0,22,98,Shot
2,0.00768716120402816,0,0,0,0,24,98,Shot
3,0.0722731783415095,0,0,0,0,26,98,Shot
4,0.305589231001105,0,0,0,0,28,98,Shot
8,0.576743050171926,0,0,0,0,30,98,Shot
11,0.792165153945993,0,0,0,0,32,98,Shot
16,1.55455230949983,0,0,0,0,34,98,Shot
19,2.34515790332265,0,0,0,0,36,98,Shot
20,2.11145668744783,0,0,0,0,38,98,Shot
16,1.90889635669693,1,0.000408425922654239,0.000213959192295259,0.0000264804051283845,40,98,Shot
19,2.04457361982557,1,0.000729464393975026,0.000356780693491125,0.000047295021221126,42,98,Shot
20,1.8828857157657,2,0.00253774639067943,0.00134779629450183,0.000164535473413564,44,98,Shot
16,1.18692258929464,1,0.0306292452290497,0.0258055963424303,0.00198585539617794,46,98,Shot
14,0.899566181667227,1,0.167662877032129,0.186381925475887,0.0108704679662556,48,98,Shot
13,1.14798318279774,1,0.33763157256574,0.294108465720641,0.0218904342985183,50,98,Shot
12,1.17259601919092,1,0.250123620834122,0.213307581418112,0.0162168325869784,52,98,Shot
10,1.38869272132672,1,0.0681666388660826,0.0490869130508283,0.00441960246226162,54,98,Shot
7,1.59954113874179,1,0.00683430839318337,0.0042726680969014,0.000443104232580806,56,98,Shot
