x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
112,48,Run,120,68,14,0.002,0,0,0.095
112,48,Run,120,70,14,0.014,0,0,0.095
112,48,Run,120,72,14,0.065,0,0.001,0.095
112,48,Run,120,74,14,0.214,0,0.002,0.095
112,48,Run,120,76,14,0.491,0,0.005,0.095
112,48,Run,120,78,14,0.784,0,0.008,0.095
112,48,Run,120,80,14,0.874,0,0.009,0.095
112,48,Run,118,68,14,0.002,0,0,0.095
112,48,Run,118,70,14,0.013,0,0,0.095
112,48,Run,118,72,14,0.061,0,0.001,0.095
112,48,Run,118,74,14,0.199,0,0.002,0.095
112,48,Run,118,76,14,0.456,0,0.004,0.095
112,48,Run,118,78,14,0.729,0,0.007,0.095
112,48,Run,118,80,14,0.813,0,0.008,0.095
112,48,Run,116,68,14,0.001,0,0,0.095
112,48,Run,116,70,14,0.008,0,0,0.095
112,48,Run,116,72,14,0.039,0,0,0.095
112,48,Run,116,74,14,0.129,0,0.001,0.095
112,48,Run,116,76,14,0.296,0,0.003,0.095
112,48,Run,116,78,14,0.473,0,0.005,0.095
112,48,Run,116,80,14,0.527,0,0.005,0.095
112,48,Run,114,68,14,0.001,0,0,0.095
112,48,Run,114,70,14,0.004,0,0,0.095
112,48,Run,114,72,14,0.018,0,0,0.095
112,48,Run,114,74,14,0.058,0,0.001,0.095
112,48,Run,114,76,14,0.134,0,0.001,0.095
112,48,Run,114,78,14,0.214,0,0.002,0.095
112,48,Run,114,80,14,0.238,0,0.002,0.095
112,48,Run,112,70,14,0.001,0,0,0.095
112,48,Run,112,72,14,0.006,0,0,0.095
112,48,Run,112,74,14,0.018,0,0,0.095
112,48,Run,112,76,14,0.042,0,0,0.095
112,48,Run,112,78,14,0.067,0,0.001,0.095
112,48,Run,112,80,14,0.075,0,0.001,0.095
112,48,Run,110,72,14,0.001,0,0,0.095
112,48,Run,110,74,14,0.004,0,0,0.095
112,48,Run,110,76,14,0.009,0,0,0.095
112,48,Run,110,78,14,0.015,0,0,0.095
112,48,Run,110,80,14,0.017,0,0,0.095
112,48,Run,108,74,14,0.001,0,0,0.095
112,48,Run,108,76,14,0.001,0,0,0.095
112,48,Run,108,78,14,0.002,0,0,0.095
112,48,Run,108,80,14,0.003,0,0,0.095
112,48,Pass,120,34,1,0,0,0,0
112,48,Pass,120,36,1,0,0,0,0
112,48,Pass,120,38,1,0.001,0,0,0
112,48,Pass,120,40,1,0.002,0,0,0
112,48,Pass,120,42,1,0.004,0,0,0
112,48,Pass,120,44,3,0.005,0,0,0
112,48,Pass,120,46,3,0.006,0,0,0
112,48,Pass,120,48,3,0.004,0,0,0
112,48,Pass,120,50,3,0.002,0,0,0
112,48,Pass,120,52,3,0.001,0,0,0
112,48,Pass,120,54,3,0.001,0,0,0
112,48,Pass,120,56,2,0,0,0,0
112,48,Pass,118,34,1,0,0,0,0
112,48,Pass,118,36,1,0,0,0,0
112,48,Pass,118,38,1,0.001,0,0,0
112,48,Pass,118,40,1,0.004,0,0,0
112,48,Pass,118,42,2,0.01,0,0,0
112,48,Pass,118,44,3,0.015,0,0,0
112,48,Pass,118,46,3,0.016,0,0,0
112,48,Pass,118,48,3,0.013,0,0,0
112,48,Pass,118,50,3,0.008,0,0,0
112,48,Pass,118,52,3,0.004,0,0,0
112,48,Pass,118,54,3,0.002,0,0,0
112,48,Pass,118,56,3,0.001,0,0,0
112,48,Pass,116,34,1,0,0,0,0
112,48,Pass,116,36,1,0.001,0,0,0
112,48,Pass,116,38,1,0.003,0,0,0
112,48,Pass,116,40,2,0.008,0,0,0
112,48,Pass,116,42,2,0.018,0,0,0
112,48,Pass,116,44,3,0.029,0,0,0
112,48,Pass,116,46,3,0.033,0,0,0
112,48,Pass,116,48,3,0.03,0,0,0
112,48,Pass,116,50,3,0.021,0,0,0
112,48,Pass,116,52,3,0.012,0,0,0
112,48,Pass,116,54,3,0.006,0,0,0
112,48,Pass,116,56,3,0.002,0,0,0
112,48,Pass,116,58,3,0.001,0,0,0
112,48,Pass,114,32,2,0,0,0,0
112,48,Pass,114,34,2,0,0,0,0
112,48,Pass,114,36,1,0.001,0,0,0
112,48,Pass,114,38,2,0.003,0,0,0
112,48,Pass,114,40,2,0.011,0,0,0
112,48,Pass,114,42,2,0.025,0,0,0
112,48,Pass,114,44,3,0.043,0,0,0
112,48,Pass,114,46,3,0.057,0,0,0
112,48,Pass,114,48,3,0.061,0,0,0
112,48,Pass,114,50,3,0.051,0,0,0
112,48,Pass,114,52,3,0.033,0,0,0
112,48,Pass,114,54,3,0.016,0,0,0
112,48,Pass,114,56,3,0.006,0,0,0
112,48,Pass,114,58,3,0.002,0,0,0
112,48,Pass,112,32,2,0,0,0,0.002
112,48,Pass,112,34,2,0,0,0,0
112,48,Pass,112,36,2,0.001,0,0,0
112,48,Pass,112,38,2,0.003,0,0,0
112,48,Pass,112,40,2,0.011,0,0,0
112,48,Pass,112,42,2,0.027,0,0,0
112,48,Pass,112,44,2,0.054,0,0,0
112,48,Pass,112,46,3,0.085,0,0,0
112,48,Pass,112,48,3,0.106,0,0,0
112,48,Pass,112,50,3,0.101,0,0,0
112,48,Pass,112,52,3,0.071,0,0,0
112,48,Pass,112,54,3,0.036,0,0,0
112,48,Pass,112,56,3,0.013,0,0,0
112,48,Pass,112,58,3,0.003,0,0,0
112,48,Pass,110,34,2,0,0,0,0.001
112,48,Pass,110,36,2,0,0,0,0
112,48,Pass,110,38,3,0.002,0,0,0
112,48,Pass,110,40,2,0.008,0,0,0
112,48,Pass,110,42,2,0.025,0,0,0
112,48,Pass,110,44,2,0.058,0,0,0
112,48,Pass,110,46,3,0.107,0,0,0
112,48,Pass,110,48,3,0.149,0,0,0
112,48,Pass,110,50,3,0.152,0,0,0
112,48,Pass,110,52,3,0.11,0,0,0
112,48,Pass,110,54,3,0.056,0,0,0
112,48,Pass,110,56,3,0.02,0,0,0
112,48,Pass,110,58,3,0.005,0,0,0
112,48,Pass,108,34,2,0,0,0,0.002
112,48,Pass,108,36,2,0,0,0,0
112,48,Pass,108,38,3,0.001,0,0,0
112,48,Pass,108,40,2,0.006,0,0,0
112,48,Pass,108,42,2,0.02,0,0,0
112,48,Pass,108,44,2,0.053,0,0,0
112,48,Pass,108,46,2,0.108,0,0,0
112,48,Pass,108,48,3,0.158,0,0,0
112,48,Pass,108,50,3,0.165,0,0,0
112,48,Pass,108,52,3,0.122,0,0,0
112,48,Pass,108,54,3,0.063,0,0,0
112,48,Pass,108,56,3,0.023,0,0,0
112,48,Pass,106,36,2,0,0,0,0.001
112,48,Pass,106,38,3,0.001,0,0,0
112,48,Pass,106,40,2,0.003,0,0,0
112,48,Pass,106,42,2,0.013,0,0,0
112,48,Pass,106,44,2,0.038,0,0,0
112,48,Pass,106,46,2,0.08,0,0,0
112,48,Pass,106,48,2,0.121,0,0,0
112,48,Pass,106,50,2,0.128,0,0,0
112,48,Pass,106,52,3,0.095,0,0,0
112,48,Pass,106,54,3,0.049,0,0,0
112,48,Pass,106,56,3,0.018,0,0,0
112,48,Pass,104,38,3,0,0,0,0
112,48,Pass,104,40,2,0.002,0,0,0
112,48,Pass,104,42,2,0.006,0,0,0
112,48,Pass,104,44,2,0.02,0,0,0
112,48,Pass,104,46,2,0.043,0,0,0
112,48,Pass,104,48,2,0.065,0,0,0
112,48,Pass,104,50,2,0.07,0,0,0
112,48,Pass,104,52,2,0.052,0,0,0
112,48,Pass,104,54,2,0.027,0,0,0
112,48,Pass,102,40,2,0.001,0,0,0
112,48,Pass,102,42,2,0.002,0,0,0
112,48,Pass,102,44,2,0.007,0,0,0
112,48,Pass,102,46,2,0.016,0,0,0
112,48,Pass,102,48,2,0.025,0,0,0
112,48,Pass,102,50,2,0.026,0,0,0
112,48,Run,96,2,1,0,0,0,0
112,48,Run,96,4,1,0,0,0,0
112,48,Run,96,6,1,0,0,0,0
112,48,Run,96,8,1,0,0,0,0
112,48,Run,96,10,1,0,0,0,0
112,48,Run,94,0,1,0,0,0,0
112,48,Run,94,2,1,0,0,0,0
112,48,Run,94,4,1,0,0,0,0
112,48,Run,94,6,1,0,0,0,0
112,48,Run,94,8,1,0,0,0,0
112,48,Run,94,10,1,0,0,0,0
112,48,Run,94,12,1,0,0,0,0
112,48,Run,94,14,1,0,0,0,0
112,48,Run,92,0,1,0,0,0,0
112,48,Run,92,2,1,0.001,0,0,0
112,48,Run,92,4,1,0.002,0,0,0
112,48,Run,92,6,1,0.002,0,0,0
112,48,Run,92,8,1,0.001,0,0,0
112,48,Run,92,10,1,0.001,0,0,0
112,48,Run,92,12,1,0,0,0,0
112,48,Run,92,14,1,0,0,0,0
112,48,Run,92,16,1,0,0,0,0
112,48,Run,90,0,1,0.001,0,0,0
112,48,Run,90,2,1,0.003,0,0,0
112,48,Run,90,4,1,0.006,0,0,0
112,48,Run,90,6,1,0.006,0,0,0
112,48,Run,90,8,1,0.005,0,0,0
112,48,Run,90,10,1,0.003,0,0,0
112,48,Run,90,12,1,0.001,0,0,0
112,48,Run,90,14,1,0,0,0,0
112,48,Run,90,16,1,0,0,0,0
112,48,Run,88,0,1,0.003,0,0,0
112,48,Run,88,2,1,0.008,0,0,0
112,48,Run,88,4,1,0.014,0,0,0
112,48,Run,88,6,1,0.016,0,0,0
112,48,Run,88,8,1,0.013,0,0,0
112,48,Run,88,10,1,0.007,0,0,0
112,48,Run,88,12,1,0.003,0,0,0
112,48,Run,88,14,1,0.001,0,0,0
112,48,Run,88,16,1,0,0,0,0
112,48,Run,88,18,1,0,0,0,0
112,48,Run,86,0,1,0.006,0,0,0
112,48,Run,86,2,1,0.015,0,0,0
112,48,Run,86,4,1,0.025,0,0,0
112,48,Run,86,6,1,0.029,0,0,0
