x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
8,40,Pass,68,62,72,5.289,0,0,0.001
8,40,Pass,68,64,77,5.265,0,0,0.001
8,40,Pass,66,56,52,3.884,0,0,0.001
8,40,Pass,66,58,56,4.738,0,0.001,0.002
8,40,Pass,66,60,64,5.209,0,0.001,0.003
8,40,Pass,66,62,71,5.3,0,0.001,0.003
8,40,Pass,66,64,78,5.202,0,0.001,0.002
8,40,Pass,66,66,79,5.114,0,0,0.001
8,40,Pass,66,68,87,5.217,0,0,0
8,40,Pass,64,54,48,2.257,0,0,0.002
8,40,Pass,64,56,51,3.172,0,0.001,0.003
8,40,Pass,64,58,55,4.046,0,0.001,0.005
8,40,Pass,64,60,59,4.633,0,0.002,0.007
8,40,Pass,64,62,70,4.816,0,0.002,0.007
8,40,Pass,64,64,75,4.712,0,0.001,0.006
8,40,Pass,64,66,81,4.604,0,0.001,0.003
8,40,Pass,64,68,85,4.801,0,0,0.001
8,40,Pass,64,70,89,5.423,0,0,0
8,40,Pass,62,52,41,1.368,0,0,0.006
8,40,Pass,62,54,46,1.787,0,0,0.004
8,40,Pass,62,56,50,2.381,0,0.001,0.006
8,40,Pass,62,58,56,3.065,0,0.002,0.01
8,40,Pass,62,60,58,3.636,0,0.002,0.013
8,40,Pass,62,62,67,3.879,0,0.003,0.013
8,40,Pass,62,64,71,3.785,0,0.002,0.01
8,40,Pass,62,66,79,3.65,0,0.001,0.005
8,40,Pass,62,68,82,3.847,0,0,0.002
8,40,Pass,62,70,87,4.465,0,0,0
8,40,Pass,62,72,87,5.167,0,0,0
8,40,Pass,60,50,39,1.389,0,0.001,0.011
8,40,Pass,60,52,39,1.511,0,0,0.004
8,40,Pass,60,54,42,1.648,0,0,0.004
8,40,Pass,60,56,53,1.888,0,0.001,0.008
8,40,Pass,60,58,55,2.243,0,0.002,0.014
8,40,Pass,60,60,62,2.605,0,0.002,0.019
8,40,Pass,60,62,68,2.766,0,0.003,0.019
8,40,Pass,60,64,70,2.678,0,0.002,0.014
8,40,Pass,60,66,75,2.578,0,0.001,0.008
8,40,Pass,60,68,86,2.765,0,0,0.003
8,40,Pass,60,70,88,3.278,0,0,0.001
8,40,Pass,60,72,84,3.833,0,0,0
8,40,Pass,60,74,79,4.099,0,0,0
8,40,Pass,58,50,38,1.68,0,0,0.004
8,40,Pass,58,52,40,1.708,0,0,0.002
8,40,Pass,58,54,40,1.665,0,0,0.002
8,40,Pass,58,56,48,1.65,0,0.001,0.006
8,40,Pass,58,58,55,1.697,0,0.001,0.013
8,40,Pass,58,60,61,1.785,0,0.002,0.019
8,40,Pass,58,62,62,1.811,0,0.002,0.02
8,40,Pass,58,64,71,1.761,0,0.001,0.015
8,40,Pass,58,66,78,1.778,0,0.001,0.008
8,40,Pass,58,68,86,1.997,0,0,0.003
8,40,Pass,58,70,86,2.415,0,0,0.001
8,40,Pass,58,72,81,2.888,0,0,0
8,40,Pass,58,74,79,3.182,0,0,0
8,40,Pass,56,50,36,1.828,0,0,0.001
8,40,Pass,56,52,42,1.742,0,0,0.001
8,40,Pass,56,54,42,1.573,0,0,0.001
8,40,Pass,56,56,46,1.412,0,0,0.004
8,40,Pass,56,58,52,1.287,0,0.001,0.008
8,40,Pass,56,60,57,1.207,0,0.001,0.014
8,40,Pass,56,62,63,1.161,0,0.001,0.015
8,40,Pass,56,64,76,1.181,0,0.001,0.011
8,40,Pass,56,66,75,1.331,0,0,0.005
8,40,Pass,56,68,76,1.612,0,0,0.002
8,40,Pass,56,70,79,2.013,0,0,0
8,40,Pass,56,72,78,2.536,0,0,0
8,40,Pass,56,74,71,3.01,0,0,0
8,40,Pass,54,50,36,1.865,0,0,0
8,40,Pass,54,52,39,1.653,0,0,0
8,40,Pass,54,54,41,1.369,0,0,0
8,40,Pass,54,56,45,1.128,0,0,0.001
8,40,Pass,54,58,51,0.952,0,0,0.004
8,40,Pass,54,60,57,0.838,0,0,0.007
8,40,Pass,54,62,61,0.79,0,0,0.008
8,40,Pass,54,64,71,0.864,0,0,0.005
8,40,Pass,54,66,73,1.091,0,0,0.002
8,40,Pass,54,68,75,1.422,0,0,0.001
8,40,Pass,54,70,75,1.86,0,0,0
8,40,Pass,54,72,74,2.49,0,0,0
8,40,Pass,54,74,67,3.152,0,0,0
8,40,Pass,52,50,32,1.846,0,0,0
8,40,Pass,52,52,37,1.557,0,0,0
8,40,Pass,52,54,43,1.205,0,0,0
8,40,Pass,52,56,47,0.928,0,0,0
8,40,Pass,52,58,48,0.761,0,0,0.001
8,40,Pass,52,60,56,0.666,0,0,0.002
8,40,Pass,52,62,59,0.625,0,0,0.002
8,40,Pass,52,64,64,0.701,0,0,0.002
8,40,Pass,52,66,69,0.928,0,0,0.001
8,40,Pass,52,68,72,1.252,0,0,0
8,40,Pass,52,70,71,1.685,0,0,0
8,40,Pass,52,72,66,2.328,0,0,0
8,40,Pass,52,74,59,3.021,0,0,0
8,40,Pass,50,50,40,1.72,0,0,0
8,40,Pass,50,52,42,1.432,0,0,0
8,40,Pass,50,54,46,1.102,0,0,0
8,40,Pass,50,56,48,0.867,0,0,0
8,40,Pass,50,58,50,0.747,0,0,0
8,40,Pass,50,60,56,0.671,0,0,0
8,40,Pass,50,62,60,0.607,0,0,0
8,40,Pass,50,64,67,0.628,0,0,0
8,40,Pass,50,66,70,0.777,0,0,0
8,40,Pass,50,68,71,1.015,0,0,0
8,40,Pass,50,70,67,1.353,0,0,0
8,40,Pass,50,72,66,1.872,0,0,0
8,40,Pass,50,74,65,2.431,0,0,0
8,40,Pass,48,52,52,1.253,0,0,0
8,40,Pass,48,54,51,1.02,0,0,0
8,40,Pass,48,56,54,0.907,0,0,0
8,40,Pass,48,58,57,0.876,0,0,0
8,40,Pass,48,60,59,0.813,0,0,0
8,40,Pass,48,62,59,0.698,0,0,0
8,40,Pass,48,64,70,0.623,0,0,0
8,40,Pass,48,66,71,0.645,0,0,0
8,40,Pass,48,68,79,0.748,0,0,0
8,40,Pass,48,70,72,0.948,0,0,0
8,40,Pass,48,72,69,1.313,0,0,0
8,40,Pass,46,54,58,1.019,0,0,0
8,40,Pass,46,56,57,1.055,0,0,0
8,40,Pass,46,58,57,1.13,0,0,0
8,40,Pass,46,60,59,1.081,0,0,0
8,40,Pass,46,62,63,0.903,0,0,0
8,40,Pass,46,64,73,0.717,0,0,0
8,40,Pass,46,66,79,0.604,0,0,0
8,40,Pass,46,68,82,0.577,0,0,0
8,40,Pass,46,70,84,0.682,0,0,0
8,40,Pass,46,72,78,0.989,0,0,0
8,40,Pass,44,56,67,1.374,0,0,0
8,40,Pass,44,58,57,1.557,0,0,0
8,40,Pass,44,60,59,1.523,0,0,0
8,40,Pass,44,62,67,1.266,0,0,0
