x,y,WeightedExpectedGoals,GoalProbability
0,0,0.180654708104208,0.009
0,2,0.150936773117772,0.008
0,4,0.0879475923078311,0.007
0,6,0.0357788090010383,0.004
0,8,0.0101847667139045,0.001
0,10,0.00210182052442153,0
0,12,0.000949306745528706,0
0,14,0.00282562357571931,0
0,16,0.00838728930963814,0.001
0,18,0.0175282566204709,0.001
0,20,0.0260627834837032,0.002
0,22,0.0286244655145815,0.002
0,24,0.02597918321338,0.002
0,26,0.0284090506395722,0.002
0,28,0.0508698473869511,0.003
0,30,0.102766079326673,0.005
0,32,0.173184168013031,0.006
0,34,0.229322415618134,0.006
0,36,0.240570956064835,0.005
0,38,0.205733042057708,0.004
0,40,0.154378285169172,0.003
0,42,0.117786611984576,0.002
0,44,0.100985076179978,0.002
0,46,0.0926549012497187,0.003
0,48,0.0950200329082559,0.003
0,50,0.12021984702829,0.006
0,52,0.1571870805992,0.009
0,54,0.16786221600871,0.011
0,56,0.132822637597842,0.009
0,58,0.0763214853462925,0.006
0,60,0.0321788344842361,0.003
0,62,0.0102853578505396,0.001
0,64,0.00264091738648453,0
0,66,0.000521873048315966,0
0,68,0.00010033855827671,0
0,70,0.0000163219577052026,0
0,72,0.000000368829883055243,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.151217879960156,0.008
2,2,0.126739804265851,0.007
2,4,0.0744775159237136,0.005
2,6,0.0309410347011475,0.002
2,8,0.0092656926922497,0.001
2,10,0.00241367172122872,0
2,12,0.00236320516645827,0
2,14,0.00842930138929641,0.001
2,16,0.0250864505798282,0.001
2,18,0.0528607456788749,0.002
2,20,0.0799704561340875,0.003
2,22,0.0902224176223659,0.003
2,24,0.0832193471245572,0.003
2,26,0.0821292562362606,0.003
2,28,0.122203661210701,0.004
2,30,0.226383018035973,0.006
2,32,0.371770492913431,0.007
2,34,0.48752490748108,0.007
2,36,0.509477587566176,0.006
2,38,0.43879275945953,0.004
2,40,0.337191560189953,0.003
2,42,0.267846715638425,0.002
2,44,0.238503043280691,0.002
2,46,0.223272893007241,0.003
2,48,0.221931069789228,0.004
2,50,0.258694871932661,0.006
2,52,0.31525894461738,0.009
2,54,0.32270200605503,0.011
2,56,0.248777000600679,0.009
2,58,0.140834294339621,0.006
2,60,0.0594998225121391,0.003
2,62,0.0197325008268624,0.001
2,64,0.0055502193002707,0
2,66,0.00142628647902771,0
2,68,0.000311213008744214,0
2,70,0.0000658795439874015,0
2,72,0.00000848007820214719,0
2,74,0.000000464609379436393,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.0899823114842893,0.005
4,2,0.0778890751014561,0.004
4,4,0.0493811650184308,0.003
4,6,0.0241696370601028,0.001
4,8,0.00998783947026803,0.001
4,10,0.00433756994485624,0
4,12,0.00549370627370772,0
4,14,0.0181939312106517,0.001
4,16,0.0530676905232654,0.002
4,18,0.113073861242965,0.004
4,20,0.176476136389549,0.005
4,22,0.209305683373938,0.005
