x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
120,20,Pass,120,28,62,1.151,0,0.001,0.017
120,20,Pass,120,30,64,0.906,1,0.002,0.045
120,20,Pass,120,32,67,1.108,1,0.003,0.053
120,20,Pass,120,34,60,1.541,1,0.003,0.039
120,20,Pass,120,36,57,1.798,1,0.002,0.026
120,20,Pass,120,38,53,1.63,1,0.002,0.018
120,20,Pass,120,40,48,1.177,1,0.001,0.022
120,20,Pass,120,42,42,0.754,1,0.002,0.041
120,20,Pass,120,44,34,0.485,0,0.002,0.072
120,20,Pass,120,46,26,0.306,0,0.002,0.099
120,20,Pass,118,26,71,2.513,0,0.001,0.006
120,20,Pass,118,28,75,1.758,1,0.002,0.026
120,20,Pass,118,30,77,1.497,1,0.005,0.063
120,20,Pass,118,32,76,1.885,1,0.007,0.073
120,20,Pass,118,34,72,2.549,1,0.007,0.055
120,20,Pass,118,36,66,2.895,1,0.005,0.037
120,20,Pass,118,38,57,2.615,1,0.003,0.026
120,20,Pass,118,40,52,1.959,1,0.003,0.027
120,20,Pass,118,42,48,1.359,1,0.003,0.045
120,20,Pass,118,44,42,0.949,1,0.004,0.072
120,20,Pass,118,46,31,0.621,0,0.003,0.095
120,20,Pass,116,26,83,2.869,1,0.001,0.009
120,20,Pass,116,28,86,2.15,1,0.004,0.035
120,20,Pass,116,30,86,1.995,1,0.008,0.077
120,20,Pass,116,32,86,2.526,1,0.011,0.089
120,20,Pass,116,34,81,3.255,1,0.012,0.071
120,20,Pass,116,36,73,3.545,1,0.009,0.049
120,20,Pass,116,38,62,3.171,1,0.006,0.035
120,20,Pass,116,40,58,2.475,1,0.004,0.033
120,20,Pass,116,42,50,1.873,1,0.005,0.048
120,20,Pass,116,44,45,1.417,1,0.005,0.071
120,20,Pass,116,46,39,0.962,2,0.004,0.09
120,20,Pass,116,48,30,0.519,1,0.003,0.103
120,20,Pass,114,24,82,3.115,1,0,0.002
120,20,Pass,114,26,88,2.681,1,0.001,0.011
120,20,Pass,114,28,90,2.178,1,0.004,0.039
120,20,Pass,114,30,88,2.161,1,0.009,0.081
120,20,Pass,114,32,87,2.681,1,0.013,0.096
120,20,Pass,114,34,85,3.242,1,0.014,0.082
120,20,Pass,114,36,81,3.347,1,0.01,0.061
120,20,Pass,114,38,68,2.954,1,0.007,0.044
120,20,Pass,114,40,62,2.423,1,0.005,0.04
120,20,Pass,114,42,56,2.027,1,0.006,0.053
120,20,Pass,114,44,47,1.674,1,0.006,0.072
120,20,Pass,114,46,41,1.189,2,0.005,0.087
120,20,Pass,114,48,32,0.653,2,0.003,0.098
120,20,Pass,112,24,84,2.302,1,0,0.003
120,20,Pass,112,26,89,2.121,1,0.001,0.011
120,20,Pass,112,28,89,1.855,1,0.004,0.037
120,20,Pass,112,30,89,1.908,1,0.007,0.074
120,20,Pass,112,32,89,2.271,1,0.011,0.092
120,20,Pass,112,34,85,2.557,1,0.011,0.086
120,20,Pass,112,36,81,2.488,1,0.009,0.07
120,20,Pass,112,38,71,2.168,1,0.006,0.053
120,20,Pass,112,40,63,1.897,1,0.005,0.049
120,20,Pass,112,42,58,1.782,1,0.005,0.06
120,20,Pass,112,44,53,1.619,2,0.006,0.075
