Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000350552526882633,0,0,0,0,46,54,Shot
1,0.00062610028500893,0,0,0,0,48,54,Shot
1,0.000411377201150418,0,0,0,0,50,54,Shot
1,0.00203756461595494,0,0,0,0,44,56,Shot
1,0.00989228617300219,0,0,0,0,46,56,Shot
1,0.0176680032729594,0,0,0,0,48,56,Shot
1,0.01160870536298,0,0,0,0,50,56,Shot
1,0.00280598680426006,0,0,0,0,52,56,Shot
1,0.00160280509563353,0,0,0,0,42,58,Shot
1,0.0211524402900801,0,0,0,0,44,58,Shot
1,0.102694162908177,0,0,0,0,46,58,Shot
1,0.183415721567713,0,0,0,0,48,58,Shot
1,0.120512716560149,0,0,0,0,50,58,Shot
1,0.0291296128069276,0,0,0,0,52,58,Shot
1,0.00259025228675765,0,0,0,0,54,58,Shot
1,0.0061211823908473,0,0,0,0,42,60,Shot
1,0.0807820897124796,0,0,0,0,44,60,Shot
1,0.392193475893506,0,0,0,0,46,60,Shot
1,0.700472620235253,0,0,0,0,48,60,Shot
1,0.460243307493092,0,0,0,0,50,60,Shot
1,0.111247258604133,0,0,0,0,52,60,Shot
1,0.00989228617300212,0,0,0,0,54,60,Shot
1,0.00859994045142122,0,0,0,0,42,62,Shot
1,0.11349460230224,0,0,0,0,44,62,Shot
1,0.551011278991342,0,0,0,0,46,62,Shot
1,0.984127320055285,0,0,0,0,48,62,Shot
1,0.646617725935439,0,0,0,0,50,62,Shot
1,0.156296567932682,0,0,0,0,52,62,Shot
1,0.0138981436239249,0,0,0,0,54,62,Shot
1,0.000454642119070795,0,0,0,0,56,62,Shot
1,0.0044448906988662,0,0,0,0,42,64,Shot
1,0.0586598366575176,0,0,0,0,44,64,Shot
1,0.284790914866653,0,0,0,0,46,64,Shot
1,0.508647518680314,0,0,0,0,48,64,Shot
1,0.334205234555719,0,0,0,0,50,64,Shot
1,0.080782089712479,0,0,0,0,52,64,Shot
1,0.00718327407898287,0,0,0,0,54,64,Shot
1,0.000845146984145154,0,0,0,0,42,66,Shot
1,0.0111535215149822,0,0,0,0,44,66,Shot
1,0.0541498540949243,0,0,0,0,46,66,Shot
1,0.096713720433044,0,0,0,0,48,66,Shot
1,0.0635454424430139,0,0,0,0,50,66,Shot
1,0.0153598241484003,0,0,0,0,52,66,Shot
1,0.00136582040716749,0,0,0,0,54,66,Shot
1,0.000780168996163757,0,0,0,0,44,68,Shot
1,0.0037876860016725,0,0,0,0,46,68,Shot
1,0.00676495276260116,0,0,0,0,48,68,Shot
