x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
98,16,Pass,114,0,3,0.002,0,0,0
98,16,Pass,114,2,4,0.004,0,0,0
98,16,Pass,114,4,4,0.006,0,0,0
98,16,Pass,114,6,4,0.006,0,0,0
98,16,Pass,114,8,3,0.004,0,0,0
98,16,Pass,112,0,4,0.011,0,0,0
98,16,Pass,112,2,5,0.022,0,0,0
98,16,Pass,112,4,5,0.031,0,0,0
98,16,Pass,112,6,5,0.03,0,0,0
98,16,Pass,112,8,5,0.02,0,0,0
98,16,Pass,112,10,4,0.01,0,0,0
98,16,Pass,112,12,4,0.005,0,0,0
98,16,Pass,110,0,4,0.041,0,0,0
98,16,Pass,110,2,5,0.079,0,0,0
98,16,Pass,110,4,5,0.108,0,0,0
98,16,Pass,110,6,5,0.104,0,0,0
98,16,Pass,110,8,6,0.07,0,0,0
98,16,Pass,110,10,6,0.034,0,0,0
98,16,Pass,110,12,5,0.014,0,0,0
98,16,Pass,110,14,4,0.009,0,0,0
98,16,Pass,108,0,4,0.107,0,0,0
98,16,Pass,108,2,5,0.2,0,0,0
98,16,Pass,108,4,5,0.268,0,0,0
98,16,Pass,108,6,5,0.254,0,0,0
98,16,Pass,108,8,6,0.171,0,0,0
98,16,Pass,108,10,6,0.082,0,0,0
98,16,Pass,108,12,6,0.033,0,0,0
98,16,Pass,108,14,4,0.022,0,0,0
98,16,Pass,106,0,4,0.204,0,0,0
98,16,Pass,106,2,4,0.365,0,0,0
98,16,Pass,106,4,5,0.474,0,0,0
98,16,Pass,106,6,6,0.441,0,0,0
98,16,Pass,106,8,6,0.292,0,0,0
98,16,Pass,106,10,6,0.139,0,0,0
98,16,Pass,106,12,6,0.055,0,0,0
98,16,Pass,106,14,6,0.04,0,0,0
98,16,Pass,106,16,4,0.059,0,0,0
98,16,Pass,104,0,4,0.29,0,0,0
98,16,Pass,104,2,4,0.49,0,0,0
98,16,Pass,104,4,5,0.608,0,0,0
98,16,Pass,104,6,6,0.547,0,0,0
98,16,Pass,104,8,6,0.354,0,0,0
98,16,Pass,104,10,6,0.166,0,0,0
98,16,Pass,104,12,6,0.067,0,0,0
98,16,Pass,104,14,6,0.052,0,0,0
98,16,Pass,104,16,4,0.078,0,0,0
98,16,Pass,102,0,4,0.315,0,0,0
98,16,Pass,102,2,4,0.495,0,0,0
98,16,Pass,102,4,4,0.578,0,0,0
98,16,Pass,102,6,6,0.495,0,0,0
98,16,Pass,102,8,6,0.309,0,0,0
98,16,Pass,102,10,6,0.142,0,0,0
98,16,Pass,102,12,6,0.058,0,0,0
98,16,Pass,102,14,7,0.047,0,0,0
98,16,Pass,102,16,5,0.074,0,0,0
98,16,Pass,100,0,4,0.261,0,0,0
98,16,Pass,100,2,4,0.383,0,0,0
98,16,Pass,100,4,4,0.416,0,0,0
98,16,Pass,100,6,6,0.334,0,0,0
98,16,Pass,100,8,7,0.198,0,0,0
98,16,Pass,100,10,8,0.087,0,0,0
98,16,Pass,100,12,8,0.035,0,0,0
98,16,Pass,100,14,8,0.031,0,0,0
98,16,Pass,100,16,6,0.049,0,0,0
98,16,Pass,98,0,4,0.164,0,0,0
98,16,Pass,98,2,4,0.227,0,0,0
98,16,Pass,98,4,5,0.23,0,0,0
98,16,Pass,98,6,5,0.172,0,0,0
98,16,Pass,98,8,7,0.095,0,0,0
98,16,Pass,98,10,7,0.04,0,0,0
98,16,Pass,98,12,8,0.017,0,0,0
98,16,Pass,98,14,8,0.016,0,0,0
98,16,Pass,98,16,6,0.025,0,0,0
98,16,Pass,96,0,4,0.077,0,0,0
98,16,Pass,96,2,5,0.102,0,0,0
98,16,Pass,96,4,5,0.098,0,0,0
98,16,Pass,96,6,6,0.068,0,0,0
98,16,Pass,96,8,7,0.036,0,0,0
98,16,Pass,96,10,7,0.015,0,0,0
98,16,Pass,96,12,7,0.01,0,0,0
98,16,Pass,96,14,7,0.013,0,0,0
98,16,Pass,94,0,4,0.026,0,0,0
98,16,Pass,94,2,5,0.034,0,0,0
98,16,Pass,94,4,5,0.031,0,0,0
98,16,Pass,94,6,6,0.021,0,0,0
98,16,Pass,94,8,6,0.011,0,0,0
98,16,Pass,94,10,7,0.008,0,0,0
98,16,Pass,94,12,7,0.013,0,0,0
98,16,Pass,94,14,5,0.025,0,0,0
98,16,Pass,92,0,5,0.006,0,0,0
98,16,Pass,92,2,5,0.008,0,0,0
98,16,Pass,92,4,6,0.008,0,0,0
98,16,Pass,92,6,6,0.005,0,0,0
98,16,Pass,92,8,6,0.005,0,0,0
98,16,Pass,92,10,6,0.009,0,0,0
98,16,Pass,92,12,5,0.023,0,0,0
98,16,Pass,90,0,4,0.001,0,0,0
98,16,Pass,90,2,4,0.001,0,0,0
98,16,Pass,90,4,5,0.001,0,0,0
98,16,Pass,90,6,5,0.002,0,0,0
98,16,Pass,90,8,5,0.004,0,0,0
98,16,Pass,116,38,6,0.107,0,0,0.003
98,16,Pass,116,40,8,0.171,0,0,0.007
98,16,Pass,116,42,8,0.2,0,0,0.013
98,16,Pass,114,34,5,0.036,0,0,0.001
98,16,Pass,114,36,7,0.096,0,0,0.001
98,16,Pass,114,38,8,0.189,0,0,0.003
98,16,Pass,114,40,8,0.274,0,0,0.007
98,16,Pass,114,42,8,0.295,0,0,0.015
98,16,Pass,114,44,8,0.24,0,0,0.028
98,16,Pass,114,46,8,0.149,0,0,0.049
98,16,Pass,112,32,4,0.024,0,0,0
