x,y,WeightedExpectedGoals,GoalProbability
2,62,0,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,58,0,0
4,60,0,0
4,62,0,0
4,64,0,0
4,66,0,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0,0
6,34,0,0
6,36,0,0
6,56,0,0
6,58,0,0
6,60,0,0
6,62,0,0
6,64,0,0
6,66,0,0
6,68,0,0
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0,0
8,28,0,0
8,30,0,0
8,32,0,0
8,34,0,0
8,36,0,0
8,38,0,0
8,40,0,0
8,56,0,0
8,58,0,0
8,60,0,0
8,62,0,0
8,64,0,0
8,66,0,0
8,68,0,0
8,70,0,0
8,72,0,0
8,74,0,0
8,76,0,0
8,78,0,0
10,14,0,0
10,16,0,0
10,18,0,0
10,20,0,0
10,22,0,0
10,24,0,0
10,26,0,0
10,28,0,0
10,30,0,0
10,32,0,0
10,34,0,0
10,36,0,0
10,38,0,0
10,40,0,0
10,54,0,0
10,56,0,0
10,58,0,0
10,60,0,0
10,62,0,0
10,64,0,0
10,66,0,0
10,68,0,0
10,70,0,0
10,72,0,0
10,74,0,0
10,76,0,0
10,78,0,0
12,12,0,0
12,14,0,0
12,16,0,0
12,18,0,0
12,20,0,0
12,22,0,0
12,24,0,0
12,26,0,0
12,28,0,0
12,30,0,0
12,32,0,0
12,34,0,0
12,36,0,0
12,38,0,0
12,40,0,0
12,42,0,0
12,50,0,0
12,52,0,0
12,54,0,0
12,56,0,0
12,58,0,0
12,60,0,0
12,62,0,0
12,64,0,0
12,66,0,0
12,68,0,0
12,70,0,0
12,72,0,0
12,74,0,0
12,76,0,0
12,78,0,0
14,12,0,0
14,14,0,0
14,16,0,0
14,18,0,0
14,20,0,0
14,22,0,0
14,24,0,0
14,26,0,0
14,28,0,0
14,30,0,0
14,32,0,0
14,34,0,0
14,36,0,0
14,38,0,0
14,40,0,0
14,42,0,0
14,46,0,0
14,48,0,0
14,50,0,0
14,52,0,0
14,54,0,0
14,56,0,0
14,58,0,0
14,60,0,0
14,62,0,0
14,64,0,0
14,66,0,0
14,68,0,0
14,70,0,0
14,72,0,0
14,74,0,0
14,76,0,0
14,78,0,0
14,80,0,0
16,12,0,0
16,14,0,0
16,16,0,0
16,18,0,0
16,20,0,0
16,22,0,0
16,24,0,0
16,26,0,0
16,28,0,0
16,30,0,0
16,32,0,0
16,34,0,0
16,36,0,0
16,38,0,0
16,40,0,0
16,42,0,0
16,44,0,0
16,46,0,0
16,48,0,0
16,50,0,0
16,52,0,0
16,54,0,0
16,56,0,0
16,58,0,0
16,60,0,0
16,62,0,0
16,64,0,0
16,66,0,0
16,68,0,0
16,70,0,0
16,72,0,0
16,74,0,0
16,76,0,0
16,78,0,0
16,80,0,0
18,12,0,0
18,14,0,0
18,16,0,0
18,18,0,0
18,20,0,0
18,22,0,0
18,24,0,0
18,26,0,0
18,28,0,0
18,30,0,0
18,32,0,0
18,34,0,0
18,36,0,0
18,38,0,0
18,40,0,0
18,42,0,0
18,44,0,0
18,46,0,0
18,48,0,0
18,50,0,0
18,52,0.0000433163564425494,0
18,54,0.0000884783643828512,0
18,56,0.000125997833415538,0
18,58,0.000125092103009914,0
18,60,0.0000865839780073672,0
18,62,0.0000417816898826159,0
18,64,0,0
18,66,0,0
18,68,0,0
18,70,0,0
18,72,0,0
18,74,0,0
18,76,0,0
18,78,0,0
18,80,0,0
20,12,0,0
20,14,0,0
20,16,0,0
20,18,0,0
20,20,0,0
20,22,0,0
20,24,0,0
20,26,0,0
20,28,0,0
20,30,0,0
20,32,0,0
20,34,0,0
20,36,0,0
20,38,0,0
20,40,0,0
20,42,0,0
20,44,0,0
20,46,0,0
20,48,0.0000234601789757261,0
20,50,0.000098590447572157,0
20,52,0.000288854528272741,0.001
20,54,0.000590016758220398,0.001
20,56,0.000840214822382475,0.001
20,58,0.000834174971606808,0.001
20,60,0.000577384068682382,0.001
20,62,0.000278620625386346,0
20,64,0.0000937351661789383,0
20,66,0.0000219853138354276,0
20,68,0,0
20,70,0,0
20,72,0,0
20,74,0,0
20,76,0,0
20,78,0,0
20,80,0,0
22,12,0,0
22,14,0,0
22,16,0,0
22,18,0,0
22,20,0,0
22,22,0,0
22,24,0,0
22,26,0,0
22,28,0,0
22,30,0,0
22,32,0,0
22,34,0,0
22,36,0,0
22,38,0,0
22,40,0,0
22,42,0,0
22,44,0,0
22,46,0.0000180940886957101,0
22,48,0.000109068516785859,0
22,50,0.000458356003893885,0.001
22,52,0.00134291110899813,0.001
22,54,0.00274304184825205,0.002
22,56,0.0039062355216288,0.003
22,58,0.00387815570321005,0.003
22,60,0.00268431131971034,0.003
22,62,0.00129533275889668,0.001
22,64,0.00043578335682737,0
22,66,0.000102211733916557,0
22,68,0.0000132229267178595,0
22,70,0.000032115091372946,0
22,72,0.0000543790426803992,0
22,74,0.0000641940503197153,0
22,76,0.0000528322155833905,0
22,78,0.0000303140312490591,0
22,80,0.0000121263301753823,0.001
24,12,0,0
24,14,0,0
24,16,0,0
24,18,0,0
24,20,0,0
24,22,0,0
24,24,0,0
24,26,0,0
24,28,0,0
24,30,0,0
24,32,0,0
24,34,0,0
24,36,0,0
24,38,0,0
24,40,0,0
24,42,0,0
24,44,0,0
24,46,0.0000586469763146013,0
24,48,0.000353515384398747,0
24,50,0.00148563401871647,0.001
24,52,0.00435267436379378,0.003
24,54,0.00889081030881312,0.005
24,56,0.0126609803880608,0.008
24,58,0.0125699674349678,0.008
24,60,0.00870045156932343,0.007
24,62,0.0041984623214847,0.004
24,64,0.00141247103603574,0.002
24,66,0.000356420352876624,0
24,68,0.000141715764806231,0
24,70,0.000212619572162211,0
24,72,0.000360019177745112,0
24,74,0.000424999927785829,0.001
24,76,0.000349778331416647,0.001
24,78,0.000200695563336198,0.001
24,80,0.0000802829767428117,0.002
26,14,0,0
26,16,0,0
26,18,0,0
26,20,0,0
26,22,0,0
26,24,0,0
26,26,0,0
26,28,0,0
26,30,0,0
26,32,0,0
26,34,0,0
26,36,0,0
26,38,0,0
26,40,0,0
26,42,0,0
26,44,0,0
26,46,0.000132524252059748,0
26,48,0.000798836783293701,0.001
26,50,0.00335707907785007,0.002
26,52,0.00983571448640556,0.006
26,54,0.0200905154949515,0.011
26,56,0.0286099482310932,0.015
26,58,0.028404286758084,0.016
26,60,0.019660362891029,0.014
26,62,0.00948724237667585,0.01
26,64,0.00321496526413465,0.004
26,66,0.000864605251859185,0.001
26,68,0.000526483756355127,0
26,70,0.000981382123272762,0.001
26,72,0.00166173029830415,0.001
26,74,0.00196166010155934,0.002
26,76,0.00161446191462839,0.003
26,78,0.000926344814239571,0.003
26,80,0.000370559856636384,0.004
28,16,0,0
28,18,0,0
28,20,0,0
28,22,0,0
28,24,0,0
28,26,0,0
28,28,0,0
28,30,0,0
28,32,0,0
28,34,0,0
28,36,0,0
28,38,0,0
28,40,0,0
28,42,0,0
28,44,0.0000241470485332417,0
28,46,0.000208778571892735,0
28,48,0.00125848665583303,0.001
28,50,0.00528873896446161,0.004
28,52,0.0154951745971043,0.01
28,54,0.0316505776748983,0.017
28,56,0.045072083341544,0.02
28,58,0.0447480844661618,0.02
28,60,0.0309729157002252,0.017
28,62,0.0149566135451518,0.012
28,64,0.0051029795815147,0.006
28,66,0.001552612591761,0.002
28,68,0.00149311683757482,0.002
28,70,0.00317999799957703,0.003
28,72,0.00534732112790598,0.004
28,74,0.00631247231728488,0.005
28,76,0.00519521508099254,0.006
28,78,0.0029809068306479,0.007
28,80,0.00119243330435013,0.009
30,18,0,0
30,20,0,0
30,22,0,0
30,24,0,0
