x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
72,28,Pass,90,56,36,0.079,2,0.001,0.139
72,28,Pass,90,58,28,0.042,2,0,0.084
72,28,Pass,90,60,24,0.044,2,0,0.024
72,28,Pass,90,62,23,0.07,2,0,0.008
72,28,Pass,90,64,22,0.092,1,0,0.004
72,28,Pass,90,66,19,0.091,1,0,0.005
72,28,Pass,88,54,53,0.101,1,0,0.076
72,28,Pass,88,56,41,0.063,2,0,0.054
72,28,Pass,88,58,33,0.059,2,0,0.022
72,28,Pass,88,60,28,0.102,2,0,0.007
72,28,Pass,88,62,21,0.177,1,0,0.003
72,28,Pass,88,64,23,0.234,1,0,0.002
72,28,Pass,88,66,22,0.227,1,0,0.003
72,28,Pass,88,68,18,0.178,1,0,0.009
72,28,Pass,86,52,63,0.169,0,0,0.029
72,28,Pass,86,54,60,0.116,1,0,0.025
72,28,Pass,86,56,45,0.084,1,0,0.016
72,28,Pass,86,58,39,0.101,1,0,0.006
72,28,Pass,86,60,31,0.191,1,0,0.002
72,28,Pass,86,62,26,0.332,1,0,0.002
72,28,Pass,86,64,23,0.433,1,0,0.001
72,28,Pass,86,66,21,0.414,1,0,0.001
72,28,Pass,86,68,20,0.312,1,0,0.004
72,28,Pass,86,70,20,0.261,1,0,0.016
72,28,Pass,84,50,79,0.454,0,0.001,0.024
72,28,Pass,84,52,68,0.341,0,0,0.023
72,28,Pass,84,54,57,0.256,1,0,0.018
72,28,Pass,84,56,47,0.182,1,0,0.011
72,28,Pass,84,58,41,0.178,1,0,0.004
72,28,Pass,84,60,34,0.283,1,0,0.001
72,28,Pass,84,62,28,0.458,1,0,0.001
72,28,Pass,84,64,26,0.577,1,0,0.001
72,28,Pass,84,66,21,0.545,1,0,0.001
72,28,Pass,84,68,21,0.411,1,0,0.002
72,28,Pass,84,70,20,0.325,1,0,0.007
72,28,Pass,84,72,18,0.375,1,0,0.014
72,28,Pass,82,50,88,0.842,0,0.001,0.027
72,28,Pass,82,52,79,0.762,0,0.001,0.022
72,28,Pass,82,54,63,0.611,1,0,0.016
72,28,Pass,82,56,49,0.42,1,0,0.01
72,28,Pass,82,58,47,0.313,1,0,0.004
72,28,Pass,82,60,41,0.354,2,0,0.002
72,28,Pass,82,62,30,0.485,2,0,0.001
72,28,Pass,82,64,24,0.572,2,0,0.001
72,28,Pass,82,66,23,0.528,2,0,0.001
72,28,Pass,82,68,22,0.407,2,0,0.002
72,28,Pass,82,70,22,0.334,2,0,0.003
72,28,Pass,82,72,19,0.357,1,0,0.005
72,28,Pass,80,50,89,1.416,0,0.002,0.025
72,28,Pass,80,52,80,1.406,0,0.001,0.019
72,28,Pass,80,54,64,1.182,1,0.001,0.013
72,28,Pass,80,56,51,0.818,2,0,0.008
72,28,Pass,80,58,46,0.53,2,0,0.004
72,28,Pass,80,60,41,0.429,2,0,0.003
72,28,Pass,80,62,36,0.452,2,0,0.004
72,28,Pass,80,64,26,0.466,2,0,0.005
72,28,Pass,80,66,22,0.407,2,0,0.005
72,28,Pass,80,68,21,0.317,2,0,0.005
72,28,Pass,80,70,20,0.276,2,0,0.003
72,28,Pass,80,72,20,0.293,2,0,0.002
72,28,Pass,80,74,14,0.304,1,0,0.003
72,28,Pass,78,48,112,1.814,0,0.003,0.027
72,28,Pass,78,50,93,1.972,0,0.002,0.021
72,28,Pass,78,52,81,2.034,0,0.002,0.015
72,28,Pass,78,54,67,1.786,1,0.001,0.01
72,28,Pass,78,56,60,1.293,2,0,0.006
72,28,Pass,78,58,53,0.821,2,0,0.005
72,28,Pass,78,60,46,0.553,2,0,0.008
72,28,Pass,78,62,42,0.458,2,0,0.017
72,28,Pass,78,64,29,0.403,2,0.001,0.025
72,28,Pass,78,66,25,0.318,2,0,0.029
72,28,Pass,78,68,20,0.23,2,0,0.025
72,28,Pass,78,70,21,0.191,2,0,0.014
72,28,Pass,78,72,19,0.193,2,0,0.005
72,28,Pass,78,74,16,0.187,2,0,0.002
72,28,Pass,76,48,111,2.132,0,0.003,0.024
72,28,Pass,76,50,95,2.252,0,0.002,0.018
72,28,Pass,76,52,80,2.352,0,0.001,0.012
72,28,Pass,76,54,70,2.175,1,0.001,0.007
72,28,Pass,76,56,67,1.687,2,0,0.005
72,28,Pass,76,58,59,1.122,2,0,0.006
72,28,Pass,76,60,55,0.735,2,0.001,0.019
72,28,Pass,76,62,42,0.57,2,0.001,0.045
72,28,Pass,76,64,33,0.486,2,0.002,0.068
72,28,Pass,76,66,32,0.369,2,0.002,0.082
72,28,Pass,76,68,23,0.233,2,0.001,0.082
72,28,Pass,76,70,19,0.143,2,0,0.06
72,28,Pass,76,72,19,0.107,2,0,0.025
72,28,Pass,76,74,15,0.09,2,0,0.006
72,28,Pass,74,50,87,2.175,0,0.002,0.018
72,28,Pass,74,52,83,2.285,1,0.001,0.011
72,28,Pass,74,54,75,2.237,1,0.001,0.007
72,28,Pass,74,56,69,1.87,1,0,0.005
72,28,Pass,74,58,62,1.329,2,0.001,0.01
72,28,Pass,74,60,52,0.924,2,0.002,0.035
72,28,Pass,74,62,43,0.777,2,0.003,0.076
72,28,Pass,74,64,35,0.721,2,0.004,0.107
72,28,Pass,74,66,32,0.572,2,0.004,0.123
72,28,Pass,74,68,26,0.345,2,0.002,0.129
72,28,Pass,74,70,22,0.162,2,0.001,0.122
72,28,Pass,74,72,18,0.07,2,0,0.086
72,28,Pass,72,50,90,1.898,0,0.002,0.023
72,28,Pass,72,52,78,2.008,1,0.002,0.017
72,28,Pass,72,54,75,2.045,1,0.001,0.01
72,28,Pass,72,56,71,1.8,1,0.001,0.008
72,28,Pass,72,58,60,1.355,1,0.001,0.016
72,28,Pass,72,60,52,1.031,2,0.003,0.05
72,28,Pass,72,62,46,0.974,2,0.005,0.098
72,28,Pass,72,64,37,0.979,2,0.006,0.128
72,28,Pass,72,66,31,0.809,2,0.006,0.141
72,28,Pass,72,68,30,0.492,2,0.004,0.147
72,28,Pass,72,70,21,0.215,2,0.002,0.148
72,28,Pass,72,72,15,0.071,2,0.001,0.14
72,28,Pass,70,52,81,1.758,1,0.002,0.026
72,28,Pass,70,54,74,1.766,1,0.002,0.017
72,28,Pass,70,56,68,1.557,1,0.001,0.012
72,28,Pass,70,58,57,1.213,1,0.001,0.021
72,28,Pass,70,60,51,0.999,1,0.003,0.059
72,28,Pass,70,62,43,1.022,1,0.006,0.106
72,28,Pass,70,64,38,1.065,2,0.007,0.133
72,28,Pass,70,66,32,0.889,2,0.007,0.145
72,28,Pass,70,68,28,0.542,2,0.004,0.151
72,28,Pass,70,70,19,0.235,2,0.002,0.154
72,28,Pass,70,72,15,0.073,1,0.001,0.153
72,28,Pass,68,54,70,1.506,1,0.002,0.022
72,28,Pass,68,56,67,1.266,1,0.001,0.015
72,28,Pass,68,58,57,0.995,1,0.001,0.022
72,28,Pass,68,60,47,0.861,1,0.002,0.054
72,28,Pass,68,62,40,0.895,1,0.004,0.096
72,28,Pass,68,64,35,0.912,1,0.006,0.122
72,28,Pass,68,66,32,0.744,1,0.005,0.136
72,28,Pass,68,68,25,0.446,1,0.003,0.144
72,28,Pass,68,70,16,0.192,1,0.001,0.148
72,28,Pass,66,56,59,0.977,1,0.001,0.014
72,28,Pass,66,58,52,0.766,1,0.001,0.017
72,28,Pass,66,60,45,0.679,1,0.001,0.038
72,28,Pass,66,62,39,0.683,1,0.002,0.069
72,28,Pass,66,64,33,0.647,1,0.003,0.095
72,28,Pass,66,66,28,0.494,1,0.003,0.113
72,28,Pass,70,28,177,4.711,4,0.002,0.009
72,28,Pass,70,30,172,4.796,4,0.002,0.007
72,28,Pass,70,32,173,4.467,3,0.001,0.004
72,28,Pass,70,34,167,3.759,3,0,0.002
72,28,Pass,70,36,158,2.888,2,0,0.001
72,28,Pass,68,24,139,4.141,2,0.001,0.005
72,28,Pass,68,26,152,4.627,2,0.001,0.006
72,28,Pass,68,28,159,4.715,2,0.001,0.006
72,28,Pass,68,30,152,4.469,2,0.001,0.004
72,28,Pass,68,32,153,4.013,2,0.001,0.002
72,28,Pass,68,34,152,3.376,2,0,0.001
72,28,Pass,68,36,146,2.64,2,0,0.001
72,28,Pass,68,38,137,1.99,2,0,0.001
72,28,Pass,68,40,126,1.543,1,0,0.002
72,28,Pass,66,22,122,3.317,2,0,0.003
72,28,Pass,66,24,128,4.078,2,0.001,0.003
72,28,Pass,66,26,139,4.482,2,0.001,0.003
72,28,Pass,66,28,146,4.309,1,0.001,0.003
72,28,Pass,66,30,142,3.873,2,0,0.002
72,28,Pass,66,32,137,3.514,2,0,0.001
72,28,Pass,66,34,139,3.198,2,0,0.001
72,28,Pass,66,36,135,2.763,2,0,0
72,28,Pass,66,38,128,2.205,2,0,0
72,28,Pass,66,40,117,1.63,1,0,0.001
72,28,Pass,66,42,110,1.187,1,0,0.003
72,28,Pass,64,22,113,2.719,2,0,0.002
72,28,Pass,64,24,119,3.371,2,0,0.001
72,28,Pass,64,26,125,3.684,2,0,0.001
72,28,Pass,64,28,129,3.437,3,0,0.001
72,28,Pass,64,30,128,3.03,3,0,0.001
72,28,Pass,64,32,120,2.903,2,0,0.001
72,28,Pass,64,34,118,2.98,2,0,0
72,28,Pass,64,36,123,2.878,2,0,0
72,28,Pass,64,38,119,2.428,2,0,0.001
72,28,Pass,64,40,103,1.781,1,0,0.001
72,28,Pass,64,42,94,1.223,1,0,0.002
72,28,Pass,64,44,97,0.973,1,0,0.005
72,28,Pass,64,48,81,1.237,1,0.001,0.015
72,28,Pass,64,50,80,1.313,1,0.001,0.018
72,28,Pass,64,52,70,1.184,0,0.001,0.018
72,28,Pass,64,54,57,0.932,1,0.001,0.015
72,28,Pass,64,56,50,0.688,1,0,0.011
72,28,Pass,62,20,96,1.617,2,0,0.002
72,28,Pass,62,22,100,1.849,2,0,0.001
72,28,Pass,62,24,99,2.275,2,0,0
72,28,Pass,62,26,109,2.506,2,0,0
72,28,Pass,62,28,117,2.351,3,0,0
72,28,Pass,62,30,119,2.138,3,0,0
72,28,Pass,62,32,103,2.277,3,0,0
72,28,Pass,62,34,108,2.663,2,0,0.001
72,28,Pass,62,36,106,2.811,2,0,0.001
72,28,Pass,62,38,98,2.484,1,0,0.002
72,28,Pass,62,40,85,1.88,1,0,0.003
72,28,Pass,62,42,84,1.347,1,0,0.003
72,28,Pass,62,44,83,1.1,1,0,0.003
72,28,Pass,62,46,88,1.128,1,0,0.004
72,28,Pass,62,48,79,1.217,1,0,0.006
72,28,Pass,62,50,73,1.153,1,0,0.008
72,28,Pass,62,52,63,0.92,0,0,0.009
72,28,Pass,62,54,57,0.642,0,0,0.009
72,28,Pass,62,56,51,0.431,1,0,0.006
72,28,Pass,62,58,48,0.321,1,0,0.006
72,28,Pass,62,60,40,0.287,1,0,0.01
72,28,Pass,60,20,82,1.077,2,0,0.001
72,28,Pass,60,22,87,1.113,2,0,0
72,28,Pass,60,24,96,1.302,2,0,0
72,28,Pass,60,26,99,1.433,2,0,0
72,28,Pass,60,28,100,1.384,3,0,0
72,28,Pass,60,30,103,1.377,3,0,0
