x,y,WeightedExpectedGoals,GoalProbability
0,0,0.195748938492927,0.008
0,2,0.171536206213568,0.008
0,4,0.123007837236285,0.009
0,6,0.0973495970802527,0.015
0,8,0.0973552737691482,0.03
0,10,0.0936817405799564,0.037
0,12,0.0710439583937954,0.025
0,14,0.0403201679246571,0.012
0,16,0.017002252141955,0.004
0,18,0.00529074701407781,0.001
0,20,0.00120493068672812,0
0,22,0.000415874907392356,0
0,24,0.000798275774361043,0
0,26,0.00184998390510589,0
0,28,0.00313672521385439,0
0,30,0.00413139099404708,0
0,32,0.00524410774943879,0
0,34,0.00822268117323862,0
0,36,0.0150462054454803,0.001
0,38,0.0274513175725711,0.001
0,40,0.0480644232158118,0.002
0,42,0.0786815276371719,0.003
0,44,0.11155619900574,0.003
0,46,0.126091115344396,0.004
0,48,0.107109953168808,0.004
0,50,0.0661503739564467,0.003
0,52,0.0292459106154554,0.002
0,54,0.00915813966455877,0.001
0,56,0.00203440574850793,0
0,58,0.000293137912554887,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.168462301109179,0.007
2,2,0.160586568478449,0.008
2,4,0.1495770295833,0.011
2,6,0.175513201127997,0.022
2,8,0.219902250850182,0.04
2,10,0.227334679950194,0.043
2,12,0.177343819458681,0.03
2,14,0.10273252042322,0.015
2,16,0.0441137005533066,0.006
2,18,0.0139496235699393,0.001
2,20,0.0034770239309659,0
2,22,0.0016971426544181,0
2,24,0.00401777909297981,0
2,26,0.00939805023014505,0.001
2,28,0.0155214913254112,0.001
2,30,0.0192923041401697,0.001
2,32,0.0203622058106731,0
2,34,0.0238326174486659,0
2,36,0.0362713680947081,0.001
2,38,0.0631655077275156,0.001
2,40,0.110963554697376,0.002
2,42,0.182765537883441,0.003
2,44,0.260803854205356,0.003
2,46,0.296771201210669,0.004
2,48,0.253843364519892,0.004
2,50,0.157850229626844,0.003
2,52,0.0701976227881563,0.002
