x,y,WeightedExpectedGoals,GoalProbability
0,0,0.0025870124458364,0.002
0,2,0.00983703016909887,0.005
0,4,0.0269783626882094,0.015
0,6,0.0523025777582195,0.031
0,8,0.0710794612076821,0.046
0,10,0.0674884427140535,0.04
0,12,0.0446963048721254,0.021
0,14,0.0206547996064775,0.008
0,16,0.00665443482343293,0.002
0,18,0.00149465923733367,0
0,20,0.000234052901908652,0
0,22,0.000242760303433343,0
0,24,0.000798275774361043,0
0,26,0.00184998390510589,0
0,28,0.00309629235179509,0
0,30,0.00402735550258219,0
0,32,0.00505748293586106,0
0,34,0.00798928266522313,0
0,36,0.0148427039575625,0.001
0,38,0.0273276152290892,0.001
0,40,0.0480119993443274,0.002
0,42,0.0786815276371719,0.003
0,44,0.11155619900574,0.003
0,46,0.126091115344396,0.004
0,48,0.107109953168808,0.004
0,50,0.0661503739564467,0.003
0,52,0.0292459106154554,0.002
0,54,0.00915813966455877,0.001
0,56,0.00203440574850793,0
0,58,0.000293137912554887,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.00703989034635822,0.002
2,2,0.0246645778807593,0.007
2,4,0.0652336912715293,0.017
2,6,0.124604589793627,0.035
2,8,0.168348836827923,0.048
2,10,0.159478668902261,0.042
2,12,0.105560875198324,0.023
2,14,0.04873823781271,0.009
2,16,0.0157021822100826,0.002
2,18,0.00352688279460657,0
2,20,0.000811330177071253,0
2,22,0.00122182997789281,0
2,24,0.00401777909297981,0
2,26,0.00932339588642648,0.001
2,28,0.0152459661445773,0.001
2,30,0.0185833660106609,0.001
2,32,0.0190904720552519,0
2,34,0.0222421496249184,0
2,36,0.0348846301443675,0.001
2,38,0.0623225520518213,0.001
2,40,0.110606318134464,0.002
2,42,0.182659990398248,0.003
2,44,0.260803854205356,0.004
2,46,0.296771201210669,0.004
2,48,0.253843364519892,0.004
2,50,0.157850229626844,0.003
2,52,0.0701976227881563,0.002
2,54,0.0221425927321729,0.001
2,56,0.00493952050868373,0
2,58,0.000781549476034026,0
2,60,0.00000327945666465085,0
2,62,0,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.0157497539836695,0.003
4,2,0.0470508943260517,0.007
4,4,0.114326898982216,0.018
4,6,0.210281074800261,0.033
4,8,0.279737784134939,0.044
4,10,0.26338209472501,0.037
4,12,0.17391993824423,0.021
4,14,0.0802525651994702,0.008
4,16,0.0258315028912422,0.002
4,18,0.00593686117854142,0
4,20,0.00199782781819892,0
4,22,0.00466037207601235,0
4,24,0.0147034686816732,0.001
4,26,0.0332670204985596,0.001
4,28,0.0540310465024438,0.002
4,30,0.0641068316947623,0.001
4,32,0.0601303674300741,0.001
4,34,0.0555089613724155,0.001
4,36,0.0669967492698491,0.001
4,38,0.105788158595835,0.001
4,40,0.181814214764606,0.002
4,42,0.299324316758829,0.003
4,44,0.428876959312972,0.003
4,46,0.49062608574956,0.004
4,48,0.421961152160755,0.003
4,50,0.263948453262036,0.003
4,52,0.117948661672746,0.002
4,54,0.0374475257640898,0.001
4,56,0.00842153604196777,0
4,58,0.00136141018393509,0
4,60,0.0000884311625868894,0
