x,y,WeightedExpectedGoals,GoalProbability
0,0,0.193161926047091,0.008
0,2,0.161699176044469,0.008
0,4,0.0960294745480757,0.008
0,6,0.0450470193220332,0.009
0,8,0.0262758125614661,0.015
0,10,0.0261932978659029,0.032
0,12,0.02634765352167,0.036
0,14,0.0196653683181795,0.028
0,16,0.0103478173185221,0.017
0,18,0.00379608777674414,0.007
0,20,0.000970877784819471,0.002
0,22,0.000173114603959014,0
0,24,0,0
0,26,0,0
0,28,0.0000404328620592991,0
0,30,0.000104035491464883,0
0,32,0.000186624813577731,0
0,34,0.000233398508015486,0
0,36,0.000203501487917778,0
0,38,0.000123702343481967,0
0,40,0.0000524238714844422,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.161422410762821,0.008
2,2,0.13592199059769,0.008
2,4,0.0843433383117711,0.008
2,6,0.0509086113343699,0.012
2,8,0.051553414022259,0.027
2,10,0.0678560110479325,0.047
2,12,0.0717829442603571,0.048
2,14,0.0539942826105104,0.038
2,16,0.0284115183432241,0.023
2,18,0.0104227407753328,0.01
2,20,0.00266569375389464,0.002
2,22,0.00047531267652529,0
2,24,0,0
2,26,0.0000746543437185702,0
2,28,0.000275525180833923,0
2,30,0.000708938129508824,0.001
2,32,0.00127173375542124,0.003
2,34,0.00159046782374746,0.002
2,36,0.00138673795034064,0.001
2,38,0.000842955675694253,0
2,40,0.000357236562912154,0
2,42,0.000105547485192787,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.094231416717569,0.008
4,2,0.0808610957482546,0.008
