x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
74,12,Pass,76,0,359,8.516,2,0.001,0.002
74,12,Pass,76,2,396,11.978,2,0.002,0.003
74,12,Pass,76,4,444,13.046,3,0.002,0.004
74,12,Pass,76,6,488,11.539,3,0.002,0.004
74,12,Pass,76,8,513,9.195,3,0.002,0.004
74,12,Pass,76,10,540,7.585,3,0.002,0.004
74,12,Pass,74,0,340,7.417,2,0.001,0.002
74,12,Pass,74,2,378,10.447,2,0.001,0.002
74,12,Pass,74,4,423,11.36,2,0.001,0.003
74,12,Pass,74,6,465,9.958,3,0.001,0.003
74,12,Pass,74,8,497,7.752,3,0.001,0.003
74,12,Pass,74,10,527,6.154,3,0.001,0.003
74,12,Pass,74,12,546,5.403,5,0.001,0.004
74,12,Pass,72,0,321,6.001,2,0,0.001
74,12,Pass,72,2,361,8.627,2,0.001,0.002
74,12,Pass,72,4,400,9.541,2,0.001,0.002
74,12,Pass,72,6,438,8.462,3,0.001,0.002
74,12,Pass,72,8,468,6.572,3,0.001,0.002
74,12,Pass,72,10,499,5.076,3,0.001,0.003
74,12,Pass,72,12,514,4.289,5,0.001,0.004
74,12,Pass,72,14,497,4.086,6,0.001,0.005
74,12,Pass,70,0,296,4.886,2,0.001,0.002
74,12,Pass,70,2,333,7.27,2,0.001,0.002
74,12,Pass,70,4,373,8.28,2,0.001,0.003
74,12,Pass,70,6,407,7.527,2,0.001,0.003
74,12,Pass,70,8,432,5.922,2,0.001,0.003
74,12,Pass,70,10,465,4.513,3,0.001,0.003
74,12,Pass,70,12,478,3.688,5,0.001,0.004
74,12,Pass,70,14,469,3.462,5,0.001,0.004
74,12,Pass,68,0,265,4.117,2,0.001,0.005
74,12,Pass,68,2,309,6.361,2,0.002,0.005
74,12,Pass,68,4,346,7.491,2,0.002,0.004
74,12,Pass,68,6,385,7.014,2,0.001,0.004
74,12,Pass,68,8,402,5.63,2,0.001,0.004
74,12,Pass,68,10,409,4.294,2,0.001,0.004
74,12,Pass,68,12,421,3.444,3,0.001,0.004
