x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
82,26,Pass,88,14,74,1.779,2,0.002,0.015
82,26,Pass,88,16,81,1.705,2,0.004,0.03
82,26,Pass,88,18,80,1.825,1,0.006,0.043
82,26,Pass,88,20,78,2.176,1,0.007,0.041
82,26,Pass,88,22,73,2.664,1,0.006,0.029
82,26,Pass,88,24,66,3.121,1,0.004,0.018
82,26,Pass,86,10,62,1.569,1,0.001,0.012
82,26,Pass,86,12,68,1.712,2,0.001,0.011
82,26,Pass,86,14,76,1.813,2,0.003,0.019
82,26,Pass,86,16,79,1.944,2,0.005,0.037
82,26,Pass,86,18,81,2.194,2,0.008,0.05
82,26,Pass,86,20,80,2.468,2,0.009,0.05
82,26,Pass,86,22,74,2.623,1,0.007,0.039
82,26,Pass,86,24,73,2.665,1,0.005,0.026
82,26,Pass,86,26,73,2.635,1,0.004,0.02
82,26,Pass,84,8,52,0.923,1,0.001,0.013
82,26,Pass,84,10,63,1.195,2,0.001,0.009
82,26,Pass,84,12,68,1.467,2,0.001,0.01
82,26,Pass,84,14,75,1.7,2,0.003,0.02
82,26,Pass,84,16,78,1.951,2,0.005,0.037
82,26,Pass,84,18,77,2.256,2,0.008,0.05
82,26,Pass,84,20,80,2.438,2,0.009,0.051
82,26,Pass,84,22,78,2.332,2,0.007,0.043
82,26,Pass,84,24,76,2.063,1,0.005,0.031
82,26,Pass,84,26,75,1.854,1,0.003,0.022
82,26,Pass,84,28,71,1.757,1,0.003,0.023
82,26,Pass,82,8,53,0.681,1,0,0.007
82,26,Pass,82,10,63,0.963,2,0,0.005
82,26,Pass,82,12,71,1.263,2,0.001,0.008
82,26,Pass,82,14,74,1.524,2,0.002,0.017
82,26,Pass,82,16,78,1.773,2,0.004,0.031
82,26,Pass,82,18,74,2.023,2,0.006,0.043
82,26,Pass,82,20,77,2.11,2,0.007,0.046
82,26,Pass,82,22,75,1.893,2,0.006,0.041
82,26,Pass,82,24,72,1.514,2,0.003,0.031
82,26,Pass,82,26,71,1.236,1,0.002,0.02
82,26,Pass,82,28,71,1.145,1,0.001,0.016
82,26,Pass,82,30,73,1.136,1,0.001,0.017
82,26,Pass,80,6,40,0.345,1,0,0.005
82,26,Pass,80,8,52,0.541,1,0,0.003
82,26,Pass,80,10,67,0.792,2,0,0.003
82,26,Pass,80,12,70,1.071,2,0,0.005
82,26,Pass,80,14,71,1.309,2,0.001,0.011
82,26,Pass,80,16,75,1.49,2,0.002,0.022
82,26,Pass,80,18,72,1.627,2,0.004,0.032
82,26,Pass,80,20,73,1.629,2,0.004,0.037
82,26,Pass,80,22,72,1.408,2,0.004,0.035
82,26,Pass,80,24,69,1.068,2,0.002,0.028
82,26,Pass,80,26,68,0.815,1,0.001,0.018
82,26,Pass,80,28,71,0.727,1,0.001,0.01
82,26,Pass,80,30,72,0.725,1,0,0.008
82,26,Pass,78,6,37,0.242,1,0,0.004
82,26,Pass,78,8,51,0.388,1,0,0.002
82,26,Pass,78,10,62,0.586,2,0,0.002
82,26,Pass,78,12,64,0.816,2,0,0.003
82,26,Pass,78,14,66,1.011,2,0.001,0.007
82,26,Pass,78,16,65,1.129,2,0.001,0.014
82,26,Pass,78,18,69,1.176,2,0.002,0.022
82,26,Pass,78,20,71,1.126,2,0.002,0.028
82,26,Pass,78,22,67,0.946,2,0.002,0.028
82,26,Pass,78,24,63,0.702,2,0.001,0.023
82,26,Pass,78,26,66,0.522,1,0.001,0.014
82,26,Pass,78,28,68,0.46,1,0,0.007
82,26,Pass,78,30,69,0.464,1,0,0.004
82,26,Pass,76,6,30,0.137,1,0,0.005
82,26,Pass,76,8,41,0.225,1,0,0.003
82,26,Pass,76,10,51,0.354,2,0,0.002
82,26,Pass,76,12,56,0.512,2,0,0.003
82,26,Pass,76,14,58,0.653,2,0,0.006
82,26,Pass,76,16,63,0.736,2,0.001,0.011
82,26,Pass,76,18,63,0.752,2,0.001,0.017
82,26,Pass,76,20,63,0.696,2,0.001,0.022
82,26,Pass,76,22,66,0.571,2,0.001,0.023
82,26,Pass,76,24,64,0.425,2,0.001,0.019
82,26,Pass,76,26,61,0.33,1,0,0.011
82,26,Pass,76,28,64,0.311,1,0,0.004
82,26,Pass,76,30,58,0.344,1,0,0.002
82,26,Pass,76,32,57,0.403,2,0,0.001
82,26,Pass,74,6,31,0.066,1,0,0.006
82,26,Pass,74,8,37,0.107,1,0,0.004
82,26,Pass,74,10,42,0.172,2,0,0.003
82,26,Pass,74,12,50,0.257,2,0,0.004
82,26,Pass,74,14,53,0.341,2,0,0.006
82,26,Pass,74,16,54,0.4,2,0,0.01
82,26,Pass,74,18,56,0.417,2,0,0.015
82,26,Pass,74,20,60,0.386,2,0.001,0.019
82,26,Pass,74,22,60,0.32,2,0,0.019
82,26,Pass,74,24,62,0.261,2,0,0.014
82,26,Pass,74,26,59,0.242,1,0,0.007
82,26,Pass,74,28,53,0.276,1,0,0.002
82,26,Pass,74,30,52,0.365,2,0,0.001
82,26,Pass,72,8,32,0.052,1,0,0.004
82,26,Pass,72,10,34,0.079,2,0,0.004
82,26,Pass,72,12,43,0.114,2,0,0.005
82,26,Pass,72,14,47,0.152,2,0,0.007
82,26,Pass,72,16,49,0.184,2,0,0.011
82,26,Pass,72,18,52,0.202,2,0,0.015
82,26,Pass,72,20,54,0.199,2,0,0.017
82,26,Pass,72,22,52,0.194,2,0,0.014
82,26,Pass,72,24,50,0.214,2,0,0.007
82,26,Pass,72,26,48,0.271,1,0,0.003
82,26,Pass,72,28,46,0.365,1,0,0.001
82,26,Pass,72,30,47,0.524,2,0,0
82,26,Pass,70,8,26,0.041,1,0,0.002
82,26,Pass,70,10,29,0.054,1,0,0.003
82,26,Pass,70,12,32,0.064,2,0,0.004
82,26,Pass,70,14,37,0.072,2,0,0.007
82,26,Pass,70,16,40,0.08,2,0,0.011
82,26,Pass,70,18,44,0.094,2,0,0.013
82,26,Pass,70,20,46,0.116,2,0,0.012
82,26,Pass,70,22,48,0.169,2,0,0.006
82,26,Pass,70,24,47,0.274,2,0,0.002
82,26,Pass,70,26,40,0.419,1,0,0.001
82,26,Pass,70,28,41,0.574,2,0,0
