Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000620118480872874,0,0,0,0,46,84,Shot
3,0.001417056242543,0,0,0,0,48,84,Shot
2,0.00236844358815893,0,0,0,0,50,84,Shot
2,0.00246219497715125,0,0,0,0,52,84,Shot
1,0.000924923062117838,0,0,0,0,54,84,Shot
1,0.00110556363183184,0,0,0,0,30,86,Shot
1,0.0029457259196845,0,0,0,0,32,86,Shot
1,0.00288739663840007,0,0,0,0,34,86,Shot
1,0.00104118061807982,0,0,0,0,36,86,Shot
1,0.00171970932419416,0,0,0,0,42,86,Shot
1,0.00904448589803077,0,0,0,0,44,86,Shot
3,0.0216360127276043,0,0,0,0,46,86,Shot
3,0.0353243166041107,0,0,0,0,48,86,Shot
3,0.0568502459036247,0,0,0,0,50,86,Shot
2,0.0539449800542141,0,0,0,0,52,86,Shot
2,0.022684384888152,0,0,0,0,54,86,Shot
1,0.00353232141334467,0,0,0,0,56,86,Shot
1,0.00271924774843558,0,0,0,0,28,88,Shot
1,0.0196948125548966,0,0,0,0,30,88,Shot
1,0.0524759662455243,0,0,0,0,32,88,Shot
1,0.051436872494353,0,0,0,0,34,88,Shot
1,0.0185478759597915,0,0,0,0,36,88,Shot
2,0.00288582634544524,0,0,0,0,38,88,Shot
1,0.00124876526981024,0,0,0,0,40,88,Shot
1,0.0178527093135953,0,0,0,0,42,88,Shot
2,0.0964237978584532,0,0,0,0,44,88,Shot
3,0.218556910063468,0,0,0,0,46,88,Shot
3,0.32794070715449,0,0,0,0,48,88,Shot
3,0.483516944278509,0,0,0,0,50,88,Shot
3,0.440893474535486,0,0,0,0,52,88,Shot
2,0.17953569894117,0,0,0,0,54,88,Shot
2,0.0296965537175691,0,0,0,0,56,88,Shot
1,0.0018256850363408,0,0,0,0,58,88,Shot
1,0.000905158944865314,0,0,0,0,26,90,Shot
1,0.0178206033408749,0,0,0,0,28,90,Shot
1,0.129070049838459,0,0,0,0,30,90,Shot
1,0.343901499938223,0,0,0,0,32,90,Shot
3,0.341028079050453,0,0,0,0,34,90,Shot
3,0.135862115461092,0,0,0,0,36,90,Shot
3,0.0363750296246537,0,0,0,0,38,90,Shot
4,0.0166587029263936,0,0,0,0,40,90,Shot
3,0.0705171635502186,0,0,0,0,42,90,Shot
4,0.368159285203421,0,0,0,0,44,90,Shot
4,0.815847339583479,0,0,0,0,46,90,Shot
3,1.13290279969895,0,0,0,0,48,90,Shot
3,1.52860405707682,0,0,0,0,50,90,Shot
3,1.32771178286731,0,0,0,0,52,90,Shot
3,0.525590226560707,0,0,0,0,54,90,Shot
2,0.0854301353309989,0,0,0,0,56,90,Shot
