x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
118,74,Pass,120,34,25,0.107,2,0,0.041
118,74,Pass,120,36,29,0.24,2,0.001,0.051
118,74,Pass,120,38,33,0.419,2,0.002,0.061
118,74,Pass,120,40,32,0.574,2,0.003,0.072
118,74,Pass,120,42,30,0.647,2,0.003,0.079
118,74,Pass,120,44,27,0.643,2,0.003,0.076
118,74,Pass,120,46,27,0.604,2,0.002,0.06
118,74,Pass,120,48,27,0.544,2,0.001,0.039
118,74,Pass,118,32,24,0.109,2,0,0.036
118,74,Pass,118,34,27,0.25,2,0.001,0.048
118,74,Pass,118,36,32,0.524,2,0.002,0.062
118,74,Pass,118,38,33,0.901,2,0.004,0.075
118,74,Pass,118,40,33,1.249,2,0.007,0.088
118,74,Pass,118,42,32,1.427,2,0.009,0.094
118,74,Pass,118,44,30,1.402,2,0.008,0.091
118,74,Pass,118,46,28,1.244,2,0.006,0.075
118,74,Pass,118,48,29,1.026,2,0.003,0.052
118,74,Pass,118,50,31,0.765,2,0.002,0.032
118,74,Pass,116,30,18,0.15,1,0,0.032
118,74,Pass,116,32,25,0.27,2,0.001,0.036
118,74,Pass,116,34,28,0.503,2,0.002,0.05
118,74,Pass,116,36,32,0.927,2,0.004,0.069
118,74,Pass,116,38,33,1.513,2,0.009,0.087
118,74,Pass,116,40,34,2.071,2,0.014,0.101
118,74,Pass,116,42,33,2.36,2,0.016,0.108
118,74,Pass,116,44,33,2.279,2,0.015,0.104
118,74,Pass,116,46,31,1.923,2,0.011,0.088
118,74,Pass,116,48,32,1.459,2,0.006,0.065
118,74,Pass,116,50,32,0.994,2,0.003,0.043
118,74,Pass,116,52,30,0.584,2,0.001,0.028
118,74,Pass,114,28,14,0.197,1,0,0.038
118,74,Pass,114,30,20,0.353,1,0.001,0.033
118,74,Pass,114,32,27,0.56,2,0.001,0.035
118,74,Pass,114,34,30,0.871,2,0.003,0.048
118,74,Pass,114,36,33,1.371,2,0.006,0.071
118,74,Pass,114,38,34,2.041,2,0.012,0.094
118,74,Pass,114,40,34,2.675,2,0.019,0.111
118,74,Pass,114,42,34,2.98,2,0.023,0.118
118,74,Pass,114,44,33,2.804,2,0.021,0.114
118,74,Pass,114,46,31,2.255,2,0.015,0.099
118,74,Pass,114,48,34,1.584,2,0.008,0.077
118,74,Pass,114,50,33,0.983,2,0.003,0.053
118,74,Pass,114,52,31,0.53,2,0.001,0.036
118,74,Pass,112,28,14,0.344,1,0.001,0.039
118,74,Pass,112,30,19,0.604,1,0.001,0.034
118,74,Pass,112,32,26,0.904,2,0.002,0.034
118,74,Pass,112,34,30,1.251,2,0.004,0.045
118,74,Pass,112,36,33,1.705,2,0.007,0.068
118,74,Pass,112,38,33,2.262,2,0.014,0.094
118,74,Pass,112,40,34,2.766,2,0.02,0.114
118,74,Pass,112,42,34,2.959,2,0.024,0.123
118,74,Pass,112,44,33,2.689,2,0.021,0.119
118,74,Pass,112,46,31,2.063,2,0.014,0.105
118,74,Pass,112,48,33,1.351,2,0.007,0.084
118,74,Pass,112,50,33,0.763,2,0.003,0.062
118,74,Pass,112,52,30,0.372,2,0.001,0.044
118,74,Pass,110,28,13,0.424,0,0.001,0.039
118,74,Pass,110,30,19,0.741,1,0.002,0.035
118,74,Pass,110,32,25,1.082,2,0.002,0.034
118,74,Pass,110,34,30,1.409,2,0.004,0.043
118,74,Pass,110,36,31,1.733,2,0.007,0.064
118,74,Pass,110,38,33,2.067,2,0.012,0.091
118,74,Pass,110,40,34,2.338,2,0.017,0.112
118,74,Pass,110,42,34,2.382,2,0.019,0.121
118,74,Pass,110,44,33,2.088,2,0.016,0.117
118,74,Pass,110,46,33,1.536,2,0.01,0.104
118,74,Pass,110,48,32,0.944,2,0.005,0.085
118,74,Pass,110,50,34,0.487,2,0.002,0.065
118,74,Pass,110,52,30,0.212,2,0.001,0.049
118,74,Pass,108,28,10,0.366,0,0.001,0.04
118,74,Pass,108,30,18,0.643,1,0.001,0.036
118,74,Pass,108,32,25,0.937,2,0.002,0.035
118,74,Pass,108,34,28,1.19,2,0.003,0.043
118,74,Pass,108,36,31,1.38,2,0.005,0.061
118,74,Pass,108,38,32,1.521,2,0.008,0.086
118,74,Pass,108,40,33,1.611,2,0.011,0.106
118,74,Pass,108,42,34,1.576,2,0.012,0.114
118,74,Pass,108,44,33,1.344,2,0.01,0.109
