x,y,WeightedExpectedGoals,GoalProbability
0,0,0.0059280525217397,0.004
0,2,0.00494974077823608,0.004
0,4,0.00288133458682021,0.004
0,6,0.00116935332392078,0.004
0,8,0.000330855715445659,0.004
0,10,0.0000652637993971467,0.004
0,12,0.00000897525692698602,0.003
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
0,74,0,0
0,76,0,0
0,78,0,0
2,0,0.00494974077823608,0.004
2,2,0.00413288068583831,0.004
2,4,0.00240582539507267,0.003
2,6,0.0009763739120648,0.003
2,8,0.000276254304503572,0.003
2,10,0.0000544932569396119,0.002
2,12,0.00000749406234909861,0.002
2,14,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0,0
2,64,0,0
2,66,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.00288133458682021,0.003
4,2,0.00240582539507267,0.002
4,4,0.00140047494025407,0.002
4,6,0.000568365102041528,0.002
4,8,0.000160812680499152,0.001
4,10,0.0000317215209852946,0.001
4,12,0.000004362430682671,0.001
4,14,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0,0
4,44,0,0
4,46,0,0
4,48,0,0
4,50,0,0
4,52,0,0
4,54,0,0
4,56,0,0
4,58,0,0
4,60,0,0
4,62,0,0
4,64,0,0
4,66,0,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,0,0.00116935332392078,0.001
6,2,0.0009763739120648,0.001
6,4,0.000568365102041528,0.001
6,6,0.000230663812634928,0.001
6,8,0.0000652637993971467,0.001
6,10,0.0000128737794540248,0
6,12,0,0
6,14,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0,0
6,34,0,0
6,36,0,0
6,38,0,0
6,40,0,0
6,42,0,0
6,44,0,0
6,46,0,0
6,48,0,0
6,50,0,0
6,52,0,0
6,54,0,0
6,56,0,0
6,58,0,0
6,60,0,0
6,62,0,0
6,64,0,0
6,66,0,0
6,68,0,0
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
6,78,0,0
6,80,0,0
8,0,0.000330855715445659,0.001
8,2,0.000276254304503572,0
8,4,0.000160812680499152,0
8,6,0.0000652637993971467,0
8,8,0.0000184656772256353,0
8,10,0.00000364249489407494,0
8,12,0,0
8,14,0,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0,0
8,28,0,0
8,30,0,0
8,32,0,0
8,34,0,0
8,36,0,0
8,38,0,0
8,40,0,0
8,42,0,0
8,44,0,0
8,46,0,0
8,48,0,0
8,50,0,0
8,52,0,0
8,54,0,0
8,56,0,0
8,58,0,0
8,60,0,0
8,62,0,0
8,64,0,0
8,66,0,0
8,68,0,0
8,70,0,0
8,72,0,0
8,74,0,0
8,76,0,0
8,78,0,0
8,80,0,0
10,0,0.0000652637993971467,0
10,2,0.0000544932569396119,0
