x,y,WeightedExpectedGoals,GoalProbability
0,0,0.0059280525217397,0.005
0,2,0.00494974077823608,0.005
0,4,0.00288133458682021,0.005
0,6,0.00116935332392078,0.005
0,8,0.000330855715445659,0.005
0,10,0.0000652637993971467,0.005
0,12,0.00000897525692698602,0.005
2,0,0.00494974077823608,0.005
2,2,0.00413288068583831,0.005
2,4,0.00240582539507267,0.005
2,6,0.0009763739120648,0.005
2,8,0.000276254304503572,0.005
2,10,0.0000544932569396119,0.005
2,12,0.00000749406234909861,0.005
4,0,0.00288133458682021,0.005
4,2,0.00240582539507267,0.005
4,4,0.00140047494025407,0.005
4,6,0.000568365102041528,0.005
4,8,0.000160812680499152,0.005
4,10,0.0000317215209852946,0.005
4,12,0.000004362430682671,0.005
6,0,0.00116935332392078,0.005
6,2,0.0009763739120648,0.005
6,4,0.000568365102041528,0.005
6,6,0.000230663812634928,0.005
6,8,0.0000652637993971467,0.005
6,10,0.0000128737794540248,0.005
6,12,0,0
6,14,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
8,0,0.000330855715445659,0.005
8,2,0.000276254304503572,0.005
8,4,0.000160812680499152,0.005
8,6,0.0000652637993971467,0.005
8,8,0.0000184656772256353,0.005
8,10,0.00000364249489407494,0.002
8,12,0,0
8,14,0,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0,0
10,0,0.0000652637993971467,0.005
10,2,0.0000544932569396119,0.005
10,4,0.0000317215209852946,0.005
10,6,0.0000128737794540248,0.005
10,8,0.00000364249489407494,0.002
10,10,0,0
10,12,0,0
10,14,0,0
10,16,0,0
10,18,0,0
10,20,0,0
10,22,0,0
10,24,0,0
10,26,0,0
10,28,0,0
12,0,0.00000897525692698602,0.005
12,2,0.00000749406234909861,0.005
12,4,0.000004362430682671,0.005
12,8,0,0
12,10,0,0
12,12,0,0
12,14,0,0
12,16,0,0
12,18,0,0
12,20,0,0
12,22,0,0
12,24,0,0
12,26,0,0
12,28,0,0
12,30,0,0
14,6,0,0
14,8,0,0
14,10,0,0
14,12,0,0
14,14,0,0
14,16,0,0
14,18,0,0
14,20,0,0
14,22,0,0
14,24,0,0
14,26,0,0
14,28,0,0
14,30,0,0
16,6,0,0
16,8,0,0
16,10,0,0
16,12,0,0
16,14,0,0
16,16,0,0
16,18,0,0
16,20,0,0
16,22,0,0
16,24,0,0
16,26,0.000213462328054164,0.003
16,28,0.000442356868991387,0.022
16,30,0.000639094579580363,0.107
16,32,0.000643721949165389,0.2
16,34,0.000452035274222985,0.2
16,36,0.000221302927550992,0.2
18,6,0,0
18,8,0,0
18,10,0,0
18,12,0,0
18,14,0,0
18,16,0,0
18,18,0,0
18,20,0,0
18,22,0.000109127743662128,0
18,24,0.000465270009947221,0.001
18,26,0.00138297958417803,0.012
18,28,0.00286594137856855,0.072
18,30,0.00414056552261631,0.163
18,32,0.00417054532150107,0.2
18,34,0.00292864582372623,0.2
18,36,0.00143377725480531,0.2
18,38,0.000489370002662943,0.2
18,40,0.000116448480867496,0.2
20,6,0,0
20,8,0,0
20,10,0,0
20,12,0,0
20,14,0,0
20,16,0,0
20,18,0,0
20,20,0.00008060119275174,0
20,22,0.000492913290211452,0.001
20,24,0.00210155331489172,0.006
20,26,0.00624670678835844,0.036
20,28,0.0129450178942316,0.119
20,30,0.0187022997690475,0.18
20,32,0.018837713925084,0.196
20,34,0.0132282442612061,0.2
20,36,0.00647615207993798,0.2
20,38,0.00221040928776291,0.2
20,40,0.000525979937991172,0.2
20,42,0.0000872582476651987,0.2
22,6,0,0
22,8,0,0
22,10,0,0
22,12,0,0
22,14,0,0
22,16,0,0
22,18,0,0
22,20,0.000253815211074673,0
22,22,0.00155219651875227,0.002
22,24,0.00661784497218132,0.012
22,26,0.0196710389496632,0.057
22,28,0.0407641914097962,0.138
22,30,0.0588940188277814,0.184
22,32,0.059320441457813,0.196
22,34,0.0416560784608598,0.199
22,36,0.0203935680230446,0.2
22,38,0.00696063520626806,0.2
22,40,0.00165632423571537,0.2
22,42,0.000274778446732978,0.2
22,70,0,0
22,72,0,0
22,74,0,0
22,76,0,0
22,78,0,0
22,80,0,0
24,8,0,0
24,10,0,0
24,12,0,0
24,14,0,0
24,16,0,0
24,18,0,0
24,20,0.00055723020241484,0.001
24,22,0.00340771846048845,0.003
24,24,0.0145289286555553,0.017
24,26,0.0431861312378406,0.067
24,28,0.0894943945021294,0.142
24,30,0.129296923905688,0.182
24,32,0.130233099351756,0.194
24,34,0.0914524584018108,0.198
24,36,0.0447723837721399,0.199
24,38,0.0152814961266585,0.2
24,40,0.00363632220947051,0.2
24,42,0.000603253244137547,0.2
24,54,0.0000599771328166626,0.084
24,56,0.000110740453692906,0.084
24,58,0.000142550163926447,0.084
24,60,0.000127929283792817,0.084
24,62,0.0000800410985800021,0.053
24,64,0.0000349137853769676,0.02
24,66,0,0
24,68,0,0
24,70,0,0
24,72,0,0
24,74,0,0
24,76,0,0
24,78,0,0
24,80,0,0
26,10,0,0
26,12,0,0
26,14,0,0
26,16,0,0
26,18,0.0000972308852190022,0
26,20,0.000852888923558641,0.001
26,22,0.00521580724978934,0.004
26,24,0.0222377794092929,0.02
26,26,0.0661001015818648,0.068
26,28,0.136978895725091,0.134
26,30,0.197900102635263,0.174
26,32,0.19933299996387,0.19
26,34,0.139975881538891,0.196
26,36,0.0685279980070905,0.198
26,38,0.0233896488836194,0.199
26,40,0.00556570502012884,0.2
26,42,0.000923331161512842,0.2
26,44,0.000106791239001098,0.2
26,50,0.0000433503335071843,0.084
26,52,0.000164676410178255,0.084
26,54,0.00043612518242162,0.084
26,56,0.000805251906854307,0.084
26,58,0.0010365569897563,0.084
26,60,0.000930240903675032,0.076
26,62,0.000582020798262172,0.054
26,64,0.000253876440927984,0.019
26,66,0.0000772053014931906,0.004
26,68,0,0
26,70,0,0
26,72,0,0
26,74,0,0
26,76,0,0
26,78,0,0
26,80,0,0
28,10,0,0
28,12,0,0
28,14,0,0
28,16,0,0
28,18,0.000103753532302565,0
28,20,0.000910104215153721,0.001
28,22,0.00556570502012884,0.005
28,24,0.0237295809770996,0.019
28,26,0.07053436785266,0.058
28,28,0.146168002588599,0.113
28,30,0.211176054246557,0.157
28,32,0.21270507621252,0.181
28,34,0.149366038518665,0.192
28,36,0.0731251375408568,0.196
28,38,0.0249587225862055,0.198
28,40,0.00593907536984587,0.2
28,42,0.000985272007718649,0.2
28,44,0.00011395523387836,0.2
28,48,0.0000403330075760538,0.084
28,50,0.000219765103163063,0.084
28,52,0.000834829292959175,0.084
28,54,0.00221094252229946,0.084
28,56,0.00408223545391553,0.084
28,58,0.00525483970614516,0.083
28,60,0.00471586886704722,0.076
28,62,0.00295056232386163,0.052
28,64,0.00128703005761105,0.019
28,66,0.000391393322143059,0.004
28,68,0.0000829810561967516,0.001
28,70,0,0
28,72,0,0
28,74,0,0
28,76,0,0
28,78,0,0
28,80,0,0
30,10,0,0
30,12,0,0
30,14,0,0
30,16,0,0
30,18,0.0000771866811388638,0
