x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
104,28,Pass,106,28,5,0.16,0,0,0.014
104,28,Pass,106,30,5,0.241,0,0,0.01
104,28,Pass,106,32,5,0.342,0,0,0.005
104,28,Pass,106,34,4,0.374,0,0,0.003
104,28,Pass,106,36,3,0.296,0,0,0.001
104,28,Pass,106,38,3,0.165,0,0,0.001
104,28,Pass,104,24,6,0.054,0,0,0.01
104,28,Pass,104,26,5,0.067,0,0,0.014
104,28,Pass,104,28,5,0.115,0,0,0.012
104,28,Pass,104,30,5,0.214,0,0,0.007
104,28,Pass,104,32,5,0.327,0,0,0.003
104,28,Pass,104,34,4,0.367,0,0,0.002
104,28,Pass,104,36,3,0.293,0,0,0.001
104,28,Pass,104,38,3,0.165,0,0,0
104,28,Pass,104,40,3,0.065,0,0,0
104,28,Pass,102,22,6,0.012,0,0,0.021
104,28,Pass,102,24,5,0.016,0,0,0.016
104,28,Pass,102,26,5,0.029,0,0,0.013
104,28,Pass,102,28,5,0.066,0,0,0.008
104,28,Pass,102,30,5,0.14,0,0,0.004
104,28,Pass,102,32,4,0.222,0,0,0.002
104,28,Pass,102,34,3,0.253,0,0,0.001
104,28,Pass,102,36,3,0.204,0,0,0
104,28,Pass,102,38,3,0.115,0,0,0
104,28,Pass,102,40,3,0.045,0,0,0
104,28,Pass,102,42,2,0.012,0,0,0
104,28,Pass,100,22,5,0.003,0,0,0.042
104,28,Pass,100,24,5,0.004,0,0,0.021
104,28,Pass,100,26,5,0.011,0,0,0.011
104,28,Pass,100,28,5,0.03,0,0,0.005
104,28,Pass,100,30,5,0.066,0,0,0.002
104,28,Pass,100,32,3,0.107,0,0,0.001
104,28,Pass,100,34,3,0.123,0,0,0.001
104,28,Pass,100,36,3,0.099,0,0,0
104,28,Pass,100,38,3,0.056,0,0,0
104,28,Pass,100,40,3,0.022,0,0,0
104,28,Pass,100,42,2,0.006,0,0,0
104,28,Pass,100,44,2,0.001,0,0,0
104,28,Pass,98,20,3,0,0,0,0.194
104,28,Pass,98,22,5,0,0,0,0.082
104,28,Pass,98,24,5,0.001,0,0,0.023
104,28,Pass,98,26,5,0.003,0,0,0.007
104,28,Pass,98,28,4,0.01,0,0,0.003
104,28,Pass,98,30,4,0.023,0,0,0.001
104,28,Pass,98,32,3,0.038,0,0,0.001
104,28,Pass,98,34,3,0.043,0,0,0
104,28,Pass,98,36,3,0.035,0,0,0
104,28,Pass,98,38,3,0.019,0,0,0
104,28,Pass,98,40,2,0.008,0,0,0
104,28,Pass,98,42,2,0.002,0,0,0
104,28,Pass,98,44,2,0,0,0,0
104,28,Pass,96,20,3,0,0,0,0.172
104,28,Pass,96,22,3,0,0,0,0.112
104,28,Pass,96,24,3,0,0,0,0.024
104,28,Pass,96,26,4,0.001,0,0,0.003
104,28,Pass,96,28,4,0.004,0,0,0.001
104,28,Pass,96,30,3,0.008,0,0,0.001
104,28,Pass,96,32,3,0.012,0,0,0
104,28,Pass,96,34,3,0.013,0,0,0
104,28,Pass,96,36,2,0.01,0,0,0
104,28,Pass,96,38,2,0.005,0,0,0
104,28,Pass,96,40,2,0.002,0,0,0
104,28,Pass,96,42,2,0.001,0,0,0
104,28,Pass,96,44,1,0,0,0,0
104,28,Pass,94,20,3,0,0,0,0.103
104,28,Pass,94,22,3,0,0,0,0.03
104,28,Pass,94,24,2,0,0,0,0.003
104,28,Pass,94,26,2,0.001,0,0,0
104,28,Pass,94,28,2,0.002,0,0,0
104,28,Pass,94,30,2,0.004,0,0,0
104,28,Pass,94,32,2,0.006,0,0,0
104,28,Pass,94,34,2,0.006,0,0,0
104,28,Pass,94,36,2,0.004,0,0,0
104,28,Pass,94,38,2,0.002,0,0,0
104,28,Pass,94,40,2,0.001,0,0,0
104,28,Pass,94,42,1,0,0,0,0
104,28,Pass,94,44,1,0,0,0,0
104,28,Pass,92,20,3,0,0,0,0.03
104,28,Pass,92,22,1,0,0,0,0
104,28,Pass,92,24,1,0,0,0,0
104,28,Pass,92,26,1,0,0,0,0
104,28,Pass,92,28,1,0.001,0,0,0
104,28,Pass,92,30,1,0.003,0,0,0
104,28,Pass,92,32,2,0.004,0,0,0
104,28,Pass,92,34,2,0.003,0,0,0
104,28,Pass,92,36,2,0.002,0,0,0
104,28,Pass,92,38,1,0.001,0,0,0
104,28,Pass,92,40,1,0,0,0,0
104,28,Pass,92,42,1,0,0,0,0
104,28,Pass,92,44,1,0,0,0,0
104,28,Pass,90,20,2,0,0,0,0
104,28,Pass,90,22,1,0,0,0,0
104,28,Pass,90,24,1,0,0,0,0
104,28,Pass,90,26,1,0,0,0,0
104,28,Pass,90,28,1,0.001,0,0,0
104,28,Pass,90,30,1,0.001,0,0,0
104,28,Pass,90,32,1,0.002,0,0,0
104,28,Pass,90,34,1,0.002,0,0,0
104,28,Pass,90,36,1,0.001,0,0,0
104,28,Pass,90,38,1,0.001,0,0,0
104,28,Pass,90,40,1,0,0,0,0
104,28,Pass,90,42,1,0,0,0,0
104,28,Pass,90,44,1,0,0,0,0
104,28,Pass,88,22,1,0,0,0,0
104,28,Pass,88,24,1,0,0,0,0
104,28,Pass,88,26,1,0,0,0,0
104,28,Pass,88,28,1,0,0,0,0
104,28,Pass,88,30,1,0.001,0,0,0
104,28,Pass,88,32,1,0.001,0,0,0
104,28,Pass,88,34,1,0.001,0,0,0
