Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000932538612310569,0,0,0,0,32,76,Shot
1,0.00131016787647325,0,0,0,0,34,76,Shot
1,0.000677162015363356,0,0,0,0,36,76,Shot
1,0.000889367519605188,0,0,0,0,38,76,Shot
1,0.000982903118148729,0,0,0,0,40,76,Shot
1,0.000399618586303703,0,0,0,0,42,76,Shot
1,0.00054343524659525,0,0,0,0,28,78,Shot
1,0.00564152985143181,0,0,0,0,30,78,Shot
1,0.021545247939441,0,0,0,0,32,78,Shot
2,0.031159311700218,0,0,0,0,34,78,Shot
2,0.0229077873245538,0,0,0,0,36,78,Shot
2,0.0247931714817153,0,0,0,0,38,78,Shot
1,0.0241131004268167,0,0,0,0,40,78,Shot
1,0.00980365503582178,0,0,0,0,42,78,Shot
1,0.0014663191470429,0,0,0,0,44,78,Shot
1,0.00461889398377468,0,0,0,0,28,80,Shot
1,0.0479498311037439,0,0,0,0,30,80,Shot
2,0.183484080909996,0,0,0,0,32,80,Shot
3,0.265675913904474,0,0,0,0,34,80,Shot
3,0.199683135351077,0,0,0,0,36,80,Shot
3,0.223532695124235,0,0,0,0,38,80,Shot
3,0.219955551242211,0,0,0,0,40,80,Shot
1,0.0884781190420871,0,0,0,0,42,80,Shot
1,0.0132335500965409,0,0,0,0,44,80,Shot
1,0.000728152539089461,0,0,0,0,46,80,Shot
1,0.000511788041543018,0,0,0,0,26,82,Shot
1,0.0144422115906153,0,0,0,0,28,82,Shot
1,0.149928015011206,0,0,0,0,30,82,Shot
3,0.574772930460559,0,0,0,0,32,82,Shot
3,0.839517478302395,0,0,0,0,34,82,Shot
3,0.659731862317225,0,0,0,0,36,82,Shot
3,0.763113803193868,0,0,0,0,38,82,Shot
3,0.74087395409064,0,0,0,0,40,82,Shot
2,0.295752922237012,0,0,0,0,42,82,Shot
1,0.0439369336234075,0,0,0,0,44,82,Shot
3,0.0042651126869477,0,0,0,0,46,82,Shot
2,0.00426013147060868,0,0,0,0,48,82,Shot
2,0.00366486541898138,0,0,0,0,50,82,Shot
2,0.00117661030551008,0,0,0,0,52,82,Shot
1,0.000588696374755388,0,0,0,0,26,84,Shot
2,0.0174669925105988,0,0,0,0,28,84,Shot
3,0.175281933432947,0,0,0,0,30,84,Shot
5,0.671600883427768,0,0,0,0,32,84,Shot
5,1.03075859363847,0,0,0,0,34,84,Shot
4,0.965092227543126,0,0,0,0,36,84,Shot
4,1.14238512886475,0,0,0,0,38,84,Shot
3,0.995636069165261,0,0,0,0,40,84,Shot
2,0.375418933485592,0,0,0,0,42,84,Shot
4,0.0604941095963733,0,0,0,0,44,84,Shot
3,0.0394208964887784,0,0,0,0,46,84,Shot
2,0.084380524465324,0,0,0,0,48,84,Shot
2,0.0728501553090254,0,0,0,0,50,84,Shot
2,0.0234727040466328,0,0,0,0,52,84,Shot
2,0.00282194616535471,0,0,0,0,54,84,Shot
1,0.000380889976550211,0,0,0,0,18,86,Shot
2,0.00114974219516627,0,0,0,0,20,86,Shot
1,0.00178239021149836,0,0,0,0,22,86,Shot
2,0.0025074320166779,0,0,0,0,24,86,Shot
2,0.00288689126521799,0,0,0,0,26,86,Shot
3,0.0236787531697397,0,0,0,0,28,86,Shot
5,0.122769042708146,0,0,0,0,30,86,Shot
6,0.36709236072822,0,0,0,0,32,86,Shot
5,0.675586588282224,0,0,0,0,34,86,Shot
5,1.03157496829301,0,0,0,0,36,86,Shot
4,1.18315815951433,0,0,0,0,38,86,Shot
4,0.728143071753689,0,0,0,0,40,86,Shot
4,0.21471163633613,0,0,0,0,42,86,Shot
4,0.0696038876256957,0,0,0,0,44,86,Shot
3,0.266361213673488,0,0,0,0,46,86,Shot
2,0.615392761151326,0,0,0,0,48,86,Shot
4,0.534144858672396,0,0,0,0,50,86,Shot
4,0.174985740557405,0,0,0,0,52,86,Shot
3,0.0240952627168861,0,0,0,0,54,86,Shot
2,0.00248710661174377,0,0,0,0,56,86,Shot
1,0.000379976936692576,0,0,0,0,58,86,Shot
1,0.00265051849402479,0,0,0,0,16,88,Shot
2,0.0123126157816746,0,0,0,0,18,88,Shot
3,0.0305432286252651,0,0,0,0,20,88,Shot
3,0.0547022373106704,0,0,0,0,22,88,Shot
5,0.0582153660982623,0,0,0,0,24,88,Shot
4,0.0437899972465332,0,0,0,0,26,88,Shot
6,0.133449548735006,0,0,0,0,28,88,Shot
5,0.365840751250944,0,0,0,0,30,88,Shot
5,0.519369852566599,0,0,0,0,32,88,Shot
6,0.710128049633456,0,0,0,0,34,88,Shot
5,1.09476266252915,0,0,0,0,36,88,Shot
5,1.0344835273944,0,0,0,0,38,88,Shot
4,0.447715571584786,0,0,0,0,40,88,Shot
5,0.0914882660966053,0,0,0,0,42,88,Shot
4,0.120812969021133,0,0,0,0,44,88,Shot
4,0.710210778181177,0,0,0,0,46,88,Shot
5,1.65890090249101,0,0,0,0,48,88,Shot
5,1.45956651845218,0,0,0,0,50,88,Shot
4,0.517191595403848,0,0,0,0,52,88,Shot
4,0.119579375538341,0,0,0,0,54,88,Shot
4,0.0359985974463521,0,0,0,0,56,88,Shot
1,0.00676901295219379,0,0,0,0,58,88,Shot
1,0.000512915214670226,0,0,0,0,60,88,Shot
1,0.00249616431328168,0,0,0,0,14,90,Shot
2,0.0285023413916937,0,0,0,0,16,90,Shot
3,0.128591700610509,0,0,0,0,18,90,Shot
3,0.288396159679269,0,0,0,0,20,90,Shot
3,0.470979503441108,0,0,0,0,22,90,Shot
5,0.487783193625902,0,0,0,0,24,90,Shot
5,0.294287651603082,0,0,0,0,26,90,Shot
5,0.481335044925844,0,0,0,0,28,90,Shot
7,1.06689755966969,0,0,0,0,30,90,Shot
5,1.25894683947392,0,0,0,0,32,90,Shot
5,1.22264362031863,0,0,0,0,34,90,Shot
7,1.12140550490554,0,0,0,0,36,90,Shot
7,0.642784722502495,0,0,0,0,38,90,Shot
5,0.197742645963818,0,0,0,0,40,90,Shot
7,0.0387253941647717,0,0,0,0,42,90,Shot
7,0.117545661689801,0,0,0,0,44,90,Shot
6,0.718031437657325,0,0,0,0,46,90,Shot
6,1.71699239257726,0,0,0,0,48,90,Shot
7,1.64851748078156,0,0,0,0,50,90,Shot
7,0.862994387363156,0,0,0,0,52,90,Shot
6,0.493166006290852,0,0,0,0,54,90,Shot
5,0.225100491801807,0,0,0,0,56,90,Shot
1,0.0443607592944369,0,0,0,0,58,90,Shot
1,0.00336139235323315,0,0,0,0,60,90,Shot
1,0.00972553867758833,0,0,0,0,14,92,Shot
3,0.110895674677706,0,0,0,0,16,92,Shot
3,0.489896376296367,0,0,0,0,18,92,Shot
3,1.03050869859656,0,0,0,0,20,92,Shot
4,1.5498286837441,0,0,0,0,22,92,Shot
5,1.57235575354926,0,0,0,0,24,92,Shot
5,0.883750015090947,0,0,0,0,26,92,Shot
5,0.933808344249136,0,0,0,0,28,92,Shot
5,1.55571920364383,0,0,0,0,30,92,Shot
4,1.47485109899417,0,0,0,0,32,92,Shot
5,1.19558376029083,0,0,0,0,34,92,Shot
6,0.896681989951154,0,0,0,0,36,92,Shot
5,0.388365820954144,0,0,0,0,38,92,Shot
4,0.14385434544391,0,0,0,0,40,92,Shot
8,0.09249988561087,0,0,0,0,42,92,Shot
7,0.104874620959926,0,0,0,0,44,92,Shot
7,0.419538966615417,0,0,0,0,46,92,Shot
8,1.09322460623962,0,0,0,0,48,92,Shot
7,1.47068496550376,0,0,0,0,50,92,Shot
8,1.44809737022447,0,0,0,0,52,92,Shot
8,1.19568548001786,0,0,0,0,54,92,Shot
4,0.559049166799527,0,0,0,0,56,92,Shot
3,0.10978444303053,0,0,0,0,58,92,Shot
1,0.00810397983756287,0,0,0,0,60,92,Shot
1,0.000456008093364971,0,0,0,0,12,94,Shot
1,0.0139399006590316,0,0,0,0,14,94,Shot
3,0.158473799099349,0,0,0,0,16,94,Shot
3,0.691375861561018,0,0,0,0,18,94,Shot
3,1.38732047915757,0,0,0,0,20,94,Shot
4,1.94911719065996,0,0,0,0,22,94,Shot
5,1.94796201832344,0,0,0,0,24,94,Shot
5,1.07666676530342,0,0,0,0,26,94,Shot
5,0.913304621436855,0,0,0,0,28,94,Shot
5,1.21006967067907,0,0,0,0,30,94,Shot
4,0.861275291994574,0,0,0,0,32,94,Shot
5,0.515896335638862,0,0,0,0,34,94,Shot
6,0.433632357997667,0,0,0,0,36,94,Shot
5,0.458004071499058,0,0,0,0,38,94,Shot
4,0.57422268669233,0,0,0,0,40,94,Shot
5,0.531400690552217,0,0,0,0,42,94,Shot
7,0.358780993733233,0,0,0,0,44,94,Shot
9,0.690781450189931,0,0,0,0,46,94,Shot
