x,y,WeightedExpectedGoals,GoalProbability
0,0,0.0539512990511188,0.002
0,2,0.0450476685172422,0.002
0,4,0.0262230713020485,0.002
0,6,0.0106423029559724,0.002
0,8,0.00301112305960848,0.002
0,10,0.000593966862738652,0.001
0,12,0.0000816839541742694,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.0450476685172422,0.002
2,2,0.0376134119943356,0.002
2,4,0.0218954546840368,0.002
2,6,0.00888599429953427,0.002
2,8,0.00251419476156347,0.001
2,10,0.000495943986770829,0.001
2,12,0.0000682035790710732,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.0262230713020485,0.002
4,2,0.0218954546840368,0.002
4,4,0.0127457444140645,0.002
4,6,0.00517269971512721,0.002
4,8,0.00146355872944858,0.001
4,10,0.000288698060409849,0
4,12,0.0000397025501186836,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0,0
4,44,0,0
4,46,0,0
4,48,0,0
4,50,0,0
4,52,0,0
4,54,0,0
4,56,0,0
4,58,0,0
4,60,0,0
4,62,0,0
4,64,0,0
4,66,0,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,0,0.0106423029559724,0.002
6,2,0.00888599429953427,0.002
6,4,0.00517269971512721,0.002
6,6,0.0020992749794474,0.001
6,8,0.000593966862738652,0.001
6,10,0.000117164468886725,0
6,12,0,0
6,14,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0,0
6,34,0,0
6,36,0.0000375872254695423,0
6,38,0.0000490871772448927,0
6,40,0.0000446927083257635,0
6,42,0,0
6,44,0,0
6,46,0,0
6,48,0,0
6,50,0,0
6,52,0,0
6,54,0.0000107815618953915,0
6,56,0.0000265662110447285,0
6,58,0.0000456371359066754,0
6,60,0.0000546572741316275,0
6,62,0.0000456371359066754,0
6,64,0.0000265662110447285,0
6,66,0.0000107815618953915,0
6,68,0,0
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
6,78,0,0
6,80,0,0
8,0,0.00301112305960848,0.002
8,2,0.00251419476156347,0.002
8,4,0.00146355872944858,0.001
8,6,0.000593966862738652,0.001
8,8,0.000168056418280403,0
8,10,0.0000331504032060664,0
8,12,0,0
8,14,0,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0,0
8,28,0,0
8,30,0,0
8,32,0.0000659824720375936,0
8,34,0.000177286114698071,0
8,36,0.0003320945031408,0
8,38,0.000433700054582015,0
8,40,0.000394873592824457,0
8,42,0.000250649897031063,0
8,44,0.000110922026315687,0
8,46,0,0
8,48,0,0
8,50,0,0
8,52,0.0000203423830917788,0
8,54,0.0000718966974857908,0
8,56,0.00017715641364012,0
8,58,0.00030433061426867,0
8,60,0.00036448128218967,0
8,62,0.00030433061426867,0
8,64,0.00017715641364012,0
8,66,0.0000718966974857908,0
8,68,0.0000203423830917788,0
8,70,0,0
8,72,0,0
8,74,0,0
8,76,0,0
8,78,0,0
8,80,0,0
10,0,0.000593966862738652,0.001
10,2,0.000495943986770829,0.001
10,4,0.000288698060409849,0
10,6,0.000117164468886725,0
10,8,0.0000331504032060664,0
10,10,0,0
10,12,0,0
10,14,0,0
10,16,0,0
10,18,0,0
10,20,0,0
10,22,0,0
10,24,0,0
10,26,0,0
10,28,0,0
10,30,0.000105459451961569,0
10,32,0.000406434742901725,0
10,34,0.0010920360244506,0.001
10,36,0.00204561514346121,0.001
10,38,0.00267147872362338,0.001
10,40,0.00243231789022468,0.002
10,42,0.00154393770515481,0.002
10,44,0.000683250624833648,0.001
10,46,0.000210800252357791,0
10,48,0.00014926956634307,0
10,50,0.000227897196825012,0
10,52,0.000388276440813941,0
10,54,0.000621668769254091,0
10,56,0.00101970384611081,0
10,58,0.00150812869901565,0
10,60,0.0016945068017498,0
10,62,0.00141486084761576,0
10,64,0.000823616362638254,0
10,66,0.000334254319401845,0
10,68,0.0000945735986927346,0
10,70,0.0000186553596785685,0
10,72,0,0
10,74,0,0
10,76,0,0
10,78,0,0
10,80,0,0
12,0,0.0000816839541742694,0
12,2,0.0000682035790710732,0
12,4,0.0000397025501186836,0
12,6,0,0
12,8,0,0
12,10,0,0
12,12,0,0
12,14,0,0
12,16,0,0
12,18,0,0
12,20,0,0
12,22,0,0
12,24,0,0
12,26,0,0
12,28,0.0000819264407332096,0
12,30,0.000452885668615751,0
12,32,0.00174539566500683,0.001
12,34,0.00468964569686957,0.002
12,36,0.00878470127376104,0.004
12,38,0.0114724133819871,0.005
12,40,0.010445359742642,0.006
