x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
116,4,Pass,120,0,40,1.353,2,0.003,0.04
116,4,Pass,120,2,44,2.117,2,0.004,0.038
116,4,Pass,120,4,50,2.488,2,0.004,0.034
116,4,Pass,120,6,53,2.282,2,0.003,0.027
116,4,Pass,120,8,57,1.726,2,0.002,0.019
116,4,Pass,120,10,55,1.152,2,0.001,0.01
116,4,Pass,120,12,55,0.743,2,0,0.004
116,4,Pass,120,14,50,0.569,2,0,0.001
116,4,Pass,118,0,49,2.367,2,0.006,0.048
116,4,Pass,118,2,56,3.646,2,0.008,0.045
116,4,Pass,118,4,61,4.251,2,0.009,0.04
116,4,Pass,118,6,63,3.911,2,0.006,0.031
116,4,Pass,118,8,67,3.013,2,0.003,0.02
116,4,Pass,118,10,68,2.082,2,0.001,0.01
116,4,Pass,118,12,68,1.377,2,0,0.004
116,4,Pass,118,14,61,0.965,2,0,0.001
116,4,Pass,116,0,59,3.411,2,0.01,0.056
116,4,Pass,116,2,70,5.103,2,0.014,0.053
116,4,Pass,116,4,72,5.826,2,0.014,0.047
116,4,Pass,116,6,76,5.332,2,0.01,0.036
116,4,Pass,116,8,79,4.184,2,0.005,0.022
116,4,Pass,116,10,82,3.012,2,0.002,0.011
116,4,Pass,116,12,81,2.084,2,0,0.004
116,4,Pass,116,14,73,1.434,2,0,0.001
116,4,Pass,116,16,69,1.062,1,0,0.001
116,4,Pass,114,0,71,4.279,2,0.013,0.059
116,4,Pass,114,2,78,6.135,2,0.018,0.057
116,4,Pass,114,4,82,6.757,2,0.018,0.051
116,4,Pass,114,6,87,6.066,2,0.012,0.039
116,4,Pass,114,8,89,4.8,2,0.006,0.024
116,4,Pass,114,10,91,3.591,2,0.002,0.011
116,4,Pass,114,12,91,2.629,2,0.001,0.004
116,4,Pass,114,14,87,1.884,2,0,0.002
116,4,Pass,114,16,82,1.323,2,0,0.004
116,4,Pass,112,0,81,4.783,2,0.013,0.052
116,4,Pass,112,2,89,6.571,2,0.018,0.052
116,4,Pass,112,4,94,6.952,2,0.017,0.048
116,4,Pass,112,6,94,6.072,2,0.012,0.037
116,4,Pass,112,8,98,4.793,2,0.006,0.022
116,4,Pass,112,10,102,3.695,2,0.002,0.01
116,4,Pass,112,12,101,2.879,2,0.001,0.004
116,4,Pass,112,14,100,2.225,2,0,0.004
116,4,Pass,112,16,88,1.636,1,0.001,0.009
116,4,Pass,110,0,85,4.725,2,0.009,0.038
116,4,Pass,110,2,94,6.323,2,0.013,0.039
116,4,Pass,110,4,98,6.537,2,0.012,0.036
116,4,Pass,110,6,99,5.625,2,0.008,0.028
116,4,Pass,110,8,106,4.429,2,0.004,0.017
116,4,Pass,110,10,109,3.478,2,0.001,0.008
116,4,Pass,110,12,109,2.853,2,0.001,0.005
116,4,Pass,110,14,101,2.376,2,0.001,0.007
116,4,Pass,110,16,91,1.888,1,0.002,0.017
116,4,Pass,108,0,83,4.107,2,0.005,0.022
116,4,Pass,108,2,97,5.514,2,0.006,0.023
116,4,Pass,108,4,101,5.763,2,0.006,0.021
