x,y,WeightedExpectedGoals,GoalProbability
0,0,0.0949598692355167,0.005
0,2,0.0792885581440605,0.005
0,4,0.0461553190672342,0.005
0,6,0.0187315544729767,0.004
0,8,0.00529988817732722,0.003
0,10,0.00104544314238756,0.002
0,12,0.000143772212040327,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.0792885581440605,0.005
2,2,0.0662034973634181,0.005
2,4,0.0385382659957509,0.005
2,6,0.0156402694940081,0.004
2,8,0.00442524295039634,0.003
2,10,0.000872912737231342,0.001
2,12,0.000120045356903209,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0,0
2,48,0,0
2,50,0,0
2,52,0,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.0461553190672342,0.005
4,2,0.0385382659957509,0.005
4,4,0.0224338291043204,0.005
4,6,0.00910448677199902,0.004
4,8,0.00257601481356831,0.003
4,10,0.000508138460931056,0.001
4,12,0.0000698805966472566,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0,0
4,44,0,0
4,46,0,0
4,48,0,0
4,50,0,0
4,52,0,0
4,54,0,0
4,56,0,0
4,58,0,0
4,60,0,0
4,62,0,0
4,64,0,0
4,66,0,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,0,0.0187315544729767,0.005
6,2,0.0156402694940081,0.005
6,4,0.00910448677199902,0.004
6,6,0.00369494119777981,0.003
6,8,0.00104544314238756,0.002
6,10,0.000206221589474432,0.001
6,12,0,0
6,14,0,0
6,16,0.0000681765421612225,0
6,18,0.0000956961785072323,0
6,20,0.0000936472534619459,0
6,22,0.0000638905047220487,0
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0,0
6,34,0,0
6,36,0,0
6,38,0,0
6,40,0,0
6,42,0,0
6,44,0,0
6,46,0,0
6,48,0,0
6,50,0,0
6,52,0,0
6,54,0,0
6,56,0,0
6,58,0,0
6,60,0,0
6,62,0,0
6,64,0,0
6,66,0,0
6,68,0,0
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
6,78,0,0
6,80,0,0
8,0,0.00529988817732722,0.004
8,2,0.00442524295039634,0.003
8,4,0.00257601481356831,0.003
8,6,0.00104544314238756,0.002
8,8,0.000295796686729926,0.001
8,10,0.0000583481400618369,0
8,12,0.0000992111566108245,0
8,14,0.000286509144391083,0
8,16,0.000576842549375434,0
8,18,0.000809686525976321,0
8,20,0.000792350546339701,0
8,22,0.000540578334665263,0
8,24,0.00025712288665593,0
8,26,0.0000852635987521377,0
8,28,0,0
8,30,0,0
8,32,0,0
8,34,0,0
8,36,0,0
8,38,0,0
8,40,0,0
8,42,0,0
8,44,0,0
8,46,0,0
8,48,0,0
8,50,0,0
8,52,0,0
8,54,0,0
8,56,0,0
8,58,0,0
8,60,0,0
8,62,0,0
8,64,0,0
8,66,0,0
8,68,0,0
8,70,0,0
8,72,0,0
8,74,0,0
8,76,0,0
8,78,0,0
8,80,0,0
10,0,0.00104544314238756,0.002
10,2,0.000872912737231342,0.001
10,4,0.000508138460931056,0.001
10,6,0.000206221589474432,0
10,8,0.0000583481400618369,0
10,10,0.000141281892706826,0
10,12,0.0005852260568147,0.001
10,14,0.00169005807956736,0.001
10,16,0.00340267468000763,0.002
10,18,0.00477617305392261,0.002
10,20,0.00467391170197046,0.002
10,22,0.00318875959118788,0.001
10,24,0.00151671463386654,0.001
10,26,0.000502952302867317,0
10,28,0.000116276124910972,0
10,30,0,0
10,32,0,0
10,34,0,0
10,36,0,0
10,38,0,0
10,40,0,0
10,42,0,0
10,44,0,0
10,46,0,0
10,48,0,0
10,50,0,0
10,52,0,0
10,54,0,0
10,56,0,0
10,58,0,0
10,60,0,0
10,62,0,0
10,64,0,0
10,66,0,0
10,68,0,0
10,70,0,0
10,72,0,0
10,74,0,0
10,76,0,0
10,78,0,0
10,80,0,0
12,0,0.000143772212040327,0
12,2,0.000120045356903209,0
12,4,0.0000698805966472566,0
12,6,0,0
12,8,0.0000977899323508659,0
12,10,0.0005810191826213,0
12,12,0.00240673138407591,0.001
12,14,0.00695033273662612,0.003
12,16,0.013993436975018,0.006
12,18,0.0196419237503173,0.008
12,20,0.0192213758231439,0.008
12,22,0.0131137151106293,0.005
12,24,0.00623746100760106,0.002
12,26,0.00206838208570623,0.001
12,28,0.000478183422941086,0
12,30,0.0000770724367609255,0
12,32,0,0
12,34,0,0
12,36,0,0
12,38,0,0
12,40,0,0
12,42,0,0
12,44,0,0
12,46,0,0
12,48,0,0
12,50,0,0
12,52,0,0
12,54,0,0
12,56,0,0
12,58,0,0
12,60,0,0
12,62,0,0
12,64,0,0
12,66,0,0
12,68,0,0
12,70,0,0
12,72,0,0
12,74,0,0
12,76,0,0
12,78,0,0
12,80,0,0
14,0,0,0
14,2,0,0
14,4,0,0
14,6,0,0
14,8,0.000280374774442318,0
14,10,0.00166584758121744,0.001
14,12,0.00690037054665735,0.002
14,14,0.0199273884998587,0.006
14,16,0.0401207633671987,0.012
14,18,0.056315612545361,0.017
14,20,0.0551098541672862,0.017
14,22,0.0375985014802083,0.011
14,24,0.0178835047847685,0.005
14,26,0.00593028491583041,0.002
14,28,0.00137100585025587,0
14,30,0.000220975376023695,0
14,32,0,0
14,34,0,0
14,36,0,0
14,38,0,0
14,40,0,0
14,42,0,0
14,44,0,0
14,46,0,0
14,48,0,0
14,50,0,0
14,52,0,0
14,54,0,0
14,56,0,0
14,58,0,0
14,60,0,0
14,62,0,0
14,64,0,0
14,66,0,0
14,68,0,0
14,70,0,0
14,72,0,0
14,74,0,0
14,76,0,0
14,78,0,0
14,80,0,0
16,0,0,0
16,2,0,0
16,4,0,0
16,6,0.0000657610975573929,0
16,8,0.000560434101523092,0
16,10,0.00332982093096997,0.001
16,12,0.0137929775429491,0.003
16,14,0.0398323568581864,0.009
16,16,0.0801963871922526,0.019
16,18,0.112567864856455,0.028
16,20,0.110157704689178,0.028
16,22,0.0751547011944554,0.019
16,24,0.0357468889848278,0.009
16,26,0.0118538977166904,0.003
16,28,0.00274046919306261,0.001
16,30,0.000441702134462333,0
16,32,0,0
16,34,0,0
16,36,0,0
16,38,0,0
16,40,0,0
16,42,0,0
16,44,0,0
16,46,0,0
16,48,0,0
16,50,0,0
16,52,0,0
16,54,0,0
16,56,0,0
16,58,0,0
16,60,0,0
16,62,0,0
16,64,0,0
16,66,0,0
16,68,0,0
16,70,0,0
16,72,0,0
16,74,0,0
16,76,0,0
16,78,0,0
16,80,0,0
18,0,0,0
18,2,0,0
18,4,0,0
18,6,0.0000916421973977067,0
18,8,0.000780999929561118,0
18,10,0.00464031347391433,0.001
18,12,0.019221375823144,0.004
18,14,0.0555088775218206,0.012
18,16,0.111843473152717,0.025
18,18,0.157073353556803,0.036
18,20,0.153850452911949,0.035
18,22,0.105127004090096,0.024
18,24,0.0501353319929749,0.012
18,26,0.0167000181493145,0.004
18,28,0.00389033130024472,0.001
18,30,0.000615539516536475,0
18,32,0.000069167381947592,0
18,34,0.0000795477748302625,0
18,36,0.000172138760164856,0
18,38,0.000259698912090143,0
18,40,0.000273150761029136,0
18,42,0.000200297497917662,0
18,44,0.000102397524697557,0
18,46,0.0000364959117152694,0
18,48,0,0
18,50,0,0
18,52,0,0
18,54,0,0
18,56,0,0
18,58,0,0
18,60,0,0
18,62,0,0
18,64,0,0
18,66,0,0
18,68,0,0
18,70,0,0
18,72,0,0
18,74,0,0
18,76,0,0
18,78,0,0
18,80,0,0
20,0,0,0
20,2,0,0
20,4,0,0
20,6,0.0000890354094298247,0
20,8,0.000758784167858446,0
20,10,0.00450831845770466,0.001
20,12,0.0186746184052215,0.004
20,14,0.0540981939199005,0.013
20,16,0.109157514216448,0.027
20,18,0.153791464792941,0.038
20,20,0.151453744480887,0.037
20,22,0.104440075749966,0.026
20,24,0.0505778098241963,0.012
20,26,0.0172817815583474,0.004
20,28,0.00419635887002584,0.001
20,30,0.000769185303374966,0
20,32,0.000234442121326206,0
20,34,0.000519105639062073,0
20,36,0.00112332747576411,0
20,38,0.00169471955704526,0
20,40,0.00178250241024187,0
20,42,0.00130708320730458,0
20,44,0.000668216459981704,0
20,46,0.000238161703637002,0
20,48,0.0000591789849932445,0
20,50,0,0
20,52,0.0000570369197765764,0
20,54,0.0000566269121511725,0
20,56,0,0
20,58,0,0
20,60,0,0
20,62,0,0
20,64,0,0
20,66,0,0
20,68,0,0
20,70,0,0
20,72,0,0
20,74,0.0000501574441364352,0
20,76,0.0000600710171539475,0
20,78,0.0000501574441364352,0
20,80,0,0
22,0,0,0
22,2,0,0
22,4,0,0
22,6,0.0000603074341022708,0
22,8,0.000513956486458758,0
22,10,0.00305367403869095,0.001
22,12,0.0128114257142329,0.003
22,14,0.0373284771656181,0.01
22,16,0.0762908195505332,0.021
22,18,0.10980440629043,0.032
22,20,0.111990756450234,0.032
22,22,0.0816848627596415,0.022
22,24,0.0431358037133489,0.011
22,26,0.0168037139333045,0.004
22,28,0.00499186051952252,0.001
22,30,0.0014706502854099,0
22,32,0.00115996546072316,0
22,34,0.00256810998742159,0.001
22,36,0.00521769287688478,0.001
22,38,0.00771021301908811,0.002
22,40,0.00810958558474687,0.002
22,42,0.00594664168481184,0.001
22,44,0.00304008484937919,0.001
22,46,0.00114308887707755,0
22,48,0.000443739446663438,0
22,50,0.000403080048828819,0
22,52,0.000507587204191206,0
22,54,0.000503938433796679,0
22,56,0.000348806944795392,0
22,58,0.000168319173266719,0
22,60,0.0000566269121511726,0
22,62,0,0
22,64,0,0
22,66,0,0
22,68,0,0
22,70,0.000105451630444017,0
22,72,0.000259837145727833,0
22,74,0.000446364862238673,0
22,76,0.000534588469530506,0
22,78,0.000446364862238673,0
22,80,0.000259837145727833,0
24,0,0,0
24,2,0,0
24,4,0,0
24,6,0,0
24,8,0.000242703068486433,0
24,10,0.00151812150301408,0
24,12,0.00651084900894803,0.002
24,14,0.0198978791117093,0.005
24,16,0.0438226579248457,0.013
24,18,0.0705161704280637,0.022
24,20,0.0840346741108679,0.024
24,22,0.0748190178571238,0.018
24,24,0.0499539959638053,0.011
24,26,0.0250985404966669,0.006
24,28,0.0101719213765212,0.002
24,30,0.00475362715324637,0.001
24,32,0.00486308848273816,0.001
24,34,0.00901364050688878,0.002
24,36,0.0169998304582482,0.005
24,38,0.0247410352952715,0.007
24,40,0.0258126787807857,0.007
24,42,0.0188841804272766,0.004
24,44,0.00974958460434765,0.002
24,46,0.00380629565953104,0.001
24,48,0.00193664257843908,0
24,50,0.00235940385803252,0
24,52,0.00314924241326573,0.001
24,54,0.00318956806263696,0.001
24,56,0.00223529564731025,0
24,58,0.00110040866470187,0
24,60,0.000351332484361776,0
24,62,0.0000824040244888336,0
24,64,0,0
24,66,0,0
24,68,0.00018511500038036,0
24,70,0.00065425752343675,0
24,72,0.00161211739206836,0.001
24,74,0.00276939833066401,0.001
24,76,0.00331676738102738,0.002
24,78,0.00276939833066401,0.002
24,80,0.00161211739206836,0.002
26,0,0,0
26,2,0,0
26,4,0,0
26,6,0,0
26,8,0.0000799033536463336,0
26,10,0.000650472282814126,0
26,12,0.00320797100457004,0.001
26,14,0.0117935882603201,0.003
26,16,0.0324299601167463,0.009
26,18,0.06631273344,0.019
26,20,0.0995953146354239,0.023
26,22,0.108534018390719,0.021
26,24,0.0852139441154265,0.015
26,26,0.0494098674322458,0.009
26,28,0.0246820164582871,0.005
26,30,0.0159812448004889,0.004
26,32,0.0167943631382616,0.004
26,34,0.0245207788080414,0.006
26,36,0.0399441869775874,0.01
26,38,0.0556391898588779,0.014
26,40,0.0574099684328403,0.013
26,42,0.0419665032576202,0.009
26,44,0.0218677555144335,0.004
26,46,0.00929535038153212,0.002
26,48,0.00665383794009541,0.001
26,50,0.0100340861450614,0.002
26,52,0.0139900977789171,0.002
26,54,0.0140568624035487,0.002
26,56,0.00996313393049702,0.002
26,58,0.00499181789539191,0.001
26,60,0.00178050095982973,0
26,62,0.000456349953531945,0
26,64,0.0000582848407685541,0
26,66,0.000157947070456728,0
26,68,0.000800714814050366,0
26,70,0.0028299904931707,0.001
26,72,0.00697321273351726,0.002
26,74,0.0119790306826172,0.004
26,76,0.0143466751548538,0.005
26,78,0.0119790306826172,0.006
26,80,0.00697321273351726,0.007
28,0,0,0
28,2,0,0
28,4,0,0
28,6,0,0
28,8,0,0
28,10,0.000391862207693529,0
28,12,0.00244993689786455,0.001
28,14,0.0111470677674489,0.003
28,16,0.0364252108984743,0.01
28,18,0.0846012461480992,0.021
28,20,0.13877035016863,0.027
28,22,0.16034269899166,0.024
28,24,0.131990261355323,0.018
28,26,0.0830113942902575,0.012
28,28,0.0519180767689934,0.009
28,30,0.0450372307844344,0.008
28,32,0.0474730650722884,0.01
28,34,0.0538814457338259,0.012
28,36,0.0700481716192298,0.015
28,38,0.0891909804612805,0.019
28,40,0.0899812212862162,0.018
28,42,0.0658962597269202,0.012
28,44,0.0350116762948203,0.005
28,46,0.0171745017684552,0.002
28,48,0.0175246500441277,0.002
28,50,0.030253336983672,0.004
28,52,0.0430778682585516,0.006
28,54,0.0439261741936343,0.006
28,56,0.0317814504310459,0.005
28,58,0.0164219672813375,0.002
28,60,0.00612128675415126,0.001
28,62,0.00166424101679241,0
28,64,0.000398668735768161,0
28,66,0.000476308850307159,0
28,68,0.00241465417118152,0.001
28,70,0.0085341849917477,0.002
28,72,0.0210285821094655,0.006
28,74,0.0361242428601722,0.01
28,76,0.0432641664639852,0.014
28,78,0.0361242428601722,0.016
28,80,0.0210285821094655,0.017
30,0,0,0
30,2,0,0
30,4,0,0
30,6,0,0
30,8,0,0
30,10,0.000317510227467889,0
30,12,0.00231533650844334,0.001
30,14,0.0112565913417851,0.003
30,16,0.0383565475891758,0.01
30,18,0.0914078089077788,0.022
30,20,0.152518563209659,0.028
30,22,0.178741188970109,0.026
30,24,0.151758648801412,0.019
30,26,0.107437052138915,0.014
30,28,0.0900497741648261,0.013
30,30,0.0991887833737998,0.015
30,32,0.104938670453096,0.018
30,34,0.0981333380963034,0.017
30,36,0.0967362206910028,0.017
30,38,0.105098037267767,0.019
30,40,0.101618883916682,0.018
30,42,0.0750163661545241,0.012
30,44,0.041983407649835,0.006
30,46,0.0254033281795917,0.003
30,48,0.034860986401665,0.004
30,50,0.0649070448938061,0.007
30,52,0.094458628641799,0.011
30,54,0.0986676199740122,0.013
30,56,0.0739585967231044,0.01
30,58,0.0401537825532381,0.005
30,60,0.0159619183355081,0.002
30,62,0.00468356853350989,0.001
30,64,0.00115455161011879,0
30,66,0.0011219227998739,0
30,68,0.00507659877199707,0.001
30,70,0.0180032658617241,0.005
30,72,0.0442638411345618,0.013
30,74,0.0759480546456638,0.022
30,76,0.0909591182720272,0.029
30,78,0.0759480546456638,0.033
30,80,0.0442107509173938,0.034
32,0,0,0
32,2,0,0
32,4,0,0
32,6,0,0
32,8,0,0
32,10,0.000248444553261154,0
32,12,0.0017551822143403,0
32,14,0.00864481619369943,0.002
32,16,0.0297679104665278,0.009
32,18,0.0713993193734066,0.019
32,20,0.119777339208698,0.025
32,22,0.142192816486858,0.023
32,24,0.127574878173188,0.017
32,26,0.109991224380053,0.014
32,28,0.126324998451838,0.016
32,30,0.162653965062472,0.022
32,32,0.17259218908053,0.024
