x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
110,58,Pass,98,66,20,0.208,0,0,0
110,58,Pass,98,68,15,0.329,0,0,0
110,58,Pass,98,70,13,0.41,0,0,0
110,58,Pass,98,72,11,0.367,0,0,0
110,58,Pass,96,62,23,0.084,0,0,0.003
110,58,Pass,96,64,19,0.136,0,0,0.001
110,58,Pass,96,66,13,0.263,0,0,0
110,58,Pass,96,68,11,0.447,0,0,0
110,58,Pass,96,70,11,0.566,0,0,0
110,58,Pass,96,72,10,0.509,0,0,0
110,58,Pass,96,74,9,0.322,0,0,0
110,58,Pass,96,76,7,0.145,0,0,0
110,58,Pass,94,58,18,0.022,0,0,0.006
110,58,Pass,94,60,21,0.031,0,0,0.003
110,58,Pass,94,62,18,0.053,0,0,0.001
110,58,Pass,94,64,10,0.113,0,0,0
110,58,Pass,94,66,9,0.246,0,0,0
110,58,Pass,94,68,9,0.431,0,0,0
110,58,Pass,94,70,9,0.549,0,0,0
110,58,Pass,94,72,9,0.495,0,0,0
110,58,Pass,94,74,9,0.314,0,0,0
110,58,Pass,94,76,7,0.141,0,0,0
110,58,Pass,94,78,7,0.045,0,0,0
110,58,Pass,92,58,14,0.008,0,0,0.002
110,58,Pass,92,60,11,0.013,0,0,0
110,58,Pass,92,62,11,0.029,0,0,0
110,58,Pass,92,64,10,0.073,0,0,0
110,58,Pass,92,66,9,0.166,0,0,0
110,58,Pass,92,68,9,0.294,0,0,0
110,58,Pass,92,70,8,0.375,0,0,0
110,58,Pass,92,72,8,0.338,0,0,0
110,58,Pass,92,74,7,0.215,0,0,0
110,58,Pass,92,76,8,0.096,0,0,0
110,58,Pass,92,78,7,0.031,0,0,0
110,58,Pass,90,56,9,0.008,0,0,0.007
110,58,Pass,90,58,8,0.005,0,0,0.006
110,58,Pass,90,60,9,0.007,0,0,0.001
110,58,Pass,90,62,10,0.016,0,0,0
110,58,Pass,90,64,10,0.04,0,0,0
110,58,Pass,90,66,9,0.086,0,0,0
110,58,Pass,90,68,8,0.147,0,0,0
110,58,Pass,90,70,8,0.184,0,0,0
110,58,Pass,90,72,8,0.164,0,0,0
110,58,Pass,90,74,7,0.104,0,0,0
110,58,Pass,90,76,7,0.047,0,0,0
110,58,Pass,90,78,5,0.015,0,0,0
110,58,Pass,90,80,4,0.003,0,0,0
110,58,Pass,88,56,6,0.01,0,0,0.008
110,58,Pass,88,58,6,0.005,0,0,0.008
110,58,Pass,88,60,7,0.006,0,0,0.003
110,58,Pass,88,62,9,0.012,0,0,0
110,58,Pass,88,64,8,0.024,0,0,0
110,58,Pass,88,66,8,0.043,0,0,0
110,58,Pass,88,68,8,0.064,0,0,0
110,58,Pass,88,70,8,0.073,0,0,0
110,58,Pass,88,72,7,0.061,0,0,0
110,58,Pass,88,74,6,0.037,0,0,0
110,58,Pass,88,76,6,0.016,0,0,0
110,58,Pass,88,78,4,0.005,0,0,0
110,58,Pass,88,80,4,0.001,0,0,0
110,58,Pass,86,56,5,0.009,0,0,0.009
110,58,Pass,86,58,6,0.005,0,0,0.009
110,58,Pass,86,60,6,0.005,0,0,0.003
110,58,Pass,86,62,8,0.01,0,0,0
110,58,Pass,86,64,8,0.019,0,0,0
110,58,Pass,86,66,8,0.029,0,0,0
110,58,Pass,86,68,6,0.034,0,0,0
110,58,Pass,86,70,6,0.032,0,0,0
110,58,Pass,86,72,6,0.023,0,0,0
110,58,Pass,86,74,6,0.012,0,0,0
110,58,Pass,86,76,6,0.005,0,0,0
110,58,Pass,86,78,4,0.001,0,0,0
110,58,Pass,86,80,4,0,0,0,0
110,58,Pass,84,56,4,0.006,0,0,0.009
110,58,Pass,84,58,5,0.003,0,0,0.009
110,58,Pass,84,60,5,0.004,0,0,0.003
110,58,Pass,84,62,5,0.008,0,0,0
110,58,Pass,84,64,6,0.014,0,0,0
110,58,Pass,84,66,7,0.021,0,0,0
110,58,Pass,84,68,6,0.023,0,0,0
110,58,Pass,84,70,6,0.019,0,0,0
110,58,Pass,84,72,6,0.012,0,0,0
110,58,Pass,84,74,6,0.005,0,0,0
110,58,Pass,84,76,5,0.002,0,0,0
110,58,Pass,84,78,3,0,0,0,0
110,58,Pass,84,80,3,0,0,0,0
110,58,Pass,82,56,4,0.003,0,0,0.01
110,58,Pass,82,58,4,0.002,0,0,0.009
