x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
102,74,Pass,120,68,60,0.426,0,0,0.002
102,74,Pass,120,70,52,0.256,0,0,0.001
102,74,Pass,120,72,46,0.127,0,0,0
102,74,Pass,120,74,43,0.065,0,0,0
102,74,Pass,120,76,35,0.046,0,0,0
102,74,Pass,120,78,27,0.038,0,0,0
102,74,Pass,120,80,23,0.026,0,0,0
102,74,Pass,118,66,90,1.279,0,0,0.006
102,74,Pass,118,68,87,1.027,0,0,0.002
102,74,Pass,118,70,79,0.65,0,0,0.001
102,74,Pass,118,72,71,0.338,0,0,0
102,74,Pass,118,74,59,0.179,0,0,0
102,74,Pass,118,76,51,0.13,0,0,0
102,74,Pass,118,78,44,0.109,0,0,0
102,74,Pass,118,80,31,0.076,0,0,0
102,74,Pass,116,66,113,2.279,0,0.001,0.005
102,74,Pass,116,68,112,1.925,0,0,0.002
102,74,Pass,116,70,110,1.277,0,0,0
102,74,Pass,116,72,105,0.708,0,0,0
102,74,Pass,116,74,84,0.414,0,0,0
102,74,Pass,116,76,76,0.326,0,0,0
102,74,Pass,116,78,63,0.282,0,0,0
102,74,Pass,116,80,48,0.203,0,0,0
102,74,Pass,114,66,137,3.254,0,0.001,0.004
102,74,Pass,114,68,142,2.856,0,0,0.001
102,74,Pass,114,70,139,2.001,0,0,0
102,74,Pass,114,72,127,1.227,0,0,0
102,74,Pass,114,74,110,0.841,0,0,0.001
102,74,Pass,114,76,99,0.741,0,0,0.001
102,74,Pass,114,78,88,0.67,0,0,0
102,74,Pass,114,80,65,0.495,0,0,0
102,74,Pass,112,64,146,3.68,0,0.002,0.009
102,74,Pass,112,66,155,3.987,0,0.001,0.003
102,74,Pass,112,68,160,3.622,0,0,0.001
102,74,Pass,112,70,156,2.742,0,0,0.001
102,74,Pass,112,72,146,1.946,0,0,0.001
102,74,Pass,112,74,131,1.583,0,0,0.001
102,74,Pass,112,76,122,1.525,0,0,0.001
102,74,Pass,112,78,100,1.417,0,0,0.001
102,74,Pass,112,80,80,1.074,0,0,0
102,74,Pass,110,64,159,4.421,0,0.002,0.007
102,74,Pass,110,66,175,4.796,0,0.001,0.002
102,74,Pass,110,68,177,4.54,0,0,0.001
102,74,Pass,110,70,174,3.786,0,0,0.001
102,74,Pass,110,72,158,3.09,0,0,0.002
102,74,Pass,110,74,145,2.787,0,0,0.002
102,74,Pass,110,76,138,2.751,0,0,0.001
102,74,Pass,110,78,120,2.57,0,0,0.001
102,74,Pass,110,80,92,1.989,0,0,0
102,74,Pass,108,66,192,6.088,0,0.001,0.002
102,74,Pass,108,68,195,6.037,0,0,0.002
102,74,Pass,108,70,188,5.438,0,0.001,0.002
102,74,Pass,108,72,174,4.786,0,0.001,0.003
102,74,Pass,108,74,156,4.393,0,0.001,0.003
102,74,Pass,108,76,146,4.214,0,0,0.002
102,74,Pass,108,78,134,3.866,0,0,0.001
102,74,Pass,108,80,101,3.016,0,0,0.001
102,74,Pass,106,66,210,7.385,0,0.001,0.002
102,74,Pass,106,68,215,7.645,0,0.001,0.003
102,74,Pass,106,70,204,7.241,0,0.001,0.004
102,74,Pass,106,72,189,6.555,0,0.002,0.005
102,74,Pass,106,74,178,5.891,0,0.001,0.005
102,74,Pass,106,76,163,5.362,0,0.001,0.003
102,74,Pass,106,78,142,4.729,0,0,0.002
102,74,Pass,106,80,115,3.649,0,0,0.001
102,74,Pass,104,68,223,8.274,0,0.002,0.004
102,74,Pass,104,70,219,8.165,0,0.003,0.006
102,74,Pass,104,72,204,7.506,0,0.003,0.007
102,74,Pass,104,74,190,6.566,0,0.002,0.007
102,74,Pass,104,76,176,5.641,0,0.001,0.005
102,74,Pass,104,78,155,4.704,0,0.001,0.002
102,74,Pass,104,80,121,3.502,0,0,0.001
102,74,Pass,102,70,228,7.784,0,0.004,0.009
102,74,Pass,102,72,220,7.246,0,0.004,0.009
102,74,Pass,102,74,205,6.191,0,0.003,0.008
102,74,Pass,102,76,189,5.028,0,0.002,0.006
102,74,Pass,102,78,169,3.909,0,0.001,0.003
102,74,Pass,102,80,127,2.729,0,0,0.001
102,74,Pass,100,72,217,6.293,0,0.004,0.011
102,74,Pass,100,74,207,5.289,0,0.002,0.009
102,74,Pass,100,76,192,4.087,0,0.001,0.006
102,74,Pass,100,78,174,2.928,0,0.001,0.003
102,74,Pass,100,80,137,1.86,0,0,0.002
102,74,Pass,118,54,65,0.252,1,0.001,0.049
102,74,Pass,118,56,66,0.51,1,0.001,0.052
102,74,Pass,118,58,71,0.828,0,0.002,0.05
102,74,Pass,118,60,76,1.081,0,0.002,0.042
102,74,Pass,118,62,77,1.233,0,0.002,0.028
102,74,Pass,116,50,75,0.208,1,0,0.026
102,74,Pass,116,52,78,0.235,1,0,0.039
102,74,Pass,116,54,84,0.444,1,0.001,0.049
102,74,Pass,116,56,84,0.82,1,0.002,0.055
102,74,Pass,116,58,92,1.259,1,0.004,0.054
102,74,Pass,116,60,99,1.623,0,0.004,0.045
102,74,Pass,116,62,101,1.921,0,0.003,0.029
102,74,Pass,116,64,109,2.201,0,0.002,0.014
102,74,Pass,114,48,84,0.591,1,0.001,0.018
102,74,Pass,114,50,88,0.394,1,0.001,0.029
102,74,Pass,114,52,90,0.469,1,0.001,0.035
102,74,Pass,114,54,101,0.793,1,0.002,0.044
102,74,Pass,114,56,102,1.289,1,0.003,0.05
102,74,Pass,114,58,109,1.79,1,0.005,0.051
102,74,Pass,114,60,112,2.176,1,0.005,0.043
102,74,Pass,114,62,118,2.56,0,0.003,0.027
102,74,Pass,114,64,132,3.027,0,0.002,0.012
102,74,Pass,112,48,91,0.876,1,0.001,0.02
102,74,Pass,112,50,94,0.679,1,0.001,0.029
102,74,Pass,112,52,93,0.852,1,0.001,0.033
102,74,Pass,112,54,110,1.362,1,0.003,0.04
102,74,Pass,112,56,117,2.02,1,0.005,0.045
102,74,Pass,112,58,125,2.547,1,0.006,0.045
102,74,Pass,112,60,128,2.85,1,0.005,0.037
102,74,Pass,112,62,138,3.174,1,0.004,0.022
102,74,Pass,110,46,81,1.606,1,0.001,0.01
102,74,Pass,110,48,93,1.131,1,0.001,0.019
102,74,Pass,110,50,98,0.991,1,0.001,0.027
102,74,Pass,110,52,98,1.314,1,0.002,0.032
102,74,Pass,110,54,118,2.057,1,0.004,0.038
102,74,Pass,110,56,125,2.905,1,0.006,0.042
102,74,Pass,110,58,139,3.464,1,0.007,0.042
102,74,Pass,110,60,140,3.674,1,0.006,0.033
102,74,Pass,110,62,149,3.917,1,0.004,0.019
102,74,Pass,108,46,83,1.546,1,0.001,0.01
102,74,Pass,108,48,97,1.23,1,0.001,0.017
102,74,Pass,108,50,101,1.215,1,0.001,0.024
102,74,Pass,108,52,104,1.696,1,0.002,0.028
102,74,Pass,108,54,127,2.61,1,0.005,0.034
102,74,Pass,108,56,136,3.564,1,0.007,0.039
