x,y,WeightedExpectedGoals,GoalProbability
0,0,0.102436883196617,0.006
0,2,0.0855316338872286,0.005
0,4,0.049789527578925,0.004
0,6,0.0202064521896132,0.002
0,8,0.00571719433216053,0.001
0,10,0.00112775994667655,0
0,12,0.000155092645032686,0
0,14,0.000103014819736613,0
0,16,0.000707065589891299,0
0,18,0.0033834559183646,0.001
0,20,0.0114166581182934,0.002
0,22,0.0271642285677624,0.003
0,24,0.046206631224137,0.004
0,26,0.0599964600292444,0.004
0,28,0.0670649126580477,0.003
0,30,0.0724185401935285,0.002
0,32,0.0728883240885423,0.002
0,34,0.061746367214406,0.001
0,36,0.0458673877010904,0.001
0,38,0.0385685869939217,0.001
0,40,0.0414605373451654,0.001
0,42,0.0457813473235889,0.001
0,44,0.0460096046274821,0.001
0,46,0.0416960766185955,0.001
0,48,0.0329363568648045,0.001
0,50,0.0212535846680232,0.001
0,52,0.0115343465602471,0.001
0,54,0.0079035318789094,0.001
0,56,0.0100212933945555,0.001
0,58,0.013415971918047,0.001
0,60,0.0133624648345044,0.002
0,62,0.00945411707161859,0.001
0,64,0.00471886082932552,0.001
0,66,0.00172206667167991,0
0,68,0.000505555749503792,0
0,70,0.000141257535552235,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.0855316338872286,0.005
2,2,0.071416272802612,0.004
2,4,0.0415727178669111,0.002
2,6,0.0168717635377924,0.001
2,8,0.00477368070191969,0
2,10,0.000941644726603755,0
2,12,0.00012949756884028,0
2,14,0.000179537360765167,0
2,16,0.00123229541362611,0
2,18,0.00612086141692372,0.001
2,20,0.0207173691449096,0.002
2,22,0.0494591705162452,0.003
2,24,0.0860175890872282,0.004
2,26,0.116980196701488,0.004
2,28,0.141704938748415,0.003
2,30,0.166034151572536,0.002
2,32,0.175095745750273,0.002
2,34,0.149983308038926,0.001
2,36,0.107691569461566,0.001
2,38,0.0842418743404744,0.001
2,40,0.0878601477924593,0.001
2,42,0.10086484071147,0.001
2,44,0.107543452134027,0.001
2,46,0.101427418761563,0.001
2,48,0.0811919806113902,0.001
2,50,0.0523346732767079,0.001
2,52,0.0288165377489985,0.001
2,54,0.0214420474504219,0.001
2,56,0.028982186780388,0.001
2,58,0.0392771414007257,0.002
2,60,0.0393965268230386,0.003
2,62,0.0280060761252676,0.002
2,64,0.014368342350842,0.001
2,66,0.00571452818061088,0.001
2,68,0.00205627100538856,0
2,70,0.000758423487065966,0
2,72,0.000241056331274956,0
2,74,0.0000702011398006831,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.049789527578925,0.003
4,2,0.0415727178669111,0.002
4,4,0.0242002390074125,0.001
4,6,0.00982136196623561,0
4,8,0.00277884679806991,0
4,10,0.000548148608345334,0
4,12,0.0000753829019994858,0
4,14,0.000370496070368321,0
4,16,0.00198421568115359,0
4,18,0.0087018427351949,0.001
4,20,0.0288156114005853,0.001
4,22,0.0696225294307521,0.003
4,24,0.124344984341563,0.004
4,26,0.177261389069841,0.004
4,28,0.228145389504719,0.003
4,30,0.280354166942562,0.002
4,32,0.302703671780021,0.002
4,34,0.261141908287731,0.002
4,36,0.185286775680936,0.001
4,38,0.138071943708181,0.001
4,40,0.140804665446435,0.001
4,42,0.168578810581372,0.001
4,44,0.18953535420261,0.001
4,46,0.183952109610261,0.001
4,48,0.146837133513165,0.001
4,50,0.0933567094540665,0.001
4,52,0.0516198306914946,0.001
4,54,0.0411305535216909,0.001
4,56,0.0586694482542417,0.002
4,58,0.0804649025902544,0.003
4,60,0.0813567375486073,0.004
4,62,0.0590790241413471,0.003
4,64,0.0323436589064771,0.002
4,66,0.0151944561146834,0.001
4,68,0.00716375710447851,0
4,70,0.00329591949886676,0
4,72,0.00126488061121409,0
4,74,0.0003558856295282,0
4,76,0.0000722564960655213,0
4,78,0,0
4,80,0,0
6,0,0.0202064521896132,0.001
6,2,0.0168717635377924,0.001
6,4,0.00982136196623561,0
6,6,0.00398587595941817,0
6,8,0.00112775994667655,0
6,10,0.000222459203489637,0
6,12,0.00040822276775574,0
6,14,0.00133185440598452,0
6,16,0.00430050089235793,0
6,18,0.0130884204710947,0.001
6,20,0.0381875497596712,0.001
6,22,0.0903432011270666,0.003
6,24,0.164638721713319,0.004
6,26,0.239934295643375,0.004
6,28,0.307982421007222,0.003
6,30,0.369876121513484,0.003
6,32,0.393464343161825,0.002
6,34,0.342858360743524,0.002
6,36,0.250307104559789,0.001
6,38,0.188249668627439,0.001
6,40,0.189125997377509,0.001
6,42,0.230138800055631,0.001
6,44,0.266115601437895,0.001
6,46,0.259273472217909,0.001
6,48,0.202567951387201,0.001
6,50,0.12480230828189,0.001
6,52,0.068062828834546,0.001
6,54,0.0563485356900582,0.001
6,56,0.0834672138409628,0.002
6,58,0.116027817966392,0.004
6,60,0.119508152254283,0.004
6,62,0.0912807558816588,0.004
6,64,0.057047304961062,0.002
6,66,0.0343008511705146,0.001
6,68,0.0207561311805698,0.001
6,70,0.0109500906346258,0
6,72,0.00438009656354146,0
6,74,0.0012578173034245,0
6,76,0.000255378311162842,0
6,78,0.000036148583270192,0
6,80,0,0
8,0,0.00571719433216053,0
8,2,0.00477368070191969,0
8,4,0.00277884679806991,0
8,6,0.00112775994667655,0
8,8,0.000319087324913532,0
8,10,0.000595113010875285,0
8,12,0.00214444526491127,0
8,14,0.00647205821312811,0
8,16,0.0147137040955946,0
8,18,0.0300983524223902,0.001
8,20,0.0640679357071578,0.002
8,22,0.133735902131191,0.004
8,24,0.236385523782695,0.005
8,26,0.335497790349573,0.005
8,28,0.399920874807432,0.004
8,30,0.432411516326326,0.003
8,32,0.43422406686724,0.002
8,34,0.391748428802424,0.002
8,36,0.319681759588734,0.002
8,38,0.263207756882811,0.001
8,40,0.25541572221855,0.001
8,42,0.290784805336164,0.002
8,44,0.324695703720624,0.002
8,46,0.306111309377468,0.002
8,48,0.228381579971973,0.001
8,50,0.133482246730124,0.001
8,52,0.0694346073411128,0.001
8,54,0.0568144310471422,0.001
8,56,0.0851349895365838,0.002
8,58,0.121132012964981,0.003
8,60,0.130961077070057,0.004
8,62,0.111787381874452,0.004
8,64,0.0864287560889178,0.003
8,66,0.0667067488422512,0.002
8,68,0.0471534519960687,0.001
8,70,0.0263837989478038,0.001
8,72,0.0107722074827584,0
8,74,0.00309931346336469,0
8,76,0.000629262640832994,0
8,78,0.0000890715929140427,0
8,80,0,0
10,0,0.00112775994667655,0
10,2,0.000941644726603755,0
10,4,0.000548148608345334,0
10,6,0.000222459203489637,0
10,8,0.000469584249041349,0
10,10,0.00204084701291048,0
10,12,0.00801401313465198,0
10,14,0.022897230913433,0.001
10,16,0.0481483362897199,0.001
10,18,0.0810623800937999,0.002
10,20,0.129003462427608,0.003
10,22,0.216298950201225,0.005
10,24,0.346712147982522,0.007
10,26,0.467773692500737,0.007
10,28,0.520171129238541,0.006
10,30,0.511482947767125,0.004
10,32,0.492790780375633,0.003
10,34,0.484105127717983,0.002
10,36,0.46479842465044,0.002
10,38,0.424219826785455,0.002
10,40,0.388963020249371,0.002
10,42,0.385608414373187,0.002
10,44,0.387216673340891,0.002
10,46,0.339330928251359,0.002
10,48,0.23654847739289,0.002
10,50,0.128982057069344,0.001
10,52,0.0620977543217259,0.001
10,54,0.0461795453030228,0.001
10,56,0.0676416309429567,0.001
10,58,0.101244562548525,0.002
10,60,0.122367671652136,0.003
10,62,0.125208902637983,0.003
10,64,0.119740575832541,0.003
10,66,0.106930192159388,0.003
10,68,0.079977669946715,0.002
10,70,0.0453606755011763,0.001
10,72,0.0185469064412249,0.001
10,74,0.00532419882936335,0
10,76,0.00108098759783011,0
10,78,0.000153012877312395,0
10,80,0,0
12,0,0.000155092645032686,0
12,2,0.00012949756884028,0
12,4,0.000195361650103293,0
12,6,0.000322366917164663,0
12,8,0.00146678887845011,0
12,10,0.00577168945141264,0
12,12,0.0209481086613942,0
12,14,0.0582203984575243,0.001
12,16,0.118395839006144,0.003
12,18,0.182862368479689,0.005
12,20,0.241347363726495,0.006
12,22,0.321332988291407,0.007
12,24,0.444039805475682,0.008
12,26,0.563612834403817,0.008
12,28,0.61210150518456,0.007
12,30,0.599104429721388,0.005
12,32,0.604821935953128,0.004
12,34,0.66256764827866,0.004
12,36,0.707574491007951,0.004
12,38,0.675744022968094,0.003
12,40,0.596467089522511,0.003
12,42,0.535870992140434,0.003
12,44,0.487890501218715,0.003
12,46,0.396262248260233,0.002
12,48,0.258805573157319,0.002
12,50,0.133414103842053,0.001
12,52,0.0610311577616133,0.001
12,54,0.0400275287862514,0.001
12,56,0.0536675484290483,0.001
12,58,0.0863903872545289,0.002
12,60,0.121107698323771,0.003
12,62,0.143643158529616,0.003
12,64,0.149324524686029,0.003
12,66,0.135092348846665,0.003
12,68,0.0995300716241606,0.002
12,70,0.0557224884473919,0.001
12,72,0.0227399825699814,0.001
12,74,0.0066646509321867,0
12,76,0.00139717456222134,0
12,78,0.00018325573274438,0
12,80,0,0
14,0,0,0
14,2,0.000190382958030441,0
14,4,0.000733725115774072,0
14,6,0.00215703368820333,0
14,8,0.00522973175395794,0
14,10,0.0136965071990731,0
14,12,0.0403708124659,0.001
14,14,0.105080267160827,0.002
14,16,0.207891869136795,0.005
14,18,0.30729079278822,0.007
14,20,0.363582738650004,0.008
14,22,0.400096328672552,0.008
14,24,0.463118231237805,0.008
14,26,0.541457530135256,0.008
14,28,0.588915504570178,0.007
14,30,0.616547818626389,0.005
14,32,0.695143332587925,0.005
14,34,0.835814260461366,0.005
14,36,0.933109405072496,0.005
14,38,0.89994951412736,0.004
14,40,0.787657686199508,0.004
14,42,0.6932175100111,0.004
14,44,0.612790011552772,0.003
14,46,0.48122894419998,0.003
14,48,0.304422907043935,0.002
14,50,0.155234844551202,0.001
14,52,0.0743372935087385,0.001
14,54,0.0479976468038329,0.001
14,56,0.0560628288509193,0.001
14,58,0.0890451623267406,0.002
14,60,0.131888972150333,0.002
14,62,0.159727853173195,0.003
14,64,0.159138530834763,0.003
14,66,0.133428931711029,0.003
14,68,0.0926612695867945,0.002
14,70,0.0510201448928405,0.001
14,72,0.0215314797247994,0
14,74,0.00699024826732175,0
14,76,0.00179495849554367,0
14,78,0.000379740446956803,0
14,80,0,0
16,0,0.000146874059645228,0
16,2,0.000811755980783125,0
16,4,0.00312831202780124,0
16,6,0.00863572192922203,0
16,8,0.0176529740506711,0
16,10,0.0315791460917568,0.001
16,12,0.0633704137606688,0.001
16,14,0.138688749837727,0.003
16,16,0.259832362049806,0.006
16,18,0.372272851707322,0.009
16,20,0.414450224876272,0.01
16,22,0.400008112042222,0.008
16,24,0.390918467595104,0.007
16,26,0.412126040523462,0.006
16,28,0.452475887168102,0.005
16,30,0.526218352486206,0.005
16,32,0.67343852618561,0.005
16,34,0.867044133105172,0.005
16,36,0.982186376322459,0.005
16,38,0.944065303568994,0.005
16,40,0.832321654967222,0.004
16,42,0.74983651712972,0.004
16,44,0.674885141058257,0.004
16,46,0.531695634915739,0.003
16,48,0.337020350104925,0.003
16,50,0.177583339759609,0.002
16,52,0.0939950074132808,0.001
16,54,0.0653167829868013,0.001
16,56,0.0678128102910268,0.001
16,58,0.0953444182568147,0.002
16,60,0.134039012648503,0.002
16,62,0.15491586734556,0.003
16,64,0.14320383143179,0.003
16,66,0.110364442467589,0.002
16,68,0.0742243255091141,0.002
16,70,0.0444724483422131,0.001
16,72,0.0237437090768387,0.001
16,74,0.0109717283892954,0
16,76,0.00411965393814784,0
16,78,0.00120679889311363,0
16,80,0.000252022023419125,0
18,0,0.000436763388709928,0
18,2,0.00241314377839991,0
18,4,0.00929891691563828,0
18,6,0.025183652120539,0.001
18,8,0.0484826803639322,0.001
18,10,0.0707117751118037,0.002
18,12,0.0947016099338306,0.002
18,14,0.146111949118386,0.004
18,16,0.238665082461096,0.006
18,18,0.328361887419013,0.009
18,20,0.355075118155385,0.009
18,22,0.320444340367444,0.007
18,24,0.277831576792342,0.005
18,26,0.266522951505952,0.004
18,28,0.300077493141934,0.004
18,30,0.392529833729363,0.004
18,32,0.55472118171238,0.004
18,34,0.737440525080303,0.005
18,36,0.82946723967185,0.005
18,38,0.786435760493384,0.004
18,40,0.697527662887174,0.004
18,42,0.650187864882558,0.004
18,44,0.607190723052757,0.004
18,46,0.492573667764464,0.004
18,48,0.32408942802952,0.003
18,50,0.183833155004632,0.002
18,52,0.109966434504305,0.002
18,54,0.0831052362030403,0.001
18,56,0.0815379940063029,0.001
18,58,0.100134477797932,0.002
18,60,0.127276201252281,0.002
18,62,0.139709352271154,0.003
18,64,0.127187733134261,0.003
18,66,0.101751121236252,0.002
18,68,0.0797637245394265,0.002
18,70,0.0638644095461817,0.001
18,72,0.0469924557395146,0.001
18,74,0.027826072821899,0.001
18,76,0.0121998707136003,0
18,78,0.00387675813838627,0
18,80,0.000881166843617437,0
20,0,0.000906176252541928,0
20,2,0.00500220957891719,0
20,4,0.0193408128080502,0.001
20,6,0.0520718698599195,0.001
20,8,0.0984636038580397,0.002
20,10,0.133536650900758,0.003
20,12,0.141548080568552,0.004
20,14,0.146960545456879,0.004
20,16,0.182958064255509,0.005
20,18,0.23497813023966,0.007
20,20,0.256840845199888,0.006
20,22,0.235278489725256,0.005
20,24,0.199935851211998,0.004
20,26,0.186743672444562,0.003
20,28,0.217823092243324,0.003
20,30,0.300500093131771,0.004
20,32,0.425752189411122,0.004
20,34,0.548321212168035,0.005
20,36,0.594858064151332,0.004
20,38,0.547393555977755,0.004
20,40,0.482948845307088,0.004
20,42,0.468433307278152,0.004
20,44,0.468964497310986,0.004
20,46,0.413739137988643,0.004
20,48,0.303090703368661,0.004
20,50,0.196912389057849,0.003
20,52,0.132852711877193,0.002
20,54,0.107112956004039,0.002
20,56,0.108108448676811,0.002
20,58,0.126624806505472,0.002
20,60,0.148165926458218,0.003
20,62,0.159070500434622,0.003
20,64,0.156007108064597,0.003
20,66,0.145562738980326,0.003
20,68,0.137378289483363,0.003
20,70,0.127732914181476,0.003
20,72,0.102738938714233,0.002
20,74,0.0636990955799303,0.002
20,76,0.0288251060530676,0.001
20,78,0.00934257948654006,0
20,80,0.00221618060155303,0
22,0,0.00131339545621928,0
22,2,0.00741553718149338,0
22,4,0.0283829198641136,0.001
22,6,0.0762919286966564,0.002
22,8,0.143740886902015,0.003
22,10,0.191763913873591,0.004
22,12,0.189122105628568,0.004
22,14,0.161959586043909,0.004
22,16,0.16376996490914,0.004
22,18,0.203644371551337,0.005
22,20,0.239660616918869,0.005
22,22,0.237506192952923,0.004
22,24,0.208618884296953,0.003
22,26,0.190541791244598,0.003
22,28,0.209548006335164,0.003
22,30,0.263971668019704,0.003
22,32,0.332148862880917,0.004
22,34,0.385508051246859,0.004
22,36,0.389517928711878,0.004
22,38,0.343343326947327,0.003
22,40,0.304069206047651,0.003
22,42,0.324498368591704,0.003
22,44,0.379118724597331,0.004
22,46,0.395776281540619,0.005
22,48,0.345398810073613,0.005
22,50,0.263085971776864,0.004
22,52,0.193089576444411,0.003
22,54,0.159486033103005,0.002
22,56,0.167357033443521,0.002
22,58,0.197625944380208,0.003
22,60,0.223322869369056,0.003
22,62,0.237939934795438,0.004
22,64,0.244781876652439,0.005
22,66,0.242708963582686,0.005
22,68,0.234558436447601,0.005
22,70,0.216400873292057,0.004
22,72,0.17227104066814,0.004
22,74,0.106789695561427,0.002
22,76,0.0488788119430016,0.001
22,78,0.016422969464103,0.001
22,80,0.00417824044021869,0
24,0,0.00160854625459257,0
24,2,0.00833300368600097,0
24,4,0.0311705639525811,0.001
24,6,0.0826186202968974,0.001
24,8,0.155729900596255,0.002
24,10,0.211040502733044,0.004
24,12,0.215407183937962,0.004
24,14,0.196745147672811,0.004
24,16,0.218993868340333,0.005
24,18,0.296561488876316,0.006
24,20,0.366497917492585,0.006
24,22,0.366483231332915,0.005
24,24,0.307761267174725,0.003
24,26,0.249839076663496,0.003
24,28,0.230868882787251,0.003
24,30,0.244067877234477,0.003
24,32,0.262791884991537,0.003
24,34,0.267229744506476,0.004
24,36,0.247050363323075,0.003
24,38,0.21063461758226,0.003
24,40,0.202121265161395,0.003
24,42,0.263285990589995,0.004
24,44,0.373138844481635,0.005
24,46,0.454370384010516,0.007
24,48,0.453181823671157,0.007
24,50,0.38432236705139,0.005
24,52,0.298666755403782,0.004
24,54,0.250201046393328,0.003
24,56,0.262308521726105,0.003
24,58,0.303030790429714,0.003
24,60,0.328664529179591,0.004
24,62,0.33903307198401,0.004
24,64,0.345494186564767,0.005
24,66,0.338000494583561,0.005
24,68,0.312678880529014,0.005
24,70,0.272698383804239,0.004
24,72,0.209356694053861,0.004
24,74,0.129025580493496,0.002
24,76,0.0606415809650943,0.001
24,78,0.0218997698816866,0.001
24,80,0.0064607571226902,0
26,0,0.00251963645625478,0
26,2,0.0100793224997635,0
26,4,0.0322559842560953,0
26,6,0.0794454430415819,0.001
26,8,0.14787145932032,0.002
26,10,0.209719074010917,0.003
26,12,0.241009189155556,0.003
26,14,0.265587937970228,0.004
26,16,0.344571531533467,0.006
26,18,0.486611448229901,0.007
26,20,0.596305392026212,0.007
26,22,0.57701237870647,0.006
26,24,0.454176205917312,0.004
26,26,0.327243180895767,0.003
26,28,0.254003103339801,0.002
26,30,0.227016125126453,0.002
26,32,0.216777281932983,0.002
26,34,0.202044013215971,0.003
26,36,0.175705121825997,0.003
26,38,0.153173025853801,0.003
26,40,0.172157095025452,0.003
26,42,0.262838634583016,0.004
26,44,0.402528543204708,0.006
26,46,0.51651705912603,0.007
26,48,0.544670487350052,0.007
26,50,0.488761426983609,0.006
26,52,0.4014344825143,0.004
26,54,0.353351614365358,0.003
26,56,0.372945915239881,0.003
26,58,0.411403386052829,0.003
26,60,0.416242487216427,0.004
26,62,0.401624561047537,0.004
26,64,0.392259946794624,0.005
26,66,0.371301347403929,0.005
26,68,0.325074292278461,0.004
26,70,0.264135478961612,0.003
26,72,0.193569522025492,0.003
26,74,0.1194870655966,0.002
26,76,0.0602323869140595,0.001
26,78,0.026052243982824,0.001
26,80,0.0110760670005566,0
28,0,0.00698158259930474,0
28,2,0.0195590961471375,0
28,4,0.0475775332569327,0.001
28,6,0.0978553675003495,0.001
28,8,0.168790098606045,0.002
28,10,0.246177100756946,0.003
28,12,0.313320976306146,0.004
28,14,0.380101301857501,0.005
28,16,0.49435887137376,0.007
28,18,0.667364061302283,0.008
28,20,0.791142875914225,0.008
28,22,0.74644387405422,0.006
28,24,0.56963880057752,0.004
28,26,0.392433549647074,0.003
28,28,0.283626708557729,0.002
28,30,0.233583044701949,0.002
28,32,0.213406640838871,0.002
28,34,0.198248570904606,0.002
28,36,0.178714247853536,0.002
28,38,0.173227789171455,0.003
28,40,0.215336415614707,0.004
28,42,0.317540951488557,0.005
28,44,0.449221356741397,0.007
28,46,0.547768107044038,0.007
28,48,0.566473694706278,0.006
28,50,0.514361444200742,0.005
28,52,0.447979487433384,0.004
28,54,0.433607227455274,0.003
28,56,0.475883645753164,0.003
28,58,0.501957168042897,0.003
28,60,0.465112000141325,0.004
28,62,0.407485754587362,0.004
28,64,0.373663947347851,0.004
28,66,0.345044996288842,0.004
28,68,0.295247195145752,0.003
28,70,0.23128469972972,0.002
28,72,0.166517966859764,0.002
28,74,0.108829174292865,0.001
28,76,0.0657404941350453,0.001
28,78,0.0398381869299925,0.001
28,80,0.0255638510115495,0.001
30,0,0.0219728419753434,0
30,2,0.0486876635908634,0.001
30,4,0.0939369419356787,0.001
30,6,0.158454253162701,0.001
30,8,0.238466130982435,0.002
30,10,0.328774803154627,0.003
30,12,0.416770652304454,0.004
30,14,0.491339626527044,0.006
30,16,0.582415779693584,0.007
30,18,0.71666597930308,0.008
30,20,0.814054032506046,0.008
30,22,0.76290669838635,0.006
30,24,0.592100536403074,0.004
30,26,0.424837070319811,0.003
30,28,0.320393242262115,0.002
30,30,0.26465364364014,0.002
30,32,0.238059608697746,0.002
30,34,0.226072324065582,0.002
30,36,0.22418863862964,0.003
30,38,0.252670870693185,0.004
30,40,0.332559094708747,0.005
30,42,0.450122127386915,0.007
30,44,0.561015733351869,0.007
30,46,0.612671982907251,0.007
30,48,0.582668017675127,0.005
30,50,0.50779641848213,0.004
30,52,0.464546198607265,0.003
30,54,0.500946899654763,0.003
30,56,0.572732401972849,0.003
30,58,0.579431448148306,0.004
30,60,0.492931607762416,0.004
30,62,0.388657093036664,0.004
30,64,0.332081405833468,0.004
30,66,0.309376333991329,0.003
30,68,0.282434234587817,0.003
30,70,0.240805022667742,0.002
30,72,0.192875508410311,0.002
30,74,0.147719139533418,0.001
30,76,0.110647115666211,0.001
30,78,0.0840063296580913,0.001
30,80,0.0637523218593257,0.001
32,0,0.0594126141451619,0.001
32,2,0.112373678253664,0.001
32,4,0.180217121412712,0.002
32,6,0.252378990731403,0.002
32,8,0.320875366672108,0.003
32,10,0.391046047604824,0.003
32,12,0.460902743771137,0.004
32,14,0.508643304902365,0.006
32,16,0.545158611993681,0.006
32,18,0.610356430107007,0.006
32,20,0.672784042197565,0.006
32,22,0.648645869839299,0.005
32,24,0.539783248427237,0.004
32,26,0.424381552710336,0.003
32,28,0.341290113424828,0.002
32,30,0.282123676655751,0.002
32,32,0.245801033940221,0.002
32,34,0.238205049904606,0.002
32,36,0.266992239296415,0.003
32,38,0.351188258947449,0.005
