x,y,WeightedExpectedGoals,GoalProbability
0,0,0.102436883196617,0.008
0,2,0.0855316338872286,0.008
0,4,0.049789527578925,0.007
0,6,0.0202064521896132,0.007
0,8,0.00571719433216053,0.006
0,10,0.00112775994667655,0.004
0,12,0.000155092645032686,0.001
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0.0000571741671015653,0
0,50,0.000349646275185221,0
0,52,0.00149072930928648,0.004
0,54,0.00443107906420378,0.027
0,56,0.00918250203191408,0.056
0,58,0.013266409288416,0.046
0,60,0.0133624648345044,0.03
0,62,0.00938340763988503,0.017
0,64,0.00459383525916285,0.01
0,66,0.00156794590336482,0.005
0,68,0.00037310198323497,0.003
0,70,0.000061896325137101,0.001
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.0855316338872286,0.008
2,2,0.071416272802612,0.007
2,4,0.0415727178669111,0.007
2,6,0.0168717635377924,0.006
2,8,0.00477368070191969,0.005
2,10,0.000941644726603755,0.002
2,12,0.00012949756884028,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0,0
2,48,0.000167511330703945,0
2,50,0.00102440867617555,0.001
2,52,0.0043676027649752,0.009
2,54,0.0129823657803464,0.04
2,56,0.0269032888896338,0.067
2,58,0.0388684957949287,0.061
2,60,0.039149923459947,0.044
2,62,0.0274919107698146,0.028
2,64,0.013459215871568,0.016
2,66,0.00459383525916285,0.009
2,68,0.00109313021716515,0.004
2,70,0.000181346512157865,0.002
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.049789527578925,0.007
4,2,0.0415727178669111,0.007
4,4,0.0242002390074125,0.006
4,6,0.00982136196623561,0.005
4,8,0.00277884679806991,0.002
4,10,0.000548148608345334,0.001
4,12,0.0000753829019994858,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0,0
4,44,0,0
4,46,0,0
4,48,0.000342160093172593,0
4,50,0.00209246602372543,0.002
4,52,0.0089213031902062,0.012
4,54,0.0265178926484367,0.039
4,56,0.0549528906160704,0.064
4,58,0.0793931257472731,0.068
4,60,0.0799679723303629,0.058
4,62,0.0561552147604715,0.041
4,64,0.0274919107698146,0.026
4,66,0.00938340763988502,0.014
4,68,0.00223283723783466,0.006
4,70,0.000370419954493255,0.002
4,72,0.0000428422732167421,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,0,0.0202064521896132,0.007
6,2,0.0168717635377924,0.006
6,4,0.00982136196623561,0.005
6,6,0.00398587595941817,0.003
6,8,0.00112775994667655,0.001
6,10,0.000222459203489637,0
6,12,0,0
6,14,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0,0
6,34,0,0
6,36,0,0
6,38,0,0
6,40,0,0
6,42,0,0
6,44,0,0
6,46,0.0000555478319076673,0
6,48,0.000487253926106268,0
6,50,0.00297978141124101,0.002
6,52,0.0127044038511518,0.009
6,54,0.037762870547553,0.026
6,56,0.0782557996617745,0.047
6,58,0.113059976888345,0.061
6,60,0.11387858858535,0.062
6,62,0.0799679723303629,0.052
6,64,0.039149923459947,0.036
6,66,0.0133624648345044,0.018
6,68,0.00317967738552848,0.006
6,70,0.000527497451445634,0.001
6,72,0.0000610096450308281,0
6,74,0,0
6,76,0,0
6,78,0,0
6,80,0,0
8,0,0.00571719433216053,0.006
8,2,0.00477368070191969,0.004
8,4,0.00277884679806991,0.003
8,6,0.00112775994667655,0.001
8,8,0.000319087324913532,0
8,10,0.00006294239510198,0
8,12,0,0
8,14,0,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0,0
8,28,0,0
8,30,0,0
8,32,0,0
8,34,0,0
8,36,0,0
8,38,0,0
8,40,0,0
8,42,0,0
8,44,0,0
8,46,0.0000551485285310823,0
8,48,0.000483751320671154,0
8,50,0.00295836137128388,0.001
8,52,0.0126130787502244,0.005
8,54,0.0374914136571338,0.014
8,56,0.077693260963698,0.028
8,58,0.11224724974891,0.042
8,60,0.113059976888345,0.052
8,62,0.079393125747273,0.051
8,64,0.0388684957949287,0.037
8,66,0.013266409288416,0.016
8,68,0.00315682040132426,0.004
8,70,0.000523705557031962,0.001
8,72,0.0000605710796282115,0
8,74,0,0
8,76,0,0
8,78,0,0
8,80,0,0
10,0,0.00112775994667655,0.004
10,2,0.000941644726603755,0.002
10,4,0.000548148608345334,0.001
10,6,0.000222459203489637,0
10,8,0.00006294239510198,0
10,10,0,0
10,12,0,0
10,14,0,0
10,16,0,0
10,18,0,0
10,20,0,0
10,22,0,0
10,24,0,0
10,26,0,0
10,28,0,0
10,30,0,0
10,32,0,0
10,34,0,0
10,36,0,0
10,38,0,0
10,40,0,0
10,42,0,0
10,44,0,0
10,46,0,0
10,48,0.000334834195782178,0
10,50,0.00204766479854277,0.001
10,52,0.00873029157586441,0.002
10,54,0.0259501252073211,0.006
10,56,0.0537763091093633,0.014
10,58,0.077693260963698,0.023
10,60,0.0782557996617744,0.032
10,62,0.0549528906160703,0.035
10,64,0.0269032888896338,0.025
10,66,0.00918250203191408,0.008
10,68,0.00218503056247927,0.002
10,70,0.00036248899284072,0
10,72,0.000041924988869968,0
10,74,0,0
10,76,0,0
10,78,0,0
10,80,0,0
12,0,0.000155092645032686,0.002
12,2,0.00012949756884028,0.001
12,4,0.0000753829019994858,0
12,6,0,0
12,8,0,0
12,10,0,0
12,12,0,0
12,14,0,0
12,16,0,0
12,18,0,0
12,20,0,0
12,22,0,0
12,24,0,0
12,26,0,0
12,28,0,0
12,30,0,0
12,32,0,0
12,34,0,0
12,36,0,0
12,38,0,0
12,40,0,0
12,42,0.000132683891010076,0
12,44,0.000221449257081076,0
12,46,0.000257674285945742,0
12,48,0.000370606594741063,0
12,50,0.00110633362730418,0
12,52,0.00421286182042299,0.001
12,54,0.0125224101361465,0.002
12,56,0.0259501252073211,0.006
12,58,0.0374914136571338,0.01
12,60,0.037762870547553,0.015
12,62,0.0265178926484367,0.016
12,64,0.0129823657803463,0.01
12,66,0.00457293496470347,0.003
12,68,0.00132790757460894,0.001
12,70,0.000542565661601313,0
12,72,0.000344531532507577,0
12,74,0.00022509774754308,0
12,76,0.000102530753102551,0
12,78,0,0
12,80,0,0
14,0,0,0
14,2,0,0
14,4,0,0
14,6,0,0
14,8,0,0
14,10,0,0
14,12,0,0
14,14,0,0
14,16,0,0
14,18,0,0
14,20,0,0
14,22,0,0
14,24,0,0
14,26,0,0
14,28,0,0
14,30,0,0
14,32,0,0
14,34,0,0
14,36,0,0
14,38,0.000119937123798814,0
14,40,0.000411839510422465,0
14,42,0.000985923487531817,0.001
14,44,0.00164550513397384,0.001
14,46,0.00191467953428955,0.001
14,48,0.00160758137166082,0
14,50,0.00121086760454742,0
14,52,0.00176367848849159,0
14,54,0.00430807383572574,0.001
14,56,0.00873029157586441,0.002
14,58,0.0126130787502244,0.003
14,60,0.0127044038511518,0.005
14,62,0.00901134761834629,0.005
14,64,0.00472642013240413,0.003
14,66,0.0024800685533534,0.001
14,68,0.00225928260851746,0.001
14,70,0.00261893078929724,0.001
14,72,0.00239913860097202,0.001
14,74,0.00156746377085407,0.001
14,76,0.000713970897713555,0
14,78,0.000226727569644408,0
14,80,0,0
16,0,0,0
16,2,0,0
16,4,0,0
16,6,0,0
16,8,0,0
16,10,0,0
16,12,0,0
16,14,0,0
16,16,0,0
16,18,0,0
16,20,0,0
16,22,0,0
16,24,0,0
16,26,0,0
16,28,0,0
16,30,0,0
16,32,0,0
