x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
20,60,Pass,50,52,52,0.219,0,0,0.008
20,60,Pass,50,54,61,0.35,0,0,0.008
20,60,Pass,50,56,65,0.494,0,0,0.007
20,60,Pass,50,58,67,0.588,0,0,0.004
20,60,Pass,50,60,68,0.607,0,0,0.002
20,60,Pass,50,62,76,0.586,0,0,0.001
20,60,Pass,48,50,61,0.122,0,0,0.004
20,60,Pass,48,52,67,0.195,0,0,0.006
20,60,Pass,48,54,73,0.335,0,0,0.006
20,60,Pass,48,56,74,0.531,0,0,0.004
20,60,Pass,48,58,78,0.725,0,0,0.002
20,60,Pass,48,60,77,0.834,0,0,0.001
20,60,Pass,48,62,83,0.823,0,0,0
20,60,Pass,48,64,85,0.745,0,0,0
20,60,Pass,46,48,66,0.117,1,0,0.002
20,60,Pass,46,50,72,0.137,0,0,0.003
20,60,Pass,46,52,81,0.228,0,0,0.003
20,60,Pass,46,54,84,0.421,0,0,0.002
20,60,Pass,46,56,89,0.717,0,0,0.002
20,60,Pass,46,58,90,1.031,0,0,0.001
20,60,Pass,46,60,93,1.211,0,0,0
20,60,Pass,46,62,92,1.166,0,0,0
20,60,Pass,46,64,100,0.974,0,0,0
20,60,Pass,46,66,114,0.776,0,0,0.001
20,60,Pass,44,46,61,0.227,1,0,0.003
20,60,Pass,44,48,75,0.19,1,0,0.005
20,60,Pass,44,50,87,0.215,1,0,0.005
20,60,Pass,44,52,95,0.346,1,0,0.003
20,60,Pass,44,54,98,0.616,0,0,0.001
20,60,Pass,44,56,106,1.021,0,0,0
20,60,Pass,44,58,104,1.446,0,0,0
20,60,Pass,44,60,103,1.682,0,0,0
20,60,Pass,44,62,108,1.604,0,0,0
20,60,Pass,44,64,121,1.319,0,0,0
20,60,Pass,44,66,132,1.046,0,0,0.001
20,60,Pass,44,68,140,0.892,0,0,0.005
20,60,Pass,42,46,68,0.36,1,0,0.007
20,60,Pass,42,48,84,0.333,1,0,0.011
20,60,Pass,42,50,104,0.406,1,0,0.009
20,60,Pass,42,52,106,0.598,1,0,0.005
20,60,Pass,42,54,112,0.914,1,0,0.002
20,60,Pass,42,56,116,1.35,0,0,0
20,60,Pass,42,58,121,1.807,0,0,0
20,60,Pass,42,60,125,2.074,0,0,0
20,60,Pass,42,62,134,2.006,0,0,0
20,60,Pass,42,64,135,1.707,0,0,0
20,60,Pass,42,66,150,1.416,0,0,0.002
20,60,Pass,42,68,158,1.283,0,0,0.005
20,60,Pass,40,44,57,0.482,1,0,0.008
20,60,Pass,40,46,72,0.49,1,0,0.014
20,60,Pass,40,48,87,0.568,1,0,0.017
20,60,Pass,40,50,107,0.782,2,0.001,0.013
20,60,Pass,40,52,118,1.067,2,0,0.007
20,60,Pass,40,54,126,1.352,2,0,0.003
20,60,Pass,40,56,127,1.653,1,0,0.001
20,60,Pass,40,58,136,1.978,1,0,0
20,60,Pass,40,60,141,2.209,1,0,0
20,60,Pass,40,62,152,2.205,1,0,0
20,60,Pass,40,64,160,1.99,0,0,0
20,60,Pass,40,66,173,1.748,0,0,0.001
20,60,Pass,40,68,174,1.654,0,0,0.005
20,60,Pass,40,70,167,1.854,0,0.001,0.01
20,60,Pass,38,44,56,0.478,1,0,0.016
20,60,Pass,38,46,79,0.623,2,0.001,0.021
20,60,Pass,38,48,95,0.927,2,0.001,0.02
20,60,Pass,38,50,109,1.386,2,0.001,0.014
20,60,Pass,38,52,123,1.799,2,0.001,0.008
20,60,Pass,38,54,130,1.989,2,0,0.004
20,60,Pass,38,56,136,2.008,2,0,0.002
20,60,Pass,38,58,141,2.033,1,0,0.001
20,60,Pass,38,60,153,2.121,1,0,0
20,60,Pass,38,62,162,2.173,1,0,0
20,60,Pass,38,64,177,2.102,1,0,0
20,60,Pass,38,66,189,1.959,0,0,0.001
20,60,Pass,38,68,190,1.925,0,0.001,0.005
20,60,Pass,38,70,183,2.266,1,0.001,0.012
20,60,Pass,36,44,64,0.485,1,0.001,0.023
20,60,Pass,36,46,84,0.829,2,0.001,0.022
20,60,Pass,36,48,94,1.415,2,0.001,0.017
20,60,Pass,36,50,111,2.146,2,0.001,0.012
20,60,Pass,36,52,119,2.703,2,0.001,0.008
20,60,Pass,36,54,135,2.816,2,0.001,0.005
20,60,Pass,36,56,146,2.546,2,0,0.004
20,60,Pass,36,58,149,2.2,1,0,0.002
20,60,Pass,36,60,160,2.037,1,0,0.001
20,60,Pass,36,62,173,2.065,1,0,0
20,60,Pass,36,64,193,2.111,1,0,0
20,60,Pass,36,66,200,2.076,1,0,0.001
20,60,Pass,36,68,206,2.117,1,0.001,0.006
20,60,Pass,36,70,190,2.599,1,0.002,0.017
20,60,Pass,34,46,87,1.153,2,0.001,0.016
20,60,Pass,34,48,95,1.969,2,0.001,0.012
20,60,Pass,34,50,111,2.888,2,0.001,0.01
20,60,Pass,34,52,126,3.574,2,0.001,0.008
20,60,Pass,34,54,141,3.72,2,0.001,0.007
20,60,Pass,34,56,147,3.3,2,0.001,0.007
20,60,Pass,34,58,160,2.633,1,0.001,0.006
20,60,Pass,34,60,165,2.157,1,0,0.004
20,60,Pass,34,62,175,2.049,1,0,0.001
20,60,Pass,34,64,198,2.121,1,0,0.001
20,60,Pass,34,66,214,2.148,2,0,0.002
20,60,Pass,34,68,206,2.25,1,0.001,0.008
20,60,Pass,32,46,88,1.504,2,0.001,0.009
20,60,Pass,32,48,96,2.428,2,0.001,0.008
20,60,Pass,32,50,107,3.401,2,0.001,0.008
20,60,Pass,32,52,121,4.197,2,0.002,0.009
20,60,Pass,32,54,137,4.515,2,0.003,0.011
20,60,Pass,32,56,147,4.142,2,0.003,0.012
20,60,Pass,32,58,163,3.28,1,0.002,0.011
20,60,Pass,32,60,170,2.503,1,0.001,0.008
20,60,Pass,32,62,182,2.183,1,0,0.003
20,60,Pass,32,64,203,2.172,1,0,0.001
20,60,Pass,32,66,214,2.176,2,0,0.002
20,60,Pass,32,68,212,2.285,2,0.001,0.008
20,60,Pass,30,48,94,2.563,2,0.001,0.005
20,60,Pass,30,50,107,3.498,2,0.001,0.008
20,60,Pass,30,52,124,4.402,2,0.003,0.012
20,60,Pass,30,54,139,4.987,2,0.004,0.015
20,60,Pass,30,56,147,4.821,2,0.004,0.017
20,60,Pass,30,58,159,3.942,1,0.003,0.016
20,60,Pass,30,60,167,2.982,1,0.002,0.011
20,60,Pass,30,62,178,2.451,1,0.001,0.005
20,60,Pass,30,64,201,2.271,1,0,0.002
20,60,Pass,30,66,211,2.169,2,0,0.001
20,60,Pass,28,50,107,3.126,2,0.001,0.009
20,60,Pass,28,52,123,4.122,2,0.003,0.014
20,60,Pass,28,54,142,4.952,2,0.004,0.018
20,60,Pass,28,56,145,5.066,2,0.005,0.019
20,60,Pass,28,58,150,4.384,1,0.004,0.017
20,60,Pass,28,60,160,3.474,1,0.002,0.011
20,60,Pass,28,62,176,2.831,1,0.001,0.005
20,60,Pass,28,64,194,2.458,1,0,0.002
20,60,Pass,26,52,117,3.446,2,0.002,0.013
20,60,Pass,26,54,129,4.37,2,0.004,0.017
20,60,Pass,26,56,141,4.724,1,0.004,0.017
20,60,Pass,26,58,156,4.407,1,0.003,0.014
20,60,Pass,26,60,155,3.796,1,0.002,0.009
20,60,Pass,26,62,169,3.201,1,0.001,0.004
20,60,Pass,50,72,70,0.367,0,0,0.001
20,60,Pass,50,74,65,0.528,0,0,0.001
20,60,Pass,50,76,61,0.734,0,0,0
20,60,Pass,50,78,57,0.792,0,0,0
20,60,Pass,50,80,49,0.636,0,0,0
20,60,Pass,48,68,96,0.525,0,0,0.001
20,60,Pass,48,70,91,0.407,0,0,0.003
20,60,Pass,48,72,87,0.394,0,0,0.004
20,60,Pass,48,74,82,0.543,0,0,0.003
20,60,Pass,48,76,76,0.767,0,0,0.001
20,60,Pass,48,78,69,0.876,0,0,0.001
20,60,Pass,48,80,61,0.758,0,0,0
20,60,Pass,46,68,118,0.626,0,0,0.003
20,60,Pass,46,70,115,0.537,0,0,0.007
20,60,Pass,46,72,107,0.564,0,0,0.009
20,60,Pass,46,74,96,0.758,0,0,0.007
20,60,Pass,46,76,92,1.031,0,0,0.003
20,60,Pass,46,78,81,1.168,0,0,0.001
20,60,Pass,46,80,76,1.019,0,0,0.001
20,60,Pass,44,70,135,0.864,0,0,0.01
20,60,Pass,44,72,125,1.007,0,0.001,0.012
20,60,Pass,44,74,118,1.35,0,0.001,0.009
20,60,Pass,44,76,110,1.737,0,0,0.005
20,60,Pass,44,78,103,1.852,0,0,0.002
20,60,Pass,44,80,90,1.527,0,0,0.001
20,60,Pass,42,70,148,1.354,0,0.001,0.01
20,60,Pass,42,72,145,1.707,0,0.001,0.012
20,60,Pass,42,74,135,2.332,0,0.001,0.01
20,60,Pass,42,76,127,2.911,1,0.001,0.006
20,60,Pass,42,78,115,2.952,1,0.001,0.004
20,60,Pass,42,80,104,2.303,1,0,0.002
20,60,Pass,40,72,156,2.493,1,0.002,0.013
20,60,Pass,40,74,146,3.486,1,0.002,0.012
20,60,Pass,40,76,131,4.279,1,0.002,0.01
20,60,Pass,40,78,123,4.192,1,0.002,0.007
20,60,Pass,40,80,114,3.142,1,0.001,0.005
20,60,Pass,38,72,164,3.199,1,0.003,0.018
20,60,Pass,38,74,154,4.517,1,0.005,0.02
20,60,Pass,38,76,141,5.415,1,0.005,0.018
20,60,Pass,38,78,134,5.099,1,0.004,0.016
20,60,Pass,38,80,124,3.659,1,0.002,0.012
20,60,Pass,36,72,174,3.771,1,0.005,0.027
20,60,Pass,36,74,163,5.277,1,0.009,0.033
20,60,Pass,36,76,149,6.095,1,0.01,0.033
20,60,Pass,36,78,137,5.443,1,0.009,0.031
20,60,Pass,36,80,126,3.678,1,0.005,0.026
20,60,Pass,34,70,192,2.847,1,0.003,0.022
20,60,Pass,34,72,181,4.179,1,0.008,0.036
20,60,Pass,34,74,163,5.743,1,0.013,0.044
20,60,Pass,34,76,153,6.376,1,0.016,0.048
20,60,Pass,34,78,142,5.392,1,0.013,0.047
20,60,Pass,34,80,128,3.409,1,0.008,0.043
20,60,Pass,32,70,197,2.936,1,0.003,0.022
20,60,Pass,32,72,179,4.34,1,0.008,0.036
20,60,Pass,32,74,166,5.888,1,0.014,0.046
20,60,Pass,32,76,155,6.367,1,0.017,0.051
20,60,Pass,32,78,141,5.191,1,0.014,0.052
20,60,Pass,32,80,125,3.133,1,0.008,0.05
20,60,Pass,30,68,215,2.23,2,0.001,0.006
20,60,Pass,30,70,196,2.87,1,0.002,0.017
20,60,Pass,30,72,180,4.254,1,0.006,0.028
20,60,Pass,30,74,172,5.738,1,0.01,0.035
20,60,Pass,30,76,156,6.135,1,0.012,0.039
20,60,Pass,30,78,142,4.943,1,0.01,0.041
20,60,Pass,30,80,120,2.959,1,0.006,0.04
20,60,Pass,28,68,201,2.223,2,0,0.003
20,60,Pass,28,70,189,2.816,1,0.001,0.009
20,60,Pass,28,72,176,4.09,1,0.003,0.015
20,60,Pass,28,74,168,5.419,1,0.005,0.019
20,60,Pass,28,76,153,5.737,1,0.006,0.022
20,60,Pass,28,78,136,4.635,1,0.005,0.023
20,60,Pass,28,80,119,2.838,1,0.003,0.022
20,60,Pass,26,70,183,2.893,1,0,0.003
20,60,Pass,26,72,173,3.949,1,0.001,0.006
20,60,Pass,26,74,161,4.97,1,0.002,0.008
20,60,Pass,26,76,153,5.123,1,0.002,0.009
20,60,Pass,26,78,136,4.138,1,0.002,0.009
20,60,Pass,26,80,116,2.614,1,0.001,0.009
20,60,Pass,30,46,84,1.663,2,0,0.005
20,60,Pass,28,48,93,2.259,2,0.001,0.004
20,60,Pass,28,66,205,2.215,2,0,0.001
20,60,Pass,26,50,106,2.452,2,0.001,0.009
20,60,Pass,26,64,185,2.694,1,0,0.001
20,60,Pass,26,66,189,2.35,2,0,0
20,60,Pass,26,68,191,2.351,2,0,0.001
20,60,Pass,24,52,113,2.589,2,0.001,0.01
20,60,Pass,24,54,121,3.416,1,0.002,0.012
20,60,Pass,24,56,129,3.88,1,0.002,0.012
20,60,Pass,24,58,137,3.919,1,0.002,0.009
20,60,Pass,24,60,141,3.691,1,0.001,0.005
20,60,Pass,24,62,151,3.275,1,0,0.002
20,60,Pass,24,64,165,2.775,1,0,0.001
20,60,Pass,24,66,174,2.447,2,0,0
20,60,Pass,22,54,123,2.392,1,0.001,0.007
20,60,Pass,22,56,129,2.82,1,0.001,0.007
20,60,Pass,22,58,137,3.041,1,0.001,0.005
20,60,Pass,22,60,139,3.079,1,0,0.003
20,60,Pass,22,62,145,2.886,1,0,0.001
20,60,Pass,24,68,181,2.501,1,0,0
20,60,Pass,24,70,171,2.964,1,0,0.001
20,60,Pass,24,72,167,3.681,1,0,0.002
20,60,Pass,24,74,155,4.248,1,0.001,0.002
20,60,Pass,24,76,142,4.162,1,0.001,0.003
20,60,Pass,24,78,126,3.317,1,0.001,0.003
20,60,Pass,24,80,112,2.141,1,0,0.003
20,60,Pass,22,64,150,2.558,1,0,0
20,60,Pass,22,66,156,2.385,1,0,0
20,60,Pass,22,68,165,2.518,1,0,0
20,60,Pass,22,70,157,2.835,1,0,0
20,60,Pass,22,72,155,3.134,1,0,0
20,60,Pass,22,74,145,3.227,1,0,0.001
20,60,Pass,22,76,131,2.938,1,0,0.001
20,60,Pass,22,78,114,2.277,1,0,0.001
20,60,Pass,22,80,98,1.484,1,0,0.001
20,60,Pass,20,56,128,1.856,2,0,0.003
20,60,Pass,20,58,133,2.096,2,0,0.002
20,60,Pass,20,60,141,2.253,2,0,0.001
20,60,Pass,20,62,133,2.263,1,0,0
20,60,Pass,20,64,135,2.194,1,0,0
20,60,Pass,20,66,138,2.241,0,0,0
20,60,Pass,20,68,146,2.43,0,0,0
20,60,Pass,20,70,147,2.553,1,0,0
20,60,Pass,20,72,139,2.472,1,0,0
20,60,Pass,20,74,125,2.218,1,0,0
