x,y,WeightedExpectedGoals,GoalProbability
0,0,0.0783094063596432,0.003
0,2,0.0654274568016701,0.003
0,4,0.0381007017492772,0.003
0,6,0.0154471243777102,0.002
0,8,0.00437059465519733,0.001
0,10,0.000862132946498515,0
0,12,0.000118562890477105,0
0,14,0,0
0,16,0.0000832794294000272,0
0,18,0.000226258611170183,0
0,20,0.000443248148590994,0
0,22,0.000773360771625101,0
0,24,0.00160947057367871,0
0,26,0.00452630530966183,0
0,28,0.0127257786565101,0.001
0,30,0.0294166791069196,0.002
0,32,0.0563522221717229,0.002
0,34,0.0926905275930097,0.002
0,36,0.131296166644819,0.003
0,38,0.153918956029429,0.003
0,40,0.140906250164229,0.002
0,42,0.0965611469147332,0.002
0,44,0.048514953285399,0.001
0,46,0.0181385174493386,0
0,48,0.00572990664231785,0
0,50,0.00289029892722299,0
0,52,0.00328605317932643,0
0,54,0.00436870731634323,0
0,56,0.00428170830750945,0
0,58,0.00299468917240093,0
0,60,0.00146515870924846,0
0,62,0.00049966417436328,0
0,64,0.000118688388875587,0
0,66,0,0
0,68,0.0000395939028723672,0
0,70,0.0000947858518112471,0
0,72,0.000158197474505806,0
0,74,0.000184075674125108,0
0,76,0.000149325534528328,0
0,78,0.0000844525138023458,0
0,80,0,0
2,0,0.0656688756204072,0.003
2,2,0.054970113545037,0.003
2,4,0.0321699573847338,0.002
2,6,0.0131665349295574,0.001
2,8,0.00378340336188132,0
2,10,0.000719854384875151,0
2,12,0.0001137517991361,0
2,14,0.000146005145978923,0
2,16,0.0005304379380756,0
2,18,0.00141267178605395,0
2,20,0.00280448540693624,0
2,22,0.00432396685673258,0
2,24,0.00644104389182265,0
2,26,0.012865820686428,0.001
2,28,0.0312741072925661,0.001
2,30,0.0694973258346032,0.002
2,32,0.131661137550653,0.002
2,34,0.215330589518019,0.003
2,36,0.303630963378899,0.003
2,38,0.354346055590397,0.003
2,40,0.324230417318846,0.003
2,42,0.223751137465614,0.002
2,44,0.11508592367194,0.001
2,46,0.0460366694575144,0.001
2,48,0.0177124467600605,0
2,50,0.0112637454760433,0
2,52,0.0132862904998254,0
2,54,0.0165885066844593,0.001
2,56,0.0160754764113963,0.001
2,58,0.0111583957282471,0.001
2,60,0.00545331298362011,0
2,62,0.00186013464726456,0
2,64,0.000442290596187351,0
2,66,0.000155245832450635,0
2,68,0.000613806777269985,0
2,70,0.00124491972100461,0
2,72,0.00180889319175257,0
2,74,0.00197397861854597,0
2,76,0.00151180701100757,0
2,78,0.000703109634137929,0
2,80,0.000236950605188701,0
4,0,0.0399698432346073,0.003
4,2,0.0344097359425817,0.002
4,4,0.0210820332417007,0.002
4,6,0.00933299802916826,0.001
4,8,0.00306352536670882,0
4,10,0.000784827693356132,0
4,12,0.000298439545853722,0
4,14,0.000676630302027274,0
4,16,0.00238720604003908,0
4,18,0.00627684361884798,0
4,20,0.0122383403424923,0.001
4,22,0.01796995336047,0.001
4,24,0.0225349468758559,0.001
4,26,0.0323128626725954,0.001
