Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000804893972822376,0,0,0,0,8,64,Shot
1,0.00251671701155001,0,0,0,0,10,64,Shot
1,0.00289491363752424,0,0,0,0,12,64,Shot
1,0.0012250176829848,0,0,0,0,14,64,Shot
1,0.0017210856421073,0,0,0,0,6,66,Shot
1,0.0146282600690624,0,0,0,0,8,66,Shot
1,0.0457391808216601,0,0,0,0,10,66,Shot
1,0.0526125812803486,0,0,0,0,12,66,Shot
1,0.0222636494507041,0,0,0,0,14,66,Shot
1,0.00346584087158213,0,0,0,0,16,66,Shot
1,0.000498055022547348,0,0,0,0,4,68,Shot
1,0.0115069969292518,0,0,0,0,6,68,Shot
1,0.0978030026959598,0,0,0,0,8,68,Shot
1,0.305807334849943,0,0,0,0,10,68,Shot
1,0.351762164776248,0,0,0,0,12,68,Shot
1,0.148852410127316,0,0,0,0,14,68,Shot
1,0.0231722462211353,0,0,0,0,16,68,Shot
1,0.00132704581365058,0,0,0,0,18,68,Shot
1,0.0012250176829848,0,0,0,0,4,70,Shot
1,0.0283026454472612,0,0,0,0,6,70,Shot
1,0.240556569711474,0,0,0,0,8,70,Shot
1,0.752164672211535,0,0,0,0,10,70,Shot
1,0.865195314870963,0,0,0,0,12,70,Shot
1,0.366117851052357,0,0,0,0,14,70,Shot
1,0.056994528897999,0,0,0,0,16,70,Shot
1,0.00326400601190276,0,0,0,0,18,70,Shot
1,0.00110844183732036,0,0,0,0,4,72,Shot
1,0.025609292630087,0,0,0,0,6,72,Shot
1,0.217664585429317,0,0,0,0,8,72,Shot
1,0.680586739941748,0,0,0,0,10,72,Shot
1,0.78286109480465,0,0,0,0,12,72,Shot
1,0.331277131043088,0,0,0,0,14,72,Shot
1,0.0515707823702413,0,0,0,0,16,72,Shot
1,0.00295339477226394,0,0,0,0,18,72,Shot
1,0.00071788583911839,0,0,0,0,42,72,Shot
1,0.000969044522768049,0,0,0,0,44,72,Shot
1,0.000481213268726174,0,0,0,0,46,72,Shot
1,0.000368968235605118,0,0,0,0,4,74,Shot
1,0.00852459299051828,0,0,0,0,6,74,Shot
1,0.0724542464345499,0,0,0,0,8,74,Shot
1,0.226547645674952,0,0,0,0,10,74,Shot
1,0.260591821012689,0,0,0,0,12,74,Shot
1,0.110272577614703,0,0,0,0,14,74,Shot
1,0.01716642221474,0,0,0,0,16,74,Shot
1,0.000983099718431738,0,0,0,0,18,74,Shot
1,0.000490934421593095,0,0,0,0,38,74,Shot
1,0.00489666949431847,0,0,0,0,40,74,Shot
1,0.0179673330579356,0,0,0,0,42,74,Shot
1,0.0242533627769058,0,0,0,0,44,74,Shot
1,0.0120438635225331,0,0,0,0,46,74,Shot
1,0.00220021543150652,0,0,0,0,48,74,Shot
1,0.00104389120992927,0,0,0,0,6,76,Shot
1,0.00887248823013632,0,0,0,0,8,76,Shot
1,0.0277422155184767,0,0,0,0,10,76,Shot
1,0.0319111436331542,0,0,0,0,12,76,Shot
1,0.0135035859889463,0,0,0,0,14,76,Shot
1,0.0021021387502997,0,0,0,0,16,76,Shot
1,0.00452019565305815,0,0,0,0,38,76,Shot
1,0.0450852561750624,0,0,0,0,40,76,Shot
1,0.165431180241917,0,0,0,0,42,76,Shot
1,0.223308735697245,0,0,0,0,44,76,Shot
1,0.110891836355492,0,0,0,0,46,76,Shot
1,0.0202581114541004,0,0,0,0,48,76,Shot
1,0.00136145676741182,0,0,0,0,50,76,Shot
1,0.00039969851801387,0,0,0,0,8,78,Shot
1,0.00124976468173756,0,0,0,0,10,78,Shot
1,0.00143757156813985,0,0,0,0,12,78,Shot
1,0.000608325778254852,0,0,0,0,14,78,Shot
1,0.000425689649285753,0,0,0,0,26,78,Shot
1,0.00045201282709769,0,0,0,0,28,78,Shot
