x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
78,6,Pass,94,28,2,0.016,0,0,0
78,6,Pass,94,30,2,0.006,0,0,0
78,6,Pass,94,32,2,0.002,0,0,0
78,6,Pass,94,34,1,0.001,0,0,0
78,6,Pass,94,36,1,0.001,0,0,0
78,6,Pass,94,38,1,0,0,0,0
78,6,Pass,94,40,1,0,0,0,0
78,6,Pass,92,24,4,0.176,0,0,0
78,6,Pass,92,26,4,0.114,0,0,0
78,6,Pass,92,28,3,0.053,0,0,0
78,6,Pass,92,30,2,0.02,0,0,0
78,6,Pass,92,32,2,0.01,0,0,0
78,6,Pass,92,34,2,0.008,0,0,0
78,6,Pass,92,36,1,0.005,0,0,0
78,6,Pass,92,38,1,0.003,0,0,0
78,6,Pass,92,40,1,0.001,0,0,0
78,6,Pass,92,42,1,0,0,0,0
78,6,Pass,90,24,4,0.395,0,0,0
78,6,Pass,90,26,4,0.256,0,0,0
78,6,Pass,90,28,3,0.123,0,0,0
78,6,Pass,90,30,2,0.056,0,0,0
78,6,Pass,90,32,2,0.039,0,0,0
78,6,Pass,90,34,2,0.034,0,0,0
78,6,Pass,90,36,1,0.024,0,0,0
78,6,Pass,90,38,1,0.012,0,0,0
78,6,Pass,90,40,1,0.004,0,0,0
78,6,Pass,90,42,1,0.001,0,0,0
78,6,Pass,90,44,1,0,0,0,0
78,6,Pass,88,22,5,0.668,0,0,0
78,6,Pass,88,24,5,0.618,0,0,0
78,6,Pass,88,26,4,0.406,0,0,0
78,6,Pass,88,28,3,0.209,0,0,0
78,6,Pass,88,30,2,0.122,0,0,0
78,6,Pass,88,32,2,0.112,0,0,0
78,6,Pass,88,34,2,0.107,0,0,0
78,6,Pass,88,36,1,0.077,0,0,0
78,6,Pass,88,38,1,0.04,0,0,0
78,6,Pass,88,40,1,0.014,0,0,0
78,6,Pass,88,42,1,0.004,0,0,0
78,6,Pass,88,44,1,0.001,0,0,0
78,6,Pass,86,22,5,0.728,0,0,0
78,6,Pass,86,24,5,0.676,0,0,0
78,6,Pass,86,26,5,0.454,0,0,0
78,6,Pass,86,28,3,0.262,0,0,0
78,6,Pass,86,30,3,0.209,0,0,0
78,6,Pass,86,32,3,0.237,0,0,0
