x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
30,74,Pass,92,46,1,0,0,0,0
30,74,Pass,92,48,1,0,0,0,0
30,74,Pass,92,50,1,0,0,0,0
30,74,Pass,92,52,1,0,0,0,0
30,74,Pass,92,54,1,0,0,0,0
30,74,Pass,92,56,1,0,0,0,0
30,74,Pass,90,42,1,0,0,0,0
30,74,Pass,90,44,1,0,0,0,0
30,74,Pass,90,46,1,0,0,0,0
30,74,Pass,90,48,1,0,0,0,0
30,74,Pass,90,50,1,0,0,0,0
30,74,Pass,90,52,1,0,0,0,0
30,74,Pass,90,54,1,0,0,0,0
30,74,Pass,90,56,1,0,0,0,0
30,74,Pass,90,58,1,0,0,0,0
30,74,Pass,88,40,1,0,0,0,0
30,74,Pass,88,42,1,0,0,0,0
30,74,Pass,88,44,1,0,0,0,0
30,74,Pass,88,46,1,0.001,0,0,0
30,74,Pass,88,48,1,0.001,0,0,0
30,74,Pass,88,50,1,0.001,0,0,0
30,74,Pass,88,52,1,0.001,0,0,0
30,74,Pass,88,54,1,0.001,0,0,0
30,74,Pass,88,56,1,0,0,0,0
30,74,Pass,88,58,1,0,0,0,0
30,74,Pass,88,60,1,0,0,0,0
30,74,Pass,88,70,1,0,0,0,0
30,74,Pass,88,72,1,0,0,0,0
30,74,Pass,86,40,1,0,0,0,0
30,74,Pass,86,42,1,0,0,0,0
30,74,Pass,86,44,1,0.001,0,0,0
30,74,Pass,86,46,1,0.002,0,0,0
30,74,Pass,86,48,1,0.003,0,0,0
30,74,Pass,86,50,1,0.005,0,0,0
30,74,Pass,86,52,1,0.004,0,0,0
30,74,Pass,86,54,1,0.003,0,0,0
30,74,Pass,86,56,1,0.001,0,0,0
30,74,Pass,86,58,1,0,0,0,0
30,74,Pass,86,60,1,0,0,0,0
30,74,Pass,86,62,1,0,0,0,0
30,74,Pass,86,64,1,0,0,0,0
30,74,Pass,86,66,1,0,0,0,0
30,74,Pass,86,68,1,0,0,0,0
30,74,Pass,86,70,1,0,0,0,0
30,74,Pass,86,72,1,0,0,0,0
30,74,Pass,86,74,1,0,0,0,0
30,74,Pass,86,76,1,0,0,0,0
30,74,Pass,84,38,1,0,0,0,0
30,74,Pass,84,40,1,0,0,0,0
30,74,Pass,84,42,1,0,0,0,0
30,74,Pass,84,44,1,0.001,0,0,0
30,74,Pass,84,46,1,0.004,0,0,0
30,74,Pass,84,48,1,0.008,0,0,0
30,74,Pass,84,50,1,0.011,0,0,0
30,74,Pass,84,52,1,0.01,0,0,0
30,74,Pass,84,54,1,0.007,0,0,0
30,74,Pass,84,56,1,0.003,0,0,0
30,74,Pass,84,58,1,0.001,0,0,0
30,74,Pass,84,60,1,0,0,0,0
30,74,Pass,84,62,2,0,0,0,0
30,74,Pass,84,64,1,0,0,0,0
30,74,Pass,84,66,1,0,0,0,0
30,74,Pass,84,68,1,0,0,0,0
30,74,Pass,84,70,1,0,0,0,0
30,74,Pass,84,72,1,0,0,0,0
30,74,Pass,84,74,1,0,0,0,0
30,74,Pass,84,76,1,0,0,0,0
30,74,Pass,84,78,1,0,0,0,0
30,74,Pass,84,80,1,0,0,0,0
30,74,Pass,82,38,1,0,0,0,0
30,74,Pass,82,40,1,0,0,0,0
30,74,Pass,82,42,1,0.001,0,0,0
30,74,Pass,82,44,1,0.002,0,0,0
30,74,Pass,82,46,1,0.007,0,0,0
30,74,Pass,82,48,1,0.013,0,0,0
30,74,Pass,82,50,1,0.017,0,0,0
30,74,Pass,82,52,1,0.016,0,0,0
30,74,Pass,82,54,1,0.01,0,0,0
30,74,Pass,82,56,1,0.005,0,0,0
30,74,Pass,82,58,1,0.002,0,0,0
30,74,Pass,82,60,2,0,0,0,0
30,74,Pass,82,62,2,0,0,0,0
30,74,Pass,82,64,1,0,0,0,0
30,74,Pass,82,66,1,0,0,0,0
30,74,Pass,82,68,1,0,0,0,0
30,74,Pass,82,70,1,0,0,0,0
30,74,Pass,82,72,1,0,0,0,0
30,74,Pass,82,74,1,0,0,0,0
30,74,Pass,82,76,1,0,0,0,0
30,74,Pass,82,78,1,0,0,0,0
30,74,Pass,82,80,1,0,0,0,0
30,74,Pass,80,38,1,0,0,0,0
30,74,Pass,80,40,1,0,0,0,0
30,74,Pass,80,42,1,0.001,0,0,0
30,74,Pass,80,44,1,0.003,0,0,0
30,74,Pass,80,46,1,0.007,0,0,0
30,74,Pass,80,48,1,0.014,0,0,0
30,74,Pass,80,50,1,0.019,0,0,0
30,74,Pass,80,52,1,0.018,0,0,0
30,74,Pass,80,54,1,0.012,0,0,0
30,74,Pass,80,56,1,0.005,0,0,0
30,74,Pass,80,58,1,0.002,0,0,0
30,74,Pass,80,60,2,0,0,0,0
30,74,Pass,80,62,2,0,0,0,0
30,74,Pass,80,64,1,0,0,0,0
30,74,Pass,80,66,1,0,0,0,0
30,74,Pass,80,68,1,0,0,0,0
30,74,Pass,80,70,1,0,0,0,0
30,74,Pass,80,72,1,0,0,0,0
30,74,Pass,80,74,1,0,0,0,0
30,74,Pass,80,76,1,0,0,0,0
30,74,Pass,80,78,1,0,0,0,0
30,74,Pass,80,80,1,0,0,0,0
30,74,Pass,78,38,1,0,0,0,0
30,74,Pass,78,40,1,0,0,0,0
30,74,Pass,78,42,1,0.001,0,0,0
30,74,Pass,78,44,1,0.002,0,0,0
30,74,Pass,78,46,1,0.006,0,0,0
30,74,Pass,78,48,1,0.011,0,0,0
30,74,Pass,78,50,1,0.015,0,0,0
30,74,Pass,78,52,1,0.014,0,0,0
30,74,Pass,78,54,1,0.009,0,0,0
30,74,Pass,78,56,1,0.004,0,0,0
30,74,Pass,78,58,2,0.001,0,0,0
30,74,Pass,78,60,2,0,0,0,0
30,74,Pass,78,62,2,0,0,0,0
30,74,Pass,78,64,1,0,0,0,0
30,74,Pass,78,66,1,0,0,0,0
30,74,Pass,78,68,1,0.001,0,0,0
30,74,Pass,78,70,1,0.001,0,0,0
30,74,Pass,78,72,1,0.001,0,0,0
30,74,Pass,78,74,1,0.001,0,0,0
30,74,Pass,78,76,1,0,0,0,0
30,74,Pass,78,78,1,0,0,0,0
30,74,Pass,78,80,1,0,0,0,0
30,74,Pass,76,40,1,0,0,0,0
30,74,Pass,76,42,1,0,0,0,0
30,74,Pass,76,44,1,0.001,0,0,0
30,74,Pass,76,46,1,0.003,0,0,0
30,74,Pass,76,48,1,0.006,0,0,0
30,74,Pass,76,50,1,0.008,0,0,0
30,74,Pass,76,52,1,0.007,0,0,0
30,74,Pass,76,54,1,0.005,0,0,0
30,74,Pass,76,56,1,0.002,0,0,0
30,74,Pass,76,58,2,0.001,0,0,0
30,74,Pass,76,60,2,0,0,0,0
30,74,Pass,76,62,2,0,0,0,0
30,74,Pass,76,64,1,0,0,0,0
30,74,Pass,76,66,1,0.001,0,0,0
30,74,Pass,76,68,1,0.001,0,0,0
30,74,Pass,76,70,1,0.001,0,0,0
30,74,Pass,76,72,1,0.001,0,0,0
30,74,Pass,76,74,1,0.001,0,0,0
30,74,Pass,76,76,1,0,0,0,0
30,74,Pass,76,78,1,0,0,0,0
30,74,Pass,76,80,1,0,0,0,0
30,74,Pass,74,40,1,0,0,0,0
30,74,Pass,74,42,1,0,0,0,0
30,74,Pass,74,44,1,0,0,0,0
30,74,Pass,74,46,1,0.001,0,0,0
30,74,Pass,74,48,1,0.002,0,0,0
30,74,Pass,74,50,1,0.003,0,0,0
30,74,Pass,74,52,1,0.003,0,0,0
30,74,Pass,74,54,1,0.002,0,0,0
30,74,Pass,74,56,1,0.001,0,0,0
30,74,Pass,74,58,3,0,0,0,0
30,74,Pass,74,60,3,0,0,0,0
30,74,Pass,74,62,3,0,0,0,0
30,74,Pass,74,64,2,0,0,0,0
30,74,Pass,74,66,2,0.001,0,0,0
30,74,Pass,74,68,2,0.001,0,0,0
30,74,Pass,74,70,1,0.001,0,0,0
30,74,Pass,74,72,1,0.001,0,0,0
30,74,Pass,74,74,1,0.001,0,0,0
30,74,Pass,74,76,1,0,0,0,0
30,74,Pass,74,78,1,0,0,0,0
30,74,Pass,74,80,1,0,0,0,0
30,74,Pass,72,42,1,0,0,0,0
30,74,Pass,72,44,1,0,0,0,0
30,74,Pass,72,46,1,0,0,0,0
30,74,Pass,72,48,1,0.001,0,0,0
30,74,Pass,72,50,1,0.001,0,0,0
30,74,Pass,72,52,1,0.001,0,0,0
30,74,Pass,72,54,2,0,0,0,0
30,74,Pass,72,56,2,0,0,0,0
30,74,Pass,72,58,3,0,0,0,0
30,74,Pass,72,60,3,0,0,0,0
30,74,Pass,72,62,2,0,0,0,0
30,74,Pass,72,64,2,0,0,0,0
30,74,Pass,72,66,2,0,0,0,0
30,74,Pass,72,68,2,0.001,0,0,0
30,74,Pass,72,70,2,0.001,0,0,0
30,74,Pass,72,72,1,0.001,0,0,0
30,74,Pass,72,74,1,0.001,0,0,0
30,74,Pass,72,76,1,0,0,0,0
30,74,Pass,72,78,1,0,0,0,0
30,74,Pass,72,80,1,0,0,0,0
30,74,Pass,70,40,1,0.001,0,0,0
30,74,Pass,70,42,1,0.001,0,0,0
30,74,Pass,70,44,2,0.001,0,0,0
30,74,Pass,70,46,2,0.001,0,0,0
30,74,Pass,70,48,2,0.001,0,0,0
30,74,Pass,70,50,2,0,0,0,0
30,74,Pass,70,52,2,0,0,0,0
30,74,Pass,70,54,2,0,0,0,0
30,74,Pass,70,56,2,0,0,0,0
30,74,Pass,70,58,2,0,0,0,0
30,74,Pass,70,60,2,0,0,0,0
30,74,Pass,70,62,2,0,0,0,0
30,74,Pass,70,64,2,0,0,0,0
30,74,Pass,70,66,2,0,0,0,0
30,74,Pass,70,68,2,0,0,0,0
30,74,Pass,70,70,2,0,0,0,0
30,74,Pass,70,72,2,0,0,0,0
30,74,Pass,70,74,1,0,0,0,0
30,74,Pass,70,76,1,0,0,0,0
