x,y,WeightedExpectedGoals,GoalProbability
16,26,0,0
16,28,0,0
16,30,0,0
16,32,0,0
16,34,0,0
16,74,0,0
16,76,0,0
16,78,0,0
16,80,0,0
18,22,0,0
18,24,0,0
18,26,0,0
18,28,0,0
18,30,0,0
18,32,0,0
18,34,0,0
18,36,0,0
18,70,0,0
18,72,0,0
18,74,0,0
18,76,0,0
18,78,0,0
18,80,0,0
20,20,0,0
20,22,0,0
20,24,0,0
20,26,0,0
20,28,0,0
20,30,0,0
20,32,0,0
20,34,0,0
20,36,0,0
20,38,0,0
20,40,0,0
20,68,0,0
20,70,0,0
20,72,0,0
20,74,0,0
20,76,0,0
20,78,0,0
20,80,0,0
22,20,0,0
22,22,0,0
22,24,0,0
22,26,0,0
22,28,0,0
22,30,0,0
22,32,0,0
22,34,0,0
22,36,0,0
22,38,0,0
22,40,0,0
22,68,0,0
22,70,0,0
22,72,0,0
22,74,0,0
22,76,0,0
22,78,0,0
22,80,0,0
24,18,0,0
24,20,0,0
24,22,0,0
24,24,0,0
24,26,0,0
24,28,0,0
24,30,0,0
24,32,0,0
24,34,0,0
24,36,0,0
24,38,0,0
24,40,0,0
24,42,0,0
24,64,0,0
24,66,0,0
24,68,0,0
24,70,0,0
24,72,0,0
24,74,0,0
24,76,0,0
24,78,0,0
24,80,0,0
26,14,0,0
26,16,0,0
26,18,0,0
26,20,0,0
26,22,0,0
26,24,0,0
26,26,0,0
26,28,0,0
26,30,0,0
26,32,0,0
26,34,0,0
26,36,0,0
26,38,0,0
26,40,0,0
26,42,0,0
26,62,0,0
26,64,0,0
26,66,0,0
26,68,0,0
26,70,0,0
26,72,0,0
26,74,0,0
26,76,0,0
26,78,0,0
26,80,0,0
28,12,0,0
28,14,0,0
28,16,0,0
28,18,0,0
28,20,0,0
28,22,0,0
28,24,0,0
28,26,0,0
28,28,0,0
28,30,0,0
28,32,0,0
28,34,0,0
28,36,0,0
28,38,0,0
28,40,0,0
28,42,0,0
28,60,0,0
