x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
8,60,Pass,118,46,1,0,0,0,0
8,60,Pass,118,48,1,0,0,0,0
8,60,Pass,118,50,1,0,0,0,0
8,60,Pass,118,52,1,0,0,0,0
8,60,Pass,118,54,1,0,0,0,0
8,60,Pass,118,56,1,0,0,0,0
8,60,Pass,118,58,1,0,0,0,0
8,60,Pass,116,44,1,0,0,0,0
8,60,Pass,116,46,1,0,0,0,0
8,60,Pass,116,48,1,0,0,0,0
8,60,Pass,116,50,1,0,0,0,0
8,60,Pass,116,52,1,0,0,0,0
8,60,Pass,116,54,1,0,0,0,0
8,60,Pass,116,56,1,0,0,0,0
8,60,Pass,116,58,1,0,0,0,0
8,60,Pass,116,60,1,0,0,0,0
8,60,Pass,114,42,1,0,0,0,0
8,60,Pass,114,44,1,0,0,0,0
8,60,Pass,114,46,1,0,0,0,0
8,60,Pass,114,48,1,0,0,0,0
8,60,Pass,114,50,1,0,0,0,0
8,60,Pass,114,52,1,0,0,0,0
8,60,Pass,114,54,1,0,0,0,0
8,60,Pass,114,56,1,0,0,0,0
8,60,Pass,114,58,1,0,0,0,0
8,60,Pass,114,60,1,0,0,0,0
8,60,Pass,114,62,1,0,0,0,0
8,60,Pass,112,42,1,0,0,0,0
8,60,Pass,112,44,1,0,0,0,0
8,60,Pass,112,46,1,0,0,0,0
8,60,Pass,112,48,1,0,0,0,0
8,60,Pass,112,50,1,0,0,0,0
8,60,Pass,112,52,1,0,0,0,0
8,60,Pass,112,54,1,0,0,0,0
8,60,Pass,112,56,1,0,0,0,0
8,60,Pass,112,58,1,0,0,0,0
8,60,Pass,112,60,1,0,0,0,0
8,60,Pass,112,62,1,0,0,0,0
8,60,Pass,112,64,1,0,0,0,0
8,60,Pass,110,40,1,0,0,0,0
8,60,Pass,110,42,1,0,0,0,0
8,60,Pass,110,44,1,0,0,0,0
8,60,Pass,110,46,1,0,0,0,0
8,60,Pass,110,48,1,0,0,0,0
8,60,Pass,110,50,1,0,0,0,0
8,60,Pass,110,52,1,0,0,0,0
8,60,Pass,110,54,1,0,0,0,0
8,60,Pass,110,56,1,0,0,0,0
8,60,Pass,110,58,1,0,0,0,0
8,60,Pass,110,60,1,0,0,0,0
8,60,Pass,110,62,1,0,0,0,0
8,60,Pass,110,64,1,0,0,0,0
8,60,Pass,108,40,1,0,0,0,0
8,60,Pass,108,42,1,0,0,0,0
8,60,Pass,108,44,1,0,0,0,0
8,60,Pass,108,46,1,0,0,0,0
8,60,Pass,108,48,1,0,0,0,0
8,60,Pass,108,50,1,0,0,0,0
8,60,Pass,108,52,1,0,0,0,0
8,60,Pass,108,54,1,0,0,0,0
8,60,Pass,108,56,1,0,0,0,0
8,60,Pass,108,58,1,0,0,0,0
8,60,Pass,108,60,1,0,0,0,0
8,60,Pass,108,62,1,0,0,0,0
8,60,Pass,108,64,1,0,0,0,0
8,60,Pass,106,26,1,0,0,0,0
8,60,Pass,106,28,1,0,0,0,0
8,60,Pass,106,30,1,0,0,0,0
8,60,Pass,106,32,1,0,0,0,0
8,60,Pass,106,40,1,0,0,0,0
8,60,Pass,106,42,1,0,0,0,0
8,60,Pass,106,44,1,0,0,0,0
8,60,Pass,106,46,1,0,0,0,0
8,60,Pass,106,48,1,0,0,0,0
8,60,Pass,106,50,1,0,0,0,0
8,60,Pass,106,52,1,0.001,0,0,0
8,60,Pass,106,54,1,0,0,0,0
8,60,Pass,106,56,1,0,0,0,0
8,60,Pass,106,58,1,0,0,0,0
8,60,Pass,106,60,1,0,0,0,0
8,60,Pass,106,62,1,0,0,0,0
8,60,Pass,106,64,1,0,0,0,0
8,60,Pass,104,22,1,0,0,0,0
8,60,Pass,104,24,1,0,0,0,0
8,60,Pass,104,26,1,0,0,0,0
8,60,Pass,104,28,1,0,0,0,0
8,60,Pass,104,30,1,0,0,0,0
8,60,Pass,104,32,1,0,0,0,0
8,60,Pass,104,34,1,0,0,0,0
8,60,Pass,104,36,1,0,0,0,0
8,60,Pass,104,40,1,0,0,0,0
8,60,Pass,104,42,1,0,0,0,0
8,60,Pass,104,44,1,0,0,0,0
8,60,Pass,104,46,1,0,0,0,0
8,60,Pass,104,48,1,0,0,0,0
8,60,Pass,104,50,1,0,0,0,0
8,60,Pass,104,52,1,0,0,0,0
8,60,Pass,104,54,1,0,0,0,0
8,60,Pass,104,56,1,0,0,0,0
8,60,Pass,104,58,1,0,0,0,0
8,60,Pass,104,60,1,0,0,0,0
8,60,Pass,104,62,1,0,0,0,0
8,60,Pass,104,64,1,0,0,0,0
8,60,Pass,102,20,1,0,0,0,0
8,60,Pass,102,22,1,0,0,0,0
8,60,Pass,102,24,1,0,0,0,0
8,60,Pass,102,26,1,0,0,0,0
8,60,Pass,102,28,1,0.001,0,0,0
8,60,Pass,102,30,1,0.001,0,0,0
8,60,Pass,102,32,1,0,0,0,0
8,60,Pass,102,34,1,0,0,0,0
8,60,Pass,102,36,1,0,0,0,0
