x,y,WeightedExpectedGoals,GoalProbability
0,0,0.175655411149575,0.01
0,2,0.146666843503222,0.01
0,4,0.0853774506300873,0.009
0,6,0.0346493621875246,0.009
0,8,0.0098036575274368,0.008
0,10,0.00193384580758149,0.005
0,12,0.000265947786376922,0.001
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
0,36,0,0
0,38,0,0
0,40,0,0
0,42,0,0
0,44,0,0
0,46,0,0
0,48,0,0
0,50,0.0000335691697387614,0
0,52,0.000039628152045013,0
0,54,0.0000326142853050433,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0,0
0,74,0,0
0,76,0,0
0,78,0,0
0,80,0,0
2,0,0.146666843503222,0.01
2,2,0.122462284779154,0.009
2,4,0.0712875345445761,0.009
2,6,0.0289311473423198,0.008
2,8,0.00818575126678774,0.007
2,10,0.00161470152592337,0.004
2,12,0.000222058188297757,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
2,40,0,0
2,42,0,0
2,44,0,0
2,46,0.0000690651485713728,0
2,48,0.000167741499622768,0
2,50,0.000284029151943962,0
2,52,0.00033529427465866,0
2,54,0.00027594986317918,0
2,56,0.000158334317105889,0
2,58,0.0000633374753606643,0
2,60,0,0
2,62,0,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0,0
2,72,0,0
2,74,0,0
2,76,0,0
2,78,0,0
2,80,0,0
4,0,0.0853774506300873,0.009
4,2,0.0712875345445761,0.009
4,4,0.0414977769736108,0.008
4,6,0.0168413497208483,0.007
4,8,0.00476507544552829,0.005
4,10,0.000939947274510075,0.002
4,12,0.000129264130566646,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
4,42,0.000023403533073327,0
4,44,0.000116944915967284,0
4,46,0.000407401001485109,0
4,48,0.00098947235111365,0
4,50,0.00167542911796326,0.001
4,52,0.00197783145499206,0.002
4,54,0.00162777106752617,0.002
4,56,0.000933981330565577,0.001
4,58,0.000373614643959061,0
4,60,0.000104195847176733,0
4,62,0,0
4,64,0,0
4,66,0,0
4,68,0,0
4,70,0,0
4,72,0,0
4,74,0,0
4,76,0,0
4,78,0,0
4,80,0,0
6,0,0.0346493621875246,0.009
6,2,0.0289311473423198,0.007
6,4,0.0168413497208483,0.006
6,6,0.00683484950531888,0.004
6,8,0.00193384580758149,0.002
6,10,0.000381465753677575,0.001
6,12,0,0
6,14,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0,0
6,34,0,0
6,36,0,0
6,38,0,0
6,40,0,0
6,42,0.0000962465988825052,0
6,44,0.000480933813847079,0
6,46,0.00167542911796325,0
6,48,0.00406918682681728,0.001
6,50,0.00689017140136249,0.004
6,52,0.00813379544487559,0.007
6,54,0.00669417854637049,0.007
6,56,0.00384098102645638,0.003
6,58,0.00153648334467672,0.001
6,60,0.000428503503168558,0
6,62,0.0000833147166203882,0
6,64,0,0
6,66,0,0
6,68,0,0
6,70,0,0
6,72,0,0
6,74,0,0
6,76,0,0
6,78,0,0
6,80,0,0
8,0,0.0098036575274368,0.006
8,2,0.00818575126678774,0.004
8,4,0.00476507544552829,0.003
8,6,0.00193384580758149,0.002
8,8,0.000547160490452677,0.001
8,10,0.00010793155692912,0
8,12,0,0
8,14,0,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0,0
8,28,0,0
8,30,0,0
8,32,0,0
8,34,0,0
8,36,0,0
8,38,0,0
8,40,0.0000385009181628742,0
8,42,0.000275949863179179,0
8,44,0.00137889153144367,0
8,46,0.00480364440132349,0.001
8,48,0.0116668179566692,0.005
8,50,0.0197548991607295,0.012
8,52,0.0233205096720445,0.016
8,54,0.0191929655220649,0.013
8,56,0.0110125261674792,0.007
8,58,0.00440527118530416,0.002
8,60,0.00122856791246736,0.001
8,62,0.000238872697000696,0
8,64,0.000032379838814515,0
8,66,0,0
8,68,0,0
8,70,0,0
8,72,0,0
8,74,0,0
8,76,0,0
8,78,0,0
8,80,0,0
10,0,0.00193384580758149,0.002
10,2,0.00161470152592337,0.001
10,4,0.000939947274510075,0.001
10,6,0.000381465753677575,0
10,8,0.00010793155692912,0
10,10,0,0
10,12,0,0
10,14,0,0
10,16,0,0
10,18,0,0
10,20,0,0
10,22,0,0
10,24,0,0
10,26,0,0
10,28,0.000104807728854797,0
10,30,0.000205012044129515,0
10,32,0.000279580106872507,0
10,34,0.000265811632093866,0
10,36,0.00017619051392157,0
10,38,0.000081420147997108,0
10,40,0.0000769585192581713,0
10,42,0.000551589257428223,0
10,44,0.00275623168332292,0.001
10,46,0.00960188426168852,0.004
10,48,0.0233205096720445,0.012
10,50,0.0394875722462702,0.022
10,52,0.0467917701959048,0.023
10,54,0.0387055811060973,0.018
10,56,0.0224713587394766,0.01
10,58,0.00923544578620713,0.004
10,60,0.00273660003396041,0.001
10,62,0.000605400617483297,0
10,64,0.0000647232473376761,0
10,66,0,0
10,68,0,0
10,70,0,0
10,72,0,0
10,74,0,0
10,76,0,0
10,78,0,0
10,80,0,0
12,0,0.000265947786376922,0
12,2,0.000222058188297757,0
12,4,0.000129264130566646,0
12,6,0,0
12,8,0,0
12,10,0,0
12,12,0,0
12,14,0,0
12,16,0,0
12,18,0,0
12,20,0,0
12,22,0,0
12,24,0.0000655747105627427,0
12,26,0.00026390085576677,0
12,28,0.000740433465723732,0
12,30,0.00144834527003468,0.001
12,32,0.0019751450560084,0.001
12,34,0.00187787513508298,0.001
12,36,0.00124473027205209,0.001
12,38,0.000575207601767228,0
12,40,0.000292563310222389,0
12,42,0.000768674086796914,0
12,44,0.00384098102645638,0.002
12,46,0.0133808255273056,0.008
12,48,0.0326150587501929,0.019
12,50,0.0554904163305111,0.024
12,52,0.0662383354143343,0.023
12,54,0.0559266266429073,0.018
12,56,0.0339874661776563,0.011
12,58,0.015374400625865,0.005
12,60,0.00544974774777194,0.002
12,62,0.0015889091194935,0.001
12,64,0.000383466169892272,0
12,66,0,0
12,68,0,0
12,70,0,0
12,72,0,0
12,74,0,0
12,76,0,0
12,78,0,0
12,80,0,0
14,0,0,0
14,2,0,0
14,4,0,0
14,6,0,0
14,8,0,0
14,10,0,0
14,12,0.0000634413297902269,0
14,14,0,0
14,16,0,0
14,18,0,0
14,20,0,0
14,22,0.0000559508057594017,0
14,24,0.000322975765785673,0
14,26,0.00129979347604157,0
14,28,0.00364686421873945,0.001
14,30,0.00713354917920576,0.002
14,32,0.00972820133749161,0.005
14,34,0.00924911684090445,0.005
14,36,0.00613068223043053,0.003
14,38,0.00283307564870997,0.001
14,40,0.0010169385323337,0
14,42,0.000951820981272835,0
14,44,0.00373172324555467,0.002
14,46,0.0131032324777698,0.009
14,48,0.0321603662081186,0.017
14,50,0.0557884685789757,0.02
14,52,0.0695436701911024,0.019
14,54,0.0643414313210016,0.017
14,56,0.0465260937478477,0.012
14,58,0.0276317090445087,0.008
14,60,0.0136319600840073,0.004
14,62,0.00537537053370012,0.002
14,64,0.0015636805532712,0.001
14,66,0.000326787780549727,0
14,68,0,0
14,70,0,0
14,72,0,0
14,74,0,0
14,76,0,0
14,78,0,0
14,80,0,0
16,0,0,0
16,2,0,0
16,4,0,0
16,6,0.0000999454064197103,0
16,8,0.000257163825337974,0
16,10,0.00046131517510864,0
16,12,0.000576934393294991,0
16,14,0.000503032382103664,0
16,16,0.000305778032142356,0
16,18,0.000129585809036296,0
16,20,0,0
16,22,0.00019212360378382,0
16,24,0.0011090326084742,0
16,26,0.00446322449520475,0.001
16,28,0.0125225845580741,0.003
16,30,0.0244951463607444,0.007
16,32,0.0334046502802939,0.011
16,34,0.0317595722737843,0.012
16,36,0.0210515067259031,0.008
16,38,0.0097282013374916,0.004
16,40,0.00320474761556111,0.001
16,42,0.00120981451484674,0.001
16,44,0.00263788992685153,0.002
16,46,0.00916710441242496,0.006
16,48,0.0234434742063157,0.012
16,50,0.0443723499948073,0.015
16,52,0.0653732394525175,0.017
16,54,0.0788864406401946,0.018
16,56,0.0791258032969232,0.018
16,58,0.0636210421343835,0.014
16,60,0.0388956453013663,0.009
16,62,0.0174070776517556,0.005
16,64,0.00560097069017379,0.002
16,66,0.00128544974244284,0.001
16,68,0.000176988566176959,0
16,70,0,0
16,72,0,0
16,74,0,0
16,76,0,0
16,78,0,0
16,80,0,0
18,0,0,0
18,2,0,0
18,4,0.000171692609395622,0
18,6,0.000633662221047822,0
18,8,0.00163044012300578,0.001
18,10,0.00292477672495369,0.001
18,12,0.00365781222119364,0.002
18,14,0.00318926730023205,0.002
18,16,0.00193865825289942,0.001
18,18,0.000821584848285979,0
18,20,0.000298290316890143,0
18,22,0.000459934437289464,0
18,24,0.00265496939818076,0.001
18,26,0.0106847394399721,0.003
18,28,0.0299784501679882,0.007
18,30,0.0586401729712964,0.013
18,32,0.0799690861868593,0.019
18,34,0.076030850528566,0.019
18,36,0.0503962694295922,0.014
18,38,0.0232888344788306,0.008
18,40,0.00753637964879077,0.003
18,42,0.00192414063683598,0.001
18,44,0.00156588673441657,0.001
18,46,0.00504260996040671,0.003
18,48,0.0151312613343376,0.007
18,50,0.037131435167103,0.013
18,52,0.0757243171234237,0.02
18,54,0.124164179568779,0.028
18,56,0.15519636963958,0.032
18,58,0.14209650563248,0.028
18,60,0.0934188964556582,0.02
18,62,0.0438574328310504,0.012
18,64,0.0147596433491701,0.006
