x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
82,28,Pass,102,36,57,0.395,2,0,0.002
82,28,Pass,102,38,56,0.492,2,0,0.001
82,28,Pass,102,40,47,0.628,2,0,0
82,28,Pass,102,42,45,0.751,2,0,0
82,28,Pass,102,44,48,0.767,1,0,0
82,28,Pass,102,46,48,0.65,0,0,0
82,28,Pass,100,32,78,0.448,2,0,0.013
82,28,Pass,100,34,68,0.282,2,0,0.007
82,28,Pass,100,36,64,0.263,2,0,0.003
82,28,Pass,100,38,63,0.325,2,0,0.001
82,28,Pass,100,40,54,0.451,2,0,0.001
82,28,Pass,100,42,50,0.595,2,0,0.001
82,28,Pass,100,44,50,0.673,0,0,0
82,28,Pass,100,46,51,0.624,0,0,0
82,28,Pass,100,48,51,0.521,0,0,0
82,28,Pass,98,30,87,1.222,2,0.001,0.016
82,28,Pass,98,32,79,0.629,2,0,0.009
82,28,Pass,98,34,75,0.315,2,0,0.006
82,28,Pass,98,36,73,0.22,2,0,0.005
82,28,Pass,98,38,72,0.259,2,0,0.006
82,28,Pass,98,40,64,0.37,2,0,0.004
82,28,Pass,98,42,62,0.495,1,0,0.003
82,28,Pass,98,44,60,0.564,0,0,0.001
82,28,Pass,98,46,59,0.542,0,0,0.001
82,28,Pass,98,48,56,0.476,0,0,0
82,28,Pass,98,50,55,0.469,0,0,0
82,28,Pass,96,30,93,1.794,2,0.001,0.011
82,28,Pass,96,32,91,0.986,2,0,0.006
82,28,Pass,96,34,84,0.494,2,0,0.005
82,28,Pass,96,36,84,0.31,2,0,0.009
82,28,Pass,96,38,80,0.336,2,0,0.012
82,28,Pass,96,40,74,0.439,2,0,0.009
82,28,Pass,96,42,69,0.512,0,0,0.006
82,28,Pass,96,44,66,0.51,0,0,0.003
82,28,Pass,96,46,61,0.461,0,0,0.002
82,28,Pass,96,48,63,0.418,0,0,0.001
82,28,Pass,96,50,57,0.412,0,0,0.001
82,28,Pass,96,52,49,0.435,0,0,0.001
82,28,Pass,94,28,106,3.476,2,0.002,0.01
82,28,Pass,94,30,98,2.417,2,0.001,0.006
82,28,Pass,94,32,98,1.438,2,0,0.003
82,28,Pass,94,34,97,0.78,2,0,0.005
82,28,Pass,94,36,94,0.519,2,0,0.011
82,28,Pass,94,38,86,0.556,2,0,0.015
82,28,Pass,94,40,77,0.677,0,0,0.012
82,28,Pass,94,42,71,0.699,0,0,0.009
82,28,Pass,94,44,67,0.594,0,0,0.006
82,28,Pass,94,46,66,0.469,0,0,0.004
82,28,Pass,94,48,61,0.407,0,0,0.005
82,28,Pass,94,50,59,0.394,0,0,0.006
82,28,Pass,94,52,50,0.37,0,0,0.006
