x,y,WeightedExpectedGoals,GoalProbability
0,0,0.00000117090884883462,0
0,2,0.000167414886404883,0
0,4,0.000698896949968533,0
0,6,0.00205032397015886,0.001
0,8,0.00423733419766072,0.001
0,10,0.00618733056023817,0.001
0,12,0.00647346280594006,0.001
0,14,0.00499574397571031,0.001
0,16,0.00322357616808167,0
0,18,0.00242381959983605,0
0,20,0.00295500388641278,0
0,22,0.00488380588982332,0
0,24,0.00834875423623072,0.001
0,26,0.0119819287823714,0.001
0,28,0.0143275756519685,0.001
0,30,0.0178603154910262,0.001
0,32,0.0276919972822341,0.001
0,34,0.0468353634857493,0.001
0,36,0.0718701622589785,0.002
0,38,0.0942823932007052,0.002
0,40,0.103562437286043,0.002
0,42,0.0950521100411231,0.002
0,44,0.0772321042752156,0.001
0,46,0.0656017317658283,0.001
0,48,0.0701245461558224,0.002
0,50,0.0904719612704147,0.003
0,52,0.115477024391224,0.006
0,54,0.122807987780612,0.008
0,56,0.0988482647738037,0.009
0,58,0.0580304269115792,0.006
0,60,0.0254096987781276,0.003
0,62,0.0104625977201108,0.001
0,64,0.0103089199862853,0.001
0,66,0.0223109543920558,0.002
0,68,0.043422846741716,0.004
0,70,0.0622613761588301,0.006
0,72,0.063691205299749,0.006
0,74,0.0467471168450448,0.005
0,76,0.026226930057028,0.004
0,78,0.0139456776242964,0.003
0,80,0.00912527028807299,0.003
2,0,0.0000977889427354154,0
2,2,0.000576911229128836,0
2,4,0.00237949906383099,0
2,6,0.00686852133691516,0.001
2,8,0.0138940966152585,0.002
2,10,0.0198039922463954,0.002
2,12,0.0200913317893131,0.002
2,14,0.0152539036843158,0.001
2,16,0.0104503409153945,0.001
2,18,0.00907259608083715,0.001
2,20,0.0104849977374739,0.001
2,22,0.0137852422234649,0.001
2,24,0.0195610201285039,0.001
2,26,0.0264850290786156,0.001
2,28,0.0334679770562272,0.001
2,30,0.0465257853098112,0.001
2,32,0.07632448787095,0.001
2,34,0.124863227018051,0.002
2,36,0.179239880111819,0.002
2,38,0.219190393274113,0.002
2,40,0.227031030766517,0.002
2,42,0.202426954407296,0.002
2,44,0.168210559208055,0.001
2,46,0.151446483590095,0.001
2,48,0.156839469873149,0.002
2,50,0.172564373477561,0.003
2,52,0.183847819195122,0.005
2,54,0.173163045755174,0.006
2,56,0.131773401725334,0.006
2,58,0.0772671567894466,0.004
2,60,0.0364305274386977,0.002
2,62,0.0191969048041388,0.001
2,64,0.0220774893412467,0.001
2,66,0.0418899857423548,0.002
2,68,0.0729985764047943,0.004
2,70,0.0984386852807727,0.005
2,72,0.0981291332541604,0.005
2,74,0.0734605537731402,0.005
2,76,0.0473284894395275,0.004
2,78,0.035051634147033,0.005
2,80,0.0307303416212814,0.007
4,0,0.000241277735913783,0
4,2,0.00141307654097824,0
4,4,0.00578990257401128,0
4,6,0.0165797612377027,0.001
4,8,0.0332123809497925,0.002
4,10,0.0467446725025022,0.003
4,12,0.0468711377435515,0.003
4,14,0.0360141460168809,0.002
4,16,0.0270579065116468,0.001
4,18,0.026818769258444,0.001
4,20,0.0308090468271951,0.001
4,22,0.0344899017769324,0.001
4,24,0.039711928047678,0.001
4,26,0.0487120202394004,0.001
4,28,0.0634444456627719,0.001
4,30,0.0963966913260766,0.001
4,32,0.163847519946735,0.002
4,34,0.260236554439142,0.002
4,36,0.352297624644428,0.002
4,38,0.401579576620619,0.002
4,40,0.389088090512141,0.002
4,42,0.332452459986198,0.002
4,44,0.280439463763812,0.001
4,46,0.268160160063388,0.002
4,48,0.280707893996458,0.002
4,50,0.279912777308385,0.003
4,52,0.25055184473813,0.004
4,54,0.199221802321094,0.004
4,56,0.136900167901373,0.004
4,58,0.0798808490693747,0.003
4,60,0.0440872664233041,0.002
4,62,0.0330191650394667,0.001
4,64,0.0436724860794419,0.002
4,66,0.0708610610249818,0.003
4,68,0.103485490229487,0.004
4,70,0.122719592020831,0.005
4,72,0.114660608953712,0.005
4,74,0.089041069130945,0.004
4,76,0.0725964642229937,0.005
4,78,0.075335787834388,0.007
4,80,0.0783765833792293,0.012
6,0,0.000422458168723514,0
6,2,0.00244181835671742,0
6,4,0.0100073327357141,0.001
6,6,0.02848774266569,0.001
6,8,0.0567507856551211,0.003
6,10,0.0793500544030593,0.004
6,12,0.0795880068063468,0.003
6,14,0.0631750931839711,0.003
6,16,0.0532556644924307,0.002
6,18,0.0597260212263177,0.002
6,20,0.0701340445021419,0.002
6,22,0.0727436081316622,0.002
6,24,0.0728517429389491,0.001
6,26,0.0806166609229042,0.001
6,28,0.103601596289683,0.001
6,30,0.161707905913431,0.002
6,32,0.274965366411903,0.002
6,34,0.424684897339958,0.003
