x,y,WeightedExpectedGoals,GoalProbability
0,2,0,0
0,4,0,0
0,6,0,0
0,8,0,0
0,10,0,0
0,12,0.000298891236279549,0.001
0,14,0.00155959632690807,0.002
0,16,0.00567361895542738,0.007
0,18,0.0143892927727118,0.013
0,20,0.0255671358874344,0.015
0,22,0.0318807513202173,0.013
0,24,0.0290769831082183,0.008
0,26,0.0239287287710473,0.004
0,28,0.0309644940748674,0.004
0,30,0.0629116228197785,0.005
0,32,0.118710772126626,0.006
0,34,0.181087364177438,0.007
0,36,0.238848137706912,0.008
0,38,0.298487143522363,0.009
0,40,0.360206120892026,0.011
0,42,0.393569967609722,0.012
0,44,0.369722579888416,0.012
0,46,0.293500866888313,0.011
0,48,0.192376652536018,0.011
0,50,0.0997646940423992,0.009
0,52,0.0392401996109167,0.007
0,54,0.0114644446644346,0.004
0,56,0.00227508000424745,0.001
0,58,0.000235698533750764,0
0,60,0.0000564742150194779,0
0,62,0.000237330590734942,0
0,64,0.00069534135932651,0.002
0,66,0.00142031027569356,0.011
0,68,0.00202259635746498,0.033
0,70,0.00200805700413167,0.049
0,72,0.00138990039578674,0.047
0,74,0.00067070592782819,0.039
0,76,0.000225642776858311,0.032
0,78,0.0000529238648220586,0.025
0,80,0,0
2,0,0,0
2,2,0,0
2,4,0,0
2,6,0,0
2,8,0,0
2,10,0,0
2,12,0.000954895233379004,0.001
2,14,0.00498284096045772,0.003
2,16,0.0181264627440994,0.009
2,18,0.0461873577928098,0.018
2,20,0.0822050689937907,0.022
2,22,0.103409827527218,0.019
2,24,0.0952730168184505,0.012
2,26,0.0774677856838739,0.007
2,28,0.090022948313276,0.005
2,30,0.163629836887192,0.006
2,32,0.292428857924269,0.007
2,34,0.433217768905253,0.008
2,36,0.547822783418647,0.009
2,38,0.648541659196833,0.01
2,40,0.751895159984036,0.011
2,42,0.821647296992189,0.012
2,44,0.803119748637869,0.012
2,46,0.674822657865068,0.013
2,48,0.466099559070521,0.012
2,50,0.252518317669519,0.011
2,52,0.10352031614399,0.009
2,54,0.031547029326732,0.005
2,56,0.00688044750949133,0.002
2,58,0.00111349977888932,0
2,60,0.000279389875650876,0
2,62,0.00109544007018951,0.001
2,64,0.00320946737252677,0.004
2,66,0.0065556858190029,0.017
2,68,0.00933564058862081,0.042
2,70,0.0092685317081911,0.053
2,72,0.00641532379960867,0.048
2,74,0.00309575831072358,0.041
2,76,0.00104149295947896,0.033
2,78,0.000244279180428637,0.026
2,80,0,0
4,0,0,0
4,2,0,0
4,4,0,0
4,6,0,0
4,8,0,0
4,10,0.000284171746776856,0
4,12,0.00212716049814975,0.001
4,14,0.0110991270088536,0.004
4,16,0.0405570639405318,0.012
4,18,0.103401079655476,0.021
4,20,0.185361498077404,0.026
4,22,0.236447680689719,0.024
4,24,0.225437353442455,0.017
4,26,0.190156998115437,0.01
4,28,0.208182031318171,0.007
4,30,0.330360102615783,0.007
4,32,0.542215280875004,0.008
4,34,0.772175034903825,0.009
4,36,0.953739695148868,0.01
4,38,1.09802225989032,0.011
4,40,1.24234973763711,0.011
4,42,1.36357630957666,0.012
4,44,1.38256115326783,0.014
4,46,1.22154511267112,0.015
4,48,0.8856988262943,0.015
4,50,0.502500984015065,0.014
4,52,0.216678349768853,0.012
4,54,0.069983478940337,0.007
4,56,0.0168255910307107,0.002
4,58,0.00301398337116471,0.001
4,60,0.00112219212222646,0
4,62,0.00352504244380519,0.001
4,64,0.0103278207708867,0.006
4,66,0.0210956960486567,0.024
4,68,0.0300413780822402,0.05
4,70,0.0298254268327757,0.056
4,72,0.0206440217952424,0.05
4,74,0.00996191369846038,0.042
4,76,0.00335144476361219,0.034
4,78,0.000786071737361153,0.028
4,80,0.00012853846889087,0.022
6,0,0,0
6,2,0,0
6,4,0,0
6,6,0,0
6,8,0,0
6,10,0.000441441346791282,0
6,12,0.00330371435775371,0.002
6,14,0.0172376360919381,0.005
6,16,0.0632922332458072,0.013
6,18,0.162359436590472,0.022
6,20,0.294832347494967,0.027
6,22,0.388215792631683,0.026
6,24,0.394831686118377,0.02
6,26,0.36785954591811,0.014
6,28,0.408000743948666,0.01
6,30,0.568147593793076,0.009
6,32,0.824849428502594,0.01
6,34,1.10529746898649,0.01
6,36,1.34346052704172,0.011
6,38,1.53589402519069,0.012
6,40,1.71602725066294,0.013
6,42,1.88254231183468,0.015
6,44,1.95473535492277,0.016
6,46,1.79596994339799,0.018
6,48,1.36161143092338,0.02
6,50,0.811766249385691,0.019
6,52,0.370626138365506,0.016
6,54,0.127722114817084,0.01
6,56,0.0328542984641621,0.003
6,58,0.00646106890368677,0.001
6,60,0.00256329489459127,0
6,62,0.00790825934006484,0.002
6,64,0.0231699579156597,0.009
6,66,0.0473271564730066,0.03
6,68,0.0673963541133534,0.053
6,70,0.0669118781069502,0.057
6,72,0.0463138475015056,0.051
6,74,0.0223490633961634,0.043
6,76,0.00751880148312115,0.035
6,78,0.00176351327907327,0.029
6,80,0.000288369732668115,0.023
8,2,0,0
8,4,0,0
8,6,0,0
8,8,0,0
8,10,0.000478136837395762,0.001
8,12,0.00357803904100301,0.002
8,14,0.0188351955933554,0.006
8,16,0.0692307492628906,0.012
8,18,0.179810197058931,0.019
8,20,0.33548954909694,0.023
8,22,0.467819067079503,0.023
8,24,0.532851208494289,0.021
8,26,0.58142007848255,0.017
8,28,0.696019613897511,0.015
8,30,0.896823897717965,0.013
8,32,1.14972039902223,0.012
8,34,1.42369016960124,0.012
8,36,1.69129244020549,0.013
8,38,1.91604895739771,0.015
8,40,2.08503136665056,0.016
8,42,2.22349431706777,0.018
8,44,2.29983183749086,0.021
8,46,2.16045822557762,0.023
8,48,1.70132804280745,0.026
8,50,1.06424193351502,0.025
8,52,0.512821169398738,0.02
8,54,0.186937175603303,0.012
8,56,0.0509675732597429,0.004
8,58,0.0106316157109046,0.001
8,60,0.00440038958543435,0
8,62,0.0124083195336605,0.002
8,64,0.0362395354760045,0.01
8,66,0.0740231886577041,0.032
8,68,0.105412904707673,0.053
8,70,0.104655148241942,0.056
8,72,0.0724382981475644,0.05
8,74,0.0349555954632678,0.043
8,76,0.011759964091279,0.036
8,78,0.00275826577985224,0.029
8,80,0.000451031684877126,0.023
10,2,0,0
10,4,0,0
10,6,0,0
10,8,0.0000000811676444131404,0
10,10,0.000361281010945871,0.001
10,12,0.00270305446918728,0.002
10,14,0.0143643063588051,0.005
10,16,0.0533751433464478,0.009
10,18,0.141990144869105,0.014
10,20,0.279125176862756,0.017
10,22,0.429963416181615,0.018
10,24,0.578066960743491,0.019
10,26,0.759738351456623,0.019
10,28,1.00768571316304,0.019
10,30,1.28306095730751,0.018
10,32,1.53361810582284,0.016
10,34,1.78272661068658,0.016
10,36,2.05046079240473,0.017
10,38,2.24853718506975,0.018
10,40,2.2973965478133,0.02
10,42,2.26515822135369,0.021
10,44,2.22837584978408,0.023
10,46,2.08423938174531,0.025
10,48,1.68541524562925,0.028
10,50,1.09720686884824,0.027
10,52,0.553402868311997,0.021
10,54,0.211951786284573,0.011
10,56,0.061436315341243,0.004
10,58,0.0139711917930789,0.001
10,60,0.00553430065263335,0.001
10,62,0.0136739562967969,0.002
10,64,0.0395494568701643,0.009
10,66,0.0807171819410119,0.027
10,68,0.114945502382573,0.046
10,70,0.114119221218244,0.051
10,72,0.0789889681476951,0.047
10,74,0.0381166660073531,0.041
10,76,0.0128234297709728,0.035
10,78,0.00300769859865837,0.029
10,80,0.00049181894524614,0.024
12,2,0,0
12,4,0,0
12,6,0,0
12,8,0.0000000972103551892388,0
12,10,0.000190589253761972,0
12,12,0.00142534277452581,0.001
12,14,0.00772244522711967,0.003
12,16,0.0293223048943117,0.006
12,18,0.0819011307486973,0.009
12,20,0.175942879865054,0.011
12,22,0.315036611317445,0.012
12,24,0.514838464472433,0.015
12,26,0.805288865399323,0.018
12,28,1.17871036675834,0.021
12,30,1.54620795286384,0.021
12,32,1.83275180429686,0.019
12,34,2.09004386337885,0.018
12,36,2.35239477762781,0.019
12,38,2.468893011614,0.02
12,40,2.31059517394519,0.02
12,42,2.00722273379342,0.019
12,44,1.76501504007579,0.019
12,46,1.57418152855048,0.02
12,48,1.28095109151765,0.021
12,50,0.860633135357774,0.02
12,52,0.454880247614887,0.015
