x,y,WeightedExpectedGoals,GoalProbability
0,12,0,0
0,14,0,0
0,16,0,0
0,18,0,0
0,20,0,0
0,22,0,0
0,24,0,0
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0.00022865616826793,0
0,34,0.000808146385015401,0.001
0,36,0.00199130586344179,0.004
0,38,0.00342079253110825,0.011
0,40,0.0040969090501768,0.013
0,42,0.0034966425690224,0.009
0,44,0.00210248275516531,0.004
0,46,0.000921755735882025,0.001
0,48,0.00030959453822261,0
0,50,0.0000402008886987141,0
0,52,0,0
0,54,0,0
0,56,0,0
0,58,0,0
0,60,0,0
0,62,0,0
0,64,0,0
0,66,0,0
0,68,0,0
0,70,0,0
0,72,0.000328007452077185,0
0,74,0.00115928662087822,0.001
0,76,0.00285652981733058,0.001
0,78,0.00490712955925472,0.003
0,80,0.00587701923424967,0.004
2,12,0,0
2,14,0,0
2,16,0,0
2,18,0,0
2,20,0,0
2,22,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0.000227012482512235,0
2,32,0.00115084285638394,0.001
2,34,0.00406745858269471,0.003
2,36,0.0100223848985877,0.01
2,38,0.0173099228549548,0.024
2,40,0.0208999745075416,0.026
2,42,0.0178056389127895,0.017
2,44,0.0108850428761886,0.009
2,46,0.00494899080882378,0.003
2,48,0.00177887022297959,0.001
2,50,0.000538944366962033,0
2,52,0.000108014433905174,0
2,54,0,0
2,56,0,0
2,58,0,0
2,60,0,0
2,62,0,0
2,64,0,0
2,66,0,0
2,68,0,0
2,70,0.000268012205468349,0
2,72,0.00135869150750479,0
2,74,0.00480206433291799,0.001
2,76,0.0118324836193904,0.003
2,78,0.0203265968994393,0.006
2,80,0.0243441302093902,0.008
4,10,0,0
4,12,0,0
4,14,0,0
4,16,0,0
4,18,0,0
4,20,0,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0.00079656948895635,0
4,32,0.00403821981872478,0.002
4,34,0.0142724019785724,0.007
4,36,0.035283879323145,0.023
4,38,0.0609156373724178,0.045
4,40,0.0738684876592422,0.042
4,42,0.0635972616399933,0.028
4,44,0.0398344165933938,0.015
4,46,0.0190411363636623,0.006
4,48,0.00743559499015006,0.002
4,50,0.00248399538115947,0.001
4,52,0.000584314594273504,0
4,54,0.000141061852687329,0
4,56,0,0
4,58,0.000159203974984583,0
4,60,0.000409638668575891,0
4,62,0.000734833267770078,0
4,64,0.000919004204477046,0
4,66,0.000801284997937363,0
4,68,0.000593517238067818,0
4,70,0.000980403456530564,0
4,72,0.00392372747788484,0.001
4,74,0.0138987543717713,0.003
4,76,0.034170700893161,0.006
4,78,0.0587006147795015,0.011
4,80,0.0703027376709015,0.015
6,6,0,0
6,8,0,0
6,10,0,0
6,12,0,0
6,14,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
6,26,0,0
6,28,0.000267986525824711,0
6,30,0.00194867055114326,0.001
6,32,0.00987881176581604,0.003
6,34,0.034985552702217,0.014
6,36,0.0864697929301725,0.044
6,38,0.14968507644388,0.07
6,40,0.182713245157324,0.061
6,42,0.159798627978587,0.04
6,44,0.103631814377298,0.023
6,46,0.0528999181253368,0.011
6,48,0.0226917659497393,0.004
6,50,0.00831267498239185,0.001
6,52,0.00247168666126875,0
6,54,0.000532004551862261,0
6,56,0.000369014919317945,0
6,58,0.0010314506036297,0
6,60,0.0026539667242202,0
6,62,0.00479211816520408,0.001
6,64,0.00599795131703493,0.001
6,66,0.00523433211084686,0.001
6,68,0.00348947840170911,0.001
6,70,0.00308526138135185,0.001
6,72,0.00857288336168782,0.001
6,74,0.0282046108948512,0.004
6,76,0.0689998416727756,0.01
6,78,0.118285250121228,0.016
6,80,0.141578660643775,0.021
8,4,0,0
8,6,0,0
8,8,0,0
8,10,0,0
8,12,0,0
8,14,0,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0,0
8,28,0.00045705507735438,0
8,30,0.00332348712962366,0.001
8,32,0.0168484630408163,0.005
8,34,0.0597335846771232,0.022
8,36,0.147880031815788,0.065
8,38,0.257039788685136,0.092
8,40,0.316896414121155,0.076
8,42,0.283631744548415,0.052
8,44,0.193004804778133,0.031
8,46,0.106836525025573,0.017
8,48,0.0505380636690282,0.007
8,50,0.0200566124188681,0.003
8,52,0.00625132987157781,0.001
8,54,0.00163727849367099,0
8,56,0.00149777563589851,0
8,58,0.00470249614997189,0.001
8,60,0.012113448658568,0.002
8,62,0.0217574280634962,0.003
8,64,0.0272934215605035,0.004
8,66,0.0239877349926076,0.004
8,68,0.015367967307985,0.002
8,70,0.00955175563883615,0.001
8,72,0.014685655775733,0.002
8,74,0.0413721351232602,0.005
8,76,0.0978599156730441,0.011
8,78,0.166532108771605,0.017
8,80,0.198900635608449,0.022
10,2,0,0
10,4,0,0
10,6,0,0
10,8,0,0
10,10,0,0
10,12,0,0
10,14,0,0
10,16,0,0
10,18,0,0
10,20,0,0
10,22,0,0
10,24,0,0
10,26,0,0
10,28,0.000543456693220441,0
10,30,0.00395175858428446,0.001
10,32,0.020033493694042,0.006
10,34,0.0711451205868287,0.027
10,36,0.17657672257919,0.075
10,38,0.308837793467124,0.1
10,40,0.38647430456851,0.084
10,42,0.357583648834256,0.059
10,44,0.259295183289883,0.038
10,46,0.157489770427452,0.023
10,48,0.081790079333799,0.012
10,50,0.0346253393236372,0.005
10,52,0.0111649725579734,0.002
10,54,0.00331509579655688,0.001
10,56,0.00446617120908224,0.001
10,58,0.015039199176066,0.003
10,60,0.0386123520068556,0.006
10,62,0.0694061529691348,0.01
10,64,0.0871290561997728,0.012
10,66,0.0769283597231452,0.01
10,68,0.0493614414375115,0.006
10,70,0.0274404297793095,0.003
10,72,0.0248113786953143,0.003
10,74,0.0477768780525805,0.005
10,76,0.100419161846465,0.01
10,78,0.165195782850691,0.014
10,80,0.195413962256096,0.018
12,0,0,0
12,2,0,0
12,4,0,0
12,6,0,0
12,8,0,0
12,10,0,0
12,12,0,0
12,14,0,0
12,16,0,0
12,18,0,0
12,20,0,0
12,22,0,0
12,24,0,0
12,26,0,0
12,28,0.00045050765077189,0
12,30,0.0032758773577226,0.001
12,32,0.0166559509498019,0.006
12,34,0.0591296869349132,0.025
12,36,0.147323869716883,0.064
12,38,0.260115166787296,0.091
12,40,0.332734978469805,0.083
12,42,0.322411994882641,0.062
12,44,0.253037426046846,0.043
12,46,0.169477485072044,0.028
12,48,0.0955315459326626,0.016
