Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000685885399716923,0,0,0,0,46,84,Shot
1,0.00440594726314797,0,0,0,0,48,84,Shot
1,0.0104119613908119,0,0,0,0,50,84,Shot
1,0.00905172438175672,0,0,0,0,52,84,Shot
2,0.00355219393373681,0,0,0,0,54,84,Shot
3,0.00302330541226797,0,0,0,0,56,84,Shot
2,0.0050802744152974,0,0,0,0,58,84,Shot
2,0.00555856408853537,0,0,0,0,60,84,Shot
1,0.00293162031580214,0,0,0,0,62,84,Shot
1,0.00073753279717009,0,0,0,0,64,84,Shot
1,0.000478526005780264,0,0,0,0,44,86,Shot
1,0.0083557947397861,0,0,0,0,46,86,Shot
1,0.0536754259244781,0,0,0,0,48,86,Shot
1,0.126843656762644,0,0,0,0,50,86,Shot
2,0.111596177590769,0,0,0,0,52,86,Shot
4,0.0485651775562117,0,0,0,0,54,86,Shot
4,0.0536369862355324,0,0,0,0,56,86,Shot
2,0.0893597773381041,0,0,0,0,58,86,Shot
2,0.094074922796471,0,0,0,0,60,86,Shot
2,0.0521857746377291,0,0,0,0,62,86,Shot
1,0.0121284663315613,0,0,0,0,64,86,Shot
1,0.00112249656330075,0,0,0,0,66,86,Shot
2,0.00269979485906443,0,0,0,0,44,88,Shot
2,0.0408746286019078,0,0,0,0,46,88,Shot
2,0.248336561470839,0,0,0,0,48,88,Shot
4,0.575823883012805,0,0,0,0,50,88,Shot
5,0.511298771081075,0,0,0,0,52,88,Shot
6,0.265649009150457,0,0,0,0,54,88,Shot
6,0.373160196168162,0,0,0,0,56,88,Shot
6,0.595199665598859,0,0,0,0,58,88,Shot
5,0.590338223414674,0,0,0,0,60,88,Shot
2,0.318772514022305,0,0,0,0,62,88,Shot
2,0.0750555709348853,0,0,0,0,64,88,Shot
1,0.00679070848798461,0,0,0,0,66,88,Shot
1,0.000895794073577979,0,0,0,0,28,90,Shot
1,0.00120919551999362,0,0,0,0,30,90,Shot
