x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
118,30,Pass,120,0,1,0,0,0,0
118,30,Run,120,0,2,1.073,0,0,0
118,30,Pass,120,2,1,0,0,0,0
118,30,Run,120,2,2,0.963,0,0,0
118,30,Pass,120,4,1,0,0,0,0
118,30,Run,120,4,2,0.602,0,0,0
118,30,Pass,120,6,1,0,0,0,0
118,30,Run,120,6,2,0.263,0,0,0
118,30,Pass,120,8,3,0,0,0,0
118,30,Run,120,8,2,0.08,0,0,0
118,30,Pass,120,10,4,0.001,0,0,0
118,30,Run,120,10,2,0.017,0,0,0
118,30,Pass,120,12,4,0.001,0,0,0
118,30,Run,120,12,2,0.003,0,0,0
118,30,Pass,120,14,5,0.001,0,0,0
118,30,Pass,120,16,7,0.001,0,0,0
118,30,Pass,120,18,6,0.001,0,0,0
118,30,Pass,120,20,6,0.001,0,0,0
118,30,Pass,120,22,7,0.002,0,0,0
118,30,Pass,120,24,8,0.006,0,0,0
118,30,Pass,120,26,10,0.019,0,0,0
118,30,Pass,120,28,10,0.06,0,0,0
118,30,Pass,120,30,10,0.151,0,0,0
118,30,Pass,120,32,9,0.272,0,0,0
118,30,Pass,120,34,9,0.346,0,0,0.001
118,30,Pass,120,36,8,0.308,0,0,0.001
118,30,Pass,120,38,7,0.191,0,0,0.001
118,30,Pass,120,40,7,0.083,0,0,0.001
118,30,Pass,120,42,6,0.025,0,0,0.002
118,30,Pass,120,44,6,0.005,0,0,0.002
118,30,Pass,120,46,6,0.001,0,0,0.003
118,30,Pass,120,48,2,0,0,0,0.04
118,30,Pass,118,0,1,0,0,0,0
118,30,Run,118,0,2,0.998,0,0,0
118,30,Pass,118,2,1,0,0,0,0
118,30,Run,118,2,2,0.896,0,0,0
118,30,Pass,118,4,2,0,0,0,0
118,30,Run,118,4,2,0.561,0,0,0
118,30,Pass,118,6,3,0.001,0,0,0
118,30,Run,118,6,2,0.245,0,0,0
118,30,Pass,118,8,3,0.002,0,0,0
118,30,Run,118,8,2,0.074,0,0,0
118,30,Pass,118,10,4,0.005,0,0,0
118,30,Run,118,10,2,0.016,0,0,0
118,30,Pass,118,12,4,0.008,0,0,0
118,30,Run,118,12,2,0.002,0,0,0
118,30,Pass,118,14,8,0.009,0,0,0
118,30,Pass,118,16,8,0.008,0,0,0
118,30,Pass,118,18,7,0.006,0,0,0
118,30,Pass,118,20,7,0.005,0,0,0
118,30,Pass,118,22,10,0.006,0,0,0
118,30,Pass,118,24,12,0.009,0,0,0.001
118,30,Pass,118,26,12,0.019,0,0,0.001
118,30,Pass,118,28,14,0.053,0,0,0.001
118,30,Pass,118,30,14,0.128,0,0,0.002
118,30,Pass,118,32,15,0.23,0,0,0.002
118,30,Pass,118,34,10,0.293,0,0,0.002
118,30,Pass,118,36,9,0.261,0,0,0.003
118,30,Pass,118,38,8,0.163,0,0,0.004
118,30,Pass,118,40,8,0.071,0,0,0.005
118,30,Pass,118,42,6,0.022,0,0,0.006
118,30,Pass,118,44,6,0.005,0,0,0.009
118,30,Pass,118,46,6,0.001,0,0,0.012
118,30,Pass,118,48,3,0,0,0,0.093
118,30,Pass,118,50,1,0,0,0,0.205
118,30,Pass,116,0,1,0,0,0,0
118,30,Run,116,0,2,0.648,0,0,0
118,30,Pass,116,2,2,0,0,0,0
118,30,Run,116,2,2,0.581,0,0,0
118,30,Pass,116,4,3,0.001,0,0,0
118,30,Run,116,4,2,0.364,0,0,0
118,30,Pass,116,6,3,0.003,0,0,0
118,30,Run,116,6,2,0.159,0,0,0
118,30,Pass,116,8,3,0.009,0,0,0
118,30,Run,116,8,2,0.048,0,0,0
118,30,Pass,116,10,4,0.021,0,0,0
118,30,Run,116,10,2,0.01,0,0,0
118,30,Pass,116,12,6,0.036,0,0,0
118,30,Run,116,12,2,0.002,0,0,0
118,30,Pass,116,14,8,0.044,0,0,0
118,30,Pass,116,16,8,0.039,0,0,0
118,30,Pass,116,18,10,0.027,0,0,0
118,30,Pass,116,20,10,0.019,0,0,0.001
118,30,Pass,116,22,14,0.017,0,0,0.002
118,30,Pass,116,24,15,0.017,0,0,0.005
118,30,Pass,116,26,16,0.02,0,0,0.007
118,30,Pass,116,28,17,0.036,0,0,0.007
118,30,Pass,116,30,17,0.079,0,0,0.007
118,30,Pass,116,32,16,0.14,0,0,0.008
118,30,Pass,116,34,15,0.179,0,0,0.01
118,30,Pass,116,36,12,0.161,0,0,0.013
118,30,Pass,116,38,9,0.102,0,0,0.016
118,30,Pass,116,40,8,0.045,0,0,0.02
118,30,Pass,116,42,7,0.014,0,0,0.025
118,30,Pass,116,44,7,0.003,0,0,0.033
118,30,Pass,116,46,6,0.001,0,0,0.047
118,30,Pass,116,48,4,0,0,0,0.171
118,30,Pass,116,50,1,0,0,0,0.205
118,30,Pass,116,52,1,0,0,0,0.205
118,30,Run,116,72,1,0,0,0,0
118,30,Run,116,74,1,0,0,0,0
118,30,Run,116,76,1,0,0,0,0
118,30,Run,116,78,1,0,0,0,0
118,30,Run,116,80,1,0,0,0,0
118,30,Pass,114,0,1,0,0,0,0
118,30,Run,114,0,2,0.293,0,0,0
118,30,Pass,114,2,2,0.001,0,0,0
118,30,Run,114,2,2,0.263,0,0,0
118,30,Pass,114,4,3,0.003,0,0,0
118,30,Run,114,4,2,0.164,0,0,0
118,30,Pass,114,6,3,0.01,0,0,0
118,30,Run,114,6,2,0.072,0,0,0
118,30,Pass,114,8,4,0.03,0,0,0
118,30,Run,114,8,2,0.022,0,0,0
118,30,Pass,114,10,4,0.07,0,0,0
118,30,Run,114,10,2,0.005,0,0,0
118,30,Pass,114,12,6,0.12,0,0,0
118,30,Run,114,12,2,0.001,0,0,0
118,30,Pass,114,14,7,0.146,0,0,0
118,30,Pass,114,16,9,0.127,0,0,0
118,30,Pass,114,18,12,0.084,0,0,0
118,30,Pass,114,20,12,0.053,0,0,0.001
118,30,Pass,114,22,12,0.042,0,0,0.004
118,30,Pass,114,24,16,0.037,0,0,0.011
118,30,Pass,114,26,19,0.029,0,0,0.023
118,30,Pass,114,28,18,0.028,0,0,0.033
118,30,Pass,114,30,19,0.041,0,0,0.032
118,30,Pass,114,32,19,0.067,0,0,0.032
118,30,Pass,114,34,18,0.086,0,0,0.037
118,30,Pass,114,36,13,0.08,0,0,0.044
118,30,Pass,114,38,10,0.053,0,0,0.052
118,30,Pass,114,40,8,0.025,0,0,0.063
118,30,Pass,114,42,8,0.009,0,0,0.076
118,30,Pass,114,44,7,0.002,0,0,0.093
118,30,Pass,114,46,6,0,0,0,0.118
118,30,Pass,114,48,4,0,0,0,0.187
118,30,Pass,114,50,2,0,0,0,0.197
118,30,Pass,114,52,1,0,0,0,0.205
118,30,Run,114,68,1,0,0,0,0
118,30,Run,114,70,1,0,0,0,0
118,30,Run,114,72,1,0,0,0,0
118,30,Run,114,74,1,0,0,0,0
118,30,Run,114,76,1,0,0,0,0
118,30,Run,114,78,1,0,0,0,0
118,30,Run,114,80,1,0,0,0,0
118,30,Pass,112,0,2,0,0,0,0
118,30,Run,112,0,2,0.092,0,0,0
118,30,Pass,112,2,3,0.002,0,0,0
118,30,Run,112,2,2,0.083,0,0,0
118,30,Pass,112,4,3,0.006,0,0,0
118,30,Run,112,4,2,0.052,0,0,0
118,30,Pass,112,6,3,0.022,0,0,0
118,30,Run,112,6,2,0.023,0,0,0
118,30,Pass,112,8,4,0.068,0,0,0
118,30,Run,112,8,2,0.007,0,0,0
118,30,Pass,112,10,5,0.162,0,0,0
118,30,Run,112,10,2,0.001,0,0,0
118,30,Pass,112,12,7,0.278,0,0,0
118,30,Pass,112,14,7,0.337,0,0,0
118,30,Pass,112,16,12,0.29,0,0,0
118,30,Pass,112,18,13,0.187,0,0,0
