x,y,WeightedExpectedGoals,GoalProbability
0,26,0,0
0,28,0,0
0,30,0,0
0,32,0,0
0,34,0,0
2,24,0,0
2,26,0,0
2,28,0,0
2,30,0,0
2,32,0,0
2,34,0,0
2,36,0,0
2,38,0,0
4,22,0,0
4,24,0,0
4,26,0,0
4,28,0,0
4,30,0,0
4,32,0,0
4,34,0,0
4,36,0,0
4,38,0,0
4,40,0,0
6,16,0,0
6,18,0,0
6,20,0,0
6,22,0,0
6,24,0,0
6,26,0,0
6,28,0,0
6,30,0,0
6,32,0,0
6,34,0,0
6,36,0,0
6,38,0,0
6,40,0,0
6,42,0,0
8,12,0,0
8,14,0,0
8,16,0,0
8,18,0,0
8,20,0,0
8,22,0,0
8,24,0,0
8,26,0,0
8,28,0,0
8,30,0,0
8,32,0,0
8,34,0,0
8,36,0,0
8,38,0,0
8,40,0,0
8,42,0,0
10,4,0,0
10,6,0,0
10,10,0,0
10,12,0,0
10,14,0,0
10,16,0,0
10,18,0,0
10,20,0,0
10,22,0,0
10,24,0,0
10,26,0,0
10,28,0,0
10,30,0,0
10,32,0,0
10,34,0,0
10,36,0,0
10,38,0,0
10,40,0,0
10,42,0,0
10,44,0,0
10,46,0,0
10,48,0,0
10,50,0,0
12,0,0,0
12,2,0,0
12,4,0,0
12,6,0,0
12,8,0,0
12,10,0,0
12,12,0,0
12,14,0,0
12,16,0,0
12,18,0,0
12,20,0,0
12,22,0,0
12,24,0,0
12,26,0,0
12,28,0,0
12,30,0,0
12,32,0,0
12,34,0,0
12,36,0,0
12,38,0,0
12,40,0,0
12,42,0,0
12,44,0,0
12,46,0,0
12,48,0,0
12,50,0,0
12,52,0,0
14,0,0,0
14,2,0,0
14,4,0,0
14,6,0,0
14,8,0.000277907040347894,0.008
14,10,0.000513121422903841,0.013
14,12,0.000660513303945403,0.008
14,14,0.000592766725634652,0.003
14,16,0.000370874427768289,0.001
14,18,0.000161774768245659,0
14,20,0,0
14,22,0,0
14,24,0,0
14,26,0,0
14,28,0,0
14,30,0,0
14,32,0,0
14,34,0,0
14,36,0,0
14,38,0,0
14,40,0,0
14,42,0,0
14,44,0,0
14,46,0,0
14,48,0,0
14,50,0,0
14,52,0,0
14,54,0,0
14,56,0,0
16,0,0,0
16,2,0,0
16,4,0.000202320306819013,0.002
16,6,0.000768561142155841,0.005
16,8,0.00203543948985807,0.013
16,10,0.00375819053005345,0.026
16,12,0.00483771429735671,0.024
16,14,0.00434152657708937,0.011
16,16,0.00271634880179029,0.004
16,18,0.00118486653428298,0.001
16,20,0.00036032480081308,0
16,22,0,0
16,24,0,0
16,26,0,0
16,28,0,0
16,30,0,0
16,32,0,0
16,34,0,0
16,36,0,0
16,38,0,0
16,40,0,0
16,42,0,0
16,44,0,0
16,46,0,0
16,48,0,0
16,50,0,0
16,52,0,0
16,54,0,0
16,56,0,0
16,58,0,0
18,0,0.000246376898902362,0.003
18,2,0.000555975450982946,0.002
18,4,0.00141292339103081,0.003
18,6,0.00419897682967824,0.008
18,8,0.0105317398368838,0.02
18,10,0.0191901454158076,0.044
18,12,0.0247024306255932,0.057
18,14,0.0221687872593712,0.034
18,16,0.0138702729650242,0.013
18,18,0.00605018849081369,0.004
18,20,0.00183989749035597,0.001
18,22,0.000390084930952618,0
18,24,0,0
18,26,0,0
18,28,0,0
18,30,0,0
18,32,0,0
18,34,0,0
18,36,0,0
18,38,0,0
18,40,0,0
18,42,0,0
18,44,0,0
18,46,0,0
18,48,0,0
18,50,0,0
18,52,0,0
18,54,0,0
18,56,0,0
18,58,0,0
20,0,0.00179153562253003,0.008
20,2,0.00333906490436784,0.006
20,4,0.00643967903549131,0.007
20,6,0.0159669888112797,0.013
20,8,0.0380056166676981,0.031
20,10,0.0686687856113746,0.067
20,12,0.0879386886141424,0.104
20,14,0.0789191197134755,0.087
20,16,0.0493770687488828,0.04
20,18,0.0215381898977707,0.013
20,20,0.00654988875138153,0.004
20,22,0.00138867133344243,0.001
20,24,0.000205260717160047,0
20,26,0,0
20,28,0,0
20,30,0,0
20,32,0,0
20,34,0,0
20,36,0,0
20,38,0,0
20,40,0,0
20,42,0,0
20,44,0,0
20,46,0,0
20,48,0,0
20,50,0,0
20,52,0,0
20,54,0,0
20,56,0,0
20,58,0,0
20,60,0,0
22,0,0.00929655496305084,0.026
22,2,0.0151808745565275,0.018
22,4,0.0231294429123677,0.015
22,6,0.0447938393632179,0.022
22,8,0.0969284484742159,0.046
22,10,0.171342273338631,0.094
22,12,0.218692232343606,0.15
22,14,0.19599012551714,0.156
22,16,0.12274618404919,0.09
22,18,0.0536792253757395,0.031
22,20,0.0164325793500439,0.008
22,22,0.00344651832395545,0.002
22,24,0.000509432869998586,0
22,26,0,0
22,28,0,0
22,30,0,0
22,32,0,0
22,34,0,0
22,36,0,0
22,38,0,0
22,40,0,0
22,42,0,0
22,44,0,0
22,46,0,0
22,48,0,0
22,50,0,0
22,52,0,0
22,54,0,0
22,56,0,0
22,58,0,0
22,60,0,0
24,0,0.0324704174283182,0.066
24,2,0.0506321454477665,0.046
24,4,0.0652804983923428,0.035
24,6,0.0957640169095672,0.039
24,8,0.176915343447491,0.066
24,10,0.299835329461341,0.121
24,12,0.379627071549911,0.183
24,14,0.340179936956406,0.203
24,16,0.213673843914804,0.139
24,18,0.0943349200747784,0.053
24,20,0.0295790042675853,0.013
24,22,0.00676087090465011,0.003
24,24,0.00118692069051558,0.001
24,26,0,0
24,28,0,0
24,30,0,0
24,32,0,0
24,34,0,0
24,36,0,0
24,38,0,0
24,40,0,0
24,42,0,0
24,44,0,0
24,46,0,0
24,48,0,0
24,50,0,0
24,52,0,0
24,54,0,0
24,56,0,0
24,58,0,0
24,60,0,0
24,62,0,0
26,0,0.0795419849847264,0.12
26,2,0.121114090755399,0.094
26,4,0.140989841248253,0.071
26,6,0.160508457194612,0.064
26,8,0.236240453317134,0.085
26,10,0.370246990487025,0.134
26,12,0.461856454113921,0.184
26,14,0.415243793800347,0.2
26,16,0.265128429527694,0.151
26,18,0.122128982379199,0.067
26,20,0.0422476390522388,0.02
26,22,0.0117635443203307,0.005
26,24,0.00281386077562594,0.001
26,26,0.000467514380468209,0
26,28,0,0
26,30,0,0
26,32,0,0
26,34,0,0
26,36,0,0
26,38,0,0
26,40,0,0
26,42,0,0
26,44,0,0
26,46,0,0
26,48,0,0
26,50,0,0
26,52,0,0
26,54,0,0
26,56,0,0
26,58,0,0
26,60,0,0
26,62,0,0
26,64,0,0
26,68,0,0
26,70,0,0
26,72,0,0
26,74,0,0
26,76,0,0
26,78,0,0
26,80,0,0
28,0,0.136444172612768,0.152
28,2,0.205297412931774,0.127
28,4,0.225831417485127,0.099
28,6,0.212527643751754,0.078
28,8,0.238112630654106,0.08
28,10,0.327403946439113,0.105
28,12,0.399585854813937,0.133
28,14,0.367956429355105,0.141
28,16,0.252554210126419,0.118
28,18,0.135998062227627,0.071
28,20,0.0617648443622778,0.033
28,22,0.0243081460764178,0.014
28,24,0.00788849555513194,0.005
28,26,0.0018679541272713,0.001
28,28,0.000347803902307632,0
28,30,0,0
28,32,0,0
28,34,0,0
28,36,0,0
28,38,0,0
28,40,0,0
28,42,0,0
28,44,0,0
28,46,0,0
28,48,0,0
28,50,0,0
28,52,0,0
28,54,0,0
28,56,0,0
28,58,0,0
28,60,0,0
28,62,0,0
28,64,0,0
28,66,0,0
28,68,0,0
28,70,0,0
28,72,0,0
28,74,0,0
28,76,0,0
28,78,0,0
28,80,0,0
30,0,0.164511586170644,0.147
30,2,0.246170841536487,0.12
30,4,0.262971767068546,0.088
30,6,0.219336783340454,0.06
30,8,0.188719036384403,0.047
30,10,0.215282183000454,0.052
30,12,0.260050457026981,0.065
30,14,0.267010811760941,0.075
30,16,0.230180022992791,0.076
30,18,0.172459635725738,0.069
30,20,0.109290960438124,0.055
30,22,0.0544060083148328,0.035
30,24,0.0200071244598344,0.015
30,26,0.00520329278810502,0.004
30,28,0.000968827612054761,0.001
30,30,0.000125763778325607,0
30,32,0,0
