Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedExpectedGoals,y,x,event
1,0.000726407068398306,0,0,0,0,26,82,Shot
1,0.00158463687317276,0,0,0,0,28,82,Shot
1,0.00127170087866562,0,0,0,0,30,82,Shot
1,0.000375444462685867,0,0,0,0,32,82,Shot
2,0.00301504530956303,0,0,0,0,24,84,Shot
2,0.018548740025076,0,0,0,0,26,84,Shot
2,0.0423972984181404,0,0,0,0,28,84,Shot
2,0.03607794104357,0,0,0,0,30,84,Shot
2,0.011453377409767,0,0,0,0,32,84,Shot
2,0.00135920330015649,0,0,0,0,34,84,Shot
1,0.00132359997606511,0,0,0,0,22,86,Shot
2,0.0258580443252501,0,0,0,0,24,86,Shot
3,0.162528797768049,0,0,0,0,26,86,Shot
3,0.378912082568045,0,0,0,0,28,86,Shot
2,0.330246359289265,0,0,0,0,30,86,Shot
2,0.107874259168297,0,0,0,0,32,86,Shot
2,0.0132071377432612,0,0,0,0,34,86,Shot
1,0.000570042293936363,0,0,0,0,44,86,Shot
1,0.000422297717907261,0,0,0,0,46,86,Shot
4,0.00625349655990432,0,0,0,0,22,88,Shot
4,0.0913201007521599,0,0,0,0,24,88,Shot
4,0.557414005768548,0,0,0,0,26,88,Shot
3,1.31444150836377,0,0,0,0,28,88,Shot
5,1.17695438131587,0,0,0,0,30,88,Shot
5,0.400192812138648,0,0,0,0,32,88,Shot
4,0.0538454121689184,0,0,0,0,34,88,Shot
4,0.00351889073969616,0,0,0,0,36,88,Shot
1,0.00148877744877562,0,0,0,0,40,88,Shot
1,0.0081494894325876,0,0,0,0,42,88,Shot
1,0.0164110564093753,0,0,0,0,44,88,Shot
1,0.0121576096087007,0,0,0,0,46,88,Shot
1,0.00331333514566674,0,0,0,0,48,88,Shot
2,0.00203899459066631,0,0,0,0,18,90,Shot
5,0.00799330191850826,0,0,0,0,20,90,Shot
7,0.0349045188140618,0,0,0,0,22,90,Shot
7,0.203942350290638,0,0,0,0,24,90,Shot
5,0.88748154330756,0,0,0,0,26,90,Shot
7,1.90066890043001,0,0,0,0,28,90,Shot
6,1.70851956951908,0,0,0,0,30,90,Shot
5,0.662469206745137,0,0,0,0,32,90,Shot
5,0.148752928930493,0,0,0,0,34,90,Shot
5,0.0261575456090445,0,0,0,0,36,90,Shot
5,0.00480052988434428,0,0,0,0,38,90,Shot
3,0.0174897574576686,0,0,0,0,40,90,Shot
4,0.0882142716246669,0,0,0,0,42,90,Shot
2,0.174582499482976,0,0,0,0,44,90,Shot
