x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
96,26,Pass,120,0,1,0,0,0,0
96,26,Pass,120,2,1,0,0,0,0
96,26,Pass,120,4,1,0,0,0,0
96,26,Pass,120,6,1,0,0,0,0
96,26,Pass,120,8,1,0,0,0,0.22
96,26,Pass,120,10,2,0.001,0,0,0.027
96,26,Pass,120,12,3,0.005,0,0,0.016
96,26,Pass,120,14,4,0.026,0,0,0.01
96,26,Pass,120,16,6,0.093,1,0,0.006
96,26,Pass,120,18,6,0.23,1,0,0.004
96,26,Pass,120,20,6,0.399,1,0,0.003
96,26,Pass,120,22,8,0.483,2,0,0.002
96,26,Pass,120,24,8,0.409,2,0,0.002
96,26,Pass,120,26,9,0.244,2,0,0.003
96,26,Pass,120,28,10,0.104,2,0,0.006
96,26,Pass,120,30,11,0.035,2,0,0.012
96,26,Pass,120,32,10,0.014,2,0,0.014
96,26,Pass,120,34,7,0.009,3,0,0.008
96,26,Pass,120,36,6,0.006,3,0,0.003
96,26,Pass,120,38,4,0.003,2,0,0.001
96,26,Pass,120,40,2,0.001,1,0,0.002
96,26,Pass,120,42,1,0,1,0,0.323
96,26,Pass,120,44,1,0,1,0,0.323
96,26,Pass,120,46,1,0,1,0,0.323
96,26,Pass,120,48,1,0,1,0,0.323
96,26,Pass,118,0,1,0.001,0,0,0
96,26,Pass,118,2,1,0,0,0,0
96,26,Pass,118,4,1,0,0,0,0
96,26,Pass,118,6,1,0,0,0,0
96,26,Pass,118,8,2,0,0,0,0.101
96,26,Pass,118,10,4,0.001,0,0,0.045
96,26,Pass,118,12,5,0.006,0,0,0.027
96,26,Pass,118,14,7,0.028,1,0,0.018
96,26,Pass,118,16,7,0.096,1,0,0.012
96,26,Pass,118,18,8,0.234,1,0,0.008
96,26,Pass,118,20,9,0.402,2,0,0.006
96,26,Pass,118,22,9,0.487,2,0,0.006
96,26,Pass,118,24,11,0.417,2,0,0.007
96,26,Pass,118,26,12,0.255,2,0,0.011
96,26,Pass,118,28,12,0.122,2,0,0.017
96,26,Pass,118,30,13,0.063,2,0,0.021
96,26,Pass,118,32,15,0.05,3,0,0.013
96,26,Pass,118,34,14,0.044,3,0,0.006
96,26,Pass,118,36,12,0.03,3,0,0.003
96,26,Pass,118,38,10,0.015,3,0,0.004
96,26,Pass,118,40,5,0.005,1,0,0.002
96,26,Pass,118,42,3,0.001,1,0,0.007
96,26,Pass,118,44,1,0,1,0,0.323
96,26,Pass,118,46,1,0,1,0,0.323
96,26,Pass,118,48,1,0,1,0,0.323
96,26,Pass,118,50,1,0,1,0,0.323
96,26,Pass,116,0,1,0.003,0,0,0
96,26,Pass,116,2,1,0.002,0,0,0
96,26,Pass,116,4,1,0.001,0,0,0
96,26,Pass,116,6,3,0.001,0,0,0.002
96,26,Pass,116,8,4,0.001,0,0,0.017
96,26,Pass,116,10,6,0.002,0,0,0.027
96,26,Pass,116,12,6,0.008,0,0,0.028
96,26,Pass,116,14,7,0.033,1,0,0.023
96,26,Pass,116,16,9,0.103,1,0,0.017
96,26,Pass,116,18,10,0.244,2,0,0.013
96,26,Pass,116,20,11,0.417,2,0,0.012
96,26,Pass,116,22,14,0.509,2,0,0.013
96,26,Pass,116,24,16,0.448,2,0.001,0.017
96,26,Pass,116,26,16,0.297,2,0.001,0.025
96,26,Pass,116,28,17,0.183,2,0,0.032
96,26,Pass,116,30,18,0.157,3,0,0.024
96,26,Pass,116,32,21,0.173,3,0,0.012
96,26,Pass,116,34,18,0.165,3,0,0.006
96,26,Pass,116,36,15,0.117,3,0,0.005
96,26,Pass,116,38,15,0.06,3,0,0.006
96,26,Pass,116,40,15,0.023,3,0,0.011
96,26,Pass,116,42,8,0.007,1,0,0.02
96,26,Pass,116,44,8,0.002,1,0,0.035
96,26,Pass,116,46,3,0,1,0,0.108
96,26,Pass,116,48,2,0,1,0,0.054
96,26,Pass,116,50,1,0,1,0,0.323
96,26,Pass,116,52,1,0,1,0,0.323
96,26,Pass,114,0,1,0.008,0,0,0
96,26,Pass,114,2,1,0.007,0,0,0
96,26,Pass,114,4,2,0.004,0,0,0
96,26,Pass,114,6,3,0.002,0,0,0
96,26,Pass,114,8,4,0.002,0,0,0.004
96,26,Pass,114,10,5,0.006,0,0,0.009
96,26,Pass,114,12,8,0.017,0,0,0.013
96,26,Pass,114,14,8,0.051,1,0,0.016
96,26,Pass,114,16,10,0.138,1,0,0.015
96,26,Pass,114,18,12,0.307,2,0,0.015
96,26,Pass,114,20,15,0.517,2,0.001,0.017
96,26,Pass,114,22,18,0.641,2,0.001,0.021
96,26,Pass,114,24,19,0.587,2,0.001,0.028
96,26,Pass,114,26,19,0.43,2,0.001,0.037
96,26,Pass,114,28,21,0.336,2,0.001,0.039
96,26,Pass,114,30,23,0.372,3,0.001,0.024
96,26,Pass,114,32,22,0.453,3,0,0.012
96,26,Pass,114,34,21,0.446,3,0,0.007
96,26,Pass,114,36,20,0.326,3,0,0.008
96,26,Pass,114,38,17,0.177,3,0,0.012
96,26,Pass,114,40,15,0.073,2,0,0.019
96,26,Pass,114,42,14,0.024,1,0,0.028
96,26,Pass,114,44,10,0.007,1,0,0.037
96,26,Pass,114,46,7,0.002,1,0,0.042
96,26,Pass,114,48,3,0.001,1,0,0.016
96,26,Pass,114,50,2,0,1,0,0.005
96,26,Pass,114,52,2,0,1,0,0.002
96,26,Pass,114,54,1,0,0,0,0
96,26,Pass,112,0,1,0.017,0,0,0
96,26,Pass,112,2,1,0.014,0,0,0
96,26,Pass,112,4,2,0.008,0,0,0
96,26,Pass,112,6,3,0.004,0,0,0
96,26,Pass,112,8,5,0.006,0,0,0.001
96,26,Pass,112,10,7,0.016,0,0,0.002
96,26,Pass,112,12,9,0.04,0,0,0.004
96,26,Pass,112,14,11,0.09,1,0,0.008
96,26,Pass,112,16,12,0.196,2,0,0.011
96,26,Pass,112,18,15,0.389,2,0,0.015
96,26,Pass,112,20,18,0.632,2,0.001,0.02
96,26,Pass,112,22,19,0.786,2,0.001,0.026
96,26,Pass,112,24,20,0.745,2,0.002,0.035
96,26,Pass,112,26,24,0.595,2,0.002,0.045
96,26,Pass,112,28,27,0.542,3,0.002,0.041
96,26,Pass,112,30,27,0.673,3,0.001,0.024
96,26,Pass,112,32,25,0.854,3,0.001,0.013
96,26,Pass,112,34,23,0.87,3,0.001,0.011
96,26,Pass,112,36,22,0.673,3,0.001,0.014
96,26,Pass,112,38,19,0.401,3,0.001,0.021
96,26,Pass,112,40,16,0.189,2,0,0.029
96,26,Pass,112,42,15,0.073,1,0,0.037
96,26,Pass,112,44,10,0.024,1,0,0.039
96,26,Pass,112,46,10,0.008,1,0,0.029
96,26,Pass,112,48,7,0.004,1,0,0.011
96,26,Pass,112,50,3,0.002,1,0,0.002
96,26,Pass,112,52,2,0.001,1,0,0
96,26,Pass,112,54,2,0,1,0,0
96,26,Pass,112,56,1,0,0,0,0
96,26,Pass,110,0,1,0.025,0,0,0
96,26,Pass,110,2,2,0.021,0,0,0
96,26,Pass,110,4,2,0.012,0,0,0
96,26,Pass,110,6,4,0.008,0,0,0
96,26,Pass,110,8,5,0.013,0,0,0
96,26,Pass,110,10,7,0.035,0,0,0
96,26,Pass,110,12,9,0.079,0,0,0.001
96,26,Pass,110,14,10,0.149,0,0,0.003
96,26,Pass,110,16,13,0.257,2,0,0.007
96,26,Pass,110,18,16,0.429,2,0,0.013
96,26,Pass,110,20,23,0.641,2,0.001,0.021
96,26,Pass,110,22,25,0.783,2,0.002,0.029
96,26,Pass,110,24,25,0.765,2,0.002,0.039
96,26,Pass,110,26,30,0.664,2,0.002,0.047
96,26,Pass,110,28,30,0.677,3,0.002,0.041
96,26,Pass,110,30,29,0.896,3,0.002,0.025
96,26,Pass,110,32,24,1.177,3,0.001,0.017
96,26,Pass,110,34,24,1.268,3,0.002,0.018
96,26,Pass,110,36,22,1.077,3,0.002,0.024
96,26,Pass,110,38,22,0.731,3,0.002,0.033
96,26,Pass,110,40,17,0.4,2,0.001,0.04
96,26,Pass,110,42,15,0.176,1,0.001,0.043
96,26,Pass,110,44,13,0.066,1,0,0.039
96,26,Pass,110,46,10,0.027,1,0,0.023
96,26,Pass,110,48,7,0.016,1,0,0.007
96,26,Pass,110,50,4,0.01,1,0,0
96,26,Pass,110,52,3,0.005,1,0,0
96,26,Pass,110,54,2,0.002,1,0,0
96,26,Pass,110,56,1,0.001,0,0,0
96,26,Pass,110,58,1,0,0,0,0
96,26,Pass,108,0,1,0.025,0,0,0
96,26,Pass,108,2,2,0.021,0,0,0
96,26,Pass,108,4,3,0.013,0,0,0
96,26,Pass,108,6,4,0.01,0,0,0
96,26,Pass,108,8,6,0.02,0,0,0
96,26,Pass,108,10,9,0.055,0,0,0
96,26,Pass,108,12,10,0.119,0,0,0
96,26,Pass,108,14,11,0.203,0,0,0.001
96,26,Pass,108,16,17,0.299,2,0,0.004
96,26,Pass,108,18,20,0.42,2,0,0.01
96,26,Pass,108,20,26,0.559,3,0.001,0.018
96,26,Pass,108,22,27,0.656,3,0.001,0.028
