x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
98,2,Pass,120,0,1,0,0,0,0
98,2,Pass,120,2,1,0,0,0,0
98,2,Pass,120,4,1,0,0,0,0
98,2,Pass,120,6,1,0,0,0,0
98,2,Pass,120,8,2,0,0,0,0
98,2,Pass,120,10,2,0.001,0,0,0
98,2,Pass,120,12,2,0.003,0,0,0
98,2,Pass,120,14,3,0.009,0,0,0
98,2,Pass,120,16,3,0.017,0,0,0
98,2,Pass,120,18,3,0.024,0,0,0
98,2,Pass,120,20,3,0.024,0,0,0
98,2,Pass,120,22,4,0.016,0,0,0
98,2,Pass,120,24,4,0.008,0,0,0
98,2,Pass,120,26,3,0.003,0,0,0.001
98,2,Pass,120,28,3,0.001,0,0,0.002
98,2,Pass,120,30,2,0,0,0,0
98,2,Pass,120,32,1,0,0,0,0
98,2,Pass,120,34,1,0,1,0,0.303
98,2,Pass,120,36,1,0,1,0,0.303
98,2,Pass,120,38,1,0,1,0,0.303
98,2,Pass,120,40,1,0,1,0,0.303
98,2,Pass,120,42,1,0,1,0,0.303
98,2,Pass,120,44,1,0.001,1,0,0.303
98,2,Pass,120,46,1,0.001,1,0,0.303
98,2,Pass,120,48,1,0.001,1,0,0.303
98,2,Pass,120,50,1,0,1,0,0.303
98,2,Pass,120,52,1,0,1,0,0.303
98,2,Pass,120,54,1,0,1,0,0.303
98,2,Pass,120,56,1,0,1,0,0.303
98,2,Pass,120,58,1,0,1,0,0.303
98,2,Pass,118,0,1,0,0,0,0
98,2,Pass,118,2,1,0,0,0,0
98,2,Pass,118,4,2,0,0,0,0
98,2,Pass,118,6,2,0,0,0,0
98,2,Pass,118,8,5,0,0,0,0
98,2,Pass,118,10,5,0.002,0,0,0
98,2,Pass,118,12,5,0.009,0,0,0
98,2,Pass,118,14,4,0.026,0,0,0
98,2,Pass,118,16,4,0.053,0,0,0
98,2,Pass,118,18,4,0.074,0,0,0
98,2,Pass,118,20,4,0.073,0,0,0
98,2,Pass,118,22,4,0.05,0,0,0
98,2,Pass,118,24,4,0.024,0,0,0.001
98,2,Pass,118,26,4,0.008,0,0,0.002
98,2,Pass,118,28,4,0.002,0,0,0.005
98,2,Pass,118,30,3,0,0,0,0.014
98,2,Pass,118,32,2,0,0,0,0.183
98,2,Pass,118,34,1,0,1,0,0.303
98,2,Pass,118,36,1,0,1,0,0.303
98,2,Pass,118,38,1,0,1,0,0.303
98,2,Pass,118,40,1,0,1,0,0.303
98,2,Pass,118,42,1,0.001,1,0,0.303
98,2,Pass,118,44,1,0.001,1,0,0.303
98,2,Pass,118,46,1,0.001,1,0,0.303
