x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
56,6,Run,120,0,1,0,0,0,0
56,6,Run,120,2,1,0.001,0,0,0
56,6,Pass,120,2,4,0,0,0,0
56,6,Run,120,4,1,0.004,0,0,0
56,6,Pass,120,4,4,0.001,0,0,0
56,6,Run,120,6,1,0.013,0,0,0
56,6,Pass,120,6,6,0.004,0,0,0
56,6,Pass,120,8,9,0.015,0,0,0
56,6,Run,120,8,1,0.032,0,0,0
56,6,Pass,120,10,9,0.041,0,0,0
56,6,Run,120,10,1,0.057,0,0,0
56,6,Pass,120,12,9,0.082,0,0,0
56,6,Run,120,12,1,0.071,0,0,0
56,6,Pass,120,14,10,0.118,0,0,0
56,6,Run,120,14,1,0.061,0,0,0
56,6,Pass,120,16,10,0.13,0,0,0
56,6,Run,120,16,1,0.036,0,0,0
56,6,Pass,120,18,10,0.114,0,0,0
56,6,Run,120,18,1,0.015,0,0,0
56,6,Pass,120,20,10,0.086,0,0,0
56,6,Run,120,20,1,0.004,0,0,0
56,6,Run,120,22,1,0.001,0,0,0
56,6,Pass,120,22,9,0.057,0,0,0
56,6,Run,120,24,1,0,0,0,0
56,6,Pass,120,24,8,0.033,0,0,0
56,6,Pass,120,26,8,0.016,0,0,0
56,6,Pass,120,28,6,0.006,0,0,0
56,6,Pass,120,30,4,0.002,0,0,0
56,6,Pass,120,32,2,0.001,0,0,0
56,6,Pass,120,34,2,0,0,0,0
56,6,Pass,120,36,1,0,0,0,0
56,6,Pass,120,38,1,0,0,0,0
56,6,Run,118,0,1,0,0,0,0
56,6,Pass,118,0,1,0,0,0,0
56,6,Run,118,2,1,0.001,0,0,0
56,6,Pass,118,2,5,0,0,0,0
56,6,Run,118,4,1,0.007,0,0,0
56,6,Pass,118,4,5,0.001,0,0,0
56,6,Pass,118,6,7,0.004,0,0,0
56,6,Run,118,6,1,0.026,0,0,0
56,6,Pass,118,8,9,0.014,0,0,0
56,6,Run,118,8,1,0.067,0,0,0
56,6,Pass,118,10,10,0.039,0,0,0
